dataset,artifact_path,exists,size_bytes,sha256,modified_at,file_format,row_count,column_count,column_names,duplicate_full_rows,key_duplicate_count,inf_count,negative_count,status
D01,workbook/p2/p2_3/p4_handoff_candidate/local1/dept_headcount_master_2024.parquet,True,6274643,2f187b5af44c828d4107af12368029caf6b83b6254af75b9653b6402b8f1b0ce,2026-07-12T21:45:50,parquet,34969.0,186.0,연도|학제|대학원구분|학교명|학교상태|본분교|시도|시군구|설립|주야구분|주소|우편번호|전화번호|팩스번호|홈페이지|학위과정|대계열|중계열|소계열|학과코드|학과명|학과수_전체|학과수_석사|학과수_박사|입학정원_학부_계|정원내_입학정원_학부|정원외_입학정원_학부|모집인원_학부_계|정원내_모집인원_학부|정원외_모집정원_학부|지원자_전체_계|지원자_전체_남|지원자_전체_여|지원자_석사_계|지원자_석사_남|지원자_석사_여|지원자_박사_계|지원자_박사_남|지원자_박사_여|입학자_전체_계|입학자_전체_남|입학자_전체_여|입학자_석사_계|입학자_석사_남|입학자_석사_여|입학자_박사_계|입학자_박사_남|입학자_박사_여|정원내_입학자_전체_계|정원내_입학자_전체_남|정원내_입학자_전체_여|정원내_입학자_학부_계|정원내_입학자_학부_남|정원내_입학자_학부_여|정원내_입학자_석사_계|정원내_입학자_석사_남|정원내_입학자_석사_여|정원내_입학자_박사_계|정원내_입학자_박사_남|정원내_입학자_박사_여|정원외_입학자_전체_계|정원외_입학자_전체_남|정원외_입학자_전체_여|정원외_입학자_석사_계|정원외_입학자_석사_남|정원외_입학자_석사_여|정원외_입학자_박사_계|정원외_입학자_박사_남|정원외_입학자_박사_여|재적생_전체_계|재적생_전체_남|재적생_전체_여|재학생_전체_계|재학생_전체_남|재학생_전체_여|휴학생_전체_계|휴학생_전체_남|휴학생_전체_여|유예생_전체_계|유예생_전체_남|유예생_전체_여|재적생_석사_계|재적생_석사_남|재적생_석사_여|재학생_석사_계|재학생_석사_남|재학생_석사_여|휴학생_석사_계|휴학생_석사_남|휴학생_석사_여|재적생_박사_계|재적생_박사_남|재적생_박사_여|재학생_박사_계|재학생_박사_남|재학생_박사_여|휴학생_박사_계|휴학생_박사_남|휴학생_박사_여|외국인유학생_총계_계|외국인유학생_총계_남|외국인유학생_총계_여|외국인유학생_학사_계|외국인유학생_학사_남|외국인유학생_학사_여|외국인유학생_석사_계|외국인유학생_석사_남|외국인유학생_석사_여|외국인유학생_박사_계|외국인유학생_박사_남|외국인유학생_박사_여|졸업자_전체|졸업자_남|졸업자_전체_여|졸업자_석사_계|졸업자_석사_남|졸업자_석사_여|졸업자_박사_계|졸업자_박사_남|졸업자_박사_여|전임교원_계|전임교원_남|전임교원_여|비전임교원_계|비전임교원_남|비전임교원_여|시간강사_계|시간강사_남|시간강사_여|source_excel_row|analysis_year|headcount_row_id|headcount_grain_version|school_name_raw|school_name_std|campus_name_raw|campus_seq|campus_branch|campus_name_std|day_evening_raw|school_status_raw|dept_name_raw|dept_norm_strict|dept_norm_suffix_reduced|dept_token_signature|kedi_dept_code|school_uid|campus_uid|dept_uid|school_type|degree_course|major_group_raw|major_group_7|field_middle_name|field_small_name|region_sido|region_sigungu|is_undergraduate_candidate|is_p4_structure_match_candidate|admission_capacity_n|recruitment_n|applicants_n|admits_n|enrolled_students_n|leave_students_n|graduates_n|fulltime_faculty_n|nonfulltime_faculty_n|international_students_n|female_students_n|masters_students_n|doctoral_students_n|competition_ratio|admission_yield_ratio|admit_per_applicant_ratio|leave_rate_pct|female_student_share_pct|international_student_share_pct|student_faculty_ratio|fulltime_faculty_share_pct|log_enrolled_students|log_graduates|headcount_grain_uid|grain_review_needed|grain_resolution_method|raw_row_lineage,0.0,0.0,0.0,0.0,PASS
D02,workbook/p2/p2_3/p4_handoff_candidate/local1/dept_outcomes_2024.parquet,True,848641,45f8aa40f31e14b83b5d97f594abf89bb4a5aaa4bc67735767e19077d189f493,2026-07-12T21:45:50,parquet,10242.0,37.0,analysis_year|outcome_row_id|school_name_raw|school_name_base_raw|school_name_std|campus_name_raw|campus_seq|campus_branch|campus_name_std|dept_name_raw|dept_name_std|dept_field_raw|dept_field_std|credit_forfeit_flag|selectivity_proxy_pct|a_rate_pct|cd_rate_pct|f_rate_pct|employment_rate_pct|health_employment_rate_pct|progression_rate_pct|vocational_college_progression_rate_pct|university_progression_rate_pct|graduate_school_progression_rate_pct|domestic_progression_rate_pct|overseas_progression_rate_pct|has_selectivity|has_employment|has_progression|rate_range_qa|source_file|source_sha256|campus_region_raw|dept_norm_strict|dept_norm_suffix_reduced|dept_token_signature|school_uid,0.0,0.0,0.0,0.0,PASS
D03,workbook/p2/p2_3/p4_handoff_candidate/local1/dept_master_2024_core.parquet,True,1934037,c6fd569052684502e5bab5758510d3cd945f68ddeaa47fdfb3e9bab803889dca,2026-07-12T21:45:50,parquet,10242.0,108.0,analysis_year|outcome_row_id|school_name_raw|school_name_base_raw|school_name_std|campus_name_raw_x|campus_seq|campus_branch|campus_name_std_x|dept_name_raw|dept_name_std|dept_field_raw|dept_field_std|credit_forfeit_flag|selectivity_proxy_pct|a_rate_pct|cd_rate_pct|f_rate_pct|employment_rate_pct|health_employment_rate_pct|progression_rate_pct|vocational_college_progression_rate_pct|university_progression_rate_pct|graduate_school_progression_rate_pct|domestic_progression_rate_pct|overseas_progression_rate_pct|has_selectivity|has_employment|has_progression|rate_range_qa|source_file|source_sha256|campus_region_raw|dept_norm_strict|dept_norm_suffix_reduced|dept_token_signature|school_uid_x|headcount_row_id|match_stage|match_method|match_status|match_score|candidate_count|review_needed|unmatched_reason|match_evidence|candidate_headcount_row_ids|candidate_preview|campus_conflict_flag|degree_course_conflict_flag|major_conflict_flag|forbidden_modifier_conflict_flag|headcount_match_flag|headcount_grain_version|headcount_grain_uid|grain_resolution_method|grain_review_needed|raw_row_lineage|school_uid_y|campus_uid|dept_uid|kedi_dept_code|school_type|degree_course|school_status_raw|day_evening_raw|campus_name_raw_y|campus_name_std_y|region_sido|region_sigungu|hc_major_group_raw|hc_major_group_7|field_middle_name|field_small_name|admission_capacity_n|recruitment_n|applicants_n|admits_n|enrolled_students_n|leave_students_n|graduates_n|fulltime_faculty_n|nonfulltime_faculty_n|international_students_n|female_students_n|masters_students_n|doctoral_students_n|competition_ratio|admission_yield_ratio|admit_per_applicant_ratio|leave_rate_pct|female_student_share_pct|international_student_share_pct|student_faculty_ratio|fulltime_faculty_share_pct|log_enrolled_students|log_graduates|school_uid|major_group_7|major7_mapping_method|major7_mapping_confidence|major7_candidate_count|major7_review_needed|major7_evidence|major7_sample_exclusion_rule|has_structure_context|has_major_group_7_high_medium|row_qa_status,0.0,0.0,0.0,0.0,PASS
D04,workbook/p2/p2_3/p4_handoff_candidate/local1/wage_reference_by_major.parquet,True,77696,489caf15edbefa1ed0c30fdfa98dbe31096b36c219f6610dae69a2d5e49c47e5,2026-07-12T21:45:50,parquet,14.0,87.0,기준연도|대학원여부|계열|분석대상자_명|평균소득만원|평균소득만원_사분위|중위소득만원|중위소득만원_사분위|평균소득_중위소득_차이만원|평균소득_중위소득_차이만원_사분위|평균소득_중위소득_비율|평균소득_중위소득_비율_사분위|초임급여_100만원미만_명|초임급여_100만원미만_명_사분위|초임급여_100~200만원미만_명|초임급여_100~200만원미만_명_사분위|초임급여_200~300만원미만_명|초임급여_200~300만원미만_명_사분위|초임급여_300~400만원미만_명|초임급여_300~400만원미만_명_사분위|초임급여_400만원이상_명|초임급여_400만원이상_명_사분위|초임급여_100만원미만_비율|초임급여_100만원미만_비율_사분위|초임급여_100~200만원미만_비율|초임급여_100~200만원미만_비율_사분위|초임급여_200~300만원미만_비율|초임급여_200~300만원미만_비율_사분위|초임급여_300~400만원미만_비율|초임급여_300~400만원미만_비율_사분위|초임급여_400만원이상_비율|초임급여_400만원이상_비율_사분위|초임급여_300만원이상_비율|초임급여_300만원이상_비율_사분위|초임급여_200만원미만_비율|초임급여_200만원미만_비율_사분위|cert_자격증취득자_명|cert_자격증취득자_명_사분위|cert_자격증미취득자_명|cert_자격증미취득자_명_사분위|cert_자격증취득률_pct|cert_자격증취득률_pct_사분위|cert_자격증미취득률_pct|cert_자격증미취득률_pct_사분위|cert_자격증취득수_건|cert_자격증취득수_건_사분위|cert_취득자당자격증취득수|cert_취득자당자격증취득수_사분위|cert_분석대상자당자격증취득수|cert_분석대상자당자격증취득수_사분위|company_대기업_명|company_대기업_pct|company_중견기업_명|company_중견기업_pct|company_중소기업_명|company_중소기업_pct|company_국가및지방_명|company_국가및지방_pct|company_공공기관_명|company_공공기관_pct|company_비영리_명|company_비영리_pct|company_기타_명|company_기타_pct|company_대중견기업_pct|company_공공비영리_pct|analysis_year|major_group_7|degree_level|reference_sample_n|ctx24_reference_sample_n|ctx24_mean_income_10kkrw|ctx24_median_income_10kkrw|ctx24_income_300plus_pct|ctx24_income_400plus_pct|ctx24_large_company_pct|ctx24_mid_company_pct|ctx24_small_company_pct|ctx24_large_mid_company_pct|ctx24_public_nonprofit_pct|ctx24_cert_rate_pct|ctx24_cert_per_person|ctx24_log10_mean_income|ctx24_industry_top3_pct|ctx24_industry_hhi|source_file|source_sha256,0.0,0.0,0.0,0.0,PASS
D05,workbook/p2/p2_3/p4_handoff_candidate/local1/job_cert_bridge.parquet,True,31466,f4447cf519bdf366e36851a68e6ec6b6605f9c9a591d96c911de4eece2327246,2026-07-12T21:45:50,parquet,24.0,32.0,직무분류|job_cert_고등교육기관_건|job_cert_학부_건|job_cert_대학원_건|job_cert_직무비율_pct|job_cert_학부비율_pct|job_cert_대학원비율_pct|job_cert_학부대학원차이_건|job_cert_학부대학원차이_pctp|job_cert_대학원우세_flag|job_cert_is_total_row|job_cert_source_unknown_flag|primary_industry_candidate|industry_candidates|mapping_type|confidence|review_needed|join_now|mapping_missing_flag|guide_match_dept_n|guide_match_school_sum|guide_match_student_sum|guide_match_top_departments|guide_terms|decision_note|cleaning_policy|job_group_raw|is_total_row|is_model_row|decision_reason|source_file|source_sha256,0.0,0.0,0.0,4.0,PASS
D06,workbook/p2/p2_3/p3_2/goms_major_year_labor_baseline.parquet,True,44315,75d8bc34a0bf092c3e2c4332fd213d4a01f5a86252b6f6b4ac6f29709b3202c3,2026-07-12T21:38:43,parquet,91.0,45.0,year|major_group_7|graduate_total_n|employed_n|unemployed_n|inactive_n|employment_rate_pct|unemployment_rate_pct|inactivity_rate_pct|manufacturing_pct|information_communication_pct|professional_science_pct|education_service_pct|health_social_pct|industry_top1_pct|industry_top3_pct|industry_hhi|industry_entropy|professional_highskill_pct|business_office_finance_pct|service_sales_pct|production_transport_pct|occupation_top3_pct|occupation_hhi|occupation_schema_version|firm_1_9_pct|firm_10_49_pct|firm_50_299_pct|firm_300plus_pct|firm_size_hhi|private_domestic_pct|foreign_private_pct|public_enterprise_pct|government_pct|nonprofit_pct|public_nonprofit_pct|permanent_pct|unstable_pct|self_employed_pct|mean_monthly_income_10kkrw|weekly_work_hours|hourly_income_proxy|source_topic_count|missing_feature_count|row_qa_status,0.0,0.0,0.0,0.0,PASS
D07,workbook/p2/p2_3/p3_2/goms_major_profile_recent.parquet,True,20580,f44c6f9e7a7539361dce301686144780e0ce588deb929b625ebe811674bb621f,2026-07-12T21:38:43,parquet,7.0,29.0,major_group_7|profile_start_year|profile_end_year|profile_years_n|aggregation_method|recent_employment_rate_pct|recent_firm_300plus_pct|recent_public_nonprofit_pct|recent_permanent_pct|recent_unstable_pct|recent_self_employed_pct|recent_industry_hhi|recent_industry_top3_pct|recent_professional_highskill_pct|recent_mean_income_10kkrw|recent_weekly_work_hours|recent_hourly_income_proxy|income_trend_per_year|hours_trend_per_year|firm_300plus_trend_per_year|permanent_trend_per_year|latest_2019_mean_income_10kkrw|latest_2019_weekly_work_hours|latest_2019_firm_300plus_pct|latest_2019_permanent_pct|source_years_observed|year_over_year_review_flag|mapping_confidence|row_qa_status,0.0,0.0,0.0,17.0,PASS
D07_HANDOFF,workbook/p2/p2_3/shared_handoff/goms_major_profile_recent.parquet,True,20580,f44c6f9e7a7539361dce301686144780e0ce588deb929b625ebe811674bb621f,2026-07-12T21:38:43,parquet,7.0,29.0,major_group_7|profile_start_year|profile_end_year|profile_years_n|aggregation_method|recent_employment_rate_pct|recent_firm_300plus_pct|recent_public_nonprofit_pct|recent_permanent_pct|recent_unstable_pct|recent_self_employed_pct|recent_industry_hhi|recent_industry_top3_pct|recent_professional_highskill_pct|recent_mean_income_10kkrw|recent_weekly_work_hours|recent_hourly_income_proxy|income_trend_per_year|hours_trend_per_year|firm_300plus_trend_per_year|permanent_trend_per_year|latest_2019_mean_income_10kkrw|latest_2019_weekly_work_hours|latest_2019_firm_300plus_pct|latest_2019_permanent_pct|source_years_observed|year_over_year_review_flag|mapping_confidence|row_qa_status,0.0,0.0,0.0,17.0,PASS
D07_NATIONAL,workbook/p2/p2_3/p3_2/goms_national_year_benchmark.parquet,True,30585,2bb79134d30ab77e33bd65b854deed2ca077a51e81eaa9b1cbef2a975b1f05d0,2026-07-12T21:38:43,parquet,13.0,45.0,year|major_group_7|graduate_total_n|employed_n|unemployed_n|inactive_n|employment_rate_pct|unemployment_rate_pct|inactivity_rate_pct|manufacturing_pct|information_communication_pct|professional_science_pct|education_service_pct|health_social_pct|industry_top1_pct|industry_top3_pct|industry_hhi|industry_entropy|professional_highskill_pct|business_office_finance_pct|service_sales_pct|production_transport_pct|occupation_top3_pct|occupation_hhi|occupation_schema_version|firm_1_9_pct|firm_10_49_pct|firm_50_299_pct|firm_300plus_pct|firm_size_hhi|private_domestic_pct|foreign_private_pct|public_enterprise_pct|government_pct|nonprofit_pct|public_nonprofit_pct|permanent_pct|unstable_pct|self_employed_pct|mean_monthly_income_10kkrw|weekly_work_hours|hourly_income_proxy|source_topic_count|missing_feature_count|row_qa_status,0.0,0.0,0.0,0.0,PASS
D08,workbook/p2/p2_3/p4_handoff_candidate/shared/mart_department_model_base_2024.parquet,True,2103297,598b68b31b5358dfd23839d4c138cc64838d05876b7791980b376c0453f29962,2026-07-12T21:45:50,parquet,10242.0,151.0,analysis_year|outcome_row_id|school_name_raw|school_name_base_raw|school_name_std|campus_name_raw_x|campus_seq|campus_branch|campus_name_std_x|dept_name_raw|dept_name_std|dept_field_raw|dept_field_std|credit_forfeit_flag|selectivity_proxy_pct|a_rate_pct|cd_rate_pct|f_rate_pct|employment_rate_pct|health_employment_rate_pct|progression_rate_pct|vocational_college_progression_rate_pct|university_progression_rate_pct|graduate_school_progression_rate_pct|domestic_progression_rate_pct|overseas_progression_rate_pct|has_selectivity|has_employment|has_progression|rate_range_qa|source_file|source_sha256|campus_region_raw|dept_norm_strict|dept_norm_suffix_reduced|dept_token_signature|school_uid_x|headcount_row_id|match_stage|match_method|match_status|match_score|candidate_count|review_needed|unmatched_reason|match_evidence|candidate_headcount_row_ids|candidate_preview|campus_conflict_flag|degree_course_conflict_flag|major_conflict_flag|forbidden_modifier_conflict_flag|headcount_match_flag|headcount_grain_version|headcount_grain_uid|grain_resolution_method|grain_review_needed|raw_row_lineage|school_uid_y|campus_uid|dept_uid|kedi_dept_code|school_type|degree_course|school_status_raw|day_evening_raw|campus_name_raw_y|campus_name_std_y|region_sido|region_sigungu|hc_major_group_raw|hc_major_group_7|field_middle_name|field_small_name|admission_capacity_n|recruitment_n|applicants_n|admits_n|enrolled_students_n|leave_students_n|graduates_n|fulltime_faculty_n|nonfulltime_faculty_n|international_students_n|female_students_n|masters_students_n|doctoral_students_n|competition_ratio|admission_yield_ratio|admit_per_applicant_ratio|leave_rate_pct|female_student_share_pct|international_student_share_pct|student_faculty_ratio|fulltime_faculty_share_pct|log_enrolled_students|log_graduates|school_uid|major_group_7|major7_mapping_method|major7_mapping_confidence|major7_candidate_count|major7_review_needed|major7_evidence|major7_sample_exclusion_rule|has_structure_context|has_major_group_7_high_medium|row_qa_status|ctx24_reference_sample_n|ctx24_mean_income_10kkrw|ctx24_median_income_10kkrw|ctx24_income_300plus_pct|ctx24_income_400plus_pct|ctx24_large_company_pct|ctx24_mid_company_pct|ctx24_small_company_pct|ctx24_large_mid_company_pct|ctx24_public_nonprofit_pct|ctx24_cert_rate_pct|ctx24_cert_per_person|ctx24_log10_mean_income|ctx24_industry_top3_pct|ctx24_industry_hhi|goms_profile_start_year|goms_profile_end_year|goms_profile_years_n|goms_aggregation_method|goms_recent_employment_rate_pct|goms_recent_firm_300plus_pct|goms_recent_public_nonprofit_pct|goms_recent_permanent_pct|goms_recent_unstable_pct|goms_recent_self_employed_pct|goms_recent_industry_hhi|goms_recent_industry_top3_pct|goms_recent_professional_highskill_pct|goms_recent_mean_income_10kkrw|goms_recent_weekly_work_hours|goms_recent_hourly_income_proxy|goms_income_trend_per_year|goms_hours_trend_per_year|goms_firm_300plus_trend_per_year|goms_permanent_trend_per_year|goms_latest_2019_mean_income_10kkrw|goms_latest_2019_weekly_work_hours|goms_latest_2019_firm_300plus_pct|goms_latest_2019_permanent_pct|goms_source_years_observed|goms_year_over_year_review_flag|goms_mapping_confidence|goms_row_qa_status,0.0,0.0,0.0,23124.0,PASS
