column,mismatch_n
goms_profile_start_year,0
goms_profile_end_year,0
goms_profile_years_n,0
goms_aggregation_method,0
goms_recent_employment_rate_pct,0
goms_recent_firm_300plus_pct,0
goms_recent_public_nonprofit_pct,0
goms_recent_permanent_pct,0
goms_recent_unstable_pct,0
goms_recent_self_employed_pct,0
goms_recent_industry_hhi,0
goms_recent_industry_top3_pct,0
goms_recent_professional_highskill_pct,0
goms_recent_mean_income_10kkrw,0
goms_recent_weekly_work_hours,0
goms_recent_hourly_income_proxy,0
goms_income_trend_per_year,0
goms_hours_trend_per_year,0
goms_firm_300plus_trend_per_year,0
goms_permanent_trend_per_year,0
goms_latest_2019_mean_income_10kkrw,0
goms_latest_2019_weekly_work_hours,0
goms_latest_2019_firm_300plus_pct,0
goms_latest_2019_permanent_pct,0
goms_source_years_observed,0
goms_year_over_year_review_flag,0
goms_mapping_confidence,0
goms_row_qa_status,0
