학과_정규화,rows,schools,raw_names,students,a_students,a_band_pct_weighted
경영,527,131,경영 | 경영전공 | 경영학과 | 경영학과(경영학전공) | 경영학과(글로벌테크노경영전공) | 경영학부 | 경영학부 (IT경영전공) | 경영학부(경영전공),370552,131998,35.62199098
사회복지,422,130,"사회복지전공 | 사회복지학과 | 사회복지학부 | 사회복지학부(사회복지미시전공, 사회복지거시전공) | 사회복지학부(사회복지서비스전공) | 사회복지학부(사회복지정책전공)",283988,110612,38.94953308
간호,331,113,간호전공 | 간호학과 | 간호학과(4년제) | 간호학과(김해) | 간호학과(야간) | 간호학과(특별과정) | 간호학부,611529,270642,44.25660925
컴퓨터공,345,89,컴퓨터공학과 | 컴퓨터공학부 | 컴퓨터공학부(빅데이터전공) | 컴퓨터공학부(소프트웨어전공) | 컴퓨터공학부(스마트보안전공) | 컴퓨터공학부(컴퓨터공학전공) | 컴퓨터공학부(컴퓨터소프트웨어전공),160481,59557,37.11155838
식품영양,215,75,식품영양전공 | 식품영양학과 | 식품영양학부 | 식품영양학부(식품영양학전공),61035,23719,38.86130908
행정,213,69,행정학과 | 행정학부,70861,29325,41.38383596
영어영문,207,64,영어영문학과 | 영어영문학부,98314,34316,34.9044897
유아교육과,169,64,유아교육과,96382,40039,41.54198917
건축,195,64,건축학과 | 건축학과(4) | 건축학과(4년제) | 건축학과(5) | 건축학과(5년) | 건축학과(5년제) | 건축학과(건축공학전공) | 건축학부,67704,26031,38.4482453
기계공,226,63,기계공학과 | 기계공학부 | 기계공학부(기계공학전공) | 기계공학부(기계설계공학전공) | 기계공학부(기계시스템공학전공) | 기계공학부(냉동공조공학전공) | 기계공학부(스마트팩토리전공) | 기계공학부(자동차공학전공),129515,52235,40.33123576
전자공,222,61,전자공학과 | 전자공학부 | 전자공학부(나노전자공학전공) | 전자공학부(시스템반도체전공) | 전자공학부(융합IT공학전공) | 전자공학부(인공지능전공) | 전자공학부(임베디드시스템전공) | 전자공학부(전자공학전공),118221,46617,39.43208059
국어국문,167,54,국어국문학과 | 국어국문학부 | 국어국문학부(고전번역전공) | 국어국문학부(국어국문학전공),68048,27063,39.77045615
경제,179,53,경제학과 | 경제학부,91989,35738,38.85029732
화,155,53,화학과 | 화학부,50243,21293,42.38003304
수,146,47,수학과,34439,13522,39.26362554
법,144,46,법학과 | 법학부 | 법학부(공공안전법학전공) | 법학부(법학전공),95311,26769,28.08595021
수학교육과,111,46,수학교육과 | 수학교육과(심화과정) | 수학교육과(심화전공),30948,11643,37.621171
신소재공,150,45,신소재공학과 | 신소재공학부,55590,23892,42.97895305
영어교육과,121,45,영어교육과 | 영어교육과(심화과정) | 영어교육과(심화전공),31032,13617,43.88051044
물리치료,135,44,물리치료학과,79375,32096,40.43590551
생명과,128,44,생명과학과 | 생명과학부 | 생명과학부(분자생물학전공) | 생명과학부(생명과학전공),39101,16125,41.23935449
경찰행정,111,43,경찰행정전공 | 경찰행정학과 | 경찰행정학부 | 경찰행정학부(해양경찰전공),36254,13025,35.92707012
상담심리,115,42,상담심리전공 | 상담심리학과,73773,27004,36.60417768
전기공,130,42,전기공학과 | 전기공학부,58992,22138,37.52712232
건축공,121,42,건축공학과 | 건축공학부,38840,14957,38.5092688
국어교육과,115,42,국어교육과 | 국어교육과(심화과정) | 국어교육과(심화전공),30281,12643,41.75225389
교육,127,41,교육학과 | 교육학과(심화과정) | 교육학과(심화전공) | 교육학부,50933,22585,44.34256769
음악,116,40,"음악전공 | 음악학과 | 음악학과(성악전공, 피아노전공, 작곡전공, 관현악전공, 이론전공) | 음악학부 | 음악학부(관현악전공) | 음악학부(기악) | 음악학부(성악) | 음악학부(성악전공)",48216,22888,47.4697196
화학공,121,39,화학공학과 | 화학공학부 | 화학공학부(나노화학공학전공) | 화학공학부(생명화학공학전공) | 화학공학부(에너지화학공학전공),55905,24090,43.09095787
사,127,39,사학과,26428,11763,44.50961102
약,108,37,약학과 | 약학과(2+4년제) | 약학과(2+4학제) | 약학과(6년제) | 약학부 | 약학부(통합6년제),109466,43330,39.58306689
물리,116,37,물리학과,31150,13483,43.28410915
신,99,37,신학과 | 신학부,30231,12778,42.26787073
철,116,37,철학과,21659,9758,45.05286486
의,74,37,의학과 | 의학과(예과) | 의학과(의예과) | 의학부(의예) | 의학부(의학),6966,2400,34.45305771
소프트웨어,125,36,소프트웨어 | 소프트웨어전공 | 소프트웨어학과 | 소프트웨어학부 | 소프트웨어학부(소프트웨어전공),54406,21506,39.52872845
미디어커뮤니케이션,109,35,미디어커뮤니케이션학과 | 미디어커뮤니케이션학부 | 미디어커뮤니케이션학부(광고PR전공) | 미디어커뮤니케이션학부(영상콘텐츠전공),41174,18181,44.15650653
정치외교,120,35,정치외교학과 | 정치외교학부 | 정치외교학부(외교학전공) | 정치외교학부(정치학전공),31654,15227,48.10450496
체육,103,34,체육전공 | 체육학과 | 체육학부 | 체육학부(스포츠과학전공) | 체육학부(체육) | 체육학부(체육학전공) | 체육학부(태권도),47095,20872,44.31892982
산업디자인,85,34,산업디자인전공 | 산업디자인학과 | 산업디자인학부,27484,13300,48.39179159
사회,99,33,사회학과,22926,11249,49.06656198
작업치료,91,32,작업치료학과,38252,15105,39.48813134
중어중문,99,32,중어중문학과 | 중어중문학부,37403,17020,45.50437131
환경공,89,32,환경공학과 | 환경공학과(환경공학전공) | 환경공학과(환경정책전공) | 환경공학부,20940,7849,37.48328558
경영학,105,31,경영학 | 경영학전공 | 경영학전공(경영회계학부) | 경영학전공(야간),59542,23487,39.44610527
스포츠과,81,31,스포츠과학과 | 스포츠과학부 | 스포츠과학부(골프지도전공) | 스포츠과학부(생활체육학전공),37580,15340,40.81958489
체육교육과,78,31,체육교육과 | 체육교육과(심화과정) | 체육교육과(심화전공),35828,17375,48.49559004
디자인,113,31,디자인학과 | 디자인학과(산업디자인전공) | 디자인학과(시각디자인전공) | 디자인학부 | 디자인학부(공예전공) | 디자인학부(산업디자인전공) | 디자인학부(시각디자인전공) | 디자인학부(신),35556,17219,48.42783215
토목공,73,31,토목공학과 | 토목공학부,24042,8609,35.80816904
전기전자공,82,29,전기전자공학과 | 전기전자공학부,54462,19926,36.58697808
치위생,94,29,치위생학과,47574,17864,37.54992223
심리,100,29,심리학과 | 심리학부,36332,15481,42.60982054
문헌정보,95,29,문헌정보전공 | 문헌정보학과,24349,10569,43.40630005
인공지능,85,29,인공지능 | 인공지능전공 | 인공지능학과 | 인공지능학부,16866,7009,41.55697854
의예과,56,29,의예과 | 의예과(자연계열),4120,396,9.611650485
응급구조,66,28,응급구조학과,25645,9719,37.89822578
시각디자인,84,28,시각디자인전공 | 시각디자인학과,25256,11940,47.27589484
정보통신공,74,28,정보통신공학과 | 정보통신공학부 | 정보통신공학부(정보보안전공) | 정보통신공학부(정보통신공학전공),24605,9314,37.8540947
관광경영,83,28,관광경영 | 관광경영전공 | 관광경영학과,23340,8729,37.39931448
컴퓨터공학,77,27,컴퓨터공학전공,33254,14298,42.99633127
임상병리,90,26,임상병리학과,49311,19904,40.36421894
국제,87,26,국제학과 | 국제학과(영어・중국어) | 국제학과(한국어학전공) | 국제학부 | 국제학부(국제어문학전공) | 국제학부(국제자유전공) | 국제학부(글로벌자율전공) | 국제학부(글로벌한국학전공),21747,10228,47.0317745
건축학,65,25,건축학 | 건축학(5년제) | 건축학전공 | 건축학전공(5년) | 건축학전공(5년제),23613,9914,41.98534705
산업경영공,80,25,산업경영공학과 | 산업경영공학부,20699,8144,39.34489589
건축공학,72,25,건축공학(4년제) | 건축공학전공,18669,7765,41.59301516
패션디자인,74,25,패션디자인 | 패션디자인전공 | 패션디자인전공(섬유・패션학부) | 패션디자인학과,17667,7572,42.85956869
항공서비스,64,24,항공서비스전공 | 항공서비스학과 | 항공서비스학부,12581,5825,46.29997615
회계,73,23,회계 | 회계전공 | 회계학과 | 회계학부 | 회계학부(세무행정전공) | 회계학부(회계학전공),22491,8031,35.70761638
아동,66,23,아동학과 | 아동학과(인문사회) | 아동학과(자연) | 아동학부,16511,6726,40.73647871
실용음악,59,22,실용음악전공 | 실용음악학과 | 실용음악학부,23994,9041,37.6802534
특수교육과,72,22,특수(통합)교육과(심화과정) | 특수교육과 | 특수교육과(중등특수교육전공) | 특수교육과(초등특수교육전공),18903,7458,39.45405491
사회복지학,57,22,사회복지학 | 사회복지학전공,15660,7310,46.67943806
일어일문,63,22,일어일문학과 | 일어일문학부,11888,5169,43.480821
역사교육과,57,22,역사교육과,11419,4980,43.61152465
영어,57,21,영어전공 | 영어학과 | 영어학부 | 영어학부(영어전공) | 영어학부(영어통번역전공),28863,11822,40.95901327
무역,72,21,무역학과 | 무역학부,27021,10563,39.09181748
광고홍보,71,21,광고홍보전공 | 광고홍보학과 | 광고홍보학부,25297,9980,39.45131834
국제통상,72,21,국제통상전공 | 국제통상학과 | 국제통상학부,22497,8460,37.605014
미술,60,21,"미술학과 | 미술학과(한국화전공, 서양화전공, 조소전공, 조형예술이론전공) | 미술학부 | 미술학부(서양화전공) | 미술학부(조소전공) | 미술학부(한국화전공)",20039,11245,56.11557463
식품공,64,21,식품공학과 | 식품공학부 | 식품공학부(식품공학전공) | 식품공학부(식품영양전공),17955,6864,38.2289056
데이터사이언스,64,21,데이터사이언스 | 데이터사이언스전공 | 데이터사이언스학과 | 데이터사이언스학부,11811,4898,41.46981627
윤리교육과,56,21,윤리교육과 | 윤리교육과(심화과정) | 윤리교육과(심화전공),11385,4448,39.06895037
글로벌경영,58,20,글로벌경영전공 | 글로벌경영학과 | 글로벌경영학부,33531,12855,38.33765769
방사선,57,20,방사선학과,32454,12739,39.25248043
경찰,57,20,경찰학과 | 경찰학부 | 경찰학부(경찰행정학전공) | 경찰학부(자치경찰학전공),22936,8044,35.07150331
부동산,50,20,부동산전공 | 부동산학과,22471,7722,34.36429175
통계,66,20,통계학과,16075,7665,47.68273717
독어독문,60,20,독어독문학과,10575,5282,49.94799054
글로벌비즈니스,52,20,글로벌비즈니스 | 글로벌비즈니스전공 | 글로벌비즈니스학과 | 글로벌비즈니스학부,8738,3254,37.23964294
소방방재,47,19,소방방재전공 | 소방방재학과 | 소방방재학부,23405,7984,34.11236915
군사,55,19,군사학과,15526,6023,38.7929924
불어불문,64,19,불어불문학과,10788,5226,48.44271413
중국,50,19,중국전공 | 중국학과 | 중국학부 | 중국학부(중국어전공) | 중국학부(중국지역통상전공),10158,4839,47.63733018
도시공,52,18,도시공학과 | 도시공학부,14081,5762,40.92038918
식품생명공,48,18,식품생명공학과,12851,5257,40.90732239
반도체공,48,18,반도체공학과 | 반도체공학부 | 반도체공학부(나노반도체공학전공) | 반도체공학부(반도체・디스플레이전공) | 반도체공학부(반도체설계전공),10601,4500,42.44882558
생명공,52,17,생명공학과 | 생명공학부 | 생명공학부(생명자원소재공학전공) | 생명공학부(환경생명공학전공),16972,7758,45.71058214
보건행정,46,17,보건행정학과 | 보건행정학부,16390,5631,34.35631483
산업공,56,17,산업공학과 | 산업공학과(ITM전공) | 산업공학과(산업정보시스템전공),15492,6650,42.92538084
경영정보,52,17,경영정보전공 | 경영정보학과 | 경영정보학부,12301,4734,38.48467604
조경,46,17,조경전공 | 조경학과,10667,4221,39.57063842
문화콘텐츠,59,17,문화콘텐츠전공 | 문화콘텐츠학과 | 문화콘텐츠학과(인문과학대학) | 문화콘텐츠학부 | 문화콘텐츠학부(가구・도자디자인전공) | 문화콘텐츠학부(시각문화큐레이터전공) | 문화콘텐츠학부(현대조형미디어전공),10563,4466,42.2796554
기계공학,54,16,기계공학 | 기계공학전공,29642,11758,39.66668916
일본,41,16,일본전공 | 일본학과,26393,8774,33.24366309
성악과,39,16,성악과,15587,7693,49.35523192
건설환경공,51,16,건설환경공학과 | 건설환경공학부,14833,6259,42.19645385
