univ_name_std,advancement_rows,advancement_graduates_total,advancement_total,graduate_school_total,domestic_advancement_total,overseas_advancement_total,overall_advancement_rate_pct,graduate_school_rate_pct
가야대학교(김해),13,470,3,3,3,0,0.6382978723404255,0.6382978723404255
가천대학교,73,4298,272,261,270,2,6.3285248953001405,6.072591903210796
가톨릭관동대학교,54,1568,76,70,76,0,4.846938775510204,4.464285714285714
가톨릭꽃동네대학교,5,92,2,2,2,0,2.1739130434782608,2.1739130434782608
가톨릭대학교,50,1431,146,143,146,0,10.202655485674354,9.993011879804332
가톨릭대학교_제2캠퍼스,2,164,2,2,2,0,1.2195121951219512,1.2195121951219512
가톨릭대학교_제3캠퍼스,1,45,25,25,25,0,55.55555555555556,55.55555555555556
감리교신학대학교,1,171,93,91,93,0,54.385964912280706,53.216374269005854
강남대학교,24,1679,53,48,53,0,3.156640857653365,2.858844550327576
강서대학교,24,235,12,10,12,0,5.106382978723404,4.25531914893617
강원대학교,163,2992,376,370,374,2,12.566844919786096,12.366310160427807
강원대학교_제2캠퍼스,66,1251,46,44,46,0,3.6770583533173458,3.5171862509992007
건국대학교,77,3472,480,470,478,2,13.82488479262673,13.536866359447005
건국대학교(글로컬)_분교,76,1729,114,111,114,0,6.593406593406594,6.419895893580104
건양대학교,38,708,23,22,23,0,3.248587570621469,3.1073446327683616
건양대학교_제2캠퍼스,17,802,27,27,27,0,3.366583541147132,3.366583541147132
건양사이버대학교,12,1090,22,10,22,0,2.0183486238532113,0.9174311926605505
경기대학교,48,2771,141,136,141,0,5.0884157343919165,4.9079754601226995
경기대학교_제2캠퍼스,14,450,7,3,7,0,1.5555555555555556,0.6666666666666667
경남과학기술대학교,46,1043,58,54,58,0,5.560882070949185,5.177372962607862
경남대학교,62,2555,56,54,56,0,2.191780821917808,2.1135029354207435
경동대학교,9,191,1,1,1,0,0.5235602094240838,0.5235602094240838
경동대학교_제3캠퍼스,11,910,5,1,5,0,0.5494505494505495,0.10989010989010989
경동대학교_제4캠퍼스,20,628,3,2,3,0,0.47770700636942676,0.3184713375796179
경북대학교,142,4783,689,677,685,4,14.405185030315701,14.154296466652728
경상국립대학교,99,2910,360,350,359,1,12.371134020618557,12.027491408934708
경성대학교,70,2712,83,76,83,0,3.06047197640118,2.8023598820058995
경운대학교,32,931,9,6,9,0,0.966702470461869,0.644468313641246
경인교육대학교_제2캠퍼스,14,615,6,1,6,0,0.975609756097561,0.16260162601626016
경일대학교,35,1556,27,24,27,0,1.7352185089974295,1.5424164524421593
경희대학교,97,6161,657,647,639,18,10.66385327057296,10.501541957474437
경희사이버대학교,42,3072,75,36,75,0,2.44140625,1.171875
계명대학교,99,4707,239,228,234,5,5.0775440832802206,4.84384958572339
고려대학교,63,4219,928,915,911,17,21.995733586157858,21.687603697558664
고려대학교(세종)_분교,54,1402,177,173,174,3,12.624821683309559,12.339514978601997
고려사이버대학교,22,2630,48,33,48,0,1.8250950570342206,1.2547528517110267
고신대학교,31,779,64,62,64,0,8.21566110397946,7.958921694480104
공주교육대학교,12,322,5,4,5,0,1.5527950310559007,1.2422360248447204
광신대학교,7,103,24,23,24,0,23.300970873786408,22.330097087378643
광운대학교,37,1901,214,211,212,2,11.257233035244608,11.09942135718043
광주가톨릭대학교,1,14,8,8,8,0,57.14285714285714,57.14285714285714
광주과학기술원,7,138,107,107,106,1,77.53623188405797,77.53623188405797
광주교육대학교,13,314,0,0,0,0,0.0,0.0
광주대학교,41,1439,29,23,29,0,2.0152883947185547,1.5983321751216122
광주여자대학교,20,872,14,10,14,0,1.6055045871559634,1.146788990825688
국립강릉원주대학교,49,1175,118,116,118,0,10.042553191489361,9.872340425531915
국립강릉원주대학교_제2캠퍼스,11,481,7,7,7,0,1.4553014553014554,1.4553014553014554
국립경국대학교,55,1204,80,79,80,0,6.64451827242525,6.561461794019934
국립공주대학교,117,2662,209,207,208,1,7.851239669421488,7.776108189331329
국립군산대학교,86,1390,90,84,90,0,6.474820143884892,6.043165467625899
국립금오공과대학교,37,1251,159,158,158,1,12.709832134292565,12.629896083133493
국립목포대학교,66,1454,72,66,72,0,4.951856946354883,4.53920220082531
국립목포해양대학교,16,705,10,9,10,0,1.4184397163120568,1.276595744680851
국립부경대학교,90,3461,347,333,346,1,10.026004045073677,9.621496677260907
국립순천대학교,68,1441,93,87,93,0,6.453851492019432,6.037473976405274
국립창원대학교,61,1719,141,138,141,0,8.202443280977311,8.027923211169284
국립한국교통대학교,62,1883,112,112,112,0,5.947955390334572,5.947955390334572
국립한국해양대학교,42,1365,110,109,109,1,8.058608058608058,7.9853479853479845
국립한밭대학교,62,1819,153,148,153,0,8.411214953271028,8.136338647608577
국민대학교,96,3367,331,327,319,12,9.83070983070983,9.711909711909712
국제사이버대학교,20,916,15,9,15,0,1.6375545851528384,0.9825327510917031
극동대학교,31,791,7,5,7,0,0.8849557522123894,0.6321112515802781
글로벌사이버대학교,11,567,20,15,20,0,3.527336860670194,2.6455026455026456
금강대학교,7,82,3,3,2,1,3.6585365853658534,3.6585365853658534
김천대학교,28,670,5,3,5,0,0.7462686567164178,0.44776119402985076
나사렛대학교,46,1029,23,22,23,0,2.2351797862001943,2.1379980563654035
남부대학교,23,698,4,4,4,0,0.5730659025787965,0.5730659025787965
남서울대학교,41,2118,37,32,37,0,1.7469310670443814,1.5108593012275733
단국대학교,64,2627,201,199,198,3,7.651313285116101,7.575180814617434
단국대학교_제2캠퍼스,86,2468,253,245,253,0,10.251215559157211,9.927066450567262
대구가톨릭대학교,97,2381,132,126,131,1,5.543889122217556,5.291894162116758
대구경북과학기술원,1,155,92,92,90,2,59.354838709677416,59.354838709677416
대구교육대학교,13,377,5,3,5,0,1.3262599469496021,0.7957559681697612
대구대학교,110,3771,134,126,134,0,3.5534341023601166,3.341288782816229
대구사이버대학교,15,1207,31,21,31,0,2.568351284175642,1.739850869925435
대구예술대학교,18,158,2,1,2,0,1.2658227848101267,0.6329113924050633
대구한의대학교,51,1538,53,49,53,0,3.4460338101430428,3.1859557867360206
대신대학교,5,111,18,15,18,0,16.216216216216218,13.513513513513514
대전가톨릭대학교,1,7,7,7,7,0,100.0,100.0
대전대학교,63,1838,37,36,37,0,2.013057671381937,1.958650707290533
대전신학대학교,1,8,4,4,4,0,50.0,50.0
대진대학교,47,1540,58,54,58,0,3.766233766233766,3.506493506493506
덕성여자대학교,70,1287,97,92,94,3,7.536907536907537,7.1484071484071485
동국대학교,87,3143,330,324,330,0,10.499522748965957,10.308622335348392
동국대학교(WISE)_분교,65,1536,79,73,79,0,5.143229166666666,4.752604166666666
동덕여자대학교,41,1543,87,84,87,0,5.638366817887232,5.4439403758911205
동명대학교,48,1729,25,23,25,0,1.4459224985540775,1.3302486986697513
동서대학교,80,2076,51,44,51,0,2.4566473988439306,2.119460500963391
동신대학교,44,1434,29,23,29,0,2.0223152022315203,1.6039051603905161
동아대학교,111,4183,237,225,237,0,5.665790102797036,5.378914654554148
동양대학교,25,798,12,9,12,0,1.5037593984962405,1.1278195488721803
동의대학교,86,3241,125,115,125,0,3.856834310398025,3.5482875655661834
디지털서울문화예술대학교,13,814,15,11,15,0,1.8427518427518428,1.3513513513513513
루터대학교,5,76,6,6,6,0,7.894736842105263,7.894736842105263
명지대학교,39,1459,179,176,179,0,12.268677176148046,12.063056888279643
명지대학교_제2캠퍼스,40,1885,69,63,68,1,3.6604774535809024,3.3421750663129974
목원대학교,83,1477,97,92,97,0,6.567366283006093,6.2288422477995935
목포가톨릭대학교,3,134,1,1,1,0,0.7462686567164178,0.7462686567164178
배재대학교,68,1550,52,42,52,0,3.354838709677419,2.7096774193548385
백석대학교,26,2676,67,61,66,1,2.5037369207772797,2.279521674140508
부산가톨릭대학교,24,835,22,18,22,0,2.6347305389221556,2.155688622754491
부산교육대학교,13,346,2,0,2,0,0.5780346820809248,0.0
부산대학교,104,4176,696,688,694,2,16.666666666666664,16.47509578544061
부산디지털대학교,9,695,31,4,31,0,4.460431654676259,0.5755395683453237
부산외국어대학교,38,1531,30,23,28,2,1.9595035924232527,1.5022860875244939
부산장신대학교,4,36,6,6,6,0,16.666666666666664,16.666666666666664
사이버한국외국어대학교,10,1836,40,22,40,0,2.178649237472767,1.1982570806100217
삼육대학교,27,1300,65,59,64,1,5.0,4.538461538461538
상명대학교,42,1387,91,89,91,0,6.560922855082913,6.416726748377793
상명대학교_제2캠퍼스,52,1248,53,50,51,2,4.246794871794872,4.006410256410256
상지대학교,67,1398,21,19,21,0,1.502145922746781,1.3590844062947067
서강대학교,31,1718,290,286,284,6,16.880093131548314,16.647264260768335
서경대학교,40,1517,58,55,56,2,3.823335530652604,3.6255767963085037
서울과학기술대학교,46,2285,282,276,280,2,12.341356673960613,12.078774617067833
서울교육대학교,13,353,6,4,6,0,1.69971671388102,1.13314447592068
서울기독대학교,14,77,8,7,8,0,10.38961038961039,9.090909090909092
서울대학교,96,3188,994,987,992,2,31.179422835633623,30.959849435382687
서울디지털대학교,36,3103,92,38,92,0,2.9648727038349985,1.2246213341927168
서울사이버대학교,33,4248,97,63,97,0,2.283427495291902,1.4830508474576272
서울시립대학교,44,1826,240,234,237,3,13.143483023001096,12.814895947426066
서울신학대학교,11,432,51,50,51,0,11.805555555555555,11.574074074074074
서울여자대학교,35,1410,136,133,134,2,9.645390070921986,9.432624113475176
서울장신대학교,3,79,13,13,13,0,16.455696202531644,16.455696202531644
서울한영대학교,12,148,8,7,8,0,5.405405405405405,4.72972972972973
서원대학교,43,1333,31,28,31,0,2.3255813953488373,2.100525131282821
선문대학교,62,2038,74,70,74,0,3.631010794896958,3.434739941118744
성결대학교,29,1131,36,35,36,0,3.183023872679045,3.094606542882405
성공회대학교,28,410,12,11,12,0,2.9268292682926833,2.682926829268293
성균관대학교,75,4124,742,736,737,5,17.992240543161977,17.846750727449077
성신여자대학교,57,1880,189,187,182,7,10.053191489361703,9.946808510638299
세명대학교,34,1687,47,45,47,0,2.7860106698280975,2.667457024303497
세종대학교,68,2656,381,376,381,0,14.34487951807229,14.156626506024098
세종사이버대학교,34,2733,51,32,51,0,1.8660812294182216,1.1708744968898646
세한대학교,35,703,7,5,7,0,0.995732574679943,0.7112375533428165
송원대학교,39,634,6,4,6,0,0.9463722397476341,0.6309148264984227
수원가톨릭대학교,1,33,4,4,4,0,12.121212121212121,12.121212121212121
수원대학교,59,1908,94,93,94,0,4.926624737945493,4.8742138364779874
숙명여자대학교,50,2220,238,233,233,5,10.72072072072072,10.495495495495495
순복음총회신학교,4,21,5,4,5,0,23.809523809523807,19.047619047619047
순천향대학교,69,2440,163,159,162,1,6.680327868852459,6.516393442622951
숭실대학교,53,3037,286,279,286,0,9.417188014487982,9.186697398748764
숭실사이버대학교,27,2242,44,38,44,0,1.9625334522747548,1.694915254237288
신경주대학교,18,202,3,3,3,0,1.4851485148514851,1.4851485148514851
신라대학교,115,1695,31,27,31,0,1.8289085545722714,1.592920353982301
신한대학교,8,313,5,4,5,0,1.5974440894568689,1.2779552715654952
신한대학교_제2캠퍼스,26,1174,20,14,20,0,1.7035775127768313,1.192504258943782
아신대학교,6,127,40,37,40,0,31.496062992125985,29.133858267716533
아주대학교,38,2238,345,341,345,0,15.415549597855227,15.236818588025022
안양대학교,50,977,27,25,26,1,2.7635619242579326,2.5588536335721597
안양대학교_제2캠퍼스,8,53,0,0,0,0,0.0,0.0
연세대학교,82,4204,928,917,905,23,22.074215033301616,21.81255946717412
연세대학교(미래)_분교,46,1671,206,201,206,0,12.327947336923998,12.028725314183124
영남대학교,116,4682,299,289,298,1,6.386159760785989,6.172575822298163
영남신학대학교,4,81,32,30,32,0,39.50617283950617,37.03703703703704
영산대학교(양산)_제2캠퍼스,31,535,5,2,5,0,0.9345794392523363,0.3738317757009346
영산대학교(해운대),50,857,13,5,13,0,1.5169194865810969,0.5834305717619603
영산선학대학교,1,16,13,13,13,0,81.25,81.25
예수대학교,2,126,0,0,0,0,0.0,0.0
예원예술대학교,16,244,3,3,3,0,1.2295081967213115,1.2295081967213115
예원예술대학교_제2캠퍼스,5,63,1,1,1,0,1.5873015873015872,1.5873015873015872
용인대학교,43,1422,44,41,44,0,3.0942334739803097,2.8832630098452885
우석대학교,55,1500,36,31,36,0,2.4,2.0666666666666664
우송대학교,38,2110,31,24,28,3,1.4691943127962086,1.1374407582938388
울산과학기술원,26,427,223,221,223,0,52.2248243559719,51.75644028103045
울산대학교,57,2684,169,161,169,0,6.296572280178838,5.998509687034277
원광대학교,76,3148,122,115,122,0,3.8754764930114356,3.653113087674714
원광디지털대학교,17,1513,59,37,59,0,3.8995373430270988,2.4454725710508924
위덕대학교,29,511,15,10,15,0,2.935420743639922,1.9569471624266144
유원대학교,32,738,14,11,14,0,1.8970189701897018,1.4905149051490514
을지대학교,1,44,0,0,0,0,0.0,0.0
을지대학교_제2캠퍼스,41,1144,29,24,29,0,2.534965034965035,2.097902097902098
을지대학교_제3캠퍼스,2,128,0,0,0,0,0.0,0.0
이화여자대학교,109,3201,607,597,602,5,18.962824117463292,18.650421743205246
인제대학교,68,1981,79,78,79,0,3.9878849066128215,3.937405350832913
인천가톨릭대학교,1,17,3,3,3,0,17.647058823529413,17.647058823529413
인천가톨릭대학교_제2캠퍼스,9,142,7,7,7,0,4.929577464788732,4.929577464788732
인천대학교,92,2618,252,246,249,3,9.62566844919786,9.396485867074103
인하대학교,72,3811,565,564,565,0,14.825505116767252,14.799265284702178
장로회신학대학교,3,147,55,55,55,0,37.41496598639456,37.41496598639456
전남대학교,95,3636,401,394,401,0,11.028602860286028,10.836083608360836
전남대학교_제2캠퍼스,27,562,47,44,47,0,8.362989323843415,7.829181494661921
전북대학교,137,4042,452,446,450,2,11.182582879762494,11.034141514101929
전주교육대학교,12,273,4,3,4,0,1.465201465201465,1.098901098901099
전주대학교,79,2266,59,50,59,0,2.6037069726390114,2.206531332744925
정석대학,1,14,0,0,0,0,0.0,0.0
제주국제대학교,23,155,3,2,3,0,1.935483870967742,1.2903225806451613
제주대학교,86,1977,147,139,143,4,7.435508345978755,7.03085483055134
조선대학교,97,4214,200,190,197,3,4.746084480303749,4.508780256288562
중부대학교,74,1693,21,17,21,0,1.2404016538688718,1.004134672179563
중앙대학교,53,4073,417,410,417,0,10.238153695065062,10.066290203780996
중앙대학교_제2캠퍼스,37,1126,141,140,138,3,12.522202486678507,12.433392539964476
중앙승가대학교,3,23,14,14,14,0,60.86956521739131,60.86956521739131
중원대학교,43,822,17,14,17,0,2.068126520681265,1.70316301703163
진주교육대학교,12,298,3,0,3,0,1.006711409395973,0.0
차의과학대학교,11,543,80,71,80,0,14.732965009208105,13.075506445672191
창신대학교,15,491,12,8,12,0,2.4439918533604885,1.6293279022403258
청운대학교,54,1436,26,20,26,0,1.8105849582172702,1.392757660167131
청주교육대학교,12,281,3,2,3,0,1.0676156583629894,0.7117437722419928
청주대학교,114,2535,69,67,69,0,2.72189349112426,2.642998027613412
초당대학교,22,643,9,6,9,0,1.3996889580093312,0.9331259720062209
총신대학교,9,348,67,65,67,0,19.25287356321839,18.67816091954023
추계예술대학교,11,271,25,23,25,0,9.22509225092251,8.487084870848708
춘천교육대학교,12,305,4,3,4,0,1.3114754098360655,0.9836065573770493
충남대학교,102,3552,580,572,578,2,16.32882882882883,16.103603603603602
충북대학교,95,2911,334,328,331,3,11.473720371006527,11.267605633802818
칼빈대학교,6,143,25,25,25,0,17.482517482517483,17.482517482517483
평택대학교,41,809,15,14,15,0,1.8541409147095178,1.73053152039555
포항공과대학교,11,268,172,169,171,1,64.17910447761194,63.059701492537314
한경국립대학교,62,1108,78,76,78,0,7.039711191335741,6.859205776173286
한국공학대학교,30,1556,101,96,101,0,6.4910025706940875,6.169665809768637
한국과학기술원,17,686,332,331,327,5,48.39650145772595,48.250728862973766
한국교원대학교,24,520,11,9,11,0,2.1153846153846154,1.7307692307692308
한국기술교육대학교,13,787,74,74,71,3,9.40279542566709,9.40279542566709
한국방송통신대학교,32,24175,975,243,975,0,4.033092037228542,1.0051706308169597
한국성서대학교,7,238,21,20,21,0,8.823529411764707,8.403361344537815
한국열린사이버대학교,12,1525,48,29,48,0,3.1475409836065573,1.9016393442622952
한국예술종합학교,27,496,36,35,34,2,7.258064516129033,7.056451612903227
한국외국어대학교,105,3729,238,227,235,3,6.382408152319657,6.087422901582194
한국전통문화대학교,7,127,27,26,27,0,21.25984251968504,20.47244094488189
한국체육대학교,10,596,23,21,23,0,3.859060402684564,3.523489932885906
한국침례신학대학교,8,238,34,33,34,0,14.285714285714285,13.865546218487395
한국항공대학교,10,792,109,107,107,2,13.762626262626263,13.51010101010101
한남대학교,92,2330,152,146,151,1,6.523605150214593,6.266094420600858
한동대학교,13,810,143,142,143,0,17.65432098765432,17.530864197530864
한라대학교,18,711,12,10,12,0,1.6877637130801686,1.4064697609001406
한림대학교,48,1636,134,131,134,0,8.190709046454767,8.007334963325183
한서대학교,69,1448,50,44,50,0,3.4530386740331496,3.0386740331491713
한성대학교,72,1463,40,38,38,2,2.734107997265892,2.5974025974025974
한세대학교,26,503,20,18,20,0,3.9761431411530817,3.5785288270377733
한신대학교,52,1032,42,39,42,0,4.069767441860465,3.77906976744186
한양대학교,63,3391,567,562,555,12,16.72073134768505,16.573282217634915
한양대학교(ERICA)_분교,57,2325,320,315,318,2,13.763440860215054,13.548387096774196
한양사이버대학교,39,4233,103,66,103,0,2.4332624616111507,1.559177888022679
한일장신대학교,10,183,13,13,13,0,7.103825136612022,7.103825136612022
협성대학교,23,909,50,45,50,0,5.500550055005501,4.9504950495049505
호남대학교,48,2076,31,24,31,0,1.4932562620423893,1.1560693641618496
호남신학대학교,4,127,26,22,26,0,20.47244094488189,17.322834645669293
호서대학교,81,2850,121,117,120,1,4.245614035087719,4.105263157894737
호원대학교,52,1260,12,10,12,0,0.9523809523809524,0.7936507936507936
홍익대학교,47,2643,197,194,194,3,7.453651153991676,7.340143776012107
홍익대학교_제2캠퍼스,30,1286,55,53,55,0,4.276827371695179,4.121306376360809
화성의과학대학교,8,83,0,0,0,0,0.0,0.0
화신사이버대학교,2,483,14,0,14,0,2.898550724637681,0.0
