question,x,x_label_ko,y,y_label_ko,n,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,spearman_strength,interpretation_direction
H1: 순위와 A비율,rank_2024_raw,2024년 순위 원점수,a_rate_pct,A비율,47,-0.46995019208013394,0.0008593179348455362,-0.4459990749306198,0.001677896422918233,-0.3283996299722479,0.001131885226002171,중간,음의 관계
H1: 상위도와 A비율,prestige_score,상위도 점수,a_rate_pct,A비율,47,0.46995019208013394,0.0008593179348455362,0.4459990749306198,0.001677896422918233,0.3283996299722479,0.001131885226002171,중간,양의 관계
순위와 D+F비율,rank_2024_raw,2024년 순위 원점수,df_rate_pct,D+F비율,47,0.02064169654356851,0.8904646097621762,0.007284921369102683,0.9612391329705737,0.00832562442183164,0.9342220180510983,거의 없음,양의 관계
순위와 F비율,rank_2024_raw,2024년 순위 원점수,f_rate_pct,F비율,47,-0.01877427743459284,0.9003216272858846,-0.10383903792784459,0.4873082355086617,-0.08048103607770583,0.42496946884464815,약함,음의 관계
A비율과 공식취업률,a_rate_pct,A비율,official_employment_rate_pct,공식취업률,47,0.20484713682779612,0.167204298540305,0.2057123034227567,0.16537943617394393,0.14893617021276598,0.13982500518466426,약함,양의 관계
A비율과 건보취업률,a_rate_pct,A비율,health_employment_rate_pct,건보직장가입 취업률,47,0.28559180841803566,0.05166225569548893,0.3536077705827937,0.014757241901368163,0.23219241443108238,0.021347366758784438,중간,양의 관계
A비율과 4차 유지취업률,a_rate_pct,A비율,retention_4th_pct,4차 유지취업률,47,0.35407825737499665,0.01461609584738095,0.30561979648473636,0.0367007212200491,0.20814061054579094,0.039079194510918853,중간,양의 관계
A비율과 전체 진학률,a_rate_pct,A비율,overall_advancement_rate_pct,전체 진학률,47,0.5845966604514655,1.597682554968414e-05,0.4005550416281221,0.00527099086494611,0.2932469935245144,0.0036487383781173364,중간,양의 관계
A비율과 대학원 진학률,a_rate_pct,A비율,graduate_school_rate_pct,대학원 진학률,47,0.5832448120564663,1.6896554761036146e-05,0.3982423681776133,0.005564504243073017,0.2839962997224792,0.004872728969893076,중간,양의 관계
순위와 공식취업률,rank_2024_raw,2024년 순위 원점수,official_employment_rate_pct,공식취업률,47,-0.5060486409677668,0.000284640750576541,-0.5112164662349676,0.00024052471735189093,-0.3432007400555042,0.0006683634961241804,비교적 큼,음의 관계
순위와 전체 진학률,rank_2024_raw,2024년 순위 원점수,overall_advancement_rate_pct,전체 진학률,47,-0.6297960804086171,2.106378137446406e-06,-0.601063829787234,7.914885829999064e-06,-0.450508788159112,7.969157833120528e-06,비교적 큼,음의 관계
서열 대비 A잔차와 공식취업률,a_rate_residual_pctp,서열 대비 A비율 잔차,official_employment_rate_pct,공식취업률,47,-0.037352195651387705,0.8031556279838099,-0.03943108233117484,0.7924357754834225,-0.023126734505087884,0.8186658024902081,거의 없음,음의 관계
서열 대비 A잔차와 건보취업률,a_rate_residual_pctp,서열 대비 A비율 잔차,health_employment_rate_pct,건보직장가입 취업률,47,0.06292955349447421,0.674322538028275,0.09967622571692877,0.5050225472950542,0.07123034227567068,0.4801104586794457,거의 없음,양의 관계
서열 대비 A잔차와 4차 유지취업률,a_rate_residual_pctp,서열 대비 A비율 잔차,retention_4th_pct,4차 유지취업률,47,0.09290265260074798,0.5345314476561276,-0.02162349676225717,0.885288716654371,-0.01572617946345976,0.8761136515296206,거의 없음,음의 관계
서열 대비 A잔차와 전체 진학률,a_rate_residual_pctp,서열 대비 A비율 잔차,overall_advancement_rate_pct,전체 진학률,47,0.3269810600571134,0.024873064932785877,0.15818686401480114,0.28824638131209895,0.11008325624421833,0.2751479534930684,약함,양의 관계
서열 대비 A잔차와 대학원 진학률,a_rate_residual_pctp,서열 대비 A비율 잔차,graduate_school_rate_pct,대학원 진학률,47,0.32476304666197087,0.025929540363917262,0.15275208140610547,0.30534077210194155,0.10453283996299724,0.30008028383900187,약함,양의 관계
학점포기제와 A비율,credit_forfeit_bin,학점포기제 O=1,a_rate_pct,A비율,43,-0.06620423953284166,0.6731702894813171,-0.04150972951140824,0.7915560787615205,-0.034284386651582774,0.7879190681952689,거의 없음,음의 관계
학점포기제와 공식취업률,credit_forfeit_bin,학점포기제 O=1,official_employment_rate_pct,공식취업률,43,0.309922511094325,0.04312324981954304,0.3056625536749152,0.04622956202601558,0.252457756252564,0.047600273678277814,중간,양의 관계
학점포기제와 상위도,credit_forfeit_bin,학점포기제 O=1,prestige_score,상위도 점수,43,0.21367660979767383,0.16887339330729992,0.21509587110456993,0.1659941188411642,0.17765545810365616,0.1633234733386273,약함,양의 관계
