univ_name_std,학과_정규화,학과_계열,학기,term_rows,term_students,term_a_students,term_b_students,term_c_or_lower_students,term_f_students,term_a_rate_pct,term_b_rate_pct,term_c_or_lower_pct,term_f_pct
가야대학교(김해),간호,간호,1학기,1,4979,1705,1993,1281,51,34.243824061056436,40.02811809600321,25.72805784294035,1.0243020686884918
가야대학교(김해),간호,간호,2학기,1,5344,1923,1944,1477,72,35.984281437125745,36.377245508982035,27.638473053892216,1.347305389221557
가야대학교(김해),경영물류,경영경제,1학기,1,50,19,18,13,3,38.0,36.0,26.0,6.0
가야대학교(김해),경영물류,경영경제,2학기,1,60,19,26,15,11,31.666666666666664,43.333333333333336,25.0,18.333333333333332
가야대학교(김해),경찰소방,법행정경찰소방,1학기,1,121,42,43,36,3,34.710743801652896,35.53719008264463,29.75206611570248,2.479338842975207
가야대학교(김해),경찰소방,법행정경찰소방,2학기,1,79,35,31,13,0,44.303797468354425,39.24050632911392,16.455696202531644,0.0
가야대학교(김해),귀금속주얼리,기타,1학기,1,40,22,14,4,4,55.00000000000001,35.0,10.0,10.0
가야대학교(김해),귀금속주얼리,기타,2학기,1,35,17,17,1,0,48.57142857142857,48.57142857142857,2.857142857142857,0.0
가야대학교(김해),물리치료,보건의료,1학기,1,1172,343,397,432,72,29.266211604095567,33.87372013651877,36.86006825938566,6.143344709897611
가야대학교(김해),물리치료,보건의료,2학기,1,1038,264,370,404,52,25.43352601156069,35.64547206165704,38.921001926782274,5.009633911368015
가야대학교(김해),방사선,보건의료,1학기,1,915,315,293,307,57,34.42622950819672,32.021857923497265,33.55191256830601,6.229508196721312
가야대학교(김해),방사선,보건의료,2학기,1,766,193,248,325,68,25.195822454308093,32.375979112271544,42.42819843342037,8.87728459530026
가야대학교(김해),부동산금융재테크,경영경제,1학기,1,27,20,3,4,3,74.07407407407408,11.11111111111111,14.814814814814813,11.11111111111111
가야대학교(김해),부동산금융재테크,경영경제,2학기,1,45,22,13,10,6,48.888888888888886,28.888888888888886,22.22222222222222,13.333333333333334
가야대학교(김해),사회복지상담,사회복지상담심리,1학기,2,634,343,234,57,6,54.10094637223975,36.90851735015773,8.990536277602523,0.9463722397476341
가야대학교(김해),사회복지상담,사회복지상담심리,2학기,2,599,369,186,44,5,61.602671118530886,31.05175292153589,7.345575959933222,0.8347245409015025
가야대학교(김해),스포츠재활복지,보건의료,1학기,1,314,88,125,101,22,28.02547770700637,39.80891719745223,32.1656050955414,7.006369426751593
가야대학교(김해),스포츠재활복지,보건의료,2학기,1,240,70,92,78,9,29.166666666666668,38.333333333333336,32.5,3.75
가야대학교(김해),안경광,보건의료,1학기,1,26,18,8,0,0,69.23076923076923,30.76923076923077,0.0,0.0
가야대학교(김해),안경광,보건의료,2학기,1,23,15,8,0,0,65.21739130434783,34.78260869565217,0.0,0.0
가야대학교(김해),외식조리영양,관광호텔조리,1학기,1,36,20,14,2,0,55.55555555555556,38.88888888888889,5.555555555555555,0.0
가야대학교(김해),외식조리영양,관광호텔조리,2학기,1,33,22,10,1,0,66.66666666666666,30.303030303030305,3.0303030303030303,0.0
가야대학교(김해),유아교육과,교육,1학기,1,93,55,28,10,1,59.13978494623656,30.107526881720432,10.75268817204301,1.0752688172043012
가야대학교(김해),유아교육과,교육,2학기,1,85,40,24,21,0,47.05882352941176,28.235294117647058,24.705882352941178,0.0
가야대학교(김해),작업치료,보건의료,1학기,1,203,88,78,37,7,43.34975369458128,38.42364532019704,18.226600985221676,3.4482758620689653
가야대학교(김해),작업치료,보건의료,2학기,1,195,64,77,54,5,32.82051282051282,39.48717948717949,27.692307692307693,2.564102564102564
가야대학교(김해),특수교육과,교육,1학기,1,312,85,130,97,7,27.24358974358974,41.66666666666667,31.08974358974359,2.2435897435897436
가야대학교(김해),특수교육과,교육,2학기,1,293,91,110,92,0,31.058020477815703,37.54266211604095,31.399317406143346,0.0
가천대학교,AI・소프트웨어,컴퓨터AI,1학기,2,3150,1707,1013,430,59,54.19047619047619,32.15873015873016,13.65079365079365,1.8730158730158728
가천대학교,AI・소프트웨어,컴퓨터AI,2학기,2,2866,1662,893,311,38,57.990230286113054,31.15840893230984,10.851360781577112,1.3258897418004187
가천대학교,간호,간호,1학기,1,5109,3263,1077,769,0,63.8676844783715,21.080446271285965,15.051869250342534,0.0
가천대학교,간호,간호,2학기,1,5778,3674,1130,974,11,63.586015922464526,19.55694011768778,16.857043959847697,0.1903772931810315
가천대학교,건축,건축토목환경,1학기,1,23,4,6,13,8,17.391304347826086,26.08695652173913,56.52173913043478,34.78260869565217
가천대학교,건축,건축토목환경,2학기,1,7,0,2,5,0,0.0,28.57142857142857,71.42857142857143,0.0
가천대학교,건축공학,건축토목환경,1학기,1,480,239,142,99,10,49.791666666666664,29.583333333333332,20.625,2.083333333333333
가천대학교,건축공학,건축토목환경,2학기,1,394,213,93,88,8,54.06091370558376,23.604060913705585,22.33502538071066,2.030456852791878
가천대학교,건축학,건축토목환경,1학기,1,911,429,281,201,19,47.09110867178924,30.845225027442368,22.063666300768386,2.0856201975850714
가천대학교,건축학,건축토목환경,2학기,1,843,451,244,148,30,53.4994068801898,28.944246737841045,17.556346381969156,3.558718861209965
가천대학교,게임・영상,컴퓨터AI,1학기,1,464,170,160,134,32,36.637931034482754,34.48275862068966,28.879310344827587,6.896551724137931
가천대학교,게임・영상,컴퓨터AI,2학기,1,365,123,167,75,11,33.6986301369863,45.75342465753425,20.54794520547945,3.0136986301369864
가천대학교,경영,경영경제,1학기,3,1262,548,364,350,32,43.42313787638668,28.84310618066561,27.733755942947703,2.535657686212361
가천대학교,경영,경영경제,2학기,1,839,402,205,232,88,47.91418355184744,24.433849821215734,27.65196662693683,10.488676996424315
가천대학교,경영학,경영경제,1학기,1,5418,2664,1460,1294,193,49.16943521594684,26.947212993724623,23.883351790328536,3.5622000738279804
가천대학교,경영학,경영경제,2학기,1,4949,2521,1254,1174,183,50.93958375429379,25.338452212568196,23.721964033138008,3.6977167104465547
가천대학교,경제,경영경제,1학기,1,1830,937,485,408,46,51.20218579234973,26.50273224043716,22.295081967213115,2.5136612021857925
가천대학교,경제,경영경제,2학기,1,1576,827,390,359,62,52.4746192893401,24.746192893401016,22.779187817258883,3.934010152284264
가천대학교,경찰・안보,법행정경찰소방,1학기,1,24,9,6,9,0,37.5,25.0,37.5,0.0
가천대학교,경찰행정,법행정경찰소방,1학기,1,661,398,154,109,7,60.21180030257186,23.29803328290469,16.49016641452345,1.059001512859304
가천대학교,경찰행정,법행정경찰소방,2학기,1,716,370,175,171,7,51.675977653631286,24.441340782122907,23.88268156424581,0.9776536312849162
가천대학교,관광경영,경영경제,1학기,1,1257,551,311,395,39,43.83452665075577,24.741447891805887,31.424025457438344,3.1026252983293556
가천대학교,관광경영,경영경제,2학기,1,1251,573,359,319,49,45.80335731414868,28.697042366107112,25.499600319744204,3.9168665067945643
가천대학교,글로벌경영학,경영경제,1학기,1,943,545,247,151,32,57.79427359490986,26.193001060445386,16.01272534464475,3.3934252386002126
가천대학교,글로벌경영학,경영경제,2학기,1,835,493,183,159,41,59.04191616766467,21.916167664670656,19.04191616766467,4.910179640718563
가천대학교,금융・빅데이터,경영경제,1학기,2,17,5,4,8,5,29.411764705882355,23.52941176470588,47.05882352941176,29.411764705882355
가천대학교,금융・빅데이터,경영경제,2학기,2,5,2,2,1,0,40.0,40.0,20.0,0.0
가천대학교,금융수,경영경제,1학기,1,707,351,192,164,9,49.64639321074964,27.157001414427157,23.196605374823196,1.272984441301273
가천대학교,금융수,경영경제,2학기,1,618,332,156,130,21,53.72168284789643,25.24271844660194,21.035598705501616,3.3980582524271843
가천대학교,기계・스마트・산업공,공학,1학기,3,2086,1117,567,402,42,53.54745925215724,27.181208053691275,19.271332694151486,2.013422818791946
가천대학교,기계・스마트・산업공,공학,2학기,3,1857,1040,450,367,38,56.00430802369413,24.232633279483036,19.76305869682283,2.0463112547119007
가천대학교,기계공,공학,1학기,1,303,194,80,29,2,64.02640264026402,26.4026402640264,9.570957095709572,0.6600660066006601
가천대학교,기계공,공학,2학기,1,109,69,27,13,0,63.30275229357798,24.770642201834864,11.926605504587156,0.0
가천대학교,도시계획・조경,건축토목환경,1학기,1,15,6,2,7,5,40.0,13.333333333333334,46.666666666666664,33.33333333333333
가천대학교,도시계획・조경,건축토목환경,2학기,1,1,0,0,1,1,0.0,0.0,100.0,100.0
가천대학교,도시계획학,건축토목환경,1학기,1,595,385,169,41,9,64.70588235294117,28.403361344537814,6.890756302521009,1.5126050420168067
가천대학교,도시계획학,건축토목환경,2학기,1,508,324,125,59,11,63.77952755905512,24.606299212598426,11.614173228346457,2.1653543307086616
가천대학교,동양어문,기타,1학기,1,822,453,208,161,25,55.1094890510949,25.304136253041364,19.586374695863746,3.0413625304136254
가천대학교,동양어문,기타,2학기,1,650,389,171,90,12,59.84615384615385,26.30769230769231,13.846153846153847,1.8461538461538463
가천대학교,물리,기타,1학기,1,446,227,126,93,7,50.89686098654709,28.251121076233183,20.85201793721973,1.5695067264573992
가천대학교,물리,기타,2학기,1,361,200,98,63,8,55.4016620498615,27.146814404432135,17.451523545706372,2.21606648199446
가천대학교,물리치료,보건의료,1학기,2,961,545,282,134,8,56.71175858480749,29.34443288241415,13.943808532778357,0.8324661810613945
가천대학교,물리치료,보건의료,2학기,2,802,492,226,84,4,61.34663341645885,28.179551122194514,10.473815461346634,0.4987531172069825
가천대학교,미디어커뮤니케이션,기타,1학기,1,2182,1187,575,420,45,54.399633363886345,26.35197066911091,19.24839596700275,2.0623281393217234
가천대학교,미디어커뮤니케이션,기타,2학기,1,1977,1101,521,355,56,55.69044006069803,26.35306019221042,17.956499747091552,2.832574607991907
가천대학교,미래자동차,공학,1학기,1,346,127,113,106,15,36.70520231213873,32.65895953757225,30.63583815028902,4.335260115606936
가천대학교,미래자동차,공학,2학기,1,351,159,85,107,9,45.2991452991453,24.216524216524217,30.484330484330485,2.564102564102564
가천대학교,미술·디자인,예체능디자인,1학기,3,2757,1613,792,352,117,58.505622052956106,28.726877040261158,12.767500906782736,4.243743199129488
가천대학교,미술·디자인,예체능디자인,2학기,3,2529,1560,670,299,107,61.68446026097272,26.49268485567418,11.822854883353104,4.230921312771847
가천대학교,바이오나노,생명식품농림,1학기,1,635,403,177,55,13,63.46456692913386,27.874015748031493,8.661417322834646,2.047244094488189
가천대학교,바이오나노,생명식품농림,2학기,1,542,376,120,46,7,69.37269372693727,22.14022140221402,8.487084870848708,1.2915129151291513
가천대학교,바이오의료기기,보건의료,1학기,1,399,203,115,81,0,50.877192982456144,28.82205513784461,20.30075187969925,0.0
가천대학교,바이오의료기기,보건의료,2학기,1,446,197,135,114,0,44.17040358744394,30.269058295964125,25.56053811659193,0.0
가천대학교,반도체・디스플레이,공학,1학기,1,295,158,67,70,1,53.559322033898304,22.71186440677966,23.728813559322035,0.3389830508474576
가천대학교,반도체・디스플레이,공학,2학기,1,288,110,77,101,18,38.19444444444444,26.73611111111111,35.06944444444444,6.25
가천대학교,반도체・전자공,공학,1학기,1,28,9,10,9,2,32.142857142857146,35.714285714285715,32.142857142857146,7.142857142857142
가천대학교,반도체・전자공,공학,2학기,1,183,95,70,18,4,51.91256830601093,38.25136612021858,9.836065573770492,2.185792349726776
가천대학교,반도체공,공학,1학기,2,318,163,109,46,7,51.257861635220124,34.276729559748425,14.465408805031446,2.20125786163522
가천대학교,반도체공,공학,2학기,2,258,124,84,50,0,48.06201550387597,32.55813953488372,19.379844961240313,0.0
가천대학교,반도체설계,공학,1학기,1,200,97,43,60,1,48.5,21.5,30.0,0.5
가천대학교,반도체설계,공학,2학기,1,141,67,28,46,2,47.5177304964539,19.858156028368796,32.62411347517731,1.4184397163120568
가천대학교,방사선,보건의료,1학기,2,894,483,220,191,10,54.0268456375839,24.60850111856823,21.364653243847876,1.1185682326621924
가천대학교,방사선,보건의료,2학기,2,835,486,230,119,11,58.203592814371255,27.54491017964072,14.251497005988023,1.3173652694610778
가천대학교,법,법행정경찰소방,1학기,1,1376,727,326,323,19,52.8343023255814,23.691860465116278,23.473837209302324,1.380813953488372
가천대학교,법,법행정경찰소방,2학기,1,1135,602,249,284,32,53.03964757709251,21.938325991189426,25.022026431718064,2.8193832599118944
가천대학교,사회복지,사회복지상담심리,1학기,1,670,378,158,134,1,56.4179104477612,23.582089552238806,20.0,0.1492537313432836
가천대학교,사회복지,사회복지상담심리,2학기,1,577,350,122,105,5,60.65857885615251,21.143847487001732,18.19757365684575,0.8665511265164645
가천대학교,산업경영공,경영경제,1학기,1,119,80,29,10,1,67.22689075630252,24.369747899159663,8.403361344537815,0.8403361344537815
가천대학교,산업경영공,경영경제,2학기,1,47,35,7,5,0,74.46808510638297,14.893617021276595,10.638297872340425,0.0
가천대학교,생명과,생명식품농림,1학기,1,599,303,162,134,16,50.58430717863105,27.04507512520868,22.370617696160267,2.671118530884808
가천대학교,생명과,생명식품농림,2학기,1,560,334,125,101,6,59.64285714285714,22.321428571428573,18.035714285714285,1.0714285714285714
가천대학교,설비·소방공,법행정경찰소방,1학기,1,1141,616,267,258,18,53.987730061349694,23.400525854513585,22.611744084136724,1.5775635407537247
가천대학교,설비·소방공,법행정경찰소방,2학기,1,1000,515,232,253,28,51.5,23.200000000000003,25.3,2.8000000000000003
가천대학교,스마트시티,기타,1학기,1,31,13,11,7,1,41.935483870967744,35.483870967741936,22.58064516129032,3.225806451612903
가천대학교,스마트시티,기타,2학기,1,2,2,0,0,0,100.0,0.0,0.0,0.0
가천대학교,스마트시티융합,기타,1학기,1,198,127,49,22,3,64.14141414141415,24.747474747474747,11.11111111111111,1.5151515151515151
가천대학교,스마트시티융합,기타,2학기,1,172,110,43,19,0,63.95348837209303,25.0,11.046511627906977,0.0
가천대학교,식품생명공,생명식품농림,1학기,1,657,348,182,127,8,52.96803652968036,27.701674277016743,19.330289193302892,1.21765601217656
가천대학교,식품생명공,생명식품농림,2학기,1,594,316,125,153,9,53.198653198653204,21.043771043771045,25.757575757575758,1.5151515151515151
