category,category_label_ko,target,target_label_ko,n,groups,kruskal_h,kruskal_p,epsilon_squared,eta_squared
rank_quartile,순위 4분위,a_rate_pct,A비율,47,4,10.277965828497742,0.016345262836802,0.16925501926738934,0.26077192988534265
rank_quartile,순위 4분위,official_employment_rate_pct,공식취업률,47,4,12.277079303675038,0.0064918384211116705,0.21574603031802414,0.27606936015632805
rank_quartile,순위 4분위,health_employment_rate_pct,건보직장가입 취업률,47,4,12.901756931012244,0.0048539509783047195,0.23027341700028475,0.2575477114967779
rank_quartile,순위 4분위,retention_4th_pct,4차 유지취업률,47,4,18.075072533849124,0.00042444325510303563,0.35058308218253775,0.31329251308670386
rank_quartile,순위 4분위,overall_advancement_rate_pct,전체 진학률,47,4,16.135678594455186,0.001063614580316315,0.3054808975454694,0.37678023749688033
rank_quartile,순위 4분위,graduate_school_rate_pct,대학원 진학률,47,4,16.44962927143777,0.0009169747447966688,0.3127820760799482,0.37635388276664394
credit_forfeit_label,학점포기제,a_rate_pct,A비율,47,3,4.287140724150788,0.1172355216422842,0.051980471003427,0.08715185930787106
credit_forfeit_label,학점포기제,official_employment_rate_pct,공식취업률,47,3,4.461891097424399,0.10742680482056977,0.055952070396009065,0.10515298587594578
credit_forfeit_label,학점포기제,health_employment_rate_pct,건보직장가입 취업률,47,3,1.8217151922358994,0.4021791688018857,0.0,0.016993984410721412
credit_forfeit_label,학점포기제,retention_4th_pct,4차 유지취업률,47,3,3.693390724150788,0.1577576377277157,0.038486152821608825,0.07430163361756967
credit_forfeit_label,학점포기제,overall_advancement_rate_pct,전체 진학률,47,3,12.621640537513997,0.0018165425748012658,0.2414009213071363,0.22548603414690715
credit_forfeit_label,학점포기제,graduate_school_rate_pct,대학원 진학률,47,3,12.650172639044428,0.0017908116618623286,0.24204937816010064,0.22706997833784603
a_residual_group,A잔차 3분위,a_rate_pct,A비율,47,3,29.774290780141826,3.424482142072122e-07,0.6312338813668597,0.6296446231642748
a_residual_group,A잔차 3분위,official_employment_rate_pct,공식취업률,47,3,0.8003324468085111,0.6702086324156786,0.0,0.010404319101326198
a_residual_group,A잔차 3분위,health_employment_rate_pct,건보직장가입 취업률,47,3,0.6815381205673532,0.7112231389119266,0.0,0.023149731334372405
a_residual_group,A잔차 3분위,retention_4th_pct,4차 유지취업률,47,3,1.0819813829787108,0.5821712145203666,0.0,0.017297235249614056
a_residual_group,A잔차 3분위,overall_advancement_rate_pct,전체 진학률,47,3,1.4516843971631204,0.4839168432074967,0.0,0.05823665772687365
a_residual_group,A잔차 3분위,graduate_school_rate_pct,대학원 진학률,47,3,1.4324024822695094,0.48860482691484297,0.0,0.05932826190560542
