variable,PC1_loading,PC2_loading,PC3_loading,label_ko,abs_PC1
prestige_score,0.3851940977044923,-0.019038254173746015,0.24903559676399456,상위도 점수,0.3851940977044923
credit_forfeit_bin,0.02063211073424409,0.09099680290469334,0.6091721739451031,학점포기제 O=1,0.02063211073424409
b_rate_pct,-0.2904310471575463,-0.05535330840516098,0.24426184911129364,B비율,0.2904310471575463
c_rate_pct,-0.20374683754468814,0.3140551353985142,-0.3634742771003819,C비율,0.20374683754468814
d_rate_pct,0.05638464154987242,0.45866909775310977,-0.38704723745133074,D비율,0.05638464154987242
f_rate_pct,-0.0708449851095502,0.43150022999354537,0.3068578507782797,F비율,0.0708449851095502
df_rate_pct,-0.024393255997868395,0.5666186954662363,0.031218810184396463,D+F비율,0.024393255997868395
official_employment_rate_pct,0.29398160395325085,0.22566236569297377,0.2629141606894019,공식취업률,0.29398160395325085
health_employment_rate_pct,0.3721123364243252,0.21850299131305972,0.060466376929741494,건보직장가입 취업률,0.3721123364243252
retention_4th_pct,0.39510135423121956,0.1443262394450858,-0.11390073278817081,4차 유지취업률,0.39510135423121956
overall_advancement_rate_pct,0.40968495360138923,-0.16204628844465954,-0.1505536147085469,전체 진학률,0.40968495360138923
graduate_school_rate_pct,0.40951675152173006,-0.16211061240281632,-0.1474835849058121,대학원 진학률,0.40951675152173006
