hypothesis,outcome,metric,estimate,ci_low,ci_high,p_value,n,interpretation
H3,공식취업률,"Spearman(A residual, 공식취업률)",-0.03943108233117484,,,0.7924357754834225,47,양수이면 서열 대비 A비율 잔차가 높은 대학일수록 해당 성과가 높음
H3,공식취업률,mean(공식취업률: low residual tertile - others),0.2923814082866727,-2.3591671121895805,2.9308710985029713,,47,음수이면 서열 대비 A 낮음 그룹의 평균 성과가 나머지보다 낮음
H3,공식취업률,"OLS HC3 beta: A residual -> 공식취업률, controlling prestige_score",-0.021171867031780922,-0.1818925486640101,0.13954881460044827,0.7962620802617472,47,A비율 잔차 1%p 증가와 성과 지표 변화의 부분 연관
H3,건보직장가입 취업률,"Spearman(A residual, 건보직장가입 취업률)",0.09967622571692877,,,0.5050225472950542,47,양수이면 서열 대비 A비율 잔차가 높은 대학일수록 해당 성과가 높음
H3,건보직장가입 취업률,mean(건보직장가입 취업률: low residual tertile - others),0.6544155821133657,-2.466466782629839,3.7690806074243746,,47,음수이면 서열 대비 A 낮음 그룹의 평균 성과가 나머지보다 낮음
H3,건보직장가입 취업률,"OLS HC3 beta: A residual -> 건보직장가입 취업률, controlling prestige_score",0.04113877025665581,-0.14475940445455893,0.22703694496787058,0.6644810310310982,47,A비율 잔차 1%p 증가와 성과 지표 변화의 부분 연관
H3,4차 유지취업률,"Spearman(A residual, 4차 유지취업률)",-0.02162349676225717,,,0.885288716654371,47,양수이면 서열 대비 A비율 잔차가 높은 대학일수록 해당 성과가 높음
H3,4차 유지취업률,mean(4차 유지취업률: low residual tertile - others),1.0692592181262768,-2.0554103705208413,4.060739860945528,,47,음수이면 서열 대비 A 낮음 그룹의 평균 성과가 나머지보다 낮음
H3,4차 유지취업률,"OLS HC3 beta: A residual -> 4차 유지취업률, controlling prestige_score",0.06592882062850632,-0.1197383627422016,0.2515960039992142,0.4864498965255354,47,A비율 잔차 1%p 증가와 성과 지표 변화의 부분 연관
H3,전체 진학률,"Spearman(A residual, 전체 진학률)",0.15818686401480114,,,0.28824638131209895,47,양수이면 서열 대비 A비율 잔차가 높은 대학일수록 해당 성과가 높음
H3,전체 진학률,mean(전체 진학률: low residual tertile - others),-0.4054431867786956,-3.2906625688736417,2.351901105445847,,47,음수이면 서열 대비 A 낮음 그룹의 평균 성과가 나머지보다 낮음
H3,전체 진학률,"OLS HC3 beta: A residual -> 전체 진학률, controlling prestige_score",0.24865644205732415,0.051795705898660616,0.4455171782159877,0.013299503756415854,47,A비율 잔차 1%p 증가와 성과 지표 변화의 부분 연관
H3,대학원 진학률,"Spearman(A residual, 대학원 진학률)",0.15275208140610547,,,0.30534077210194155,47,양수이면 서열 대비 A비율 잔차가 높은 대학일수록 해당 성과가 높음
H3,대학원 진학률,mean(대학원 진학률: low residual tertile - others),-0.38475261267547367,-3.2859064810847673,2.368188572771417,,47,음수이면 서열 대비 A 낮음 그룹의 평균 성과가 나머지보다 낮음
H3,대학원 진학률,"OLS HC3 beta: A residual -> 대학원 진학률, controlling prestige_score",0.2467303695639299,0.049756637516527785,0.443704101611332,0.01408604634003453,47,A비율 잔차 1%p 증가와 성과 지표 변화의 부분 연관
