univ_id,univ_name_std,adiga_univ_code_str,raw_row_n,unique_recruitment_unit_n,unique_selection_n,unique_admission_group_n,duplicate_exact_row_n,semantic_duplicate_candidate_n,recruitment_unit_present_rate,recruitment_n_present_rate,competition_rate_present_rate,additional_rank_present_rate,univ_score_70cut_present_rate,univ_score_max_present_rate,percentile_70cut_present_rate,percentile_70cut_available_rate,univ_score_70cut_available_rate,univ_score_ratio_available_rate,numeric_warn_or_fail_row_n,text_anomaly_row_n,parser_anomaly_row_n,tier_a_row_n,tier_b_row_n,tier_c_row_n,tier_d_row_n,quality_status
U0000149,연세대학교,0000149,235,66,0,1,0,177,0.9659574468085106,0.9659574468085106,0.9659574468085106,0.9659574468085106,0.3446808510638298,0.0,0.0,0.0,0.3446808510638298,0.0,145,0,0,0,0,0,235,FAIL
U0000102,동덕여자대학교,0000102,86,35,0,2,0,70,0.8837209302325582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,86,FAIL
U0000074,광운대학교,0000074,65,29,0,3,0,63,0.8769230769230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,65,FAIL
U0000141,숙명여자대학교,0000141,42,40,0,2,0,2,0.9523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,42,FAIL
U0000040,서울시립대학교,0000040,40,38,0,0,0,2,0.95,0.95,0.95,0.95,1.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,40,FAIL
U0000013,부경대학교,0000013,61,61,0,3,0,0,1.0,1.0,1.0,1.0,0.8852459016393442,1.0,0.8852459016393442,0.8852459016393442,0.8852459016393442,0.8852459016393442,0,3,3,0,54,0,7,FAIL
U0000069,고려대학교,0000069,176,62,0,3,0,0,1.0,0.9943181818181818,0.9943181818181818,0.9943181818181818,0.6590909090909091,1.0,0.6590909090909091,0.6590909090909091,0.6590909090909091,0.6590909090909091,0,0,0,0,116,0,60,PASS
U0000025,전북대학교,0000025,121,104,0,9,0,0,1.0,1.0,1.0,0.859504132231405,0.8347107438016529,0.8347107438016529,0.8347107438016529,0.8347107438016529,0.8347107438016529,0.8347107438016529,0,0,0,0,101,0,20,PASS
U0000140,수원대학교,0000140,56,33,0,5,0,0,1.0,1.0,1.0,0.9642857142857143,0.9821428571428571,0.9821428571428571,0.9642857142857143,0.9642857142857143,0.9821428571428571,0.9821428571428571,0,0,0,0,54,1,1,PASS
U0000029,충남대학교,0000029,126,104,0,11,0,0,1.0,1.0,1.0,1.0,0.9920634920634921,1.0,0.9920634920634921,0.9920634920634921,0.9920634920634921,0.9920634920634921,0,0,0,0,125,0,1,PASS
U0000066,경희대학교,0000066,85,85,0,2,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,85,0,0,PASS
U0000078,국민대학교,0000078,62,62,0,3,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,62,0,0,PASS
U0000063,가천대학교,0000063,60,60,0,3,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,60,0,0,PASS
U0000175,중앙대학교,0000175,60,60,0,3,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,60,0,0,PASS
U0000136,성신여자대학교,0000136,56,46,4,3,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,37,19,0,0,PASS
U0000169,인하대학교,0000169,56,56,0,3,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,56,0,0,PASS
U0002660,인천대학교,0002660,55,55,0,2,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,55,0,0,PASS
U0000203,한양대학교,0000203,53,53,0,2,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,53,0,0,PASS
U0000052,건국대학교,0000052,50,50,0,3,0,0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,50,0,0,PASS
U0000212,홍익대학교,0000212,50,50,0,3,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,50,0,0,PASS
U0002726,단국대학교,0002726,43,43,0,3,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,43,0,0,PASS
U0000126,서울여자대학교,0000126,41,41,0,3,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,41,0,0,PASS
U0000143,숭실대학교,0000143,41,41,0,3,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,41,0,0,PASS
U0000146,아주대학교,0000146,37,37,0,2,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,37,0,0,PASS
U0000204,한양대학교,0000204,36,36,0,2,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,36,0,0,PASS
U0000082,단국대학교,0000082,35,35,0,3,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,35,0,0,PASS
U0000133,성균관대학교,0000133,30,30,0,3,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,30,0,0,PASS
U0000117,상명대학교,0000117,29,29,0,2,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,29,0,0,PASS
U0000120,서강대학교,0000120,27,21,0,5,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,27,0,0,PASS
U0000070,고려대학교,0000070,24,24,0,3,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,24,0,0,PASS
U0000163,이화여자대학교,0000163,24,24,0,1,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,24,0,0,PASS
U0000109,명지대학교,0000109,22,22,0,3,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,22,0,0,PASS
U0000200,한성대학교,0000200,15,15,0,3,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,15,0,0,PASS
U0000150,연세대학교,0000150,14,14,0,2,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,14,0,0,PASS
U0000046,가톨릭대학교,0000046,38,9,0,1,0,38,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.47368421052631576,1.0,1.0,37,0,0,0,18,20,0,WARN
U0000014,부산대학교,0000014,109,105,0,2,0,8,1.0,1.0,1.0,1.0,0.944954128440367,1.0,0.8899082568807339,0.8899082568807339,0.944954128440367,0.944954128440367,0,0,0,0,97,6,6,WARN
U0000116,삼육대학교,0000116,67,19,0,3,0,49,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9253731343283582,1.0,1.0,19,0,0,0,62,5,0,WARN
U0000121,서경대학교,0000121,43,42,0,0,0,2,1.0,1.0,1.0,1.0,0.9302325581395349,1.0,0.9302325581395349,0.9302325581395349,0.9302325581395349,0.9302325581395349,0,0,0,0,40,0,3,WARN
U0000056,경기대학교,0000056,56,33,0,2,0,19,1.0,1.0,1.0,0.9642857142857143,1.0,1.0,1.0,0.9464285714285714,1.0,1.0,3,0,0,0,53,3,0,WARN
U0000005,경북대학교,0000005,108,108,0,2,0,0,1.0,1.0,1.0,1.0,0.9722222222222222,1.0,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,105,0,0,0,105,0,3,WARN
U0000247,한국공학대학교,0000247,80,20,0,3,0,80,1.0,1.0,1.0,1.0,0.975,1.0,0.975,0.975,0.975,0.975,0,0,0,0,78,0,2,WARN
U0000019,서울대학교,0000019,91,70,4,2,0,0,1.0,0.8571428571428571,0.8571428571428571,1.0,1.0,0.0,1.0,0.978021978021978,0.978021978021978,0.0,2,0,0,67,22,0,2,WARN
U0000030,충북대학교,0000030,83,79,0,2,0,4,1.0,1.0,1.0,0.9879518072289156,0.9879518072289156,1.0,0.9879518072289156,0.9879518072289156,0.9879518072289156,0.9879518072289156,0,0,0,0,82,0,1,WARN
U0000192,한국외국어대학교,0000192,288,3,0,3,288,288,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,276,0,0,0,288,0,0,WARN
U0000023,전남대학교,0000023,108,104,0,3,0,8,1.0,1.0,1.0,0.9722222222222222,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,108,0,0,WARN
U0000003,강원대학교,0000003,62,62,0,2,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,0,0,62,0,0,WARN
U0000100,동국대학교,0000100,52,52,0,2,0,0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,52,0,0,0,52,0,0,WARN
U0000036,서울과학기술대학교,0000036,41,3,0,2,0,40,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,39,0,0,0,41,0,0,WARN
U0000194,한국항공대학교,0000194,35,14,0,0,0,33,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,35,0,0,WARN
U0000138,세종대학교,0000138,31,14,0,2,0,26,1.0,1.0,1.0,0.8709677419354839,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,31,0,0,WARN
U0000099,덕성여자대학교,0000099,7,7,0,2,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,0,0,0,7,0,0,WARN
