univ_id,univ_name_std,candidate_order_in_university,review_task,candidate_type,candidate_score,review_priority,table_index,row_n,max_col_n,has_percent_token,percent_tokens,has_korean,has_math,has_english,has_inquiry,has_history,table_text_excerpt
U0000063,가천대학교,1,수능 영역별 반영비율/지정응시영역 확인,csat_reflection_ratio,32,high,36,13,69,True,100; 35; 25; 35; 25; 60; 40; 35; 25; 35; 25; 60; 40; 35; 25; 35; 25; 60; 40,True,True,True,True,True,"수능 성적 산출방법 | 일반전형 ( 수능 100%) 계열 / 모집단위 수능영역별 반영비율 (%) 한국사 국어 수학 영어 탐구 기하 , 미적분 확률과통계 사회 과학 인문 전체 모집단위 우수한 영역 순 35%, 25% 20 20 (1 과목 ) 필수 자연 전체 모집단위 우수한 영역 순 35%, 25% 20 20 (1 과목 ) 의예과 , 약학과 , 클라우드공학과 25 30 - 20 - 25 (2 과목 ) 한의예과 25 30 20 25 (2 과목 ) ※ 대학수학능력시험 점수 활용지표는 백분위 ( 영어는 등급 ) 를 활용합니다 . ※ 수시모집 자유전공 미충원 인원은 다군에서 인문계열 반영방법에 따라 모집합니다 . 수능위주 ( 실기 ) 모집단위 전형방법 수능 영역별 반영비율 (%) 연기예술학과 ( 연출 ) 체육학부 ( 태권도전공 ) 수능 60% + 실기 40% 국어 50 / 영어 50 한국사 필수 영어영역 수능성적 ( 등급 ) 반영방법 등급 1 등급 2 등급 3 등급 4 등급 5 등급 6 등급 7 등급 8 등급 9 등급 배점 98 95 92 86 80 60 50 40 30 / 계열 / 모집단위 / 수능영역별 반영비율 (%) / 한국사 / 국어 / 수학 / 영어 / 탐구 / 기하 , 미적분 / 확률과통계 / 사회 / 과학 / 인문 / 전체 모집단위 / 우수한 영역 순 35%, 25% / 20 / 20 (1 과목 ) / 필수 / 자연 / 전체 모집단위 / 우수한 영역 순 35%, 25% / 20 / 20 (1 과목 ) / 의예과 , 약학과 , 클라우드공학과 / 25 / 30 / - / 20 / - / 25 (2 과목 ) / 한의예과 / 25 / 30 / 20 / 25 (2 과목 ) / 모집단위 / / 전형방법 / / 수능 영역별 반영비율 (%) / 연기예술학과 ( 연출 ) 체육학부 ( 태권도전공 ) / / / 수능 60% / + / 실기 40% / / / 국어 50 / 영어 50 한국사 필수 / 등급 / 1 등급 / 2 등급 / 3 등급 / 4 등급 / 5 등급 / 6 등급 / 7 등급 / 8 등급 / 9 등급 / 배점 / 98 / 95 / 92 / 86 / 80 / 60 / 50 / 40 / 30 | 계열 / 모집단위 / 수능영역별 반영비율 (%) / 한국사 | 국어 / 수학 / 영어 / 탐구 | 기하 , 미적분 / 확률과통계 / 사회 / 과학 | 인문 / 전체 모집단위 / 우수한 영역 순 35%, 25% / 20 / 20 ..."
U0000063,가천대학교,2,수능 영역별 반영비율/지정응시영역 확인,csat_reflection_ratio,25,high,23,26,97,True,100; 100; 100; 40; 30; 20; 10; 25; 50; 100; 100; 100; 40; 30; 20; 10; 25; 50; 100; 100,True,True,True,False,False,"학생부 교과성적 산출방법 | 1. 반영 비율 학년별 반영비율 요소별 반영비율 1 학년 2 학년 3 학년 1 학기 전형명 교과 비교과 100% 학생부우수자 , 농어촌 ( 교과 ), 실기우수자 100%( 공통 / 일반선택과목 ) - 지역균형 100%( 진로선택과목 ) ※ 졸업자 , 졸업예정자 모두 학교생활기록부 성적은 3 학년 1 학기까지 반영합니다 . 2. 반영 교과 ■ 학생부우수자 전형 , 농어촌 ( 교과 ) 전형 , 실기우수자 전형 구분 반영교과 반영비율 반영 학기 활용지표 인문계열 국어 , 수학 , 영어 , 사회 우수한 교과 순으로 40%, 30%, 20%, 10% 반영 진로선택과목 반영 없음 전 학기 석차등급 자연계열 국어 , 수학 , 영어 , 과학 의예과 , 한의예과 , 약학과 국어 , 수학 , 영어 , 과학 교과별 25% 반영 ( 가중치 없음 ) 진로선택과목 반영 없음 예 · 체능 계열 국어 , 영어 교과별 50% 반영 ( 가중치 없음 ) 진로선택과목 반영 없음 ■ 지역균형 전형 구분 반영교과 반영비율 반영 학기 활용지표 인문계열 국어 , 수학 , 영어 , 사회 반영 교과별 진로선택과목만 반영 반영 교과 진로선택 전 과목 성취도를 다음과 같이 변환하여 반영함 성취도 A B C 반영등급 1 등급 2 등급 5 등급 전 학기 성취도 자연계열 국어 , 수학 , 영어 , 과학 자유전공 국어 , 수학 , 영어 , 사회 , 과학 3. 교과성적 등급 및 배점 ■ 학생부우수자 전형 , 농어촌 ( 교과 ) 전형 , 실기우수자 전형 석차등급 1 등급 2 등급 3 등급 4 등급 5 등급 6 등급 7 등급 8 등급 9 등급 배 점 100 99.5 99 98.5 98 97.5 85 60 30 ■ 지역균형 전형 성취도 A B C 반영등급 1 등급 2 등급 5 등급 배점 100 99.5 98 / 학년별 반영비율 / / 요소별 반영비율 / 1 학년 / 2 학년 / 3 학년 1 학기 / / 전형명 / 교과 / 비교과 / 100% / / 학생부우수자 , 농어촌 ( 교과 ), 실기우수자 / 100%( 공통 / 일반선택과목 ) / - / 지역균형 / 100%( 진로선택과목 ) / / ■ 학생부우수자 전형 , 농어촌 ( 교과 ) 전형 , 실기우수자 전형 / / / 구분 / 반영교과 / 반영비율 / 반영 학기 / 활용지표 / 인문계열 / 국어 , 수학 , 영어 , 사회 / 우수한 교과 순으로 40%, 30%, 20%, 10% 반영 진로선택과목..."
U0000063,가천대학교,3,수능 영역별 반영비율/지정응시영역 확인,csat_reflection_ratio,24,high,0,9,4,True,100; 80; 20; 100; 50; 50; 100; 50; 50; 100; 40; 30; 20; 10; 100; 40; 30; 20; 10; 100,True,True,True,True,False,"구분 / 2025 학년도 / 2024 학년도 / 비고 | 전형방법 / 논술전형 논술 100% / 논술전형 논술 80% + 학생부교과 20% / | 학생부종합전형 1 단계 : 서류 100% (5 배수 ) 2 단계 : 1 단계평가 50% + 면접 50% / 학생부종합전형 1 단계 : 서류 100% (4 배수 ) 2 단계 : 1 단계평가 50% + 면접 50% / | 학생부반영방법 / 학생부우수자전형 학생부교과 ( 진로선택과목 반영하지 않음 ) 100% 우수한 교과 순으로 40%, 30%, 20%, 10% 반영 / 학생부우수자전형 학생부교과 ( 일반선택 + 진로선택 ) 100% 우수한 4 개 학기 순으로 40%, 30%, 20%, 10% 반영 / | 지역균형전형 1 단계 : 학생부교과 ( 진로선택과목만 반영 ) 100% (7 배수 ) 2 단계 : 1 단계평가 50% + 면접 50% 반영교과 전 과목 / 지역균형전형 1 단계 : 학생부교과 ( 일반선택 + 진로선택 ) 100% (7 배수 ) 2 단계 : 1 단계평가 50% + 면접 50% 우수한 4 개 학기 순으로 40%, 30%, 20%, 10% 반영 / | 수능최저학력 기준 / 학생부우수자전형 자연계열 : 국어 , 수학 , 영어 , 사회 / 과학탐구 (1 과목 ) 중 2 개 영역 등급 합 6 이내 / 학생부우수자전형 자연계열 : 국어 , 수학 , 영어 , 사회 / 과학탐구 (1 과목 ) 중 2 개 영역 등급 합 6 이내 [ 단 , 수학 ( 기하 , 미적분 ) 을 반영할 경우 1 개 등급 상향하여 적용 ] / | 농어촌 ( 교과 ) 전형 [ 한의예과 ] 국어 , 수학 ( 기하 , 미적분 ), 영어 , 과학탐구 (2 과목 ) 중 2 개 영역 각 1 등급 ( 과학탐구 적용 시 , 2 과목 평균 , 소수점 절사 ) / 농어촌 ( 교과 ) 전형 [ 한의예과 ] 국어 , 수학 ( 기하 , 미적분 ), 영어 , 과학탐구 (2 과목 ) 중 2 개 영역 각 1 등급 ( 과학탐구 적용 시 , 2 과목 모두 1 등급 ) / | 정시모집 수능가산점 / 없음 / 자연계열 ( 의예과 , 한의예과 , 약학과 제외 ) 수학 ( 기하 , 미적분 ) 3%, 과학탐구 3% / | 한의예과 수학 ( 기하 , 미적분 ) 3%, 과학탐구 (2 과목 평균 ) 3%"
U0000063,가천대학교,4,수능 영역별 반영비율/지정응시영역 확인,csat_reflection_ratio,24,high,37,7,7,True,35; 25; 35; 25,True,True,True,True,True,"계열 / 모집단위 / 수능영역별 반영비율 (%) / 한국사 | 국어 / 수학 / 영어 / 탐구 | 기하 , 미적분 / 확률과통계 / 사회 / 과학 | 인문 / 전체 모집단위 / 우수한 영역 순 35%, 25% / 20 / 20 (1 과목 ) / 필수 | 자연 / 전체 모집단위 / 우수한 영역 순 35%, 25% / 20 / 20 (1 과목 ) | 의예과 , 약학과 , 클라우드공학과 / 25 / 30 / - / 20 / - / 25 (2 과목 ) | 한의예과 / 25 / 30 / 20 / 25 (2 과목 )"
U0000063,가천대학교,5,수능 영역별 반영비율/지정응시영역 확인,csat_reflection_ratio,20,high,20,7,3,True,40; 30; 20; 10; 25; 50; 40; 30; 20; 10; 25; 50,True,True,True,False,False,"구분 / 공통과목 , 일반선택과목 / 진로선택과목 | 반영교과 / - 인문계열 : 국어 , 수학 , 영어 , 사회 - 자연계열 , 의예과 , 한의예과 , 약학과 : 국어 , 수학 , 영어 , 과학 - 예 · 체능계열 : 국어 , 영어 / - 반영하지 않음 | 반영지표 / 석차등급 / - | 반영비율 / 인문 , 자연계열 우수한 교과 순 (40%, 30%, 20%, 10%) / - | 의예과 , 한의예과 , 약학과 ( 반영교과별 25% 반영 ) / - | 예 · 체능계열 ( 반영교과별 50% 반영 ) / - | 산출방법 / - 반영 과목 별 등급에 해당하는 배점과 이수단위를 적용 - 인문 , 자연계열 : 교과별 성적을 산출하여 우수한 교과 순으로 40%, 30%, 20%, 10% 반영함 - 의예과 , 한의예과 , 약학과는 교과별 25%, 실기우수자 전형 ( 예 · 체능계열 ) 은 교과별 50% 반영"
U0000046,가톨릭대학교,1,수능 영역별 반영비율/지정응시영역 확인,csat_reflection_ratio,49,high,35,19,113,False,,True,True,True,True,True,"수능 성적 산출방법 | 1. 대학수학능력시험 성적반영 방법 가 . 기본사항 1) 대학수학능력시험 성적은 2024 년 11 월에 실시하는 대학수학능력시험의 취득 백분위 / 표준점수 / 등급 ( 한국교육과정평가원 제공 ) 을 본교 성적 산출방법에 따라 반영하며 , 모든 지원자는 이에 동의한 것으로 간주함 2) 수능 반영영역 중 한 영역이라도 없는 경우 지원 불가능함 3) 인문사회계열 , 자연공학계열 및 예체능계열은 백분위를 반영 . 단 , 약학과 , 의예과 , 간호학과는 표준점수를 반영함 4) 국어영역 별도 선택과목 지정 없음 5) 수학영역 별도 선택과목 지정 없음 [ 단 , 약학과 , 의예과는 미적분 , 기하 중 택 1] 6) 수능 ( 일반전형 Ⅱ ) 국어 / 수학 영역 중 우수한 영역 택 1 7) 영어영역 , 한국사 영역은 본교 산출 등급별 환산점수 또는 등급별 감점 적용 8) 탐구영역에 별도 지정과목 없이 1 과목을 반영 . 단 , 약학과 , 의예과 , 간호학과는 탐구 2 과목 반영하며 수능 성적표 상의 백분위를 활용한 본교 자체 산출 변환표준점수 적용함 ( 변환표준점수는 수능성적 발표 이후 본교 입학 홈페이지에 공지 ) 9) 수능 ( 특성화고교졸업자전형 ) 에서는 사회 / 과학탐구 대신 직업탐구영역을 반영할 수 있음 나 . 수능 영역별 반영 비율 및 가산점 / 감점 전형 모집단위 수능영역별 반영비율 (%) 가산점 및 감점 국어 수학 영어 탐구 화법과 작문 언어와매체 미적분 기하 확률과 통계 사회 과학 수능 ( 일반전형 ) 수능 ( 성신특별전형 ) 수능 ( 기회균형 Ⅱ 전형 ) 수능 ( 농어촌학생전형 ) 수능 ( 특성화고교졸업자전형 ) 인문사회계열 , 자연공학계열 전 모집단위 ( 약학과 , 간호학과 제외 ) 국어 , 수학 우수한 영역 35, 25 20 20 한국사 약학과 30 40 - 영어 감점 - 30 영어 / 한국사 [ 감점 ] 간호학과 30 40 영어 감점 30 수능 ( 일반전형 Ⅱ ) 인문사회계열 , 자연공학계열 , 자유전공학부 국어 , 수학 중 우수한 영역 50 영어 감점 50 영어 / 한국사 [ 감점 ] 수능 ( 일반전형 _ 의예과 ) 의예과 30 40 - 영어 감점 - 30 영어 / 한국사 [ 감점 ] 실기 ( 일반전형 ) 음악과 50 - 50 - 한국사 ※ 계열 구분은 본교 모집단위의 계열기준입니다 ( 고등학교 이수계열 / 과정이 아님 ) ※ 수능 ( 기회균형 Ⅱ 전형 , 농어촌학생전형 , 특성..."
U0000046,가톨릭대학교,2,수능 영역별 반영비율/지정응시영역 확인,csat_reflection_ratio,31,high,0,26,47,True,26.5; 12.4; 31.7; 45.9; 8.9; 8.9; 67.1; 67.2; 30.7; 30.5; 2.3; 2.3; 32.9; 32.8; 26.5; 12.4; 31.7; 45.9; 8.9; 8.9,True,True,True,True,True,"구분 / 전형명 / 변경사항 / 2025 학년도 / 2024 학년도 | 전체 전형 / 모집인원 / 모집인원 변경 / 구 분 2025 학년도 2024 학년도 수시 학생부교과 529 명 26.5% 247 명 12.4% 학생부종합 632 명 31.7% 918 명 45.9% 논술 178 명 8.9% 178 명 8.9% 소계 1,339 명 67.1% 1,343 명 67.2% 정시 수능 612 명 30.7% 610 명 30.5% 실기 / 실적 45 명 2.3% 45 명 2.3% 소계 657 명 32.9% 655 명 32.8% 계 1,996 명 1,998 명 / 구 분 / 2025 학년도 / 2024 학년도 / 수시 / 학생부교과 / 529 명 / 26.5% / 247 명 / 12.4% / 학생부종합 / 632 명 / 31.7% / 918 명 / 45.9% / 논술 / 178 명 / 8.9% / 178 명 / 8.9% / 소계 / 1,339 명 / 67.1% / 1,343 명 / 67.2% / 정시 / 수능 / 612 명 / 30.7% / 610 명 / 30.5% / 실기 / 실적 / 45 명 / 2.3% / 45 명 / 2.3% / 소계 / 657 명 / 32.9% / 655 명 / 32.8% / 계 / 1,996 명 / 1,998 명 | 구 분 / 2025 학년도 / 2024 학년도 | 수시 / 학생부교과 / 529 명 / 26.5% / 247 명 / 12.4% | 학생부종합 / 632 명 / 31.7% / 918 명 / 45.9% | 논술 / 178 명 / 8.9% / 178 명 / 8.9% | 소계 / 1,339 명 / 67.1% / 1,343 명 / 67.2% | 정시 / 수능 / 612 명 / 30.7% / 610 명 / 30.5% | 실기 / 실적 / 45 명 / 2.3% / 45 명 / 2.3% | 소계 / 657 명 / 32.9% / 655 명 / 32.8% | 계 / 1,996 명 / 1,998 명 | 공통 / 모집단위 신설 및 전형신설 / ◦ 광역 모집단위 신설을 통한 학생 선택권 강화 : 인문사회계열 216 명 , 자연공학계열 154 명 , 자유전공학부 221 명 ◦ 자유전공학부 통합 선발 : ‘ 자유전공학과 ( 인문사회 / 자연 · 생활 / 공학 )’ → 자유전공학부 ◦ 농어촌학생 , 특성화고교졸업자 , 특성화고등을졸업한재직자전형 전형 유형 변경 : (24 학년도 ) 학생부종합전형 → (25 학년도 ..."
U0000046,가톨릭대학교,3,수능 영역별 반영비율/지정응시영역 확인,csat_reflection_ratio,27,high,36,9,9,False,,True,True,True,True,True,"전형 / 모집단위 / 수능영역별 반영비율 (%) / 가산점 및 감점 | 국어 / 수학 / 영어 / 탐구 | 화법과 작문 / 언어와매체 / 미적분 / 기하 / 확률과 통계 / 사회 / 과학 | 수능 ( 일반전형 ) 수능 ( 성신특별전형 ) 수능 ( 기회균형 Ⅱ 전형 ) 수능 ( 농어촌학생전형 ) 수능 ( 특성화고교졸업자전형 ) / 인문사회계열 , 자연공학계열 전 모집단위 ( 약학과 , 간호학과 제외 ) / 국어 , 수학 우수한 영역 35, 25 / 20 / 20 / 한국사 | 약학과 / 30 / 40 / - / 영어 감점 / - / 30 / 영어 / 한국사 [ 감점 ] | 간호학과 / 30 / 40 / 영어 감점 / 30 | 수능 ( 일반전형 Ⅱ ) / 인문사회계열 , 자연공학계열 , 자유전공학부 / 국어 , 수학 중 우수한 영역 50 / 영어 감점 / 50 / 영어 / 한국사 [ 감점 ] | 수능 ( 일반전형 _ 의예과 ) / 의예과 / 30 / 40 / - / 영어 감점 / - / 30 / 영어 / 한국사 [ 감점 ] | 실기 ( 일반전형 ) / 음악과 / 50 / - / 50 / - / 한국사"
U0000046,가톨릭대학교,4,수능 영역별 반영비율/지정응시영역 확인,csat_reflection_ratio,21,high,2,8,2,True,70; 30; 70; 30; 70; 30; 70; 30,True,True,True,False,False,"전형별 주요사항 | 잠재능력우수자 전형 / [ 수능최저학력기준 ] 은 없음 일괄합산 전형으로 지원자 1 인에 대해 2 인의 입학사정관이 제출서류 ( 학생부 ) 를 종합하여 평가기준에 따라 정성평가하여 서류종합평가 총점순으로 최종합격자를 선발 함 충실한 고교생활을 바탕으로 지원 전공에 대한 관심과 소질을 키워왔으며 , 가톨릭대의 인재 ( 인성과 창의성을 갖춘 윤리적 리더 ) 로 성장할 잠재능력을 지닌 학생을 선발하고자 함 | 잠재능력우수자 면접전형 / [ 수능최저학력기준 ] 은 없음 단계별 전형으로 [1 단계 ] 는 지원자 1 인에 대해 2 인의 입학사정관이 제출서류 ( 학생부 ) 를 종합하여 평가기준에 따라 정성평가하여 4 배수를 선발 하고 , [2 단계 ] 는 1 단계 성적 70% 에 제출서류 기반 면접평가 성적 30% 를 합산한 총점순으로 최종합격자를 선발 함 광역모집단위 ( 인문사회계열 / 자연공학계열 ) 및 자유전공학부만 선발 전과목 고른 학업성취를 통해 전반적인 학업역량을 평가하고 기초소양 및 대학교육을 충실히 이수하는데 필요한 수학 능력 확인 지원 전공 관련 직업군을 좁게 해석하지 않고 진로를 탐색하는 과정에서 자기주도적 성찰 과정의 태도를 중요하게 평가 무전공학과 특성을 고려하여 전공 ( 계열 ) 관련 교과 평가시 모든 학생들이 공통적으로 배우는 국어 , 영어 , 수학 교과를 위주로 ‘ 기초 / 기본 학습역량 ’ 을 평가 . 국어 , 영어 교과를 통한 읽기 , 쓰기 , 말하기 역량 및 수학 교과를 통한 수리사고역량과 논리사고역량 평가 | 가톨릭지도자 추천전형 / [ 수능최저학력기준 ] 은 없음 단계별 전형으로 [1 단계 ] 는 지원자 1 인에 대해 2 인의 입학사정관이 제출서류 ( 학생부 ) 를 종합하여 평가기준에 따라 정성평가하여 4 배수를 선발 하고 , [2 단계 ] 는 1 단계 성적 70% 에 제출서류 기반 면접평가 성적 30% 를 합산한 총점순으로 최종합격자를 선발 함 가톨릭계 고교장 및 가톨릭지도자로부터 추천을 받은 학생을 대상으로 학업의지를 가지고 성실한 고교생활을 충실히 해온 학생을 선발하고자 함 | 학교장추천전형 / 고교별 추천 인원은 의예과만 고교별 1 명으로 제한이 있으며 , 이외의 모집단위에서는 추천 인원에 제한 없음 [ 수능최저학력기준 ] 은 약학과 , 의예과만 적용됨 단계별 전형으로 [1 단계 ] 는 지원자 1 인에 대해 2 인의 입학사정관이 제출서류 ( 학생부 ) 를 종합하..."
U0000046,가톨릭대학교,5,수능 영역별 반영비율/지정응시영역 확인,csat_reflection_ratio,14,high,20,6,5,False,,True,True,True,False,True,"전형명 / 모집단위 / 반영교과 / 교과별반영방법 | 공통 / 일반선택과목 / 진로선택과목 / 전문교과 | 지역균형전형 , 농어촌학생전형 / 전 모집단위 / 국어 , 영어 , 수학 , 한국사 , 사회 ( 역사 / 도덕 포함 ), 과학 / 반영교과 전 과목 석차등급 및 이수단위 반영 / 반영교과 진로선택 전 과목 의 성취도 환산점수 및 이수단위 반영 | 특성화고교졸업자전형 , 특성화고등을졸업한 재직자전형 / 전 모집단위 / 전 과목 / 전 과목 석차등급 및 이수단위 반영 / 전문교과 전 과목 의 성취도 환산점수 및 이수단위 반영 | 논술전형 / 전 모집단위 / 국어 , 영어 , 수학 , 한국사 , 사회 ( 역사 / 도덕 포함 ), 과학 / 반영교과의 상위 10 개 과목 석차등급 및 이수단위 반영 / 진로선택과목 미반영 | 약학과 , 의예과 , 간호학과 / 반영교과 전 과목 석차등급 및 이수단위 반영"
