학교명,university_key,search_query,branch_suffix,paren_tokens,already_crawled_flag,existing_univ_id,existing_adiga_code,needs_adiga_search,manual_review_required,manual_review_reason
가야대학교(김해),가야대학교,가야대학교,,김해,False,,,True,False,
가톨릭관동대학교,가톨릭관동대학교,가톨릭관동대학교,,,False,,,True,False,
가톨릭꽃동네대학교,가톨릭꽃동네대학교,가톨릭꽃동네대학교,,,False,,,True,False,
가톨릭대학교_제2캠퍼스,가톨릭대학교,가톨릭대학교,제2캠퍼스,,False,,,True,False,
가톨릭대학교_제3캠퍼스,가톨릭대학교,가톨릭대학교,제3캠퍼스,,False,,,True,False,
감리교신학대학교,감리교신학대학교,감리교신학대학교,,,False,,,True,False,
강남대학교,강남대학교,강남대학교,,,False,,,True,False,
강서대학교,강서대학교,강서대학교,,,False,,,True,False,
강원대학교_제2캠퍼스,강원대학교,강원대학교,제2캠퍼스,,False,,,True,False,
건국대학교(글로컬)_분교,건국대학교,건국대학교,분교,글로컬,False,,,True,False,
건양대학교,건양대학교,건양대학교,,,False,,,True,False,
건양대학교_제2캠퍼스,건양대학교,건양대학교,제2캠퍼스,,False,,,True,False,
경기대학교_제2캠퍼스,경기대학교,경기대학교,제2캠퍼스,,False,,,True,False,
경남과학기술대학교(폐교),경남과학기술대학교,경남과학기술대학교,,,False,,,False,True,institution_closed_no_source
경남대학교,경남대학교,경남대학교,,,False,,,True,False,
경동대학교,경동대학교,경동대학교,,,False,,,True,False,
경동대학교_제3캠퍼스,경동대학교,경동대학교,제3캠퍼스,,False,,,True,False,
경동대학교_제4캠퍼스,경동대학교,경동대학교,제4캠퍼스,,False,,,True,False,
경상국립대학교,경상국립대학교,경상국립대학교,,,False,,,True,False,
경성대학교,경성대학교,경성대학교,,,False,,,True,False,
경운대학교,경운대학교,경운대학교,,,False,,,True,False,
경인교육대학교,경인교육대학교,경인교육대학교,,,False,,,True,False,
경인교육대학교_제2캠퍼스,경인교육대학교,경인교육대학교,제2캠퍼스,,False,,,True,False,
경일대학교,경일대학교,경일대학교,,,False,,,True,False,
계명대학교,계명대학교,계명대학교,,,False,,,True,False,
고려대학교(세종)_분교,고려대학교,고려대학교,분교,세종,False,,,True,False,
고신대학교,고신대학교,고신대학교,,,False,,,True,False,
공주교육대학교,공주교육대학교,공주교육대학교,,,False,,,True,False,
광신대학교,광신대학교,광신대학교,,,False,,,True,False,
광주가톨릭대학교,광주가톨릭대학교,광주가톨릭대학교,,,False,,,True,False,
광주과학기술원,광주과학기술원,광주과학기술원,,,False,,,True,False,
광주교육대학교,광주교육대학교,광주교육대학교,,,False,,,True,False,
광주대학교,광주대학교,광주대학교,,,False,,,True,False,
광주여자대학교,광주여자대학교,광주여자대학교,,,False,,,True,False,
국립강릉원주대학교(폐교),국립강릉원주대학교,국립강릉원주대학교,,,False,,,False,True,institution_closed_no_source
국립강릉원주대학교_제2캠퍼스(폐교),국립강릉원주대학교,국립강릉원주대학교,제2캠퍼스,,False,,,False,True,institution_closed_no_source
국립경국대학교,국립경국대학교,국립경국대학교,,,False,,,True,False,
국립공주대학교,국립공주대학교,국립공주대학교,,,False,,,True,False,
국립군산대학교,국립군산대학교,국립군산대학교,,,False,,,True,False,
국립금오공과대학교,국립금오공과대학교,국립금오공과대학교,,,False,,,True,False,
국립목포대학교,국립목포대학교,국립목포대학교,,,False,,,True,False,
국립목포해양대학교,국립목포해양대학교,국립목포해양대학교,,,False,,,True,False,
국립부경대학교,국립부경대학교,국립부경대학교,,,False,,,True,False,
국립순천대학교,국립순천대학교,국립순천대학교,,,False,,,True,False,
국립창원대학교,국립창원대학교,국립창원대학교,,,False,,,True,False,
국립한국교통대학교,국립한국교통대학교,국립한국교통대학교,,,False,,,True,False,
국립한국해양대학교,국립한국해양대학교,국립한국해양대학교,,,False,,,True,False,
국립한밭대학교,국립한밭대학교,국립한밭대학교,,,False,,,True,False,
극동대학교,극동대학교,극동대학교,,,False,,,True,False,
금강대학교,금강대학교,금강대학교,,,False,,,True,False,
김천대학교,김천대학교,김천대학교,,,False,,,True,False,
나사렛대학교,나사렛대학교,나사렛대학교,,,False,,,True,False,
남부대학교,남부대학교,남부대학교,,,False,,,True,False,
남서울대학교,남서울대학교,남서울대학교,,,False,,,True,False,
단국대학교_제2캠퍼스,단국대학교,단국대학교,제2캠퍼스,,False,,,True,False,
대구가톨릭대학교,대구가톨릭대학교,대구가톨릭대학교,,,False,,,True,False,
대구경북과학기술원,대구경북과학기술원,대구경북과학기술원,,,False,,,True,False,
대구교육대학교,대구교육대학교,대구교육대학교,,,False,,,True,False,
대구대학교,대구대학교,대구대학교,,,False,,,True,False,
대구예술대학교,대구예술대학교,대구예술대학교,,,False,,,True,False,
대구한의대학교,대구한의대학교,대구한의대학교,,,False,,,True,False,
대신대학교,대신대학교,대신대학교,,,False,,,True,False,
대전가톨릭대학교,대전가톨릭대학교,대전가톨릭대학교,,,False,,,True,False,
대전대학교,대전대학교,대전대학교,,,False,,,True,False,
대전신학대학교,대전신학대학교,대전신학대학교,,,False,,,True,False,
대진대학교,대진대학교,대진대학교,,,False,,,True,False,
동국대학교(WISE)_분교,동국대학교,동국대학교,분교,WISE,False,,,True,False,
동명대학교,동명대학교,동명대학교,,,False,,,True,False,
동서대학교,동서대학교,동서대학교,,,False,,,True,False,
동신대학교,동신대학교,동신대학교,,,False,,,True,False,
동아대학교,동아대학교,동아대학교,,,False,,,True,False,
동양대학교,동양대학교,동양대학교,,,False,,,True,False,
동의대학교,동의대학교,동의대학교,,,False,,,True,False,
루터대학교,루터대학교,루터대학교,,,False,,,True,False,
명지대학교_제2캠퍼스,명지대학교,명지대학교,제2캠퍼스,,False,,,True,False,
목원대학교,목원대학교,목원대학교,,,False,,,True,False,
목포가톨릭대학교,목포가톨릭대학교,목포가톨릭대학교,,,False,,,True,False,
배재대학교,배재대학교,배재대학교,,,False,,,True,False,
백석대학교,백석대학교,백석대학교,,,False,,,True,False,
부산가톨릭대학교,부산가톨릭대학교,부산가톨릭대학교,,,False,,,True,False,
부산교육대학교,부산교육대학교,부산교육대학교,,,False,,,True,False,
부산외국어대학교,부산외국어대학교,부산외국어대학교,,,False,,,True,False,
부산장신대학교,부산장신대학교,부산장신대학교,,,False,,,True,False,
상명대학교_제2캠퍼스,상명대학교,상명대학교,제2캠퍼스,,False,,,True,False,
상지대학교,상지대학교,상지대학교,,,False,,,True,False,
서울교육대학교,서울교육대학교,서울교육대학교,,,False,,,True,False,
서울기독대학교,서울기독대학교,서울기독대학교,,,False,,,True,False,
서울신학대학교,서울신학대학교,서울신학대학교,,,False,,,True,False,
서울장신대학교,서울장신대학교,서울장신대학교,,,False,,,True,False,
서울한영대학교,서울한영대학교,서울한영대학교,,,False,,,True,False,
서원대학교,서원대학교,서원대학교,,,False,,,True,False,
선문대학교,선문대학교,선문대학교,,,False,,,True,False,
성결대학교,성결대학교,성결대학교,,,False,,,True,False,
성공회대학교,성공회대학교,성공회대학교,,,False,,,True,False,
세명대학교,세명대학교,세명대학교,,,False,,,True,False,
세한대학교,세한대학교,세한대학교,,,False,,,True,False,
송원대학교,송원대학교,송원대학교,,,False,,,True,False,
수원가톨릭대학교,수원가톨릭대학교,수원가톨릭대학교,,,False,,,True,False,
순복음총회신학교,순복음총회신학교,순복음총회신학교,,,False,,,True,False,
순천향대학교,순천향대학교,순천향대학교,,,False,,,True,False,
신경주대학교,신경주대학교,신경주대학교,,,False,,,True,False,
신라대학교,신라대학교,신라대학교,,,False,,,True,False,
신한대학교,신한대학교,신한대학교,,,False,,,True,False,
신한대학교_제2캠퍼스,신한대학교,신한대학교,제2캠퍼스,,False,,,True,False,
아신대학교,아신대학교,아신대학교,,,False,,,True,False,
안양대학교,안양대학교,안양대학교,,,False,,,True,False,
안양대학교_제2캠퍼스,안양대학교,안양대학교,제2캠퍼스,,False,,,True,False,
연세대학교(미래)_분교,연세대학교,연세대학교,분교,미래,False,,,True,False,
영남대학교,영남대학교,영남대학교,,,False,,,True,False,
영남신학대학교,영남신학대학교,영남신학대학교,,,False,,,True,False,
영산대학교(양산)_제2캠퍼스,영산대학교,영산대학교,제2캠퍼스,양산,False,,,True,False,
영산대학교(해운대),영산대학교,영산대학교,,해운대,False,,,True,False,
영산선학대학교,영산선학대학교,영산선학대학교,,,False,,,True,False,
예수대학교,예수대학교,예수대학교,,,False,,,True,False,
예원예술대학교,예원예술대학교,예원예술대학교,,,False,,,True,False,
예원예술대학교_제2캠퍼스,예원예술대학교,예원예술대학교,제2캠퍼스,,False,,,True,False,
용인대학교,용인대학교,용인대학교,,,False,,,True,False,
우석대학교,우석대학교,우석대학교,,,False,,,True,False,
우송대학교,우송대학교,우송대학교,,,False,,,True,False,
울산과학기술원,울산과학기술원,울산과학기술원,,,False,,,True,False,
울산대학교,울산대학교,울산대학교,,,False,,,True,False,
원광대학교,원광대학교,원광대학교,,,False,,,True,False,
위덕대학교,위덕대학교,위덕대학교,,,False,,,True,False,
유원대학교,유원대학교,유원대학교,,,False,,,True,False,
을지대학교,을지대학교,을지대학교,,,False,,,True,False,
을지대학교_제2캠퍼스,을지대학교,을지대학교,제2캠퍼스,,False,,,True,False,
을지대학교_제3캠퍼스,을지대학교,을지대학교,제3캠퍼스,,False,,,True,False,
인제대학교,인제대학교,인제대학교,,,False,,,True,False,
인천가톨릭대학교,인천가톨릭대학교,인천가톨릭대학교,,,False,,,True,False,
인천가톨릭대학교_제2캠퍼스,인천가톨릭대학교,인천가톨릭대학교,제2캠퍼스,,False,,,True,False,
장로회신학대학교,장로회신학대학교,장로회신학대학교,,,False,,,True,False,
전남대학교_제2캠퍼스,전남대학교,전남대학교,제2캠퍼스,,False,,,True,False,
전주교육대학교,전주교육대학교,전주교육대학교,,,False,,,True,False,
전주대학교,전주대학교,전주대학교,,,False,,,True,False,
제주국제대학교,제주국제대학교,제주국제대학교,,,False,,,True,False,
제주대학교,제주대학교,제주대학교,,,False,,,True,False,
조선대학교,조선대학교,조선대학교,,,False,,,True,False,
중부대학교,중부대학교,중부대학교,,,False,,,True,False,
중앙대학교_제2캠퍼스,중앙대학교,중앙대학교,제2캠퍼스,,False,,,True,False,
중앙승가대학교,중앙승가대학교,중앙승가대학교,,,False,,,True,False,
중원대학교,중원대학교,중원대학교,,,False,,,True,False,
진주교육대학교,진주교육대학교,진주교육대학교,,,False,,,True,False,
차의과학대학교,차의과학대학교,차의과학대학교,,,False,,,True,False,
창신대학교,창신대학교,창신대학교,,,False,,,True,False,
청운대학교,청운대학교,청운대학교,,,False,,,True,False,
청주교육대학교,청주교육대학교,청주교육대학교,,,False,,,True,False,
청주대학교,청주대학교,청주대학교,,,False,,,True,False,
초당대학교,초당대학교,초당대학교,,,False,,,True,False,
총신대학교,총신대학교,총신대학교,,,False,,,True,False,
추계예술대학교,추계예술대학교,추계예술대학교,,,False,,,True,False,
춘천교육대학교,춘천교육대학교,춘천교육대학교,,,False,,,True,False,
칼빈대학교,칼빈대학교,칼빈대학교,,,False,,,True,False,
평택대학교,평택대학교,평택대학교,,,False,,,True,False,
포항공과대학교,포항공과대학교,포항공과대학교,,,False,,,True,False,
한경국립대학교,한경국립대학교,한경국립대학교,,,False,,,True,False,
한국과학기술원,한국과학기술원,한국과학기술원,,,False,,,True,False,
한국교원대학교,한국교원대학교,한국교원대학교,,,False,,,True,False,
한국기술교육대학교,한국기술교육대학교,한국기술교육대학교,,,False,,,True,False,
한국방송통신대학교,한국방송통신대학교,한국방송통신대학교,,,False,,,True,False,
한국성서대학교,한국성서대학교,한국성서대학교,,,False,,,True,False,
한국에너지공과대학교,한국에너지공과대학교,한국에너지공과대학교,,,False,,,True,False,
한국예술종합학교,한국예술종합학교,한국예술종합학교,,,False,,,True,False,
한국전통문화대학교,한국전통문화대학교,한국전통문화대학교,,,False,,,True,False,
한국체육대학교,한국체육대학교,한국체육대학교,,,False,,,True,False,
한국침례신학대학교,한국침례신학대학교,한국침례신학대학교,,,False,,,True,False,
한남대학교,한남대학교,한남대학교,,,False,,,True,False,
한동대학교,한동대학교,한동대학교,,,False,,,True,False,
한라대학교,한라대학교,한라대학교,,,False,,,True,False,
한림대학교,한림대학교,한림대학교,,,False,,,True,False,
한서대학교,한서대학교,한서대학교,,,False,,,True,False,
한세대학교,한세대학교,한세대학교,,,False,,,True,False,
한신대학교,한신대학교,한신대학교,,,False,,,True,False,
한양대학교(ERICA)_분교,한양대학교,한양대학교,분교,ERICA,False,,,True,False,
한일장신대학교,한일장신대학교,한일장신대학교,,,False,,,True,False,
협성대학교,협성대학교,협성대학교,,,False,,,True,False,
호남대학교,호남대학교,호남대학교,,,False,,,True,False,
호남신학대학교,호남신학대학교,호남신학대학교,,,False,,,True,False,
호서대학교,호서대학교,호서대학교,,,False,,,True,False,
호원대학교,호원대학교,호원대학교,,,False,,,True,False,
홍익대학교_제2캠퍼스,홍익대학교,홍익대학교,제2캠퍼스,,False,,,True,False,
화성의과학대학교,화성의과학대학교,화성의과학대학교,,,False,,,True,False,
