학교명,raw_rows,raw_metric_nonnull,final_admission_department_labels,already_crawled_flag,needs_adiga_search
가야대학교(김해),0,0,0,False,True
가천대학교,60,60,42,True,False
가톨릭관동대학교,0,0,0,False,True
가톨릭꽃동네대학교,0,0,0,False,True
가톨릭대학교,38,38,1,True,False
가톨릭대학교_제2캠퍼스,0,0,0,False,True
가톨릭대학교_제3캠퍼스,0,0,0,False,True
감리교신학대학교,0,0,0,False,True
강남대학교,0,0,0,False,True
강서대학교,0,0,0,False,True
강원대학교,62,62,48,True,False
강원대학교_제2캠퍼스,0,0,0,False,True
건국대학교,50,50,48,True,False
건국대학교(글로컬)_분교,0,0,0,False,True
건양대학교,0,0,0,False,True
건양대학교_제2캠퍼스,0,0,0,False,True
경기대학교,56,56,26,True,False
경기대학교_제2캠퍼스,0,0,0,False,True
경남과학기술대학교(폐교),0,0,0,False,True
경남대학교,0,0,0,False,True
경동대학교,0,0,0,False,True
경동대학교_제3캠퍼스,0,0,0,False,True
경동대학교_제4캠퍼스,0,0,0,False,True
경북대학교,108,105,96,True,False
경상국립대학교,0,0,0,False,True
경성대학교,0,0,0,False,True
경운대학교,0,0,0,False,True
경인교육대학교,0,0,0,False,True
경인교육대학교_제2캠퍼스,0,0,0,False,True
경일대학교,0,0,0,False,True
경희대학교,85,85,73,True,False
계명대학교,0,0,0,False,True
고려대학교,200,140,58,True,False
고려대학교(세종)_분교,0,0,0,False,True
고신대학교,0,0,0,False,True
공주교육대학교,0,0,0,False,True
광신대학교,0,0,0,False,True
광운대학교,65,57,28,True,False
광주가톨릭대학교,0,0,0,False,True
광주과학기술원,0,0,0,False,True
광주교육대학교,0,0,0,False,True
광주대학교,0,0,0,False,True
광주여자대학교,0,0,0,False,True
국립강릉원주대학교(폐교),0,0,0,False,True
국립강릉원주대학교_제2캠퍼스(폐교),0,0,0,False,True
국립경국대학교,0,0,0,False,True
국립공주대학교,0,0,0,False,True
국립군산대학교,0,0,0,False,True
국립금오공과대학교,0,0,0,False,True
국립목포대학교,0,0,0,False,True
국립목포해양대학교,0,0,0,False,True
국립부경대학교,0,0,0,False,True
국립순천대학교,0,0,0,False,True
국립창원대학교,0,0,0,False,True
국립한국교통대학교,0,0,0,False,True
국립한국해양대학교,0,0,0,False,True
국립한밭대학교,0,0,0,False,True
국민대학교,62,62,38,True,False
극동대학교,0,0,0,False,True
금강대학교,0,0,0,False,True
김천대학교,0,0,0,False,True
나사렛대학교,0,0,0,False,True
남부대학교,0,0,0,False,True
남서울대학교,0,0,0,False,True
단국대학교,78,78,28,True,False
단국대학교_제2캠퍼스,0,0,0,False,True
대구가톨릭대학교,0,0,0,False,True
대구경북과학기술원,0,0,0,False,True
대구교육대학교,0,0,0,False,True
대구대학교,0,0,0,False,True
대구예술대학교,0,0,0,False,True
대구한의대학교,0,0,0,False,True
대신대학교,0,0,0,False,True
대전가톨릭대학교,0,0,0,False,True
대전대학교,0,0,0,False,True
대전신학대학교,0,0,0,False,True
대진대학교,0,0,0,False,True
덕성여자대학교,7,7,0,True,False
동국대학교,52,52,43,True,False
동국대학교(WISE)_분교,0,0,0,False,True
동덕여자대학교,86,76,9,True,False
동명대학교,0,0,0,False,True
동서대학교,0,0,0,False,True
동신대학교,0,0,0,False,True
동아대학교,0,0,0,False,True
동양대학교,0,0,0,False,True
동의대학교,0,0,0,False,True
루터대학교,0,0,0,False,True
명지대학교,22,22,5,True,False
명지대학교_제2캠퍼스,0,0,0,False,True
