univ_name_std,x,y,z,dept_n,color,a_mean,selectivity_mean
가천대학교,0.585844093735055,0.5201219512195122,0.6669072839087291,41,#d37722,51.96358232649215,83.91609756097562
가톨릭대학교,0.3529411764705882,0.425,0.42564102564102557,1,#d39522,40.275082838293685,77.67
강원대학교,0.29366165070679434,0.43662790697674414,0.5786351168835023,43,#d3b322,43.46472468227633,75.35116279069767
건국대학교,0.7148692810457516,0.43645833333333334,0.6405764497921111,48,#d3d222,43.700377010509975,87.57291666666667
경기대학교,0.4034690799396682,0.4480769230769231,0.6168668390497782,26,#b5d322,44.557752545722444,78.84276674119532
경희대학교,0.7570332480818415,0.483695652173913,0.5958454351680222,69,#97d322,48.758428864603836,88.57260869565218
국민대학교,0.6712802768166091,0.49411764705882355,0.6530397835299308,34,#79d322,49.397931969192584,86.14735294117646
단국대학교,0.5819327731092436,0.34464285714285714,0.5333031811281173,28,#5bd322,34.48454732564236,83.58035714285714
명지대학교,0.3986928104575163,0.44166666666666665,0.6372100290982328,3,#3cd322,43.3987926010763,78.77666666666666
부산대학교,0.42047930283224405,0.4083333333333334,0.5449540454424624,81,#22d326,41.07034277640934,79.24609198561579
삼육대학교,0.6813725490196079,0.365625,0.5866618374088031,16,#22d345,36.460455296245556,84.315125
상명대학교,0.3493761140819964,0.47954545454545455,0.5837159817218013,11,#22d363,47.50276491492409,77.1209090909091
서강대학교,0.861344537815126,0.3892857142857143,0.7445453478562537,14,#22d381,39.20648304332935,91.785
서울과학기술대학교,0.5686274509803921,0.425,0.6939271255060729,1,#22d39f,41.141849529780565,83.27057142857143
서울대학교,0.9219126246990024,0.6600877192982456,0.7566754745472174,57,#22d3bd,65.95141237356066,94.42140350877193
서울여자대학교,0.8356401384083044,0.3764705882352941,0.6298791152069665,34,#22c9d3,37.69342991870886,91.06794117647058
성균관대학교,0.8869665513264129,0.6102941176470589,0.7037141078009383,17,#22abd3,60.974448143878284,92.76470588235294
성신여자대학교,0.2932651321398124,0.34021739130434786,0.5971743301073359,23,#228dd3,33.92059386486778,69.14739130434782
세종대학교,0.5098039215686274,0.35,0.7870138485955153,4,#226fd3,35.72031093748949,81.75375
수원대학교,0.5660130718954248,0.3016666666666667,0.6484097710458204,15,#2251d3,30.51822357021971,83.19040742296919
숭실대학교,0.5789760348583878,0.4097222222222222,0.6054751629608128,36,#2232d3,40.32125505017074,83.51416666666667
아주대학교,0.5347593582887701,0.375,0.6971052097005955,33,#3022d3,37.852018513929536,82.45878787878787
연세대학교,0.7549019607843137,0.6499999999999999,0.7487023795490126,2,#4f22d3,64.51813404371255,89.83500000000001
이화여자대학교,0.7812971342383107,0.6788461538461538,0.6041038824410172,13,#6d22d3,68.12542975223053,89.92307692307692
인천대학교,0.30124777183600715,0.43318181818181817,0.6050548155358605,55,#8b22d3,43.52333307193085,75.75272727272727
인하대학교,0.4990751017388087,0.4523584905660378,0.651549574007876,53,#a922d3,45.28824412051658,81.62584905660377
전남대학교,0.24032856385797563,0.4560810810810811,0.5534222439615565,74,#c722d3,45.48453012087296,69.05831511551874
전북대학교,0.12692103868574459,0.5337837837837838,0.5630058074904524,74,#d322bf,53.70568556443111,69.25772200772201
중앙대학교,0.85325743200506,0.4475806451612903,0.5962944478300726,31,#d322a1,44.39537740703207,91.6416129032258
충남대학교,0.24649859943977592,0.39345238095238094,0.6101288119123363,84,#d32283,39.49681168902135,73.94809523809525
충북대학교,0.1563467492260062,0.35855263157894735,0.5520251678157531,76,#d32265,35.69140694405771,70.79138345864662
한국공학대학교,0.13423831070889894,0.4519230769230769,0.6307921570872599,13,#d32247,45.62520809724193,70.52989936302905
한국외국어대학교,0.7843137254901961,0.225,0.664453771543609,2,#d32228,22.571009970381382,89.5
한양대학교,0.9007352941176471,0.5031249999999999,0.6632705758238454,48,#d33a22,50.32762064542766,92.91125
홍익대학교,0.6907993966817496,0.39807692307692305,0.5623747599459079,26,#d35922,39.532270996084435,86.93153846153845
