topic_id,topic_name,kind,n_records,n_years,year_min,year_max,n_dimension_values,n_null_values,parse_status
GOMS_001,성별 경제활동 상태,categorical,312,13,2007,2019,3,0,ok
GOMS_002,학교유형별 경제활동 상태,categorical,416,13,2007,2019,4,0,ok
GOMS_003,전공계열별 경제활동 상태,categorical,832,13,2007,2019,8,0,ok
GOMS_004,취업자의 성별 산업 분포,categorical,1716,13,2007,2019,22,0,ok
GOMS_005,취업자의 학교유형별 산업 분포,categorical,2288,13,2007,2019,22,0,ok
GOMS_006,취업자의 전공별 산업 분포,categorical,4576,13,2007,2019,22,0,ok
GOMS_007,취업자의 성별 직업 분포(~2016),categorical,1500,10,2007,2016,25,0,ok
GOMS_008,취업자의 성별 직업 분포(2017~),categorical,198,3,2017,2019,11,0,ok
GOMS_009,취업자의 학교유형별 직업 분포(~2016),categorical,2000,10,2007,2016,25,0,ok
GOMS_010,취업자의 학교유형별 직업 분포(2017~),categorical,264,3,2017,2019,11,0,ok
GOMS_011,취업자의 전공별 직업 분포(~2016),categorical,4000,10,2007,2016,25,0,ok
GOMS_012,취업자의 전공별 직업 분포(2017~),categorical,528,3,2017,2019,11,0,ok
GOMS_013,취업자의 성별 사업체 규모,categorical,780,13,2007,2019,10,0,ok
GOMS_014,취업자의 학교유형별 사업체 규모,categorical,1040,13,2007,2019,10,0,ok
GOMS_015,취업자의 전공별 사업체 규모,categorical,2080,13,2007,2019,10,0,ok
GOMS_016,취업자의 성별 사업체 유형,categorical,780,13,2007,2019,10,0,ok
GOMS_017,취업자의 학교유형별 사업체 유형,categorical,1040,13,2007,2019,10,0,ok
GOMS_018,취업자의 전공별 사업체 유형,categorical,2080,13,2007,2019,10,0,ok
GOMS_019,취업자의 성별 종사상 지위,categorical,546,13,2007,2019,7,0,ok
GOMS_020,취업자의 학교유형별 종사상 지위,categorical,728,13,2007,2019,7,0,ok
GOMS_021,취업자의 전공별 종사상 지위,categorical,1456,13,2007,2019,7,0,ok
GOMS_022,성별 월평균 근로소득,continuous,39,13,2007,2019,3,0,ok
GOMS_023,학교유형별 월평균 근로소득,continuous,52,13,2007,2019,4,0,ok
GOMS_024,전공계열별 월평균 근로소득,continuous,104,13,2007,2019,8,0,ok
GOMS_025,산업별 월평균 근로소득,continuous,286,13,2007,2019,22,0,ok
GOMS_026,직업별 월평균 근로소득(~2016),continuous,250,10,2007,2016,25,0,ok
GOMS_027,직업별 월평균 근로소득(2017~),continuous,33,3,2017,2019,11,0,ok
GOMS_028,사업체 규모별 월평균 근로소득,continuous,130,13,2007,2019,10,0,ok
GOMS_029,사업체 유형별 월평균 근로소득,continuous,130,13,2007,2019,10,0,ok
GOMS_030,종사상지위별 월평균 근로소득,continuous,91,13,2007,2019,7,0,ok
GOMS_031,성별 주당 평균 근로시간,continuous,39,13,2007,2019,3,0,ok
GOMS_032,학교유형별 주당 평균 근로시간,continuous,52,13,2007,2019,4,0,ok
GOMS_033,전공계열별 주당 평균 근로시간,continuous,104,13,2007,2019,8,0,ok
GOMS_034,산업별 주당 평균 근로시간,continuous,286,13,2007,2019,22,0,ok
GOMS_035,직업별 주당 평균 근로시간(~2016),continuous,250,10,2007,2016,25,0,ok
GOMS_036,직업별 주당 평균 근로시간(2017~),continuous,33,3,2017,2019,11,0,ok
GOMS_037,사업체 규모별 주당 평균 근로시간,continuous,130,13,2007,2019,10,0,ok
GOMS_038,사업체 유형별 주당 평균 근로시간,continuous,130,13,2007,2019,10,0,ok
GOMS_039,종사상지위별 주당 평균 근로시간,continuous,91,13,2007,2019,7,0,ok
