year,major,전체,취업자,실업자,비경활,employment_rate_pct,unemployment_rate_labor_force_pct,inactive_rate_pct,economic_activity_rate_pct,monthly_income_10k_krw,weekly_hours,firm_300plus_share_pct,firm_1000plus_share_pct,regular_employee_share_pct,temporary_daily_share_pct,private_company_share_pct,public_education_research_share_pct,manufacturing_share_pct,professional_science_tech_share_pct,education_service_share_pct,health_welfare_share_pct,information_communication_share_pct,research_engineering_job_share_pct,business_finance_job_share_pct,health_medical_job_share_pct,education_law_social_public_job_share_pct,arts_design_sports_job_share_pct
2007,공학,128837.0,103176.0,8548.0,17111.0,80.08258497170844,7.650997099996419,13.281122658863525,86.71732499204421,214.4,49.1,25.8,15.2,88.9,7.9,80.7,11.0,31.1,12.2,4.7,1.2,12.8,,,,,
2007,교육,32742.0,24957.0,1512.0,6272.0,76.22319956019791,5.712342740564434,19.15582432349887,80.8411214953271,173.7,44.3,5.1,3.1,79.3,14.799999999999999,38.9,50.1,1.8,0.6,61.5,22.2,1.6,,,,,
2007,사회,133728.0,105097.0,9447.0,19183.0,78.59012323522374,8.247485682357873,14.344789423307011,85.65446279014118,205.8,46.6,19.8,9.7,81.9,12.5,67.3,16.9,13.7,6.7,9.5,12.3,5.8,,,,,
2007,예체능,65988.0,51509.0,5425.0,9053.0,78.05813178153603,9.528576948747673,13.71916105958659,86.27932351336607,158.6,44.4,10.0,4.4,68.5,19.7,76.9,12.1,13.2,8.9,21.7,3.7,8.1,,,,,
2007,의약,36690.0,32675.0,585.0,3429.0,89.05696375034069,1.7588695129284424,9.345870809484873,90.65140365222132,210.1,50.4,39.2,21.5,88.7,9.4,54.7,15.5,6.4,1.2,2.0,78.9,0.5,,,,,
2007,인문,49494.0,36965.0,3286.0,9242.0,74.68582050349536,8.163772328637798,18.672970461065987,81.32500909201116,180.9,43.4,21.1,9.6,76.1,19.4,64.6,17.0,11.7,6.0,22.8,4.8,8.3,,,,,
2007,자연,51218.0,35996.0,3871.0,11350.0,70.27997969463861,9.70978503524218,22.160178062399936,77.83786949900426,190.1,46.5,18.5,8.5,79.1,15.4,71.0,17.3,19.5,8.8,17.4,4.4,3.7,,,,,
2008,공학,119772.0,96395.0,8396.0,14981.0,80.4820826236516,8.012138447004038,12.507931736966905,87.49206826303309,204.8,49.9,26.9,14.4,87.5,9.4,82.0,12.5,31.6,10.4,7.0,1.3,11.6,,,,,
2008,교육,34228.0,26730.0,1322.0,6175.0,78.09395816290757,4.712676458006559,18.04078532195863,81.95629309337384,177.4,43.7,4.4,1.6,82.6,12.5,45.3,47.3,2.0,1.0,63.8,21.3,1.4,,,,,
2008,사회,139241.0,109037.0,9254.0,20948.0,78.30811327123477,7.82308036959701,15.044419387967626,84.95414425348855,197.2,46.9,16.6,7.3,80.9,12.9,67.8,18.6,12.1,6.8,9.6,14.0,5.3,,,,,
2008,예체능,67230.0,51989.0,4982.0,10257.0,77.33006098467946,8.74479998595777,15.256581883087907,84.74044325449948,147.7,43.9,9.2,3.9,68.4,19.7,76.4,14.7,12.0,9.5,24.8,4.5,7.4,,,,,
2008,의약,37259.0,33121.0,1257.0,2879.0,88.89395850666953,3.656408168014428,7.726992136128184,92.26764003328056,202.0,49.5,36.6,22.0,91.6,6.7,58.0,29.799999999999997,5.8,1.0,2.5,80.5,0.4,,,,,
2008,인문,48492.0,37184.0,2738.0,8569.0,76.68068959828426,6.858373828966485,17.67095603398499,82.3269817701889,183.7,43.7,19.1,9.1,76.3,18.5,64.8,19.6,11.4,5.7,22.5,5.8,7.3,,,,,
2008,자연,51150.0,38025.0,3219.0,9906.0,74.34017595307918,7.804771603142275,19.366568914956012,80.63343108504398,181.3,47.6,20.7,10.0,82.7,12.6,70.8,21.0,19.2,9.7,15.7,5.5,3.4,,,,,
2009,공학,110651.0,85752.0,7701.0,17196.0,77.49771805044689,8.240505922763314,15.54075426340476,84.45743825180071,207.9,47.7,27.799999999999997,16.9,91.4,5.7,84.8,11.2,32.3,10.6,5.3,0.9,13.5,,,,,
2009,교육,32602.0,24809.0,1592.0,6200.0,76.09655849334396,6.030074618385668,19.017238206245015,80.9796944972701,175.7,45.2,5.4,2.7,85.6,11.3,46.5,48.800000000000004,1.6,0.9,63.1,24.9,0.7,,,,,
2009,사회,139706.0,107044.0,10507.0,22153.0,76.62090389818619,8.938248079556958,15.856870857371911,84.14169756488626,196.3,45.9,17.7,9.3,86.9,7.5,72.1,17.1,13.2,7.0,8.3,16.0,4.7,,,,,
2009,예체능,64845.0,46060.0,5709.0,13074.0,71.03091988588172,11.027835190944387,20.161924589405505,79.83499113270106,158.3,44.6,10.4,4.3,72.6,15.9,78.0,13.1,12.4,9.0,21.2,4.4,6.6,,,,,
2009,의약,37545.0,32223.0,1299.0,4022.0,85.82500998801437,3.8750671201002325,10.712478359302171,89.28485817019578,202.0,48.2,31.900000000000002,17.6,93.4,5.0,73.0,13.5,5.7,1.5,3.0,77.3,0.5,,,,,
2009,인문,45628.0,31265.0,4288.0,10073.0,68.52152187253441,12.060866874806626,22.076356623126152,77.91926010344525,173.0,43.4,20.5,10.6,79.5,16.1,69.9,18.2,13.5,5.9,23.7,4.5,7.1,,,,,
2009,자연,49216.0,33137.0,3867.0,12210.0,67.32973016905072,10.450221597665116,24.80900520156047,75.1869310793238,183.0,46.3,18.1,8.4,84.5,10.700000000000001,74.7,18.3,18.3,10.9,15.2,5.8,3.2,,,,,
2010,공학,106688.0,87012.0,5699.0,13975.0,81.55743851229754,6.147059140770782,13.09894271145771,86.89918266346731,220.7,48.2,30.8,19.3,87.8,9.1,81.4,14.0,33.4,10.3,9.3,0.6,11.4,,,,,
2010,교육,31907.0,24855.0,923.0,6127.0,77.89826683799794,3.5805725812708507,19.202682796878427,80.7910489861159,183.5,43.6,4.3,1.6,79.5,14.1,40.9,51.0,2.0,0.9,64.0,22.1,1.2,,,,,
2010,사회,138100.0,109932.0,8591.0,19576.0,79.60318609703114,7.248382170549177,14.175235336712527,85.82404055032585,203.8,45.5,19.3,9.1,82.6,11.0,68.1,17.400000000000002,13.9,7.1,9.7,14.9,4.4,,,,,
2010,예체능,63124.0,50027.0,3906.0,9189.0,79.25194854571954,7.242319173789702,14.557062290095685,85.43976934288068,163.1,43.7,10.3,4.4,70.3,18.7,79.3,11.299999999999999,13.5,7.8,21.2,3.6,7.1,,,,,
2010,의약,38564.0,33721.0,1251.0,3590.0,87.44165542993466,3.577147432231499,9.309200290426304,90.68561352556789,206.3,46.5,35.599999999999994,17.4,91.5,7.1,63.2,17.4,6.5,1.4,3.0,77.6,0.2,,,,,
