hypothesis,metric,value,p_value,n,interpretation
H1,"54개 대학 Pearson r(rank, A)",-0.6403222534261322,1.8469347879347062e-07,54,순위 숫자가 작을수록 상위권이므로 음수는 상위권일수록 A비율이 높다는 뜻
H1,"54개 대학 Spearman rho(rank, A)",-0.6184223066171113,6.250960733556111e-07,54,단조 상관 기준으로도 같은 방향
H1,"47개 대학 2024 Spearman rho(rank proxy, A)",-0.4459990749306198,0.001677896422918233,47,2024 정규학기 집계에서도 방향 유지
H2,학점포기제 O-X 평균 A비율 차이,0.7358441558441555,0.762323004894604,54,현재 O/X만으로는 유의한 차이를 보기 어려움
H3,A비율 vs 공식취업률(취업시장 기본지표) Spearman,0.018693881507342917,0.778429463159148,229,직접 취업률
H3,A비율 vs 공식취업률(취업시장 기본지표) 부분상관,0.024467938408026867,0.7126525033153991,229,지역·설립·졸업자규모·학과수·계열폭 통제
H4,A비율 vs 건보직장가입 취업률(해설용어: 안정적 임금근로 proxy) Spearman,-0.08497750890726279,0.20011473876680164,229,취업의 질 대체지표
H4,A비율 vs 건보직장가입 취업률(해설용어: 안정적 임금근로 proxy) 부분상관,-0.03997858272025108,0.5472301919303645,229,지역·설립·졸업자규모·학과수·계열폭 통제
H4,A비율 vs 4차 유지취업률(해설용어: 취업 유지 proxy) Spearman,-0.158224496117834,0.016557763022038704,229,취업의 질 대체지표
H4,A비율 vs 4차 유지취업률(해설용어: 취업 유지 proxy) 부분상관,-0.07454490906748837,0.26124221375825285,229,지역·설립·졸업자규모·학과수·계열폭 통제
H4,A비율 vs 창업·프리랜서 비율(해설용어: 비임금/독립활동 proxy) Spearman,0.19282072292467445,0.0033952942661894213,229,취업의 질 대체지표
H4,A비율 vs 창업·프리랜서 비율(해설용어: 비임금/독립활동 proxy) 부분상관,0.14104112060895962,0.03289723246454237,229,지역·설립·졸업자규모·학과수·계열폭 통제
H5,A비율 vs 전체 진학률(해설용어: 학업 지속 경로) Spearman,0.33089532631853685,1.5373544941846864e-07,240,진학시장
H5,A비율 vs 전체 진학률(해설용어: 학업 지속 경로) 부분상관,0.2702212812279284,2.199562910309082e-05,240,지역·설립·졸업자규모·학과수·계열폭 통제
H5,A비율 vs 대학원 진학률(해설용어: 성적표 활용 가능성이 큰 경로) Spearman,0.3541755152012913,1.6792179303449742e-08,240,진학시장
H5,A비율 vs 대학원 진학률(해설용어: 성적표 활용 가능성이 큰 경로) 부분상관,0.2844322494578331,7.598340020064346e-06,240,지역·설립·졸업자규모·학과수·계열폭 통제
H6,서열 대비 A잔차 vs 공식취업률 Spearman,-0.03943108233117484,0.7924357754834225,47,"전략 가설은 후속 취재 후보, 인과 단정 금지"
H6,서열 대비 A잔차 vs 건보직장가입 취업률 Spearman,0.09967622571692877,0.5050225472950542,47,"전략 가설은 후속 취재 후보, 인과 단정 금지"
H6,서열 대비 A잔차 vs 전체 진학률 Spearman,0.15818686401480114,0.28824638131209895,47,"전략 가설은 후속 취재 후보, 인과 단정 금지"
H6,서열 대비 A잔차 vs 대학원 진학률 Spearman,0.15275208140610547,0.30534077210194155,47,"전략 가설은 후속 취재 후보, 인과 단정 금지"
H7,54개 대학 이차항 p-value,26.601283300033277,0.02353130046267438,54,turning point rank pct=0.853; 최하위 분위 재상승은 약함
H7,47개 대학 이차항 p-value,34.620830303616565,0.011415510838884263,47,turning point rank pct=0.672; 곡률은 있으나 V자 단정 금지
Validation,실제 입결 기반 최종 분석 readiness,NOT_READY,,1216,"actual model rows=1216, universities=35, primary=80, Tier A+B exploratory=1186"
