raw_name_key,canonical_candidates,candidate_count
컴퓨터공학부컴퓨터공학전공,컴퓨터공 | 컴퓨터공컴퓨터공학,2
건축,건축 | 건축),2
기계공학부기계공학전공,기계공 | 기계공기계공학,2
전자공학부전자공학전공,전자공 | 전자공전자공학,2
법학부법학전공,법 | 법법학,2
경찰행정,경찰・행정 | 경찰행정,2
경찰행정학과,경찰・행정 | 경찰행정,2
경찰행정학부,경찰・행정 | 경찰행정,2
음악학부관현악전공,음악 | 음악관현악,2
음악학부성악전공,음악 | 음악성악,2
소프트웨어,소프트웨어 | 소프트웨어),2
소프트웨어학부소프트웨어전공,소프트웨어 | 소프트웨어소프트웨어,2
체육학부체육학전공,체육 | 체육체육학,2
디자인학부산업디자인전공,디자인 | 디자인산업디자인,2
디자인학부시각디자인전공,디자인 | 디자인시각디자인,2
사회복지학,사회・복지학 | 사회복지학,2
사회복지학전공,사회・복지학 | 사회복지학,2
미술학부서양화전공,미술 | 미술서양화,2
미술학부한국화전공,미술 | 미술한국화,2
경찰학부경찰행정학전공,경찰 | 경찰경찰행정학,2
회계세무,회계・세무 | 회계세무,2
회계세무학과,회계・세무 | 회계세무,2
공연예술학부실용음악전공,공연예술 | 공연예술실용음악,2
호텔관광경영,호텔・관광경영 | 호텔관광경영,2
호텔관광경영학과,호텔・관광경영 | 호텔관광경영,2
기계자동차공,기계・자동차공 | 기계자동차공,2
기계자동차공학과,기계・자동차공 | 기계자동차공,2
조선해양공,조선·해양공 | 조선해양공,2
조선해양공학과,조선·해양공 | 조선해양공,2
ai소프트웨어,AI・소프트웨어 | AI소프트웨어,2
만화애니메이션,만화・애니메이션 | 만화애니메이션,2
만화애니메이션학과,만화・애니메이션 | 만화애니메이션,2
연극영화,연극・영화 | 연극영화,2
연극영화전공,연극・영화 | 연극영화,2
전자전기공,전자·전기공 | 전자전기공,2
전자전기공학과,전자·전기공 | 전자전기공,2
전자전기공학부,전자·전기공 | 전자전기공,2
소방안전,소방・안전 | 소방안전,2
소방안전학부,소방・안전 | 소방안전,2
아동보육,아동·보육 | 아동보육,2
아동보육전공,아동·보육 | 아동보육,2
외식조리,외식・조리 | 외식조리,2
외식조리학과,외식・조리 | 외식조리,2
도시계획부동산,도시계획・부동산 | 도시계획부동산,2
도시계획부동산학과,도시계획・부동산 | 도시계획부동산,2
시각영상디자인,시각・영상디자인 | 시각영상디자인,2
시각영상디자인전공,시각・영상디자인 | 시각영상디자인,2
시각영상디자인학과,시각・영상디자인 | 시각영상디자인,2
미디어콘텐츠,미디어&콘텐츠 | 미디어콘텐츠,2
미디어콘텐츠학과,미디어&콘텐츠 | 미디어콘텐츠,2
관현악,관・현악 | 관현악,2
관현악전공,관・현악 | 관현악,2
호텔관광,호텔・관광 | 호텔관광,2
아동가족,아동・가족 | 아동가족,2
아동가족학과,아동・가족 | 아동가족,2
환경에너지공,환경・에너지공 | 환경에너지공,2
환경에너지공학과,환경・에너지공 | 환경에너지공,2
컴퓨터소프트웨어공,컴퓨터・소프트웨어공 | 컴퓨터소프트웨어공,2
컴퓨터소프트웨어공학과,컴퓨터・소프트웨어공 | 컴퓨터소프트웨어공,2
복지경영,복지・경영 | 복지경영,2
복지경영학과,복지・경영 | 복지경영,2
컴퓨터정보통신공학부정보통신공학전공,컴퓨터정보통신공 | 컴퓨터정보통신공정보통신공학,2
토목환경공학,토목・환경공학 | 토목환경공학,2
토목환경공학전공,토목・환경공학 | 토목환경공학,2
전자정보통신공,전자·정보통신공 | 전자정보통신공,2
전자정보통신공학과,전자·정보통신공 | 전자정보통신공,2
프랑스언어문화,프랑스언어・문화 | 프랑스언어문화,2
프랑스언어문화학과,프랑스언어・문화 | 프랑스언어문화,2
건축토목공,건축·토목공 | 건축・토목공 | 건축토목공,3
건축토목공학과,건축·토목공 | 건축토목공,2
웹툰애니메이션,웹툰・애니메이션 | 웹툰애니메이션,2
웹툰애니메이션학과,웹툰・애니메이션 | 웹툰애니메이션,2
나노신소재공,나노・신소재공 | 나노신소재공,2
독일언어문화,독일언어・문화 | 독일언어문화,2
독일언어문화학과,독일언어・문화 | 독일언어문화,2
역사문화학,역사・문화학 | 역사문화학,2
역사문화학전공,역사・문화학 | 역사문화학,2
기계로봇공,기계・로봇공 | 기계로봇공,2
기계로봇공학과,기계・로봇공 | 기계로봇공,2
경찰소방,경찰・소방 | 경찰소방,2
경찰소방학과,경찰・소방 | 경찰소방,2
스페인어중남미,스페인어・중남미 | 스페인어중남미,2
스페인어중남미학과,스페인어・중남미 | 스페인어중남미,2
역사문화콘텐츠,역사·문화콘텐츠 | 역사문화콘텐츠,2
역사문화콘텐츠학과,역사·문화콘텐츠 | 역사문화콘텐츠,2
역사문화콘텐츠학부,역사·문화콘텐츠 | 역사문화콘텐츠,2
ai빅데이터,AI・빅데이터 | AI빅데이터,2
에너지전기공,에너지・전기공 | 에너지전기공,2
에너지전기공학과,에너지・전기공 | 에너지전기공,2
한국어다문화,한국어・다문화 | 한국어다문화,2
문화미디어,문화・미디어 | 문화미디어,2
문화미디어전공,문화・미디어 | 문화미디어,2
외식조리제과제빵,외식조리・제과제빵 | 외식조리제과제빵,2
외식조리제과제빵학과,외식조리・제과제빵 | 외식조리제과제빵,2
반도체전자공,반도체・전자공 | 반도체전자공,2
통계데이터사이언스,통계・데이터사이언스 | 통계데이터사이언스,2
부동산지적,부동산・지적 | 부동산지적,2
부동산지적학과,부동산・지적 | 부동산지적,2
사회복지상담심리,사회복지·상담심리 | 사회복지상담심리,2
아동복지상담,아동・복지상담 | 아동복지상담,2
아동복지상담학과,아동・복지상담 | 아동복지상담,2
경영회계,경영·회계 | 경영회계,2
경영회계학부,경영·회계 | 경영회계,2
미술디자인,미술·디자인 | 미술・디자인,2
전기정보공,전기・정보공 | 전기정보공,2
조리서비스경영,조리・서비스경영 | 조리서비스경영,2
드론로봇융합,드론・로봇융합 | 드론로봇융합,2
드론로봇융합학과,드론・로봇융합 | 드론로봇융합,2
산업정보시스템공,산업・정보시스템공 | 산업정보시스템공,2
산업정보시스템공학과,산업・정보시스템공 | 산업정보시스템공,2
