학교명,학과_계열,입결_프록시,admission_metric_family_used_v3,admission_metric_source_used_v3,admission_source_rows_v3,admission_source_units_v3,admission_recruitment_n_sum_v3
가야대학교(김해),간호,4.0,percentile,structural_last_percentile,1,간호학과,45.0
가야대학교(김해),방사선,3.75,percentile,structural_last_percentile,1,방사선학과,6.0
가야대학교(김해),사회복지상담,85.14666666666666,score_ratio_normalized,score_to_max_ratio,2,사회복지상담학과,58.0
가야대학교(김해),스포츠재활복지,86.89666666666666,score_ratio_normalized,score_to_max_ratio,2,스포츠재활복지학과,46.0
가야대학교(김해),특수교육과,5.75,percentile,structural_last_percentile,1,특수교육과,21.0
가천대학교,간호,88.92,percentile,header_percentile,1,간호학과,61.0
가천대학교,건축,83.87,percentile,header_percentile,1,건축학부,53.0
가천대학교,경영,82.3,percentile,header_percentile,1,경영학부,86.0
가천대학교,경제,82.15,percentile,header_percentile,1,경제학과,17.0
가천대학교,경찰행정,83.7,percentile,header_percentile,1,경찰행정학과,16.0
가천대학교,관광경영,81.5,percentile,header_percentile,1,관광경영학과,17.0
가천대학교,금융・빅데이터,83.6,percentile,header_percentile,1,금융 · 빅데이터학부,40.0
가천대학교,도시계획・조경,82.77,percentile,header_percentile,1,도시계획 · 조경학부,33.0
가천대학교,물리,82.12,percentile,header_percentile,1,물리학과,17.0
가천대학교,물리치료,86.4,percentile,header_percentile,1,물리치료학과,14.0
가천대학교,미디어커뮤니케이션,82.55,percentile,header_percentile,1,미디어커뮤니케이션학과,21.0
가천대학교,바이오나노,84.75,percentile,header_percentile,1,바이오나노학과,16.0
가천대학교,반도체・전자공,84.85,percentile,header_percentile,1,반도체 · 전자공학부,102.0
가천대학교,방사선,87.15,percentile,header_percentile,1,방사선학과,14.0
가천대학교,법,81.2,percentile,header_percentile,1,법학과,46.0
가천대학교,사회복지,81.6,percentile,header_percentile,1,사회복지학과,16.0
가천대학교,생명과,84.18,percentile,header_percentile,1,생명과학과,17.0
가천대학교,설비·소방공,83.78,percentile,header_percentile,1,설비 · 소방공학과,16.0
가천대학교,스마트시티,84.08,percentile,header_percentile,1,스마트시티학과,19.0
가천대학교,식품생명공,84.4,percentile,header_percentile,1,식품생명공학과,16.0
가천대학교,식품영양,84.25,percentile,header_percentile,1,식품영양학과,16.0
가천대학교,신소재공,81.4,percentile,header_percentile,1,신소재공학과,18.0
가천대학교,심리,83.05,percentile,header_percentile,1,심리학과,18.0
가천대학교,약,96.85,percentile,header_percentile,1,약학과,15.0
가천대학교,운동재활,82.08,percentile,header_percentile,1,운동재활학과,14.0
가천대학교,유아교육,81.25,percentile,header_percentile,1,유아교육학과,22.0
가천대학교,응급구조,82.54,percentile,header_percentile,1,응급구조학과,10.0
가천대학교,응용통계,82.3,percentile,header_percentile,1,응용통계학과,16.0
가천대학교,의공,84.65,percentile,header_percentile,1,의공학과,19.0
가천대학교,의료산업경영,82.45,percentile,header_percentile,1,의료산업경영학과,17.0
가천대학교,의예과,98.8,percentile,header_percentile,1,의예과,15.0
가천대학교,전기공,85.32,percentile,header_percentile,1,전기공학과,29.0
가천대학교,체육,70.75,percentile,header_percentile,2,체육학부 ( 체육 ) | 체육학부 ( 태권도 ),20.0
가천대학교,치위생,79.84,percentile,header_percentile,1,치위생학과,15.0
가천대학교,클라우드공,90.95,percentile,header_percentile,1,클라우드공학과,9.0
가천대학교,토목환경공,83.53,percentile,header_percentile,1,토목환경공학과,18.0
가천대학교,패션산업,82.15,percentile,header_percentile,1,패션산업학과,13.0
가천대학교,한국어문,81.6,percentile,header_percentile,1,한국어문학과,18.0
가천대학교,한의예과,98.79999999999998,percentile,header_percentile,1,한의예과,21.0
가천대학교,행정,81.85,percentile,header_percentile,1,행정학과,18.0
가천대학교,화,84.18,percentile,header_percentile,1,화학과,17.0
가천대학교,화공생명배터리공,84.9,percentile,header_percentile,1,화공생명배터리공학부,82.0
가톨릭관동대학교,경영학,47.05,percentile,header_percentile,13,경영학전공,25.0
가톨릭관동대학교,의,97.83,percentile,header_percentile,18,의학과 ( 의예과 ),20.0
가톨릭꽃동네대학교,간호,66.35,score_ratio_normalized,score_to_max_ratio,1,간호학과,16.0
가톨릭대학교,국어국문,77.67,percentile,header_percentile,1,국어국문학과,38.0
감리교신학대학교,신,42.6,score_ratio_normalized,score_to_max_ratio,1,신학부 / 일반전형,75.0
강남대학교,ICT융합공,82.9,percentile,header_percentile,1,ICT 융합공학부,78.0
강남대학교,교육,81.9,percentile,header_percentile,1,교육학과,11.0
강남대학교,글로벌경영,78.44999999999999,percentile,header_percentile,2,글로벌경영학부 | 글로벌경영학부 ( 야 ),78.0
강남대학교,글로벌문화,79.2,percentile,header_percentile,1,글로벌문화학부,82.0
강남대학교,부동산건설,80.7,percentile,header_percentile,1,부동산건설학부,42.0
강남대학교,사회복지,78.06829268292684,percentile,header_percentile,2,사회복지학부 | 사회복지학부 ( 야 ),41.0
강남대학교,스포츠복지,63.3,percentile,header_percentile,1,스포츠복지학과,14.0
강남대학교,실버산업,79.9,percentile,header_percentile,1,실버산업학과,13.0
