metric,value,note
rows,35431,header row excluded; all-empty rows dropped
source_columns,129,cleaned source columns before analysis-only drops
dropped_analysis_columns,3,"시간강사_계, 시간강사_남, 시간강사_여"
columns,126,analysis columns after dropping time-lecturer columns
numeric_columns,105,count/stat fields converted with pd.to_numeric
text_columns,20,identity/category fields cleaned as pandas string
schools,1693,unique 학교명
departments_raw,15044,unique 학과명
department_codes,16964,unique 학과코드
provinces,17,unique 시도
major_large_groups,7,unique 대계열
numeric_conversion_problem_columns,0,non-null source values coerced to NA
