column,raw_non_null,converted_non_null,coerced_to_na
학과수_전체,35431,35431,0
학과수_석사,35431,35431,0
학과수_박사,35431,35431,0
입학정원_학부_계,35431,35431,0
정원내_입학정원_학부,35431,35431,0
정원외_입학정원_학부,35431,35431,0
모집인원_학부_계,35431,35431,0
정원내_모집인원_학부,35431,35431,0
정원외_모집정원_학부,35431,35431,0
지원자_전체_계,35431,35431,0
지원자_전체_남,35431,35431,0
지원자_전체_여,35431,35431,0
지원자_석사_계,35431,35431,0
지원자_석사_남,35431,35431,0
지원자_석사_여,35431,35431,0
지원자_박사_계,35431,35431,0
지원자_박사_남,35431,35431,0
지원자_박사_여,35431,35431,0
입학자_전체_계,35431,35431,0
입학자_전체_남,35431,35431,0
입학자_전체_여,35431,35431,0
입학자_석사_계,35431,35431,0
입학자_석사_남,35431,35431,0
입학자_석사_여,35431,35431,0
입학자_박사_계,35431,35431,0
입학자_박사_남,35431,35431,0
입학자_박사_여,35431,35431,0
정원내_입학자_전체_계,35431,35431,0
정원내_입학자_전체_남,35431,35431,0
정원내_입학자_전체_여,35431,35431,0
정원내_입학자_학부_계,35431,35431,0
정원내_입학자_학부_남,35431,35431,0
정원내_입학자_학부_여,35431,35431,0
정원내_입학자_석사_계,35431,35431,0
정원내_입학자_석사_남,35431,35431,0
정원내_입학자_석사_여,35431,35431,0
정원내_입학자_박사_계,35431,35431,0
정원내_입학자_박사_남,35431,35431,0
정원내_입학자_박사_여,35431,35431,0
정원외_입학자_전체_계,35431,35431,0
정원외_입학자_전체_남,35431,35431,0
정원외_입학자_전체_여,35431,35431,0
정원외_입학자_석사_계,35431,35431,0
정원외_입학자_석사_남,35431,35431,0
정원외_입학자_석사_여,35431,35431,0
정원외_입학자_박사_계,35431,35431,0
정원외_입학자_박사_남,35431,35431,0
정원외_입학자_박사_여,35431,35431,0
재적생_전체_계,35431,35431,0
재적생_전체_남,35431,35431,0
재적생_전체_여,35431,35431,0
재학생_전체_계,35431,35431,0
재학생_전체_남,35431,35431,0
재학생_전체_여,35431,35431,0
휴학생_전체_계,35431,35431,0
휴학생_전체_남,35431,35431,0
휴학생_전체_여,35431,35431,0
유예생_전체_계,35431,35431,0
유예생_전체_남,35431,35431,0
유예생_전체_여,35431,35431,0
재적생_석사_계,35431,35431,0
재적생_석사_남,35431,35431,0
재적생_석사_여,35431,35431,0
재학생_석사_계,35431,35431,0
재학생_석사_남,35431,35431,0
재학생_석사_여,35431,35431,0
휴학생_석사_계,35431,35431,0
휴학생_석사_남,35431,35431,0
휴학생_석사_여,35431,35431,0
재적생_박사_계,35431,35431,0
재적생_박사_남,35431,35431,0
재적생_박사_여,35431,35431,0
재학생_박사_계,35431,35431,0
재학생_박사_남,35431,35431,0
재학생_박사_여,35431,35431,0
휴학생_박사_계,35431,35431,0
휴학생_박사_남,35431,35431,0
휴학생_박사_여,35431,35431,0
외국인유학생_총계_계,35431,35431,0
외국인유학생_총계_남,35431,35431,0
외국인유학생_총계_여,35431,35431,0
외국인유학생_학사_계,35431,35431,0
외국인유학생_학사_남,35431,35431,0
외국인유학생_학사_여,35431,35431,0
외국인유학생_석사_계,35431,35431,0
외국인유학생_석사_남,35431,35431,0
외국인유학생_석사_여,35431,35431,0
외국인유학생_박사_계,35431,35431,0
외국인유학생_박사_남,35431,35431,0
외국인유학생_박사_여,35431,35431,0
졸업자_전체,35431,35431,0
졸업자_남,35431,35431,0
졸업자_전체_여,35431,35431,0
졸업자_석사_계,35431,35431,0
졸업자_석사_남,35431,35431,0
졸업자_석사_여,35431,35431,0
졸업자_박사_계,35431,35431,0
졸업자_박사_남,35431,35431,0
졸업자_박사_여,35431,35431,0
전임교원_계,35431,35431,0
전임교원_남,35431,35431,0
전임교원_여,35431,35431,0
비전임교원_계,35431,35431,0
비전임교원_남,35431,35431,0
비전임교원_여,35431,35431,0
