시도,학교명,rows,dept_codes,degree_courses,total_capacity,total_applicants,total_admitted,total_enrolled,total_foreign_students,total_graduates,full_time_faculty
강원,강원대학교,358,337,1,4465,31613,4806,28770,250,4243,881
경북,대구대학교,206,206,1,3693,17955,3851,20397,1426,3649,504
부산,신라대학교,198,198,1,1640,8888,1540,8383,312,1695,276
경남,경상국립대학교,194,192,1,4261,28729,4545,21100,85,2910,1029
경북,대구가톨릭대학교,191,191,1,2289,14210,2476,13341,249,2230,319
부산,부산외국어대학교,183,183,1,1470,5687,1606,9532,565,1531,218
부산,국립부경대학교,181,181,1,3298,25670,3682,20749,671,3461,629
부산,동의대학교,177,177,1,3514,19968,3864,19490,206,3241,553
전북,전북대학교,177,177,1,3944,30090,4331,23523,603,4042,1003
대구,계명대학교,176,175,1,4619,30946,5017,28685,1118,4707,840
전북,전북대학교 대학원,170,170,1,0,2088,1427,2997,814,957,18
충남,국립공주대학교,164,162,1,2815,22918,3195,16004,132,2662,573
경북,대구한의대학교,158,158,1,1456,9471,1717,8067,877,1538,229
대구,경북대학교 일반대학원,158,158,1,0,2729,1850,4035,513,1154,7
대전,목원대학교,157,157,1,1815,10254,1906,9489,517,1477,266
대구,경북대학교,155,155,1,4326,59533,4694,25102,520,4185,1258
부산,동서대학교,155,155,1,2094,11502,2155,11557,295,2076,317
강원,가톨릭관동대학교,148,148,1,1644,5731,1178,8410,27,1568,360
서울,이화여자대학교,147,147,1,3197,34014,3629,19495,875,3201,814
충북,청주대학교,147,146,1,2637,15725,2788,15979,878,2535,361
광주,전남대학교대학원,145,145,1,0,2080,1620,3540,560,917,24
서울,서울대학교 대학원,144,144,1,0,6734,3745,9274,637,2801,152
강원,상지대학교,142,142,1,1551,9202,1528,8533,51,1398,254
광주,조선대학교,139,139,1,4343,23914,4565,25134,198,4214,762
전북,전주대학교,138,138,1,2512,12213,2537,13998,382,2266,332
부산,동아대학교,136,136,1,4058,26630,4425,24276,407,4183,642
경기,국제대학교,133,133,1,1412,7241,1053,3219,15,990,84
경기,대림대학교,133,133,1,2690,12093,2957,10087,46,2649,176
대전,배재대학교,130,130,1,1798,11067,1949,9564,211,1550,271
충북,충북대학교,129,129,1,2963,29235,3229,17372,364,2911,748
경북,영남대학교,128,128,1,4587,30748,4948,27621,674,4618,724
강원,강원대학교일반대학원,126,126,1,0,1437,1113,2463,512,596,105
충남,선문대학교,125,125,1,2053,10504,2293,11560,1144,2038,284
경기,경기대학교,124,124,1,2628,32001,2793,16247,407,2771,427
대전,충남대학교,124,124,1,3652,34868,3950,22392,302,3552,940
서울,국민대학교,124,124,1,2966,35691,3459,20478,1190,3367,547
전남,국립목포대학교,124,124,1,1484,7468,1533,7949,36,1454,315
전북,원광대학교,122,122,1,2891,16738,3024,17101,27,3148,621
부산,부산대학교 일반대학원,121,121,1,0,3048,1868,3991,494,1199,83
부산,동명대학교,120,120,1,1459,9850,1658,9276,639,1729,236
서울,서울대학교,120,119,1,3451,26724,3707,21671,169,3188,1694
전북,국립군산대학교,119,119,1,1723,7380,1817,8549,308,1390,325
대전,한남대학교,119,105,1,2715,14058,2954,15555,471,2330,382
경남,경상국립대학교 대학원,118,118,1,0,1144,899,1845,210,562,5
경기,한신대학교,117,117,1,1193,7334,1257,7388,243,1032,173
충남,단국대학교,117,117,1,2311,21316,2465,13612,98,2468,516
대전,충남대학교대학원,115,115,1,0,2740,1576,3478,379,921,54
충남,호서대학교,114,113,1,2881,16980,3109,15735,230,2850,412
경북,경일대학교,113,113,1,1521,8480,1816,8602,421,1556,253
부산,부산대학교,112,112,1,3573,32464,3871,22145,527,3561,743
제주,제주대학교,112,112,1,2166,13759,2368,13106,162,1977,611
부산,국립부경대학교대학원,111,111,1,0,1231,920,1845,523,595,0
부산,부산과학기술대학교,111,111,1,1405,8623,1696,4738,113,1264,111
충북,건국대학교,111,111,1,1569,15887,1690,10177,86,1729,221
부산,경성대학교,110,110,1,2765,19952,3289,16289,1428,2712,383
서울,동국대학교,110,110,1,2620,48200,3105,17392,1043,2965,475
광주,전남대학교,109,109,1,3578,25195,3824,21206,354,3636,1015
서울,연세대학교 대학원,109,109,1,0,7408,2644,7094,630,1966,91
경기,가천대학교,108,108,1,3616,77773,4614,25268,3035,3720,608
서울,동덕여자대학교,108,108,1,1577,24321,1767,8257,26,1543,224
서울,세종대학교,108,108,1,2495,42144,3080,16634,1273,2656,509
충남,한서대학교,106,106,1,1534,10084,1561,8167,135,1448,230
경북,동국대학교,105,105,1,1743,10827,1819,9501,65,1536,307
경기,두원공과대학교,105,104,1,1486,6755,828,2991,6,949,115
경기,한경국립대학교,104,104,1,1271,9049,1408,7168,72,1108,258
서울,성신여자대학교,104,74,1,2060,25503,2336,11227,91,1880,309
충남,국립공주대학교대학원,103,103,1,0,918,642,1515,161,451,0
부산,영산대학교,102,102,1,720,2833,751,3918,464,857,112
서울,건국대학교일반대학원,102,102,1,0,1898,980,2266,291,781,11
충북,충북대학교 대학원,102,102,1,0,1748,1230,2634,333,826,0
경남,경남대학교,101,101,1,2050,9043,1770,11895,278,2555,379
경남,영산대학교,101,101,1,611,2317,641,2801,20,535,91
경남,인제대학교,101,101,1,1512,6990,1509,8365,181,1736,278
인천,인하대학교,101,101,1,3444,54906,3990,24704,1129,3811,834
전남,국립순천대학교,101,101,1,1573,8128,1675,8595,150,1441,317
충북,국립한국교통대학교,101,101,1,1693,11346,1897,9763,34,1672,281
경기,단국대학교,100,100,1,2275,34330,2606,15498,689,2627,436
서울,고려대학교 대학원,100,100,1,0,5797,2651,5866,530,1836,206
경기,유한대학교,98,98,1,1868,12855,1960,6896,9,1751,124
