column,category,count,share,category_n,poisson_equal_share_lambda,poisson_5pct_count_cutoff,poisson_lower_tail_p,low_frequency_flag,interpretation
학제,사내대학(대학),1,6.358491765753163e-05,10,1572.7,1508,0.0,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
학제,사내대학(전문),2,0.00012716983531506327,10,1572.7,1508,0.0,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
본분교,본교(제4캠퍼스),27,0.001716792776753354,5,3145.4,3053,0.0,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
학제,각종대학(대학),29,0.0018439626120684174,10,1572.7,1508,0.0,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
설립,기타,87,0.005531887836205252,7,2246.714285714286,2169,0.0,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
설립,특별법국립,97,0.006167737012780569,7,2246.714285714286,2169,0.0,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
학제,특수대학원,119,0.007566605201246264,10,1572.7,1508,0.0,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
학제,기능대학,129,0.008202454377821581,10,1572.7,1508,0.0,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
학제,교육대학,150,0.009537737648629745,10,1572.7,1508,0.0,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
설립,공립,152,0.009664907483944808,7,2246.714285714286,2169,0.0,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
설립,특별법법인,192,0.012208304190246074,7,2246.714285714286,2169,0.0,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
본분교,본교(제3캠퍼스),203,0.012907738284478922,5,3145.4,3053,0.0,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
대학원구분,대학원대학,232,0.01475170089654734,3,5242.333333333333,5124,0.0,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
본분교,분교(제1캠퍼스),339,0.021555287085903225,5,3145.4,3053,0.0,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
설립,국립대법인,355,0.02257264576842373,7,2246.714285714286,2169,0.0,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
학위과정,전문대학과정,766,0.04870604692566923,3,5242.333333333333,5124,0.0,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
시도,울산,92,0.005849812424492911,17,925.1176470588235,875,1.167615366900011e-271,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
