column,category_n,low_frequency_category_n,min_count,median_count,max_count,poisson_lambda,poisson_5pct_cutoff
소계열,180,104,1,55.5,784,87.37222222222222,72
시군구,142,84,1,64.5,564,110.75352112676056,94
중계열,36,23,76,310.0,1558,436.8611111111111,403
시도,17,9,92,748.0,3376,925.1176470588235,875
학제,10,8,1,139.5,7314,1572.7,1508
설립,7,5,87,192.0,10351,2246.714285714286,2169
대계열,7,4,928,2109.0,4212,2246.714285714286,2169
본분교,5,4,27,339.0,13696,3145.4,3053
대학원구분,3,1,232,7235.0,8260,5242.333333333333,5124
학위과정,3,1,766,7467.0,7494,5242.333333333333,5124
대학원구분_clean,2,1,7467,7863.5,8260,7863.5,7718
