year,subgroup,dimension_value,measure_type,value
2007,전체,전체,frequency,389163.0
2007,전체,1. 1～4명,frequency,53787.0
2007,전체,2. 5～9명,frequency,48777.0
2007,전체,3. 10～29명,frequency,77506.0
2007,전체,4. 30～49명,frequency,36015.0
2007,전체,5. 50～99명,frequency,42443.0
2007,전체,6. 100～299명,frequency,49225.0
2007,전체,7. 300～499명,frequency,18969.0
2007,전체,8. 500～999명,frequency,19846.0
2007,전체,"9. 1,000명 이상",frequency,42590.0
2007,전체,전체,share,100.0
2007,전체,1. 1～4명,share,13.8
2007,전체,2. 5～9명,share,12.5
2007,전체,3. 10～29명,share,19.9
2007,전체,4. 30～49명,share,9.2
2007,전체,5. 50～99명,share,10.9
2007,전체,6. 100～299명,share,12.6
2007,전체,7. 300～499명,share,4.8
2007,전체,8. 500～999명,share,5.0
2007,전체,"9. 1,000명 이상",share,10.9
2007,전문대,전체,frequency,173573.0
2007,전문대,1. 1～4명,frequency,29836.0
2007,전문대,2. 5～9명,frequency,26996.0
2007,전문대,3. 10～29명,frequency,35893.0
2007,전문대,4. 30～49명,frequency,15457.0
2007,전문대,5. 50～99명,frequency,17209.0
2007,전문대,6. 100～299명,frequency,21044.0
2007,전문대,7. 300～499명,frequency,6938.0
2007,전문대,8. 500～999명,frequency,6790.0
2007,전문대,"9. 1,000명 이상",frequency,13406.0
2007,전문대,전체,share,100.0
2007,전문대,1. 1～4명,share,17.1
2007,전문대,2. 5～9명,share,15.5
2007,전문대,3. 10～29명,share,20.6
2007,전문대,4. 30～49명,share,8.9
2007,전문대,5. 50～99명,share,9.9
2007,전문대,6. 100～299명,share,12.1
2007,전문대,7. 300～499명,share,3.9
2007,전문대,8. 500～999명,share,3.9
2007,전문대,"9. 1,000명 이상",share,7.7
2007,4년제,전체,frequency,210586.0
2007,4년제,1. 1～4명,frequency,23950.0
2007,4년제,2. 5～9명,frequency,21780.0
2007,4년제,3. 10～29명,frequency,40311.0
2007,4년제,4. 30～49명,frequency,18834.0
2007,4년제,5. 50～99명,frequency,23581.0
2007,4년제,6. 100～299명,frequency,28065.0
2007,4년제,7. 300～499명,frequency,12030.0
2007,4년제,8. 500～999명,frequency,13056.0
2007,4년제,"9. 1,000명 이상",frequency,28973.0
2007,4년제,전체,share,100.0
2007,4년제,1. 1～4명,share,11.3
2007,4년제,2. 5～9명,share,10.3
2007,4년제,3. 10～29명,share,19.1
