column,missing_n,missing_pct,dtype
입결_프록시,6505,63.51298574497169,float64
전체취업률,2765,26.996680335871897,float64
건보가입취업률,2765,26.996680335871897,float64
전체진학률,2655,25.92267135325132,float64
전문대학진학률,2655,25.92267135325132,float64
대학진학률,2655,25.92267135325132,float64
대학원진학률,2655,25.92267135325132,float64
국내진학률,2655,25.92267135325132,float64
국외진학률,2655,25.92267135325132,float64
기준연도,0,0.0,int64
학교명,0,0.0,string
학과_전공,0,0.0,string
학과_계열,0,0.0,string
A비율,0,0.0,float64
CD비율,0,0.0,float64
F비율,0,0.0,float64
학점포기제유무,0,0.0,string
