학교명,final_grade_department_labels,raw_rows,raw_metric_nonnull,final_matched_source_rows,final_admission_department_labels,admission_label_coverage_pct,zero_coverage_detail_reason,zero_coverage_major_reason
경상국립대학교,137,107,107,104,99,72.26277372262774,covered_or_partial,covered_or_partial
경북대학교,158,108,105,98,96,60.75949367088608,covered_or_partial,covered_or_partial
부산대학교,107,109,103,95,92,85.98130841121495,covered_or_partial,covered_or_partial
전북대학교,126,121,101,98,91,72.22222222222221,covered_or_partial,covered_or_partial
충남대학교,103,126,125,90,86,83.49514563106796,covered_or_partial,covered_or_partial
국립공주대학교,128,79,79,79,79,61.71875,covered_or_partial,covered_or_partial
충북대학교,104,83,82,80,77,74.03846153846155,covered_or_partial,covered_or_partial
전남대학교,95,108,108,78,75,78.94736842105263,covered_or_partial,covered_or_partial
경희대학교,102,85,85,73,73,71.56862745098039,covered_or_partial,covered_or_partial
계명대학교,93,72,72,66,66,70.96774193548387,covered_or_partial,covered_or_partial
동의대학교,138,67,64,62,62,44.927536231884055,covered_or_partial,covered_or_partial
원광대학교,85,65,65,62,62,72.94117647058823,covered_or_partial,covered_or_partial
서울대학교,94,91,89,66,60,63.829787234042556,covered_or_partial,covered_or_partial
영남대학교,100,71,68,63,59,59.0,covered_or_partial,covered_or_partial
고려대학교,67,176,116,103,58,86.56716417910447,covered_or_partial,covered_or_partial
제주대학교,94,73,73,56,56,59.57446808510638,covered_or_partial,covered_or_partial
인천대학교,76,55,55,55,55,72.36842105263158,covered_or_partial,covered_or_partial
인하대학교,73,56,56,54,54,73.97260273972603,covered_or_partial,covered_or_partial
청주대학교,81,56,56,52,52,64.19753086419753,covered_or_partial,covered_or_partial
전주대학교,104,51,51,51,51,49.03846153846153,covered_or_partial,covered_or_partial
경성대학교,86,52,52,51,51,59.30232558139535,covered_or_partial,covered_or_partial
한양대학교,71,53,53,51,51,71.83098591549296,covered_or_partial,covered_or_partial
연세대학교,102,227,73,56,49,48.03921568627451,covered_or_partial,covered_or_partial
강원대학교,154,62,62,48,48,31.16883116883117,covered_or_partial,covered_or_partial
건국대학교,68,50,50,48,48,70.58823529411765,covered_or_partial,covered_or_partial
순천향대학교,67,57,57,47,47,70.1492537313433,covered_or_partial,covered_or_partial
조선대학교,89,55,55,50,46,51.68539325842697,covered_or_partial,covered_or_partial
국립군산대학교,62,47,46,44,44,70.96774193548387,covered_or_partial,covered_or_partial
동아대학교,109,54,54,43,43,39.44954128440367,covered_or_partial,covered_or_partial
동국대학교,81,52,52,43,43,53.086419753086425,covered_or_partial,covered_or_partial
국립한국교통대학교,80,47,47,46,43,53.75,covered_or_partial,covered_or_partial
가천대학교,80,60,60,43,42,52.5,covered_or_partial,covered_or_partial
호서대학교,78,79,71,42,42,53.84615384615385,covered_or_partial,covered_or_partial
숙명여자대학교,56,40,40,40,40,71.42857142857143,covered_or_partial,covered_or_partial
숭실대학교,56,41,41,39,39,69.64285714285714,covered_or_partial,covered_or_partial
국민대학교,89,62,62,38,38,42.69662921348314,covered_or_partial,covered_or_partial
신라대학교,144,43,36,36,36,25.0,covered_or_partial,covered_or_partial
한양대학교(ERICA)_분교,51,36,36,36,36,70.58823529411765,covered_or_partial,covered_or_partial
중앙대학교,44,60,60,41,36,81.81818181818183,covered_or_partial,covered_or_partial
서울여자대학교,47,41,41,35,35,74.46808510638297,covered_or_partial,covered_or_partial
서울시립대학교,49,38,38,34,34,69.38775510204081,covered_or_partial,covered_or_partial
아주대학교,38,37,37,34,34,89.47368421052632,covered_or_partial,covered_or_partial
동국대학교(WISE)_분교,76,36,36,33,33,43.42105263157895,covered_or_partial,covered_or_partial
남서울대학교,41,33,33,33,33,80.48780487804879,covered_or_partial,covered_or_partial
대전대학교,65,37,36,32,32,49.23076923076923,covered_or_partial,covered_or_partial
인제대학교,62,37,37,34,32,51.61290322580645,covered_or_partial,covered_or_partial
배재대학교,84,36,36,30,30,35.714285714285715,covered_or_partial,covered_or_partial
한서대학교,56,42,31,30,30,53.57142857142857,covered_or_partial,covered_or_partial
대진대학교,53,33,33,29,29,54.71698113207547,covered_or_partial,covered_or_partial
신한대학교_제2캠퍼스,48,30,30,29,29,60.416666666666664,covered_or_partial,covered_or_partial
우석대학교,62,35,35,28,28,45.16129032258064,covered_or_partial,covered_or_partial
광운대학교,54,57,57,28,28,51.85185185185185,covered_or_partial,covered_or_partial
단국대학교,48,35,35,28,28,58.333333333333336,covered_or_partial,covered_or_partial
홍익대학교,42,50,50,28,28,66.66666666666666,covered_or_partial,covered_or_partial
목원대학교,98,37,34,27,27,27.55102040816326,covered_or_partial,covered_or_partial
경기대학교,56,56,56,34,26,46.42857142857143,covered_or_partial,covered_or_partial
단국대학교_제2캠퍼스,54,43,43,27,26,48.148148148148145,covered_or_partial,covered_or_partial
한림대학교,53,34,31,26,26,49.056603773584904,covered_or_partial,covered_or_partial
성신여자대학교,59,56,56,26,25,42.3728813559322,covered_or_partial,covered_or_partial
고려대학교(세종)_분교,59,24,24,23,23,38.983050847457626,covered_or_partial,covered_or_partial
안양대학교,33,34,34,28,23,69.6969696969697,covered_or_partial,covered_or_partial
청운대학교,30,24,24,23,23,76.66666666666667,covered_or_partial,covered_or_partial
대구가톨릭대학교,127,38,30,22,22,17.322834645669293,covered_or_partial,covered_or_partial
수원대학교,79,56,55,43,22,27.848101265822784,covered_or_partial,covered_or_partial
강원대학교_제2캠퍼스,63,39,39,35,22,34.92063492063492,covered_or_partial,covered_or_partial
경일대학교,42,23,23,22,22,52.38095238095239,covered_or_partial,covered_or_partial
국립한밭대학교,41,27,22,22,22,53.65853658536586,covered_or_partial,covered_or_partial
한국교원대학교,25,25,25,22,22,88.0,covered_or_partial,covered_or_partial
성균관대학교,71,30,30,21,21,29.577464788732392,covered_or_partial,covered_or_partial
국립창원대학교,54,55,55,55,21,38.88888888888889,covered_or_partial,covered_or_partial
상지대학교,99,24,24,20,20,20.2020202020202,covered_or_partial,covered_or_partial
동서대학교,80,31,31,20,20,25.0,covered_or_partial,covered_or_partial
용인대학교,41,20,20,20,20,48.78048780487805,covered_or_partial,covered_or_partial
국립부경대학교,120,61,54,19,19,15.833333333333332,covered_or_partial,covered_or_partial
대구대학교,92,27,27,19,19,20.652173913043477,covered_or_partial,covered_or_partial
협성대학교,38,38,34,19,19,50.0,covered_or_partial,covered_or_partial
한라대학교,33,20,19,19,19,57.57575757575758,covered_or_partial,covered_or_partial
국립한국해양대학교,28,32,32,19,19,67.85714285714286,covered_or_partial,covered_or_partial
서경대학교,54,43,40,18,18,33.33333333333333,covered_or_partial,covered_or_partial
건양대학교,37,39,38,18,18,48.64864864864865,covered_or_partial,covered_or_partial
국립금오공과대학교,30,40,30,28,18,60.0,covered_or_partial,covered_or_partial
백석대학교,28,27,27,18,18,64.28571428571429,covered_or_partial,covered_or_partial
동양대학교,41,23,17,17,17,41.46341463414634,covered_or_partial,covered_or_partial
극동대학교,40,18,18,17,17,42.5,covered_or_partial,covered_or_partial
