topic_id,topic_group,topic_name,measure,classification_version,weighted,status,started_at,attempt,file_path,suggested_filename,file_size,sha256,year_start,year_end,verified_subject_type,expected_subject_type,finished_at,error_type,error_message
GOMS_024,근로소득,전공계열별 월평균 근로소득,mean,all,True,success,2026-07-12T09:25:10.924125+00:00,1,raw_downloads/mean/GOMS_024_전공계열별_월평균_근로소득_mean.xls,data.xls,6354.0,f99385fb389768be1cf4a484a8e94adf740c810a5440268d288e8db16eb1772c,2007,2019,4-3,4-3,2026-07-12T09:25:33.951630+00:00,,
GOMS_025,근로소득,산업별 월평균 근로소득,mean,all,True,failed,2026-07-12T09:25:34.006142+00:00,4,,,,,,,,,2026-07-12T09:27:06.051333+00:00,TimeoutError,"Timeout 15000ms exceeded while waiting for event ""response"""
GOMS_026,근로소득,직업별 월평균 근로소득(~2016),mean,pre_2017,True,failed,2026-07-12T09:27:06.055231+00:00,4,,,,,,,,,2026-07-12T09:28:38.065415+00:00,TimeoutError,"Timeout 15000ms exceeded while waiting for event ""response"""
GOMS_028,근로소득,사업체 규모별 월평균 근로소득,mean,all,True,success,2026-07-12T09:28:38.071701+00:00,1,raw_downloads/mean/GOMS_028_사업체_규모별_월평균_근로소득_mean.xls,data.xls,7671.0,fc1a7de672df0101ab66d926f4ffed5d81ddddb6da9d744f4aff97c0b08026fc,2007,2019,4-6,4-6,2026-07-12T09:29:07.638685+00:00,,
GOMS_029,근로소득,사업체 유형별 월평균 근로소득,mean,all,True,success,2026-07-12T09:29:07.705695+00:00,1,raw_downloads/mean/GOMS_029_사업체_유형별_월평균_근로소득_mean.xls,data.xls,7964.0,dbd2c78118bd02d7721077d0dbcb0cccbc52d0eb833523e363f2a1ad0057775a,2007,2019,4-7,4-7,2026-07-12T09:29:34.606112+00:00,,
GOMS_030,근로소득,종사상지위별 월평균 근로소득,mean,all,True,success,2026-07-12T09:29:34.656662+00:00,1,raw_downloads/mean/GOMS_030_종사상지위별_월평균_근로소득_mean.xls,data.xls,5813.0,9dd9ab8c837eb73bc5c75e83d8e3a4de97c9fc75943faaf348eaf623478b857b,2007,2019,4-8,4-8,2026-07-12T09:29:55.832022+00:00,,
GOMS_032,근로시간,학교유형별 주당 평균 근로시간,mean,all,True,success,2026-07-12T09:29:55.903861+00:00,1,raw_downloads/mean/GOMS_032_학교유형별_주당_평균_근로시간_mean.xls,data.xls,3806.0,7dc19a01540d21221fb8d3761522c453eac158f072edcafabcd0728114ca5952,2007,2019,5-2,5-2,2026-07-12T09:30:12.585229+00:00,,
GOMS_033,근로시간,전공계열별 주당 평균 근로시간,mean,all,True,success,2026-07-12T09:30:12.663553+00:00,1,raw_downloads/mean/GOMS_033_전공계열별_주당_평균_근로시간_mean.xls,data.xls,6250.0,a4ce35906bd88fa2ec5f826cdaf8b0ca79842752d13951fa15365f8838628ba8,2007,2019,5-3,5-3,2026-07-12T09:30:36.202666+00:00,,
GOMS_034,근로시간,산업별 주당 평균 근로시간,mean,all,True,failed,2026-07-12T09:30:36.275267+00:00,4,,,,,,,,,2026-07-12T09:32:08.393811+00:00,TimeoutError,"Timeout 15000ms exceeded while waiting for event ""response"""
GOMS_035,근로시간,직업별 주당 평균 근로시간(~2016),mean,pre_2017,True,failed,2026-07-12T09:32:08.398491+00:00,4,,,,,,,,,2026-07-12T09:33:40.227519+00:00,TimeoutError,"Timeout 15000ms exceeded while waiting for event ""response"""
GOMS_037,근로시간,사업체 규모별 주당 평균 근로시간,mean,all,True,success,2026-07-12T09:33:40.232890+00:00,1,raw_downloads/mean/GOMS_037_사업체_규모별_주당_평균_근로시간_mean.xls,data.xls,7541.0,470992df6ebd59b5ad5144c08216abf558ac33ac3f8b7d8fcb1cbf2ac50b55df,2007,2019,5-6,5-6,2026-07-12T09:34:07.882323+00:00,,
GOMS_038,근로시간,사업체 유형별 주당 평균 근로시간,mean,all,True,success,2026-07-12T09:34:07.972210+00:00,1,raw_downloads/mean/GOMS_038_사업체_유형별_주당_평균_근로시간_mean.xls,data.xls,7834.0,f67bd464c27a60e08cda0a4a71d4e6a8e139d468f2644b3f2589ae3b9c4acfc9,2007,2019,5-7,5-7,2026-07-12T09:34:35.027998+00:00,,
GOMS_039,근로시간,종사상지위별 주당 평균 근로시간,mean,all,True,success,2026-07-12T09:34:35.094679+00:00,1,raw_downloads/mean/GOMS_039_종사상지위별_주당_평균_근로시간_mean.xls,data.xls,5747.0,1a642e8abcab4c3e269d0cd84ba6d4ddca5adde5451261366bf5213963a6c950,2007,2019,5-8,5-8,2026-07-12T09:34:56.677913+00:00,,
