topic_id,topic_name,year_min,year_max,n_years,qa_status
GOMS_001,성별 경제활동 상태,2007,2019,13,PASS
GOMS_002,학교유형별 경제활동 상태,2007,2019,13,PASS
GOMS_003,전공계열별 경제활동 상태,2007,2019,13,PASS
GOMS_004,취업자의 성별 산업 분포,2007,2019,13,PASS
GOMS_005,취업자의 학교유형별 산업 분포,2007,2019,13,PASS
GOMS_006,취업자의 전공별 산업 분포,2007,2019,13,PASS
GOMS_007,취업자의 성별 직업 분포(~2016),2007,2016,10,PASS
GOMS_008,취업자의 성별 직업 분포(2017~),2017,2019,3,PASS
GOMS_009,취업자의 학교유형별 직업 분포(~2016),2007,2016,10,PASS
GOMS_010,취업자의 학교유형별 직업 분포(2017~),2017,2019,3,PASS
GOMS_011,취업자의 전공별 직업 분포(~2016),2007,2016,10,PASS
GOMS_012,취업자의 전공별 직업 분포(2017~),2017,2019,3,PASS
GOMS_013,취업자의 성별 사업체 규모,2007,2019,13,PASS
GOMS_014,취업자의 학교유형별 사업체 규모,2007,2019,13,PASS
GOMS_015,취업자의 전공별 사업체 규모,2007,2019,13,PASS
GOMS_016,취업자의 성별 사업체 유형,2007,2019,13,PASS
GOMS_017,취업자의 학교유형별 사업체 유형,2007,2019,13,PASS
GOMS_018,취업자의 전공별 사업체 유형,2007,2019,13,PASS
GOMS_019,취업자의 성별 종사상 지위,2007,2019,13,PASS
GOMS_020,취업자의 학교유형별 종사상 지위,2007,2019,13,PASS
GOMS_021,취업자의 전공별 종사상 지위,2007,2019,13,PASS
GOMS_022,성별 월평균 근로소득,2007,2019,13,PASS
GOMS_023,학교유형별 월평균 근로소득,2007,2019,13,PASS
GOMS_024,전공계열별 월평균 근로소득,2007,2019,13,PASS
GOMS_025,산업별 월평균 근로소득,2007,2019,13,PASS
GOMS_026,직업별 월평균 근로소득(~2016),2007,2016,10,PASS
GOMS_027,직업별 월평균 근로소득(2017~),2017,2019,3,PASS
GOMS_028,사업체 규모별 월평균 근로소득,2007,2019,13,PASS
GOMS_029,사업체 유형별 월평균 근로소득,2007,2019,13,PASS
GOMS_030,종사상지위별 월평균 근로소득,2007,2019,13,PASS
GOMS_031,성별 주당 평균 근로시간,2007,2019,13,PASS
GOMS_032,학교유형별 주당 평균 근로시간,2007,2019,13,PASS
GOMS_033,전공계열별 주당 평균 근로시간,2007,2019,13,PASS
GOMS_034,산업별 주당 평균 근로시간,2007,2019,13,PASS
GOMS_035,직업별 주당 평균 근로시간(~2016),2007,2016,10,PASS
GOMS_036,직업별 주당 평균 근로시간(2017~),2017,2019,3,PASS
GOMS_037,사업체 규모별 주당 평균 근로시간,2007,2019,13,PASS
GOMS_038,사업체 유형별 주당 평균 근로시간,2007,2019,13,PASS
GOMS_039,종사상지위별 주당 평균 근로시간,2007,2019,13,PASS
