outcome_row_id,headcount_row_id,match_method,match_score,candidate_count,review_needed,match_evidence,candidate_preview,headcount_match_flag,school_name_raw,school_name_std,campus_name_raw,campus_name_std,campus_seq,campus_branch,dept_name_raw,dept_name_std,dept_field_raw,hc_headcount_row_id,hc_school_name_raw,hc_school_name_std,hc_campus_name_raw,hc_campus_name_std,hc_campus_seq,hc_campus_branch,hc_dept_name_raw,hc_dept_name_std,hc_major_group_raw,hc_major_group_7,school_std_match,campus_scope_ok,dept_alt_contains_hc,exact_normalized_validation
OC2024_00001,,unmatched,,0,True,no exact/fuzzy candidate within same normalized school and campus scope,,False,가야대학교(김해),가야대학교,김해,김해,,,간호학과,간호학과,간호,,,,,,,,,,,,,True,False,
OC2024_00002,,unmatched,,0,True,no exact/fuzzy candidate within same normalized school and campus scope,,False,가야대학교(김해),가야대학교,김해,김해,,,경영물류학과,경영물류학과,경영물류,,,,,,,,,,,,,True,False,
OC2024_00003,,unmatched,,0,True,no exact/fuzzy candidate within same normalized school and campus scope,,False,가야대학교(김해),가야대학교,김해,김해,,,경찰소방학과,경찰소방학과,경찰소방,,,,,,,,,,,,,True,False,
OC2024_00004,,unmatched,,0,True,no exact/fuzzy candidate within same normalized school and campus scope,,False,가야대학교(김해),가야대학교,김해,김해,,,귀금속주얼리학과,귀금속주얼리학과,귀금속주얼리,,,,,,,,,,,,,True,False,
OC2024_00005,,unmatched,,0,True,no exact/fuzzy candidate within same normalized school and campus scope,,False,가야대학교(김해),가야대학교,김해,김해,,,물리치료학과,물리치료학과,물리치료,,,,,,,,,,,,,True,False,
OC2024_00006,,unmatched,,0,True,no exact/fuzzy candidate within same normalized school and campus scope,,False,가야대학교(김해),가야대학교,김해,김해,,,방사선학과,방사선학과,방사선,,,,,,,,,,,,,True,False,
OC2024_00007,,unmatched,,0,True,no exact/fuzzy candidate within same normalized school and campus scope,,False,가야대학교(김해),가야대학교,김해,김해,,,부동산금융재테크학과,부동산금융재테크학과,부동산금융재테크,,,,,,,,,,,,,True,False,
OC2024_00008,,unmatched,,0,True,no exact/fuzzy candidate within same normalized school and campus scope,,False,가야대학교(김해),가야대학교,김해,김해,,,사회복지상담학과 | 사회복지상담학과(3년과정),사회복지상담학과사회복지상담학과3년과정,사회복지상담,,,,,,,,,,,,,True,False,
OC2024_00009,,unmatched,,0,True,no exact/fuzzy candidate within same normalized school and campus scope,,False,가야대학교(김해),가야대학교,김해,김해,,,스포츠재활복지학과,스포츠재활복지학과,스포츠재활복지,,,,,,,,,,,,,True,False,
OC2024_00010,,unmatched,,0,True,no exact/fuzzy candidate within same normalized school and campus scope,,False,가야대학교(김해),가야대학교,김해,김해,,,안경광학과,안경광학과,안경광,,,,,,,,,,,,,True,False,
OC2024_00011,,unmatched,,0,True,no exact/fuzzy candidate within same normalized school and campus scope,,False,가야대학교(김해),가야대학교,김해,김해,,,외식조리영양학부,외식조리영양학부,외식조리영양,,,,,,,,,,,,,True,False,
OC2024_00012,,unmatched,,0,True,no exact/fuzzy candidate within same normalized school and campus scope,,False,가야대학교(김해),가야대학교,김해,김해,,,유아교육과,유아교육과,유아교육과,,,,,,,,,,,,,True,False,
OC2024_00013,,unmatched,,0,True,no exact/fuzzy candidate within same normalized school and campus scope,,False,가야대학교(김해),가야대학교,김해,김해,,,작업치료학과,작업치료학과,작업치료,,,,,,,,,,,,,True,False,
OC2024_00014,,unmatched,,0,True,no exact/fuzzy candidate within same normalized school and campus scope,,False,가야대학교(김해),가야대학교,김해,김해,,,특수교육과,특수교육과,특수교육과,,,,,,,,,,,,,True,False,
OC2024_00015,,manual_review,1.0,2,True,multiple exact normalized candidates; campus not sufficiently decisive,AI?소프트웨어학부(인공지능전공) | AI?소프트웨어학부(소프트웨어전공),False,가천대학교,가천대학교,,unknown,,,AI・소프트웨어학부(소프트웨어전공) | AI・소프트웨어학부(인공지능전공),ai소프트웨어학부소프트웨어전공ai소프트웨어학부인공지능전공,AI・소프트웨어,,,,,,,,,,,,,True,False,
