column,raw_dtype,est_type,non_null,null_count,null_pct,unique_count,zero_count_if_numeric,min_if_numeric,max_if_numeric
대학원구분,str,categorical_binary,7467,8260,52.5211,2,,,
연도,int64,numeric_low_cardinality,15727,0,0.0,1,0,2024.0,2024.0
학제,str,categorical_low_cardinality,15727,0,0.0,10,,,
학교명,str,identifier_or_key,15727,0,0.0,587,,,
본분교,str,categorical_low_cardinality,15727,0,0.0,5,,,
시도,str,categorical_low_cardinality,15727,0,0.0,17,,,
시군구,str,categorical_low_cardinality,15727,0,0.0,142,,,
설립,str,categorical_low_cardinality,15727,0,0.0,7,,,
학위과정,str,categorical_low_cardinality,15727,0,0.0,3,,,
대계열,str,categorical_low_cardinality,15727,0,0.0,7,,,
중계열,str,categorical_low_cardinality,15727,0,0.0,36,,,
소계열,str,categorical_low_cardinality,15727,0,0.0,180,,,
학과코드,str,identifier_or_key,15727,0,0.0,8296,,,
학과명,str,identifier_or_key,15727,0,0.0,7376,,,
학과수_전체,int64,numeric_count,15727,0,0.0,4,2138,0.0,3.0
