column,count,mean,std,min,25%,50%,75%,max
2007__전체__빈도,4.0,249349.25,202880.32829622328,5800.0,162730.75,246449.0,333067.5,498699.0
2007__전체__비중,4.0,49.975,40.70752387458613,1.1,32.6,49.400000000000006,66.775,100.0
2007__취업자__빈도,4.0,195189.25,158103.22054989898,5003.0,131660.0,192687.5,256216.75,390379.0
2007__취업자__비중,4.0,49.949999999999996,40.53183933650187,1.2,33.675,49.3,65.575,100.0
2007__실업자__빈도,4.0,16338.0,13339.120685662405,53.0,11569.25,16311.0,21079.75,32677.0
2007__실업자__비중,4.0,49.949999999999996,40.84593002980836,0.1,35.35,49.85,64.45,100.0
2007__비경활__빈도,4.0,37821.25,32037.342881654007,743.0,19500.5,37449.5,55770.25,75643.0
2007__비경활__비중,4.0,49.95,42.3824256030728,0.9,25.725,49.45,73.67500000000001,100.0
2008__전체__빈도,4.0,248687.0,202572.73208241363,6963.0,157546.5,245205.5,336346.0,497374.0
2008__전체__비중,4.0,49.95,40.77094553723276,1.3,31.6,49.25,67.6,100.0
2008__취업자__빈도,4.0,196241.0,159399.937793798,6014.0,125822.75,193233.5,263651.75,392483.0
2008__취업자__비중,4.0,49.974999999999994,40.626458948161684,1.5,32.025000000000006,49.2,67.15,100.0
2008__실업자__빈도,4.0,15585.75,12702.305469874356,59.0,11585.75,15556.0,19556.0,31172.0
2008__실업자__비중,4.0,49.949999999999996,40.78582270021451,0.1,37.075,49.849999999999994,62.724999999999994,100.0
2008__비경활__빈도,4.0,36858.75,30807.68799477386,889.0,20136.25,36414.0,53136.5,73718.0
2008__비경활__비중,4.0,49.974999999999994,41.788066478361976,1.2,27.3,49.35,72.025,100.0
2009__전체__빈도,4.0,240096.5,196125.26590506727,6345.0,149803.5,236924.0,327217.0,480193.0
2009__전체__비중,4.0,49.975,40.85399817235354,1.3,31.15,49.3,68.125,100.0
2009__취업자__빈도,4.0,180146.25,146159.65363801096,5368.0,117064.75,177462.0,240543.5,360293.0
2009__취업자__비중,4.0,49.95,40.60028735530493,1.4,32.449999999999996,49.2,66.7,100.0
2009__실업자__빈도,4.0,17482.75,14395.923899377443,227.0,10816.25,17369.0,24035.5,34966.0
2009__실업자__비중,4.0,49.975,41.191615247118754,0.6,30.9,49.65,68.725,100.0
2009__비경활__빈도,4.0,42465.75,35999.31495991741,749.0,21920.75,42091.0,62636.0,84932.0
2009__비경활__비중,4.0,49.95,42.40852901638223,0.8,25.775,49.5,73.67500000000001,100.0
2010__전체__빈도,4.0,235279.0,193103.51685041885,5956.0,142579.0,232301.0,325001.0,470558.0
2010__전체__비중,4.0,49.95,41.065516758792484,1.2,30.225,49.3,69.025,100.0
2010__취업자__빈도,4.0,188258.25,154110.9225490415,4974.0,115676.25,185771.0,258353.0,376517.0
2010__취업자__비중,4.0,49.975,40.93713676683638,1.3,30.7,49.3,68.575,100.0
2010__실업자__빈도,4.0,12842.75,10531.455087023825,90.0,8417.25,12797.5,17223.0,25686.0
2010__실업자__비중,4.0,49.95,41.02166094475779,0.3,32.7,49.75,67.0,100.0
2010__비경활__빈도,4.0,34176.25,28591.97179133798,890.0,18483.5,33731.0,49423.75,68353.0
2010__비경활__비중,4.0,49.975,41.82522165711339,1.3,27.025,49.3,72.25,100.0
2011__전체__빈도,4.0,239738.5,197886.8819410052,5621.0,140947.25,236927.5,335718.75,479478.0
2011__전체__비중,4.0,49.975,41.298294960768864,1.1,29.375,49.4,70.0,100.0
2011__취업자__빈도,4.0,190484.25,156867.10846950463,4837.0,112918.0,188065.5,265631.75,380969.0
2011__취업자__비중,4.0,49.949999999999996,41.20918182476651,1.2,29.55,49.3,69.7,100.0
2011__실업자__빈도,4.0,13904.0,11503.679324459632,95.0,8504.75,13856.5,19255.75,27808.0
2011__실업자__비중,4.0,49.95,41.38296751080087,0.3,30.525,49.75,69.175,100.0
2011__비경활__빈도,4.0,35349.25,29555.584360940433,688.0,19524.25,35005.0,50830.0,70699.0
2011__비경활__비중,4.0,49.95,41.84100859204998,0.9,27.525,49.45,71.875,100.0
2012__전체__빈도,4.0,251443.0,209092.21904700328,5225.0,142623.5,248830.5,357650.0,502886.0
2012__전체__비중,4.0,49.95,41.59210662293187,1.0,28.299999999999997,49.4,71.05,100.0
2012__취업자__빈도,4.0,190828.75,157675.85919511164,4572.0,111322.5,188542.5,268048.75,381658.0
2012__취업자__비중,4.0,49.949999999999996,41.359601867845235,1.1,29.075,49.349999999999994,70.225,100.0
2012__실업자__빈도,4.0,16354.75,13569.993106728782,118.0,9803.5,16295.5,22846.75,32710.0
2012__실업자__비중,4.0,49.95,41.505863039655814,0.3,29.924999999999997,49.75,69.775,100.0
2012__비경활__빈도,4.0,44258.0,38086.538943131425,533.0,21496.25,43991.5,66753.25,88516.0
2012__비경활__비중,4.0,49.975,43.03722226166554,0.6,24.225,49.650000000000006,75.4,100.0
2013__전체__빈도,4.0,245882.5,204606.5767377318,5055.0,139022.25,243355.0,350215.25,491765.0
2013__전체__비중,4.0,49.975,41.62069797588695,1.0,28.224999999999998,49.45,71.2,100.0
2013__취업자__빈도,4.0,181166.75,149669.93334528926,4594.0,105332.5,178869.5,254703.75,362334.0
2013__취업자__비중,4.0,49.95,41.329610047357896,1.2,29.025,49.3,70.225,100.0
2013__실업자__빈도,4.0,18277.75,15283.288223306745,44.0,10602.5,18255.5,25930.75,36556.0
2013__실업자__비중,4.0,49.975,41.81470036562102,0.1,28.975,49.900000000000006,70.9,100.0
2013__비경활__빈도,4.0,46436.25,39834.20425861004,415.0,23085.25,46228.5,69579.5,92873.0
2013__비경활__비중,4.0,49.95,42.91390606007956,0.4,24.775,49.7,74.875,100.0
2014__전체__빈도,4.0,247161.25,206328.61425143306,4690.0,137880.25,244816.0,354097.0,494323.0
2014__전체__비중,4.0,49.95,41.75903095938251,0.9,27.824999999999996,49.45,71.575,100.0
2014__취업자__빈도,4.0,185140.5,153258.0038290551,4280.0,107092.25,183000.5,261048.75,370281.0
2014__취업자__비중,4.0,49.949999999999996,41.41324264853776,1.1,28.85,49.35,70.45,100.0
2014__실업자__빈도,4.0,17827.0,14963.492194894434,35.0,10125.5,17809.0,25510.5,35655.0
2014__실업자__비중,4.0,49.95,42.00329352165931,0.0,28.349999999999998,49.9,71.5,100.0
2014__비경활__빈도,4.0,44193.0,38397.816752171384,374.0,20661.5,44005.5,67537.0,88387.0
2014__비경활__비중,4.0,49.975,43.448849236774954,0.4,23.35,49.75,76.375,100.0
2015__전체__빈도,4.0,257659.75,217183.94962853493,4358.0,137213.75,255480.5,375926.5,515320.0
2015__전체__비중,4.0,49.975,42.16193978775961,0.8,26.6,49.55,72.925,100.0
2015__취업자__빈도,4.0,190473.25,159358.73951847345,3906.0,104529.0,188520.0,274464.25,380947.0
2015__취업자__비중,4.0,49.974999999999994,41.84386653580984,1.0,27.400000000000002,49.45,72.025,100.0
2015__실업자__빈도,4.0,17651.75,15076.93913177782,28.0,9136.0,17637.5,26153.25,35304.0
2015__실업자__비중,4.0,49.95,42.74150987818127,0.0,25.799999999999997,49.900000000000006,74.05000000000001,100.0
2015__비경활__빈도,4.0,49533.75,42888.60148784678,424.0,23547.25,49321.5,75308.0,99068.0
2015__비경활__비중,4.0,49.975,43.30668732039737,0.4,23.725,49.75,76.0,100.0
2016__전체__빈도,4.0,260273.0,220981.60021443717,3832.0,134288.5,258357.0,384341.5,520546.0
2016__전체__비중,4.0,49.974999999999994,42.47080369697125,0.7,25.75,49.599999999999994,73.82499999999999,100.0
2016__취업자__빈도,4.0,194152.25,163832.63611660732,3400.0,102643.75,192452.0,283960.5,388305.0
2016__취업자__비중,4.0,49.95,42.219466284325925,0.8,26.375,49.5,73.07499999999999,100.0
2016__실업자__빈도,4.0,19007.5,16291.843143119197,102.0,9573.0,18956.0,28390.5,38016.0
2016__실업자__비중,4.0,49.95,42.88756618570624,0.2,25.1,49.8,74.65,100.0
2016__비경활__빈도,4.0,47112.25,40946.86198294077,329.0,22070.75,46947.5,71989.0,94225.0
2016__비경활__비중,4.0,49.975,43.472395455813874,0.3,23.400000000000002,49.8,76.375,100.0
2017__전체__빈도,4.0,256084.75,218484.11813428605,3855.0,128834.25,254157.0,381407.5,512170.0
2017__전체__비중,4.0,49.949999999999996,42.683056747769754,0.7,25.075000000000003,49.550000000000004,74.42500000000001,100.0
2017__취업자__빈도,4.0,187778.25,159221.14632459052,3388.0,96717.25,186084.0,277145.0,375557.0
2017__취업자__비중,4.0,49.975,42.394211475939336,0.9,25.725,49.5,73.75,100.0
2017__실업자__빈도,4.0,21449.0,18337.857399380115,179.0,10859.75,21359.0,31948.25,42899.0
2017__실업자__비중,4.0,49.975,42.74703693434981,0.4,25.3,49.75,74.42500000000001,100.0
2017__비경활__빈도,4.0,46855.75,41013.46959536586,286.0,21256.0,46712.5,72312.25,93712.0
2017__비경활__비중,4.0,49.975,43.765844749835075,0.3,22.650000000000002,49.8,77.125,100.0
2018__전체__빈도,4.0,247167.0,209987.37072182857,3792.0,126918.0,245271.0,365520.0,494334.0
2018__전체__비중,4.0,49.95,42.50776399671006,0.7,25.6,49.55,73.9,100.0
2018__취업자__빈도,4.0,182450.25,155013.7410841912,3273.0,93052.5,180813.5,270211.25,364901.0
2018__취업자__비중,4.0,49.975,42.51857437246299,0.8,25.475,49.550000000000004,74.05000000000001,100.0
2018__실업자__빈도,4.0,19642.25,16808.036676443407,122.0,9953.75,19581.0,29269.5,39285.0
2018__실업자__비중,4.0,49.975,42.79816000717788,0.3,25.275,49.8,74.5,100.0
2018__비경활__빈도,4.0,45072.75,38176.338512879935,396.0,23910.0,44874.5,66037.25,90146.0
2018__비경활__비중,4.0,49.975,42.36227685099091,0.4,26.5,49.75,73.225,100.0
2019__전체__빈도,4.0,243455.75,206954.18319582235,3879.0,124462.5,241516.0,360509.25,486912.0
2019__전체__비중,4.0,49.95,42.53237982212297,0.7,25.525,49.55,73.975,100.0
2019__취업자__빈도,4.0,162234.25,137493.66990853313,3294.0,83294.25,160587.0,239527.0,324469.0
2019__취업자__비중,4.0,49.95,42.3809312466507,1.0,25.599999999999998,49.4,73.75,100.0
2019__실업자__빈도,4.0,26169.5,22848.425540213197,151.0,12028.0,26093.5,40235.0,52340.0
2019__실업자__비중,4.0,49.949999999999996,43.684818110338206,0.2,22.925,49.8,76.82499999999999,100.0
2019__비경활__빈도,4.0,55050.5,46669.412527550274,432.0,29138.25,54834.0,80746.25,110102.0
2019__비경활__비중,4.0,49.95,42.42424621212105,0.3,26.4,49.75,73.30000000000001,100.0
