column_order,column,dtype,non_null_n,missing_n,missing_rate,unique_n,sample_values
1,분류,string,8,0,0.0,8,전체 | 인문 | 사회 | 교육 | 공학
2,2007__전체__빈도,int64,8,0,0.0,8,498699 | 49494 | 133728 | 32742 | 128837
3,2007__전체__비중,float64,8,0,0.0,8,100.0 | 9.9 | 26.8 | 6.5 | 25.8
4,2007__취업자__빈도,int64,8,0,0.0,8,390379 | 36965 | 105097 | 24957 | 103176
5,2007__취업자__비중,float64,8,0,0.0,8,100.0 | 9.4 | 26.9 | 6.3 | 26.4
6,2007__실업자__빈도,int64,8,0,0.0,8,32677 | 3286 | 9447 | 1512 | 8548
7,2007__실업자__비중,float64,8,0,0.0,8,100.0 | 10.0 | 28.9 | 4.6 | 26.1
8,2007__비경활__빈도,int64,8,0,0.0,8,75643 | 9242 | 19183 | 6272 | 17111
9,2007__비경활__비중,float64,8,0,0.0,8,100.0 | 12.2 | 25.3 | 8.2 | 22.6
10,2008__전체__빈도,int64,8,0,0.0,8,497373 | 48492 | 139241 | 34228 | 119772
11,2008__전체__비중,float64,8,0,0.0,8,100.0 | 9.7 | 27.9 | 6.8 | 24.0
12,2008__취업자__빈도,int64,8,0,0.0,8,392483 | 37184 | 109037 | 26730 | 96395
13,2008__취업자__비중,float64,8,0,0.0,8,100.0 | 9.4 | 27.7 | 6.8 | 24.5
14,2008__실업자__빈도,int64,8,0,0.0,8,31172 | 2738 | 9254 | 1322 | 8396
15,2008__실업자__비중,float64,8,0,0.0,8,100.0 | 8.7 | 29.6 | 4.2 | 26.9
16,2008__비경활__빈도,int64,8,0,0.0,8,73718 | 8569 | 20948 | 6175 | 14981
17,2008__비경활__비중,float64,8,0,0.0,8,100.0 | 11.6 | 28.4 | 8.3 | 20.3
18,2009__전체__빈도,int64,8,0,0.0,8,480193 | 45628 | 139706 | 32602 | 110651
19,2009__전체__비중,float64,8,0,0.0,8,100.0 | 9.5 | 29.0 | 6.7 | 23.0
20,2009__취업자__빈도,int64,8,0,0.0,8,360293 | 31265 | 107044 | 24809 | 85752
