column_order,column,dtype,non_null_n,missing_n,missing_rate,unique_n,sample_values
1,분류,string,22,0,0.0,22,"전체 | 농업,임업 및 어업 | 광업 | 제조업 | 전기, 가스, 증기 및 수도사업"
2,2007__전체__빈도,int64,22,0,0.0,22,390296 | 1490 | 188 | 67373 | 2252
3,2007__전체__비중,float64,22,0,0.0,19,100.0 | 0.3 | 0.0 | 17.2 | 0.5
4,2007__남자__빈도,int64,22,0,0.0,22,200119 | 1172 | 171 | 48708 | 1838
5,2007__남자__비중,float64,22,0,0.0,20,100.0 | 0.5 | 0.0 | 24.3 | 0.9
6,2007__여자__빈도,int64,22,0,0.0,22,190176 | 317 | 17 | 18665 | 414
7,2007__여자__비중,float64,22,0,0.0,18,100.0 | 0.1 | 0.0 | 9.8 | 0.2
8,2008__전체__빈도,int64,22,0,0.0,22,392483 | 1523 | 102 | 64181 | 1882
9,2008__전체__비중,float64,22,0,0.0,20,100.0 | 0.3 | 0.0 | 16.3 | 0.4
10,2008__남자__빈도,int64,22,0,0.0,22,197196 | 1281 | 68 | 46842 | 1548
11,2008__남자__비중,float64,22,0,0.0,20,100.0 | 0.6 | 0.0 | 23.7 | 0.7
12,2008__여자__빈도,int64,22,0,0.0,22,195287 | 241 | 34 | 17339 | 333
13,2008__여자__비중,float64,22,0,0.0,17,100.0 | 0.1 | 0.0 | 8.8 | 1.8
14,2009__전체__빈도,int64,22,0,0.0,22,359613 | 1178 | 89 | 60101 | 1292
15,2009__전체__비중,float64,22,0,0.0,17,100.0 | 0.3 | 0.0 | 16.7 | 0.1
16,2009__남자__빈도,int64,22,0,0.0,22,180392 | 929 | 65 | 42600 | 967
17,2009__남자__비중,float64,22,0,0.0,18,100.0 | 0.5 | 0.0 | 23.6 | 0.2
18,2009__여자__빈도,int64,22,0,0.0,22,179221 | 249 | 23 | 17501 | 324
19,2009__여자__비중,float64,22,0,0.0,18,100.0 | 0.1 | 0.0 | 9.7 | 2.4
20,2010__전체__빈도,int64,22,0,0.0,22,376517 | 1822 | 280 | 64919 | 1463
21,2010__전체__비중,float64,22,0,0.0,19,100.0 | 0.4 | 0.0 | 17.2 | 0.3
22,2010__남자__빈도,int64,22,0,0.0,22,185259 | 1309 | 103 | 46732 | 1059
23,2010__남자__비중,float64,22,0,0.0,20,100.0 | 0.7 | 0.0 | 25.2 | 0.5
24,2010__여자__빈도,int64,22,0,0.0,22,191258 | 513 | 177 | 18187 | 403
25,2010__여자__비중,float64,22,0,0.0,19,100.0 | 0.2 | 0.0 | 9.5 | 0.1
26,2011__전체__빈도,int64,22,0,0.0,22,380683 | 1406 | 131 | 68353 | 1472
27,2011__전체__비중,float64,22,0,0.0,19,100.0 | 0.3 | 0.0 | 17.9 | 0.1
28,2011__남자__빈도,int64,22,0,0.0,22,189647 | 1141 | 108 | 46938 | 912
29,2011__남자__비중,float64,22,0,0.0,20,100.0 | 0.6 | 0.0 | 24.7 | 0.4
30,2011__여자__빈도,int64,22,0,0.0,22,191036 | 265 | 23 | 21414 | 560
31,2011__여자__비중,float64,22,0,0.0,19,100.0 | 0.1 | 0.0 | 11.2 | 0.2
32,2012__전체__빈도,int64,22,0,0.0,22,381658 | 1658 | 190 | 69078 | 1933
33,2012__전체__비중,float64,22,0,0.0,19,100.0 | 0.4 | 0.0 | 18.0 | 0.5
34,2012__남자__빈도,int64,22,0,0.0,22,189166 | 1469 | 121 | 48545 | 1448
35,2012__남자__비중,float64,22,0,0.0,19,100.0 | 0.7 | 0.0 | 25.6 | 0.3
36,2012__여자__빈도,int64,22,0,0.0,22,192491 | 189 | 69 | 20533 | 484
37,2012__여자__비중,float64,22,0,0.0,18,100.0 | 0.0 | 10.6 | 0.2 | 2.0
38,2013__전체__빈도,int64,22,0,0.0,22,361366 | 1615 | 73 | 66510 | 1768
39,2013__전체__비중,float64,22,0,0.0,19,100.0 | 0.4 | 0.0 | 18.4 | 0.1
40,2013__남자__빈도,int64,22,0,0.0,22,176982 | 1340 | 58 | 47653 | 1366
41,2013__남자__비중,float64,22,0,0.0,18,100.0 | 0.7 | 0.0 | 26.9 | 0.2
42,2013__여자__빈도,int64,22,0,0.0,22,184383 | 274 | 14 | 18857 | 401
43,2013__여자__비중,float64,22,0,0.0,18,100.0 | 0.1 | 0.0 | 10.2 | 0.2
44,2014__전체__빈도,int64,22,0,0.0,22,370190 | 1899 | 97 | 66948 | 2036
45,2014__전체__비중,float64,22,0,0.0,19,100.0 | 0.5 | 0.0 | 18.0 | 0.1
46,2014__남자__빈도,int64,22,0,0.0,22,180373 | 1629 | 71 | 46244 | 1500
47,2014__남자__비중,float64,22,0,0.0,18,100.0 | 0.9 | 0.0 | 25.6 | 0.8
48,2014__여자__빈도,int64,22,0,0.0,22,189816 | 270 | 25 | 20704 | 536
49,2014__여자__비중,float64,22,0,0.0,19,100.0 | 0.1 | 0.0 | 10.9 | 0.2
50,2015__전체__빈도,int64,22,0,0.0,22,379583 | 1273 | 101 | 64917 | 1927
51,2015__전체__비중,float64,22,0,0.0,19,100.0 | 0.3 | 0.0 | 17.1 | 0.5
52,2015__남자__빈도,int64,22,0,0.0,21,185905 | 1076 | 43 | 45602 | 1470
53,2015__남자__비중,float64,22,0,0.0,19,100.0 | 0.5 | 0.0 | 24.5 | 0.7
54,2015__여자__빈도,int64,22,0,0.0,22,193678 | 196 | 57 | 19315 | 457
55,2015__여자__비중,float64,22,0,0.0,19,100.0 | 0.1 | 0.0 | 9.9 | 0.2
56,2016__전체__빈도,int64,22,0,0.0,22,388117 | 1543 | 120 | 60838 | 2753
57,2016__전체__비중,float64,22,0,0.0,20,100.0 | 0.3 | 0.0 | 15.6 | 0.7
58,2016__남자__빈도,int64,22,0,0.0,22,189919 | 1187 | 60 | 43203 | 1951
59,2016__남자__비중,float64,22,0,0.0,20,100.0 | 0.6 | 0.0 | 22.7 | 1.0
60,2016__여자__빈도,int64,22,0,0.0,22,198197 | 356 | 60 | 17634 | 802
61,2016__여자__비중,float64,22,0,0.0,19,100.0 | 0.1 | 0.0 | 8.8 | 0.4
62,2017__전체__빈도,int64,22,0,0.0,22,375179 | 1551 | 35 | 55491 | 2044
63,2017__전체__비중,float64,22,0,0.0,19,100.0 | 0.4 | 0.0 | 14.7 | 0.5
64,2017__남자__빈도,int64,22,0,0.0,22,183603 | 1163 | 35 | 40068 | 1694
65,2017__남자__비중,float64,22,0,0.0,18,100.0 | 0.6 | 0.0 | 21.8 | 0.9
66,2017__여자__빈도,int64,22,0,0.0,21,191575 | 388 | 0 | 15423 | 350
67,2017__여자__비중,float64,22,0,0.0,18,100.0 | 0.2 | 0.0 | 8.0 | 0.1
68,2018__전체__빈도,int64,22,0,0.0,22,364556 | 1788 | 13 | 55774 | 2994
