column,count,mean,std,min,25%,50%,75%,max
2007__전체__빈도,22.0,35481.0,81580.5773021519,39.0,2847.75,13740.5,29944.0,390296.0
2007__전체__비중,22.0,9.04090909090909,20.911870839103372,0.0,0.65,3.5,7.6,100.0
2007__남자__빈도,22.0,18192.31818181818,42057.687317694814,0.0,2012.5,6583.5,15267.5,200119.0
2007__남자__비중,22.0,9.049999999999999,21.025353176355356,0.0,0.975,3.25,7.6,100.0
2007__여자__빈도,22.0,17288.363636363636,40299.26264425933,17.0,835.25,5874.5,13051.25,190176.0
2007__여자__비중,22.0,9.054545454545455,21.198399024740556,0.0,0.42500000000000004,3.05,6.8500000000000005,100.0
2008__전체__빈도,22.0,35679.72727272727,82126.33893040987,43.0,2123.5,13644.5,28054.5,392483.0
2008__전체__비중,22.0,9.04090909090909,20.935994502312656,0.0,0.475,3.4000000000000004,7.075,100.0
2008__남자__빈도,22.0,17926.454545454544,41376.75325789231,0.0,1559.25,6497.5,14826.0,197196.0
2008__남자__비중,22.0,9.045454545454547,20.9906493302937,0.0,0.725,3.25,7.45,100.0
2008__여자__빈도,22.0,17752.954545454544,41502.32527103268,34.0,563.5,5759.0,13024.0,195287.0
2008__여자__비중,22.0,9.040909090909091,21.26214295276285,0.0,0.225,2.9,6.625,100.0
2009__전체__빈도,22.0,32691.68181818182,75306.10925409159,0.0,1834.75,11711.5,26106.0,359613.0
2009__전체__비중,22.0,9.049999999999999,20.95104838836063,0.0,0.45,3.2,7.25,100.0
2009__남자__빈도,22.0,16398.863636363636,37876.54037263127,0.0,1220.0,5840.0,13526.25,180392.0
2009__남자__비중,22.0,9.045454545454545,21.006523414740148,0.0,0.625,3.2,7.45,100.0
2009__여자__빈도,22.0,16292.40909090909,38173.36358005607,0.0,613.75,5379.5,12271.0,179221.0
2009__여자__비중,22.0,9.049999999999999,21.30798531291117,0.0,0.275,2.95,6.775,100.0
2010__전체__빈도,22.0,34228.318181818184,78947.71511358542,50.0,2105.25,13292.0,25665.25,376517.0
2010__전체__비중,22.0,9.045454545454545,20.978645089317613,0.0,0.475,3.5,6.8,100.0
2010__남자__빈도,22.0,16841.31818181818,39046.4335696999,0.0,1400.0,6145.5,12648.25,185259.0
2010__남자__비중,22.0,9.045454545454547,21.086053329669,0.0,0.75,3.25,6.775,100.0
2010__여자__빈도,22.0,17386.636363636364,40657.13165994194,31.0,705.0,6023.0,12555.5,191258.0
2010__여자__비중,22.0,9.05,21.26579525009699,0.0,0.3,3.1,6.5,100.0
2011__전체__빈도,22.0,34607.045454545456,79814.93707170193,35.0,1810.75,13642.5,26976.75,380683.0
2011__전체__비중,22.0,9.036363636363633,20.978731757358123,0.0,0.39999999999999997,3.5,7.075,100.0
2011__남자__빈도,22.0,17240.272727272728,39948.67701031486,0.0,1224.5,7099.0,13898.75,189647.0
2011__남자__비중,22.0,9.049999999999999,21.072115404463965,0.0,0.625,3.7,7.2749999999999995,100.0
2011__여자__빈도,22.0,17366.590909090908,40406.63063534085,23.0,758.0,5808.0,12396.75,191036.0
2011__여자__비중,22.0,9.049999999999999,21.15954698407857,0.0,0.325,2.95,6.45,100.0
2012__전체__빈도,22.0,34695.72727272727,79902.05472486556,97.0,2334.75,13939.0,27931.75,381658.0
2012__전체__비중,22.0,9.045454545454545,20.943295944565296,0.0,0.6,3.6,7.300000000000001,100.0
2012__남자__빈도,22.0,17196.5,39841.24733865645,19.0,1645.0,6634.0,13991.5,189166.0
2012__남자__비중,22.0,9.05,21.069245246047505,0.0,0.8,3.5,7.325,100.0
2012__여자__빈도,22.0,17498.68181818182,40718.55679964997,69.0,704.5,5993.0,12715.25,192491.0
2012__여자__비중,22.0,9.049999999999999,21.163529951310107,0.0,0.325,3.1,6.550000000000001,100.0
2013__전체__빈도,22.0,32850.954545454544,75702.16094637073,0.0,2145.5,12753.5,25845.75,361366.0
2013__전체__비중,22.0,9.045454545454545,20.96027370033783,0.0,0.525,3.45,7.1,100.0
2013__남자__빈도,22.0,16088.818181818182,37388.97876015434,0.0,1422.5,5889.0,12730.75,176982.0
2013__남자__비중,22.0,9.049999999999999,21.134394220029566,0.0,0.75,3.3,7.15,100.0
2013__여자__빈도,22.0,16761.590909090908,39103.32433031517,0.0,722.0,5450.0,12281.25,184383.0
2013__여자__비중,22.0,9.063636363636364,21.21323812767565,0.0,0.375,2.9,6.6000000000000005,100.0
2014__전체__빈도,22.0,33653.27272727273,77564.70910283744,57.0,2333.0,11589.0,25684.75,370190.0
2014__전체__비중,22.0,9.045454545454545,20.96265902964301,0.0,0.575,3.05,6.925,100.0
2014__남자__빈도,22.0,16397.136363636364,38006.31968664392,6.0,1666.75,5417.0,13245.75,180373.0
2014__남자__비중,22.0,9.045454545454547,21.080926320858264,0.0,0.9,2.95,7.300000000000001,100.0
2014__여자__빈도,22.0,17255.68181818182,40265.18469606497,25.0,762.75,5804.5,13257.0,189816.0
2014__여자__비중,22.0,9.045454545454545,21.223184251745774,0.0,0.325,3.0,6.949999999999999,100.0
2015__전체__빈도,22.0,34507.09090909091,79380.57215351821,28.0,2395.75,13171.5,27103.0,379583.0
2015__전체__비중,22.0,9.063636363636364,20.919222089118247,0.0,0.625,3.45,7.1,100.0
2015__남자__빈도,22.0,16900.0,39063.17856157296,0.0,1633.0,6223.5,13544.5,185905.0
2015__남자__비중,22.0,9.054545454545455,21.01955387304034,0.0,0.8,3.3,7.25,100.0
2015__여자__빈도,22.0,17606.636363636364,40972.07448929954,28.0,762.5,6288.0,14015.5,193678.0
2015__여자__비중,22.0,9.049999999999999,21.1644524526161,0.0,0.35000000000000003,3.2,7.175000000000001,100.0
2016__전체__빈도,22.0,35282.954545454544,81005.82939604219,0.0,3010.75,13284.5,28676.0,388117.0
2016__전체__비중,22.0,9.049999999999999,20.87907929916816,0.0,0.75,3.4,7.324999999999999,100.0
2016__남자__빈도,22.0,17264.909090909092,39775.92260330014,0.0,2006.25,7020.0,13875.25,189919.0
2016__남자__비중,22.0,9.045454545454545,20.9520706391818,0.0,1.025,3.65,7.25,100.0
2016__여자__빈도,22.0,18017.545454545456,41884.70899269323,0.0,1004.25,6282.0,14366.25,198197.0
2016__여자__비중,22.0,9.04090909090909,21.14146589256715,0.0,0.5,3.1500000000000004,7.2,100.0
2017__전체__빈도,22.0,34106.77272727273,78238.0029086656,26.0,2265.25,12494.5,28966.0,375179.0
2017__전체__비중,22.0,9.05,20.86105393858545,0.0,0.55,3.3,7.7,100.0
2017__남자__빈도,22.0,16690.863636363636,38383.17999716549,0.0,1697.75,6732.5,14355.5,183603.0
2017__남자__비중,22.0,9.054545454545455,20.912122874468846,0.0,0.9,3.65,7.8,100.0
2017__여자__빈도,22.0,17415.454545454544,40457.20597269272,0.0,595.75,5923.5,14641.0,191575.0
2017__여자__비중,22.0,9.05,21.12407225350805,0.0,0.3,3.0,7.575,100.0
2018__전체__빈도,22.0,33140.954545454544,76087.2025028659,13.0,2540.25,12162.5,29741.5,364556.0
2018__전체__비중,22.0,9.040909090909091,20.87832457908051,0.0,0.65,3.3,8.075,100.0
2018__남자__빈도,22.0,16379.227272727272,37696.38923839463,0.0,1643.5,6620.0,13805.0,180176.0
2018__남자__비중,22.0,9.040909090909091,20.932741705870143,0.0,0.825,3.65,7.6,100.0
2018__여자__빈도,22.0,16761.272727272728,38990.02133413578,0.0,799.5,5473.0,15082.25,184379.0
2018__여자__비중,22.0,9.04090909090909,21.157159299168438,0.0,0.375,2.9,8.15,100.0
2019__전체__빈도,22.0,29060.227272727272,66729.46811669011,0.0,2687.75,9736.5,24812.75,319667.0
2019__전체__비중,22.0,9.045454545454547,20.88229432917314,0.0,0.8250000000000001,3.0,7.725,100.0
2019__남자__빈도,22.0,14341.136363636364,32915.84398821805,0.0,1794.25,5902.0,13229.25,157757.0
2019__남자__비중,22.0,9.045454545454545,20.874311560309796,0.0,1.1,3.65,8.35,100.0
2019__여자__빈도,22.0,14718.5,34306.99502704535,0.0,741.5,4297.5,12630.25,161909.0
2019__여자__비중,22.0,9.05,21.19467026445676,0.0,0.42500000000000004,2.6,7.75,100.0
