분류,2007__전체__빈도,2007__전체__비중,2007__인문__빈도,2007__인문__비중,2007__사회__빈도,2007__사회__비중,2007__교육__빈도,2007__교육__비중,2007__공학__빈도,2007__공학__비중,2007__자연__빈도,2007__자연__비중,2007__의약__빈도,2007__의약__비중,2007__예체능__빈도,2007__예체능__비중,2008__전체__빈도,2008__전체__비중,2008__인문__빈도,2008__인문__비중,2008__사회__빈도,2008__사회__비중,2008__교육__빈도,2008__교육__비중,2008__공학__빈도,2008__공학__비중,2008__자연__빈도,2008__자연__비중,2008__의약__빈도,2008__의약__비중,2008__예체능__빈도,2008__예체능__비중,2009__전체__빈도,2009__전체__비중,2009__인문__빈도,2009__인문__비중,2009__사회__빈도,2009__사회__비중,2009__교육__빈도,2009__교육__비중,2009__공학__빈도,2009__공학__비중,2009__자연__빈도,2009__자연__비중,2009__의약__빈도,2009__의약__비중,2009__예체능__빈도,2009__예체능__비중,2010__전체__빈도,2010__전체__비중,2010__인문__빈도,2010__인문__비중,2010__사회__빈도,2010__사회__비중,2010__교육__빈도,2010__교육__비중,2010__공학__빈도,2010__공학__비중,2010__자연__빈도,2010__자연__비중,2010__의약__빈도,2010__의약__비중,2010__예체능__빈도,2010__예체능__비중,2011__전체__빈도,2011__전체__비중,2011__인문__빈도,2011__인문__비중,2011__사회__빈도,2011__사회__비중,2011__교육__빈도,2011__교육__비중,2011__공학__빈도,2011__공학__비중,2011__자연__빈도,2011__자연__비중,2011__의약__빈도,2011__의약__비중,2011__예체능__빈도,2011__예체능__비중,2012__전체__빈도,2012__전체__비중,2012__인문__빈도,2012__인문__비중,2012__사회__빈도,2012__사회__비중,2012__교육__빈도,2012__교육__비중,2012__공학__빈도,2012__공학__비중,2012__자연__빈도,2012__자연__비중,2012__의약__빈도,2012__의약__비중,2012__예체능__빈도,2012__예체능__비중,2013__전체__빈도,2013__전체__비중,2013__인문__빈도,2013__인문__비중,2013__사회__빈도,2013__사회__비중,2013__교육__빈도,2013__교육__비중,2013__공학__빈도,2013__공학__비중,2013__자연__빈도,2013__자연__비중,2013__의약__빈도,2013__의약__비중,2013__예체능__빈도,2013__예체능__비중,2014__전체__빈도,2014__전체__비중,2014__인문__빈도,2014__인문__비중,2014__사회__빈도,2014__사회__비중,2014__교육__빈도,2014__교육__비중,2014__공학__빈도,2014__공학__비중,2014__자연__빈도,2014__자연__비중,2014__의약__빈도,2014__의약__비중,2014__예체능__빈도,2014__예체능__비중,2015__전체__빈도,2015__전체__비중,2015__인문__빈도,2015__인문__비중,2015__사회__빈도,2015__사회__비중,2015__교육__빈도,2015__교육__비중,2015__공학__빈도,2015__공학__비중,2015__자연__빈도,2015__자연__비중,2015__의약__빈도,2015__의약__비중,2015__예체능__빈도,2015__예체능__비중,2016__전체__빈도,2016__전체__비중,2016__인문__빈도,2016__인문__비중,2016__사회__빈도,2016__사회__비중,2016__교육__빈도,2016__교육__비중,2016__공학__빈도,2016__공학__비중,2016__자연__빈도,2016__자연__비중,2016__의약__빈도,2016__의약__비중,2016__예체능__빈도,2016__예체능__비중,2017__전체__빈도,2017__전체__비중,2017__인문__빈도,2017__인문__비중,2017__사회__빈도,2017__사회__비중,2017__교육__빈도,2017__교육__비중,2017__공학__빈도,2017__공학__비중,2017__자연__빈도,2017__자연__비중,2017__의약__빈도,2017__의약__비중,2017__예체능__빈도,2017__예체능__비중,2018__전체__빈도,2018__전체__비중,2018__인문__빈도,2018__인문__비중,2018__사회__빈도,2018__사회__비중,2018__교육__빈도,2018__교육__비중,2018__공학__빈도,2018__공학__비중,2018__자연__빈도,2018__자연__비중,2018__의약__빈도,2018__의약__비중,2018__예체능__빈도,2018__예체능__비중,2019__전체__빈도,2019__전체__비중,2019__인문__빈도,2019__인문__비중,2019__사회__빈도,2019__사회__비중,2019__교육__빈도,2019__교육__비중,2019__공학__빈도,2019__공학__비중,2019__자연__빈도,2019__자연__비중,2019__의약__빈도,2019__의약__비중,2019__예체능__빈도,2019__예체능__비중
전체,390296,100.0,36965,100.0,105097,100.0,24957,100.0,103176,100.0,35996,100.0,32675,100.0,51427,100.0,392483,100.0,37184,100.0,109037,100.0,26730,100.0,96395,100.0,38025,100.0,33121,100.0,51989,100.0,359613,100.0,31200,100.0,106801,100.0,24809,100.0,85685,100.0,32996,100.0,32172,100.0,45948,100.0,376517,100.0,34182,100.0,109932,100.0,24855,100.0,87012,100.0,36785,100.0,33721,100.0,50027,100.0,380683,100.0,33605,100.0,110681,100.0,24277,100.0,90669,100.0,37576,100.0,34099,100.0,49773,100.0,381658,100.0,31789,100.0,112571,100.0,22547,100.0,93154,100.0,34922,100.0,35982,100.0,50690,100.0,361366,100.0,29165,100.0,104412,100.0,22756,100.0,88052,100.0,33497,100.0,35908,100.0,47572,100.0,370190,100.0,29912,100.0,104755,100.0,23160,100.0,88564,100.0,34576,100.0,39864,100.0,49355,100.0,379583,100.0,32869,100.0,108320,100.0,23239,100.0,90867,100.0,35387,100.0,40713,100.0,48185,100.0,388117,100.0,33728,100.0,106280,100.0,22066,100.0,94810,100.0,37094,100.0,43588,100.0,50548,100.0,375179,100.0,31179,100.0,100967,100.0,22230,100.0,93002,100.0,35582,100.0,44539,100.0,47677,100.0,364556,100.0,29824,100.0,94576,100.0,21693,100.0,92967,100.0,35677,100.0,45877,100.0,43939,100.0,319667,100.0,24153,100.0,81370,100.0,19134,100.0,81556,100.0,30579,100.0,44330,100.0,38543,100.0
"농업,임업 및 어업",1490,0.3,108,0.2,391,0.3,18,0.0,372,0.3,525,1.4,40,0.1,33,0.0,1523,0.3,114,0.3,408,0.3,50,0.1,346,0.3,476,1.2,0,0.0,127,0.2,1178,0.3,92,0.2,316,0.2,0,0.0,154,0.1,539,1.6,53,0.1,22,0.0,1822,0.4,86,0.2,843,0.7,0,0.0,262,0.3,605,1.6,0,0.0,24,0.0,1406,0.3,98,0.2,438,0.3,0,0.0,286,0.3,557,1.4,0,0.0,25,0.0,1658,0.4,25,0.0,349,0.3,0,0.0,373,0.4,795,2.2,56,0.1,58,0.1,1615,0.4,67,0.2,707,0.6,0,0.0,192,0.2,590,1.7,57,0.1,0,0.0,1899,0.5,151,0.5,632,0.6,54,0.2,154,0.1,817,2.3,0,0.0,89,0.1,1273,0.3,56,0.1,314,0.2,0,0.0,159,0.1,691,1.9,0,0.0,51,0.1,1543,0.3,97,0.2,289,0.2,47,0.2,281,0.2,758,2.0,0,0.0,70,0.1,1551,0.4,74,0.2,203,0.2,29,0.1,286,0.3,686,1.9,44,0.0,227,0.4,1788,0.4,75,0.2,478,0.5,125,0.5,187,0.2,721,2.0,74,0.1,125,0.2,1043,0.3,50,0.2,167,0.2,16,0.0,211,0.2,574,1.8,0,0.0,23,0.0
광업,188,0.0,0,0.0,99,0.0,0,0.0,0,0.0,52,0.1,36,0.1,0,0.0,102,0.0,34,0.0,46,0.0,0,0.0,0,0.0,21,0.0,0,0.0,0,0.0,89,0.0,0,0.0,89,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,280,0.0,153,0.4,27,0.0,0,0.0,24,0.0,51,0.1,0,0.0,23,0.0,131,0.0,0,0.0,49,0.0,0,0.0,45,0.0,0,0.0,0,0.0,37,0.0,190,0.0,0,0.0,61,0.0,0,0.0,58,0.0,40,0.1,0,0.0,28,0.0,73,0.0,0,0.0,49,0.0,0,0.0,24,0.0,0,0.0,0,0.0,0,0.0,97,0.0,0,0.0,29,0.0,0,0.0,42,0.0,25,0.0,0,0.0,0,0.0,101,0.0,0,0.0,57,0.0,0,0.0,43,0.0,0,0.0,0,0.0,0,0.0,120,0.0,17,0.0,42,0.0,0,0.0,43,0.0,16,0.0,0,0.0,0,0.0,35,0.0,0,0.0,35,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,13,0.0,0,0.0,0,0.0,0,0.0,13,0.0,0,0.0,0,0.0,0,0.0,66,0.0,16,0.0,49,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
제조업,67373,17.2,4336,11.7,14469,13.7,454,1.8,32151,31.1,7021,19.5,2119,6.4,6820,13.2,64181,16.3,4242,11.4,13300,12.1,546,2.0,30549,31.6,7326,19.2,1934,5.8,6282,12.0,60101,16.7,4235,13.5,14124,13.2,417,1.6,27692,32.3,6043,18.3,1859,5.7,5727,12.4,64919,17.2,4710,13.7,15322,13.9,514,2.0,29111,33.4,6278,17.0,2223,6.5,6758,13.5,68353,17.9,4562,13.5,16787,15.1,830,3.4,30402,33.5,6833,18.1,2400,7.0,6536,13.1,69078,18.0,4517,14.2,16599,14.7,503,2.2,32234,34.6,7238,20.7,2016,5.6,5968,11.7,66510,18.4,4292,14.7,16311,15.6,197,0.8,31849,36.1,6487,19.3,2022,5.6,5350,11.2,66948,18.0,4287,14.3,17179,16.3,298,1.2,31116,35.1,6026,17.4,1915,4.8,6122,12.4,64917,17.1,3849,11.7,14959,13.8,420,1.8,30741,33.8,6483,18.3,2074,5.0,6389,13.2,60838,15.6,3711,11.0,13113,12.3,360,1.6,30132,31.7,6260,16.8,1817,4.1,5443,10.7,55491,14.7,3773,12.1,10946,10.8,461,2.0,27944,30.0,6014,16.9,1746,3.9,4603,9.6,55774,15.2,3439,11.5,9514,10.0,338,1.5,28354,30.4,6561,18.3,2285,4.9,5280,12.0,46646,14.5,2046,8.4,8516,10.4,282,1.4,24291,29.7,6038,19.7,1672,3.7,3799,9.8
"전기, 가스, 증기 및 수도사업",2252,0.5,139,0.3,485,0.4,22,0.0,1289,1.2,196,0.5,0,0.0,119,0.2,1882,0.4,97,0.2,349,0.3,0,0.0,1133,1.1,201,0.5,0,0.0,99,0.1,1292,0.3,90,0.2,170,0.1,15,0.0,646,0.7,184,0.5,46,0.1,137,0.2,1463,0.3,65,0.1,341,0.3,0,0.0,674,0.7,236,0.6,46,0.1,99,0.1,1472,0.3,201,0.5,419,0.3,21,0.0,663,0.7,166,0.4,0,0.0,0,0.0,1933,0.5,140,0.4,375,0.3,28,0.1,1160,1.2,150,0.4,48,0.1,28,0.0,1768,0.4,98,0.3,526,0.5,23,0.1,955,1.0,125,0.3,28,0.0,9,0.0,2036,0.5,57,0.1,255,0.2,0,0.0,1463,1.6,241,0.6,0,0.0,18,0.0,1927,0.5,70,0.2,227,0.2,0,0.0,1473,1.6,61,0.1,94,0.2,0,0.0,2753,0.7,66,0.1,598,0.5,9,0.0,1845,1.9,165,0.4,12,0.0,55,0.1,2044,0.5,62,0.2,370,0.3,31,0.1,1498,1.6,82,0.2,0,0.0,0,0.0,2994,0.8,79,0.2,627,0.6,31,0.1,2094,2.2,122,0.3,22,0.0,16,0.0,2957,0.9,136,0.5,561,0.6,0,0.0,1877,2.3,285,0.9,96,0.2,0,0.0
"하수·폐기물처리, 원료재생 및 환경복원업",864,0.2,13,0.0,140,0.1,0,0.0,391,0.3,284,0.7,11,0.0,22,0.0,683,0.1,0,0.0,259,0.2,0,0.0,144,0.1,241,0.6,10,0.0,27,0.0,669,0.1,21,0.0,93,0.0,29,0.1,204,0.2,295,0.8,25,0.0,0,0.0,818,0.2,72,0.2,177,0.1,0,0.0,230,0.2,337,0.9,0,0.0,0,0.0,654,0.1,32,0.0,131,0.1,0,0.0,207,0.2,228,0.6,55,0.1,0,0.0,745,0.1,95,0.3,79,0.0,0,0.0,220,0.2,227,0.6,81,0.2,40,0.0,493,0.1,0,0.0,112,0.1,0,0.0,221,0.2,145,0.4,0,0.0,14,0.0,584,0.1,19,0.0,31,0.0,0,0.0,267,0.3,265,0.7,0,0.0,0,0.0,499,0.1,0,0.0,122,0.1,0,0.0,200,0.2,146,0.4,30,0.0,0,0.0,981,0.2,0,0.0,160,0.1,0,0.0,347,0.3,240,0.6,0,0.0,232,0.4,1158,0.3,9,0.0,347,0.3,14,0.0,574,0.6,156,0.4,55,0.1,0,0.0,1221,0.3,52,0.1,149,0.1,14,0.0,617,0.6,251,0.7,66,0.1,69,0.1,957,0.2,27,0.1,184,0.2,0,0.0,455,0.5,217,0.7,72,0.1,0,0.0
건설업,16618,4.2,572,1.5,2723,2.5,17,0.0,10134,9.8,1000,2.7,275,0.8,1894,3.6,16942,4.3,463,1.2,2882,2.6,63,0.2,10826,11.2,1011,2.6,40,0.1,1653,3.1,16669,4.6,691,2.2,2945,2.7,137,0.5,9603,11.2,1067,3.2,207,0.6,2017,4.3,13245,3.5,402,1.1,2239,2.0,23,0.0,8202,9.4,933,2.5,251,0.7,1191,2.3,14172,3.7,613,1.8,2622,2.3,155,0.6,8052,8.8,942,2.5,280,0.8,1506,3.0,14085,3.6,402,1.2,2624,2.3,0,0.0,8410,9.0,818,2.3,323,0.8,1506,2.9,14054,3.8,502,1.7,2416,2.3,102,0.4,7932,9.0,815,2.4,415,1.1,1868,3.9,13087,3.5,350,1.1,2333,2.2,40,0.1,7867,8.8,590,1.7,262,0.6,1642,3.3,13711,3.6,643,1.9,2189,2.0,112,0.4,8180,9.0,812,2.2,251,0.6,1523,3.1,13662,3.5,321,0.9,2605,2.4,46,0.2,7179,7.5,722,1.9,439,1.0,2345,4.6,12415,3.3,438,1.4,2073,2.0,55,0.2,7095,7.6,810,2.2,321,0.7,1618,3.3,11839,3.2,234,0.7,1991,2.1,157,0.7,6860,7.3,426,1.1,493,1.0,1675,3.8,8279,2.5,334,1.3,1324,1.6,87,0.4,4596,5.6,451,1.4,336,0.7,1149,2.9
도매 및 소매업,35391,9.0,4062,10.9,11893,11.3,455,1.8,8808,8.5,3850,10.6,1322,4.0,4998,9.7,33939,8.6,3814,10.2,12228,11.2,514,1.9,7120,7.3,3484,9.1,1397,4.2,5380,10.3,34964,9.7,3944,12.6,12818,12.0,345,1.3,7248,8.4,3577,10.8,1463,4.5,5566,12.1,36900,9.8,4625,13.5,12310,11.1,457,1.8,7620,8.7,4014,10.9,1486,4.4,6385,12.7,36510,9.5,3857,11.4,14318,12.9,540,2.2,7279,8.0,3478,9.2,1089,3.1,5946,11.9,34620,9.0,4169,13.1,12847,11.4,350,1.5,6570,7.0,3617,10.3,1484,4.1,5579,11.0,32045,8.8,4272,14.6,12266,11.7,345,1.5,5619,6.3,3236,9.6,1169,3.2,5133,10.7,33217,8.9,4678,15.6,12577,12.0,494,2.1,6210,7.0,2645,7.6,1038,2.6,5572,11.2,33692,8.8,4020,12.2,13210,12.1,260,1.1,6302,6.9,2660,7.5,1622,3.9,5615,11.6,35741,9.2,5012,14.8,12919,12.1,612,2.7,6520,6.8,2974,8.0,1723,3.9,5979,11.8,33149,8.8,4393,14.0,11254,11.1,722,3.2,6762,7.2,2703,7.5,1975,4.4,5337,11.1,30915,8.4,4079,13.6,10567,11.1,665,3.0,5903,6.3,2810,7.8,1684,3.6,5204,11.8,25086,7.8,2955,12.2,8665,10.6,534,2.7,4338,5.3,2014,6.5,1650,3.7,4928,12.7
운수업,6991,1.7,1173,3.1,2472,2.3,143,0.5,2341,2.2,332,0.9,214,0.6,313,0.6,6833,1.7,1563,4.2,2716,2.4,19,0.0,1969,2.0,310,0.8,0,0.0,253,0.4,5596,1.5,898,2.8,2344,2.1,20,0.0,1659,1.9,141,0.4,66,0.2,465,1.0,5996,1.5,777,2.2,2963,2.6,56,0.2,1412,1.6,282,0.7,120,0.3,384,0.7,5871,1.5,1239,3.6,2132,1.9,56,0.2,1412,1.5,389,1.0,100,0.2,541,1.0,6971,1.8,803,2.5,3419,3.0,17,0.0,1885,2.0,339,0.9,59,0.1,447,0.8,7660,2.1,1064,3.6,4032,3.8,12,0.0,1736,1.9,308,0.9,47,0.1,458,0.9,6154,1.6,746,2.4,2955,2.8,31,0.1,1603,1.8,291,0.8,178,0.4,345,0.7,7360,1.9,1368,4.1,3087,2.8,91,0.3,1941,2.1,546,1.5,0,0.0,323,0.6,7498,1.9,822,2.4,3378,3.1,25,0.1,2174,2.2,607,1.6,94,0.2,395,0.7,8166,2.1,1149,3.6,3478,3.4,211,0.9,2528,2.7,283,0.7,64,0.1,449,0.9,9338,2.5,900,3.0,4300,4.5,13,0.0,2997,3.2,481,1.3,126,0.2,518,1.1,9330,2.9,1182,4.8,3881,4.7,31,0.1,3081,3.7,549,1.7,31,0.0,571,1.4
숙박 및 음식점업,11630,2.9,573,1.5,2916,2.7,315,1.2,1622,1.5,4418,12.2,309,0.9,1474,2.8,11933,3.0,913,2.4,3554,3.2,255,0.9,1289,1.3,4167,10.9,265,0.8,1487,2.8,11662,3.2,779,2.4,4299,4.0,178,0.7,778,0.9,3978,12.0,238,0.7,1410,3.0,13339,3.5,1058,3.0,4423,4.0,199,0.8,1207,1.3,4566,12.4,103,0.3,1779,3.5,14042,3.6,1242,3.6,4198,3.7,209,0.8,1437,1.5,4835,12.8,258,0.7,1860,3.7,16499,4.3,1575,4.9,5518,4.9,138,0.6,1692,1.8,4829,13.8,287,0.7,2457,4.8,17674,4.8,1220,4.1,5807,5.5,266,1.1,1414,1.6,5784,17.2,583,1.6,2598,5.4,21532,5.8,1728,5.7,7045,6.7,240,1.0,1927,2.1,7113,20.5,458,1.1,3019,6.1,22076,5.8,1958,5.9,7054,6.5,407,1.7,2047,2.2,6977,19.7,658,1.6,2972,6.1,23100,5.9,2106,6.2,7878,7.4,452,2.0,2276,2.4,6606,17.8,864,1.9,2915,5.7,23174,6.1,1660,5.3,8689,8.6,333,1.4,2266,2.4,5613,15.7,583,1.3,4026,8.4,22794,6.2,2188,7.3,7745,8.1,458,2.1,2541,2.7,5701,15.9,979,2.1,3180,7.2,19059,5.9,2022,8.3,6048,7.4,459,2.3,2079,2.5,4992,16.3,588,1.3,2869,7.4
