column,count,mean,std,min,25%,50%,75%,max
2007__전체__빈도,22.0,35481.0,81580.5773021519,39.0,2847.75,13740.5,29944.0,390296.0
2007__전체__비중,22.0,9.04090909090909,20.911870839103372,0.0,0.65,3.5,7.6,100.0
2007__인문__빈도,22.0,3360.0454545454545,7777.000691766735,0.0,222.25,1185.0,2912.75,36965.0
2007__인문__비중,22.0,9.049999999999999,21.048803834354647,0.0,0.5249999999999999,3.1500000000000004,7.875,100.0
2007__사회__빈도,22.0,9553.90909090909,21870.0930211384,0.0,836.5,3143.5,9276.25,105097.0
2007__사회__비중,22.0,9.036363636363635,20.820858256280854,0.0,0.725,2.95,8.8,100.0
2007__교육__빈도,22.0,2268.3636363636365,6087.731241685664,0.0,26.25,223.5,485.0,24957.0
2007__교육__비중,22.0,9.049999999999999,24.396072088213984,0.0,0.025,0.8500000000000001,1.875,100.0
2007__공학__빈도,22.0,9379.181818181818,22186.905832980818,0.0,782.0,2390.5,7822.0,103176.0
2007__공학__비중,22.0,9.04090909090909,21.512159553564317,0.0,0.7,2.25,7.55,100.0
2007__자연__빈도,22.0,3272.0,7584.133079754638,0.0,296.0,931.0,2975.0,35996.0
2007__자연__비중,22.0,9.04090909090909,21.079230560885303,0.0,0.75,2.5,8.200000000000001,100.0
2007__의약__빈도,22.0,2970.0,8580.0878505881,0.0,54.5,236.5,404.5,32675.0
2007__의약__비중,22.0,9.054545454545455,26.266885313437225,0.0,0.15,0.6499999999999999,1.2,100.0
2007__예체능__빈도,22.0,4674.727272727273,10814.721959668455,0.0,167.5,1684.0,4494.25,51427.0
2007__예체능__비중,22.0,9.04090909090909,21.038279376750353,0.0,0.3,3.2,8.7,100.0
2008__전체__빈도,22.0,35679.72727272727,82126.33893040987,43.0,2123.5,13644.5,28054.5,392483.0
2008__전체__비중,22.0,9.04090909090909,20.935994502312656,0.0,0.475,3.4000000000000004,7.075,100.0
2008__인문__빈도,22.0,3379.9545454545455,7801.6223250422345,0.0,134.25,1731.5,2626.5,37184.0
2008__인문__비중,22.0,9.054545454545455,20.989809937493984,0.0,0.35,4.65,7.0,100.0
2008__사회__빈도,22.0,9912.0,22691.447688291642,0.0,646.25,3360.5,9971.5,109037.0
2008__사회__비중,22.0,9.049999999999999,20.819330532212696,0.0,0.5249999999999999,3.05,9.1,100.0
2008__교육__빈도,22.0,2429.6363636363635,6581.179504541392,0.0,50.25,228.5,511.5,26730.0
2008__교육__비중,22.0,9.054545454545455,24.632048950459556,0.0,0.1,0.8,1.9,100.0
2008__공학__빈도,22.0,8762.90909090909,20730.113409997106,0.0,597.0,2287.0,7032.0,96395.0
2008__공학__비중,22.0,9.054545454545455,21.508995399992145,0.0,0.6,2.35,7.225,100.0
2008__자연__빈도,22.0,3456.409090909091,7979.59113201918,0.0,291.25,1159.0,3310.25,38025.0
2008__자연__비중,22.0,9.049999999999999,20.991852160847007,0.0,0.725,3.0,8.65,100.0
2008__의약__빈도,22.0,3010.590909090909,8774.28462236091,0.0,2.5,137.5,585.0,33121.0
2008__의약__비중,22.0,9.063636363636363,26.491068494054932,0.0,0.0,0.4,1.75,100.0
2008__예체능__빈도,22.0,4725.909090909091,10988.008606394478,0.0,158.5,1570.0,4434.25,51989.0
2008__예체능__비중,22.0,9.045454545454549,21.143584578570614,0.0,0.25,2.95,8.450000000000001,100.0
2009__전체__빈도,22.0,32691.68181818182,75306.10925409159,0.0,1834.75,11711.5,26106.0,359613.0
2009__전체__비중,22.0,9.049999999999999,20.95104838836063,0.0,0.45,3.2,7.25,100.0
2009__인문__빈도,22.0,2835.909090909091,6581.303618940196,0.0,129.25,1080.5,2133.0,31200.0
2009__인문__비중,22.0,9.04090909090909,21.10589308566977,0.0,0.325,3.4,6.8,100.0
2009__사회__빈도,22.0,9708.772727272728,22293.541838563746,0.0,645.75,3592.5,8649.25,106801.0
2009__사회__비중,22.0,9.040909090909093,20.88698977812126,0.0,0.525,3.3,8.025,100.0
2009__교육__빈도,22.0,2254.9545454545455,6127.132969538602,0.0,22.25,166.0,329.5,24809.0
2009__교육__비중,22.0,9.054545454545455,24.69840417579988,0.0,0.025,0.6499999999999999,1.25,100.0
2009__공학__빈도,22.0,7789.181818181818,18503.061977326794,0.0,586.75,1867.5,6584.0,85685.0
2009__공학__비중,22.0,9.05909090909091,21.601469506690623,0.0,0.625,2.15,7.625,100.0
2009__자연__빈도,22.0,2999.2272727272725,6927.84484410431,0.0,245.5,937.5,3161.75,32996.0
2009__자연__비중,22.0,9.049999999999999,21.003826182048694,0.0,0.65,2.8,9.55,100.0
2009__의약__빈도,22.0,2924.3636363636365,8378.083299074662,0.0,30.25,190.0,767.75,32172.0
2009__의약__비중,22.0,9.054545454545455,26.045632615756876,0.0,0.025,0.55,2.325,100.0
2009__예체능__빈도,22.0,4176.727272727273,9647.472598620096,0.0,189.75,1639.5,3520.75,45948.0
2009__예체능__비중,22.0,9.04090909090909,21.00382412099348,0.0,0.325,3.5,7.575,100.0
2010__전체__빈도,22.0,34228.318181818184,78947.71511358542,50.0,2105.25,13292.0,25665.25,376517.0
2010__전체__비중,22.0,9.045454545454545,20.978645089317613,0.0,0.475,3.5,6.8,100.0
2010__인문__빈도,22.0,3107.0,7191.676902271588,0.0,215.25,1013.0,2354.75,34182.0
2010__인문__비중,22.0,9.04090909090909,21.049344726615924,0.0,0.5750000000000001,2.9,6.85,100.0
2010__사회__빈도,22.0,9993.454545454546,22907.547183712748,0.0,1018.5,3867.0,9998.25,109932.0
2010__사회__비중,22.0,9.049999999999999,20.84422382020177,0.0,0.875,3.5,9.049999999999999,100.0
2010__교육__빈도,22.0,2259.2727272727275,6136.5920058194715,0.0,5.75,216.0,423.25,24855.0
2010__교육__비중,22.0,9.059090909090909,24.687487848646253,0.0,0.0,0.8500000000000001,1.65,100.0
2010__공학__빈도,22.0,7909.727272727273,18824.933694139392,0.0,513.25,1668.0,8035.5,87012.0
2010__공학__비중,22.0,9.04090909090909,21.644435314569424,0.0,0.525,1.9000000000000001,9.15,100.0
2010__자연__빈도,22.0,3343.6363636363635,7744.093512972475,0.0,295.75,974.0,3127.25,36785.0
2010__자연__비중,22.0,9.05909090909091,21.05646963334342,0.0,0.75,2.6,8.450000000000001,100.0
2010__의약__빈도,22.0,3065.1363636363635,8799.532153664572,0.0,11.5,185.5,518.0,33721.0
2010__의약__비중,22.0,9.054545454545455,26.09208468323072,0.0,0.025,0.5,1.475,100.0
2010__예체능__빈도,22.0,4547.5,10529.515399467302,0.0,134.0,1534.5,3887.75,50027.0
2010__예체능__비중,22.0,9.036363636363635,21.0576882341399,0.0,0.17500000000000002,3.0,7.7,100.0
2011__전체__빈도,22.0,34607.045454545456,79814.93707170193,35.0,1810.75,13642.5,26976.75,380683.0
2011__전체__비중,22.0,9.036363636363633,20.978731757358123,0.0,0.39999999999999997,3.5,7.075,100.0
2011__인문__빈도,22.0,3054.681818181818,7022.010696892502,0.0,182.25,1249.0,2425.25,33605.0
2011__인문__비중,22.0,9.04090909090909,20.906291126309533,0.0,0.5,3.6500000000000004,7.175,100.0
2011__사회__빈도,22.0,10061.454545454546,23082.86373817119,0.0,681.5,3690.5,9886.75,110681.0
2011__사회__비중,22.0,9.036363636363635,20.86817000794558,0.0,0.5249999999999999,3.25,8.9,100.0
2011__교육__빈도,22.0,2206.681818181818,5843.328897830851,0.0,29.75,243.0,579.75,24277.0
2011__교육__비중,22.0,9.054545454545455,24.07699410270404,0.0,0.05,0.9500000000000001,2.35,100.0
2011__공학__빈도,22.0,8242.181818181818,19587.47604644687,0.0,549.0,1988.0,7858.75,90669.0
2011__공학__비중,22.0,9.045454545454545,21.612534442347226,0.0,0.55,2.15,8.600000000000001,100.0
2011__자연__빈도,22.0,3415.5454545454545,7921.620160928317,0.0,268.25,1014.0,2969.25,37576.0
2011__자연__비중,22.0,9.04090909090909,21.091380751182268,0.0,0.7,2.65,7.824999999999999,100.0
2011__의약__빈도,22.0,3099.590909090909,8677.092159732134,0.0,66.25,282.5,668.5,34099.0
2011__의약__비중,22.0,9.05,25.457747440846077,0.0,0.125,0.8,1.875,100.0
2011__예체능__빈도,22.0,4524.545454545455,10473.016224143303,0.0,97.25,1683.0,3646.5,49773.0
2011__예체능__비중,22.0,9.054545454545455,21.04712913966285,0.0,0.125,3.35,7.275,100.0
2012__전체__빈도,22.0,34695.72727272727,79902.05472486556,97.0,2334.75,13939.0,27931.75,381658.0
2012__전체__비중,22.0,9.045454545454545,20.943295944565296,0.0,0.6,3.6,7.300000000000001,100.0
2012__인문__빈도,22.0,2889.5,6665.767278022981,0.0,189.25,994.0,2167.5,31789.0
2012__인문__비중,22.0,9.049999999999999,20.978600207513054,0.0,0.575,3.05,6.8,100.0
2012__사회__빈도,22.0,10233.227272727272,23433.06423864694,61.0,707.25,4534.5,9060.75,112571.0
2012__사회__비중,22.0,9.049999999999999,20.824979277414947,0.0,0.6,4.0,8.0,100.0
2012__교육__빈도,22.0,2049.318181818182,5538.655367044584,0.0,4.25,153.0,415.25,22547.0
2012__교육__비중,22.0,9.049999999999999,24.56541800793876,0.0,0.0,0.6499999999999999,1.775,100.0
2012__공학__빈도,22.0,8468.181818181818,20204.490117737416,0.0,639.5,1893.5,6558.5,93154.0
2012__공학__비중,22.0,9.054545454545455,21.700926626534095,0.0,0.6,2.0,7.0,100.0
2012__자연__빈도,22.0,3174.2727272727275,7370.31970736308,0.0,255.0,973.5,2509.25,34922.0
2012__자연__비중,22.0,9.049999999999999,21.114557153999794,0.0,0.675,2.75,7.15,100.0
2012__의약__빈도,22.0,3270.6363636363635,9369.293074646279,0.0,64.5,203.5,814.0,35982.0
2012__의약__비중,22.0,9.040909090909091,26.049287698714327,0.0,0.125,0.5,2.175,100.0
2012__예체능__빈도,22.0,4607.818181818182,10642.701570901661,0.0,155.25,1816.0,4383.0,50690.0
2012__예체능__비중,22.0,9.036363636363635,21.00502310570012,0.0,0.275,3.5,8.575,100.0
2013__전체__빈도,22.0,32850.954545454544,75702.16094637073,0.0,2145.5,12753.5,25845.75,361366.0
2013__전체__비중,22.0,9.045454545454545,20.96027370033783,0.0,0.525,3.45,7.1,100.0
2013__인문__빈도,22.0,2651.0,6118.3577862037455,0.0,144.25,1166.0,1846.0,29165.0
2013__인문__비중,22.0,9.054545454545455,20.983842475143703,0.0,0.45,3.95,6.300000000000001,100.0
2013__사회__빈도,22.0,9491.545454545454,21720.39495766325,0.0,899.75,4886.5,7422.5,104412.0
2013__사회__비중,22.0,9.054545454545453,20.810064581321893,0.0,0.7999999999999999,4.6,7.075,100.0
