column_order,column,dtype,non_null_n,missing_n,missing_rate,unique_n,sample_values
1,분류,string,25,0,0.0,25,전체 | 관리직 | 경영·회계·사무 관련직 | 금융·보험 관련직 | 교육 및 자연과학·사회과학 연구관련직
2,2007__전체__빈도,int64,25,0,0.0,25,390366 | 2389 | 103992 | 18343 | 42700
3,2007__전체__비중,float64,25,0,0.0,22,100.0 | 0.6 | 26.6 | 4.6 | 10.9
4,2007__남자__빈도,int64,25,0,0.0,25,200119 | 1701 | 47721 | 9216 | 10767
5,2007__남자__비중,float64,25,0,0.0,23,100.0 | 0.8 | 23.8 | 4.6 | 5.3
6,2007__여자__빈도,int64,25,0,0.0,25,190246 | 687 | 56271 | 9126 | 31933
7,2007__여자__비중,float64,25,0,0.0,18,100.0 | 0.3 | 29.5 | 4.7 | 16.7
8,2008__전체__빈도,int64,25,0,0.0,25,392483 | 1932 | 110535 | 18645 | 48850
9,2008__전체__비중,float64,25,0,0.0,23,100.0 | 0.4 | 28.1 | 4.7 | 12.4
10,2008__남자__빈도,int64,25,0,0.0,25,197196 | 1217 | 50074 | 9976 | 13478
11,2008__남자__비중,float64,25,0,0.0,21,100.0 | 0.6 | 25.3 | 5.0 | 6.8
12,2008__여자__빈도,int64,25,0,0.0,25,195287 | 715 | 60461 | 8669 | 35371
13,2008__여자__비중,float64,25,0,0.0,18,100.0 | 0.3 | 30.9 | 4.4 | 18.1
14,2009__전체__빈도,int64,25,0,0.0,25,360280 | 1317 | 100120 | 15811 | 41982
15,2009__전체__비중,float64,25,0,0.0,22,100.0 | 0.3 | 27.7 | 4.3 | 11.6
16,2009__남자__빈도,int64,25,0,0.0,25,180583 | 1015 | 45196 | 8332 | 11049
17,2009__남자__비중,float64,25,0,0.0,22,100.0 | 0.5 | 25.0 | 4.6 | 6.1
18,2009__여자__빈도,int64,25,0,0.0,25,179696 | 302 | 54923 | 7479 | 30933
19,2009__여자__비중,float64,25,0,0.0,16,100.0 | 0.1 | 30.5 | 4.1 | 17.2
20,2010__전체__빈도,int64,25,0,0.0,25,376517 | 1528 | 105359 | 15321 | 47791
21,2010__전체__비중,float64,25,0,0.0,20,100.0 | 0.4 | 27.9 | 4.0 | 12.6
22,2010__남자__빈도,int64,25,0,0.0,25,185259 | 940 | 47122 | 7837 | 14874
23,2010__남자__비중,float64,25,0,0.0,21,100.0 | 0.5 | 25.4 | 4.2 | 8.0
24,2010__여자__빈도,int64,25,0,0.0,25,191258 | 588 | 58237 | 7483 | 32917
25,2010__여자__비중,float64,25,0,0.0,19,100.0 | 0.3 | 30.4 | 3.9 | 17.2
26,2011__전체__빈도,int64,25,0,0.0,25,380683 | 1930 | 108244 | 14333 | 47588
27,2011__전체__비중,float64,25,0,0.0,22,100.0 | 0.5 | 28.4 | 3.7 | 12.5
28,2011__남자__빈도,int64,25,0,0.0,25,189647 | 1583 | 48842 | 7426 | 16930
29,2011__남자__비중,float64,25,0,0.0,25,100.0 | 0.8 | 25.7 | 3.9 | 8.9
30,2011__여자__빈도,int64,25,0,0.0,25,191036 | 347 | 59402 | 6906 | 30658
31,2011__여자__비중,float64,25,0,0.0,19,100.0 | 0.1 | 31.0 | 3.6 | 16.0
32,2012__전체__빈도,int64,25,0,0.0,25,379938 | 1309 | 107923 | 13780 | 38663
33,2012__전체__비중,float64,25,0,0.0,23,100.0 | 0.3 | 28.4 | 3.6 | 10.1
