분류,2007__전체__빈도,2007__전체__비중,2007__남자__빈도,2007__남자__비중,2007__여자__빈도,2007__여자__비중,2008__전체__빈도,2008__전체__비중,2008__남자__빈도,2008__남자__비중,2008__여자__빈도,2008__여자__비중,2009__전체__빈도,2009__전체__비중,2009__남자__빈도,2009__남자__비중,2009__여자__빈도,2009__여자__비중,2010__전체__빈도,2010__전체__비중,2010__남자__빈도,2010__남자__비중,2010__여자__빈도,2010__여자__비중,2011__전체__빈도,2011__전체__비중,2011__남자__빈도,2011__남자__비중,2011__여자__빈도,2011__여자__비중,2012__전체__빈도,2012__전체__비중,2012__남자__빈도,2012__남자__비중,2012__여자__빈도,2012__여자__비중,2013__전체__빈도,2013__전체__비중,2013__남자__빈도,2013__남자__비중,2013__여자__빈도,2013__여자__비중,2014__전체__빈도,2014__전체__비중,2014__남자__빈도,2014__남자__비중,2014__여자__빈도,2014__여자__비중,2015__전체__빈도,2015__전체__비중,2015__남자__빈도,2015__남자__비중,2015__여자__빈도,2015__여자__비중,2016__전체__빈도,2016__전체__비중,2016__남자__빈도,2016__남자__비중,2016__여자__빈도,2016__여자__비중
전체,390366,100.0,200119,100.0,190246,100.0,392483,100.0,197196,100.0,195287,100.0,360280,100.0,180583,100.0,179696,100.0,376517,100.0,185259,100.0,191258,100.0,380683,100.0,189647,100.0,191036,100.0,379938,100.0,188041,100.0,191897,100.0,361837,100.0,177333,100.0,184504,100.0,370115,100.0,180291,100.0,189824,100.0,379391,100.0,185584,100.0,193806,100.0,388170,100.0,189944,100.0,198225,100.0
관리직,2389,0.6,1701,0.8,687,0.3,1932,0.4,1217,0.6,715,0.3,1317,0.3,1015,0.5,302,0.1,1528,0.4,940,0.5,588,0.3,1930,0.5,1583,0.8,347,0.1,1309,0.3,923,0.4,385,0.2,1106,0.3,934,0.5,172,0.0,811,0.2,583,0.3,228,0.1,718,0.1,441,0.2,277,0.1,591,0.1,390,0.2,201,0.1
경영·회계·사무 관련직,103992,26.6,47721,23.8,56271,29.5,110535,28.1,50074,25.3,60461,30.9,100120,27.7,45196,25.0,54923,30.5,105359,27.9,47122,25.4,58237,30.4,108244,28.4,48842,25.7,59402,31.0,107923,28.4,47327,25.1,60596,31.5,97016,26.8,41680,23.5,55336,29.9,96176,25.9,39621,21.9,56554,29.7,99780,26.3,42936,23.1,56843,29.3,102667,26.4,43959,23.1,58708,29.6
금융·보험 관련직,18343,4.6,9216,4.6,9126,4.7,18645,4.7,9976,5.0,8669,4.4,15811,4.3,8332,4.6,7479,4.1,15321,4.0,7837,4.2,7483,3.9,14333,3.7,7426,3.9,6906,3.6,13780,3.6,7259,3.8,6520,3.3,8756,2.4,4468,2.5,4287,2.3,8225,2.2,4289,2.3,3935,2.0,10013,2.6,4963,2.6,5049,2.6,9384,2.4,4997,2.6,4386,2.2
교육 및 자연과학·사회과학 연구관련직,42700,10.9,10767,5.3,31933,16.7,48850,12.4,13478,6.8,35371,18.1,41982,11.6,11049,6.1,30933,17.2,47791,12.6,14874,8.0,32917,17.2,47588,12.5,16930,8.9,30658,16.0,38663,10.1,12292,6.5,26371,13.7,34657,9.5,9241,5.2,25416,13.7,32455,8.7,8817,4.8,23637,12.4,35231,9.2,9346,5.0,25884,13.3,33598,8.6,10015,5.2,23582,11.8
법률·경찰·소방·교도 관련직,4081,1.0,3218,1.6,863,0.4,3880,0.9,2468,1.2,1411,0.7,3702,1.0,2748,1.5,954,0.5,3793,1.0,2594,1.4,1199,0.6,3053,0.8,2058,1.0,994,0.5,2779,0.7,1997,1.0,782,0.4,2195,0.6,1369,0.7,825,0.4,2726,0.7,1765,0.9,961,0.5,3663,0.9,2406,1.2,1256,0.6,2921,0.7,1971,1.0,949,0.4
보건·의료 관련직,34778,8.9,8104,4.0,26673,14.0,34750,8.8,9110,4.6,25640,13.1,34204,9.4,8241,4.5,25962,14.4,34968,9.2,8280,4.4,26688,13.9,34922,9.1,9003,4.7,25919,13.5,36436,9.5,8773,4.6,27663,14.4,35639,9.8,6863,3.8,28775,15.5,40163,10.8,7142,3.9,33021,17.3,41293,10.8,8673,4.6,32619,16.8,43475,11.2,9210,4.8,34264,17.2
사회복지 및 종교 관련직,21234,5.4,4663,2.3,16571,8.7,22183,5.6,4497,2.2,17685,9.0,23127,6.4,4360,2.4,18767,10.4,21802,5.7,4373,2.3,17428,9.1,20915,5.4,5046,2.6,15868,8.3,21726,5.7,4578,2.4,17147,8.9,19680,5.4,3196,1.8,16484,8.9,18608,5.0,4132,2.2,14476,7.6,19476,5.1,4057,2.1,15418,7.9,18213,4.6,3759,1.9,14454,7.2
문화·예술·디자인·방송 관련직,24039,6.1,9814,4.9,14225,7.4,23378,5.9,9456,4.7,13922,7.1,20009,5.5,8556,4.7,11452,6.3,20792,5.5,8598,4.6,12194,6.3,21563,5.6,7876,4.1,13686,7.1,23456,6.1,8648,4.5,14808,7.7,22506,6.2,8287,4.6,14219,7.7,23713,6.4,8956,4.9,14757,7.7,21622,5.6,7581,4.0,14040,7.2,24160,6.2,8611,4.5,15548,7.8
운전 및 운송 관련직,4152,1.0,4014,2.0,137,0.0,4247,1.0,4031,2.0,215,0.1,3030,0.8,2965,1.6,64,0.0,3856,1.0,3772,2.0,83,0.0,3245,0.8,3156,1.6,89,0.0,3555,0.9,3439,1.8,116,0.0,3823,1.0,3525,1.9,297,0.1,3754,1.0,3550,1.9,203,0.1,3719,0.9,3526,1.9,192,0.0,3775,0.9,3347,1.7,427,0.2
