분류,2017__전체__빈도,2017__전체__비중,2017__남자__빈도,2017__남자__비중,2017__여자__빈도,2017__여자__비중,2018__전체__빈도,2018__전체__비중,2018__남자__빈도,2018__남자__비중,2018__여자__빈도,2018__여자__비중,2019__전체__빈도,2019__전체__비중,2019__남자__빈도,2019__남자__비중,2019__여자__빈도,2019__여자__비중
전체,375185,100.0,183495,100.0,191690,100.0,364497,100.0,180157,100.0,184339,100.0,322219,100.0,159222,100.0,162997,100.0
경영·사무·금융·보험직,105174,28.0,46543,25.3,58631,30.5,100544,27.5,45924,25.4,54620,29.6,93008,28.8,42452,26.6,50556,31.0
연구직 및 공학 기술직,62362,16.6,45832,24.9,16529,8.6,64970,17.8,46699,25.9,18271,9.9,56621,17.5,41628,26.1,14992,9.1
교육·법률·사회복지·경찰·소방직 및 군인,54075,14.4,18933,10.3,35142,18.3,47144,12.9,17362,9.6,29782,16.1,41046,12.7,15002,9.4,26044,15.9
보건·의료직,43678,11.6,10083,5.4,33594,17.5,41838,11.4,8764,4.8,33073,17.9,42865,13.3,10416,6.5,32449,19.9
예술·디자인·방송·스포츠직,27717,7.3,11301,6.1,16416,8.5,27167,7.4,10176,5.6,16990,9.2,20908,6.4,7671,4.8,13236,8.1
미용·여행·숙박·음식·경비·청소직,27798,7.4,10884,5.9,16913,8.8,28625,7.8,11491,6.3,17133,9.2,24206,7.5,10775,6.7,13431,8.2
영업·판매·운전·운송직,29065,7.7,17557,9.5,11507,6.0,27791,7.6,16208,8.9,11583,6.2,22807,7.0,12729,7.9,10078,6.1
건설·채굴직,1490,0.3,1490,0.8,0,0.0,1676,0.4,1676,0.9,0,0.0,1476,0.4,1374,0.8,102,0.0
설치·정비·생산직,22070,5.8,19393,10.5,2677,1.3,22965,6.3,20281,11.2,2684,1.4,18265,5.6,16310,10.2,1954,1.1
농림어업직,1750,0.4,1473,0.8,277,0.1,1772,0.4,1572,0.8,200,0.1,1013,0.3,861,0.5,151,0.0
