column,count,mean,std,min,25%,50%,75%,max
2017__전체__빈도,11.0,68214.90909090909,105942.59645058219,1490.0,24893.5,29065.0,58218.5,375185.0
2017__전체__비중,11.0,18.13636363636364,28.25686722647338,0.3,6.55,7.7,15.5,100.0
2017__남자__빈도,11.0,33362.181818181816,52046.97601939652,1473.0,10483.5,17557.0,32612.5,183495.0
2017__남자__비중,11.0,18.13636363636364,28.37418801401276,0.8,5.65,9.5,17.7,100.0
2017__여자__빈도,11.0,34852.36363636364,54911.751085305455,0.0,7092.0,16529.0,34368.0,191690.0
2017__여자__비중,11.0,18.145454545454545,28.654680721877313,0.0,3.65,8.6,17.9,100.0
2018__전체__빈도,11.0,66271.72727272728,102816.82304573595,1676.0,25066.0,28625.0,56057.0,364497.0
2018__전체__비중,11.0,18.136363636363637,28.22166801332879,0.4,6.85,7.8,15.350000000000001,100.0
2018__남자__빈도,11.0,32755.454545454544,51222.43295737453,1572.0,9470.0,16208.0,33102.5,180157.0
2018__남자__비중,11.0,18.12727272727273,28.449502312310877,0.8,5.199999999999999,8.9,18.299999999999997,100.0
2018__여자__빈도,11.0,33515.90909090909,52579.42883382159,0.0,7133.5,17133.0,31427.5,184339.0
2018__여자__비중,11.0,18.145454545454545,28.53357193329863,0.0,3.8,9.2,17.0,100.0
2019__전체__빈도,11.0,58584.90909090909,91285.06658863163,1013.0,19586.5,24206.0,49743.0,322219.0
2019__전체__비중,11.0,18.136363636363637,28.343403914395065,0.3,6.0,7.5,15.4,100.0
2019__남자__빈도,11.0,28949.090909090908,45395.29725302951,861.0,9043.5,12729.0,28969.0,159222.0
2019__남자__비중,11.0,18.136363636363637,28.524455217489173,0.5,5.65,7.9,18.15,100.0
2019__여자__빈도,11.0,29635.454545454544,46776.12401720271,102.0,6016.0,13431.0,29246.5,162997.0
2019__여자__비중,11.0,18.12727272727273,28.72163264541523,0.0,3.5999999999999996,8.2,17.9,100.0
