분류,2007__전체__빈도,2007__전체__비중,2007__전문대__빈도,2007__전문대__비중,2007__4년제__빈도,2007__4년제__비중,2007__교육대__빈도,2007__교육대__비중,2008__전체__빈도,2008__전체__비중,2008__전문대__빈도,2008__전문대__비중,2008__4년제__빈도,2008__4년제__비중,2008__교육대__빈도,2008__교육대__비중,2009__전체__빈도,2009__전체__비중,2009__전문대__빈도,2009__전문대__비중,2009__4년제__빈도,2009__4년제__비중,2009__교육대__빈도,2009__교육대__비중,2010__전체__빈도,2010__전체__비중,2010__전문대__빈도,2010__전문대__비중,2010__4년제__빈도,2010__4년제__비중,2010__교육대__빈도,2010__교육대__비중,2011__전체__빈도,2011__전체__비중,2011__전문대__빈도,2011__전문대__비중,2011__4년제__빈도,2011__4년제__비중,2011__교육대__빈도,2011__교육대__비중,2012__전체__빈도,2012__전체__비중,2012__전문대__빈도,2012__전문대__비중,2012__4년제__빈도,2012__4년제__비중,2012__교육대__빈도,2012__교육대__비중,2013__전체__빈도,2013__전체__비중,2013__전문대__빈도,2013__전문대__비중,2013__4년제__빈도,2013__4년제__비중,2013__교육대__빈도,2013__교육대__비중,2014__전체__빈도,2014__전체__비중,2014__전문대__빈도,2014__전문대__비중,2014__4년제__빈도,2014__4년제__비중,2014__교육대__빈도,2014__교육대__비중,2015__전체__빈도,2015__전체__비중,2015__전문대__빈도,2015__전문대__비중,2015__4년제__빈도,2015__4년제__비중,2015__교육대__빈도,2015__교육대__비중,2016__전체__빈도,2016__전체__비중,2016__전문대__빈도,2016__전문대__비중,2016__4년제__빈도,2016__4년제__비중,2016__교육대__빈도,2016__교육대__비중
전체,390366,100.0,173879,100.0,211483,100.0,5003,100.0,392483,100.0,165759,100.0,220708,100.0,6014,100.0,360280,100.0,154297,100.0,200613,100.0,5368,100.0,376517,100.0,152577,100.0,218965,100.0,4974,100.0,380683,100.0,148893,100.0,226967,100.0,4823,100.0,379938,100.0,146701,100.0,228664,100.0,4572,100.0,361837,100.0,138781,100.0,218461,100.0,4594,100.0,370115,100.0,141308,100.0,224526,100.0,4280,100.0,379391,100.0,137514,100.0,237970,100.0,3906,100.0,388170,100.0,135698,100.0,249072,100.0,3400,100.0
관리직,2389,0.6,1458,0.8,930,0.4,0,0.0,1932,0.4,1211,0.7,721,0.3,0,0.0,1317,0.3,831,0.5,486,0.2,0,0.0,1528,0.4,1187,0.7,340,0.1,0,0.0,1930,0.5,1231,0.8,699,0.3,0,0.0,1309,0.3,712,0.4,596,0.2,0,0.0,1106,0.3,571,0.4,534,0.2,0,0.0,811,0.2,410,0.2,401,0.1,0,0.0,718,0.1,267,0.1,451,0.1,0,0.0,591,0.1,484,0.3,107,0.0,0,0.0
경영·회계·사무 관련직,103992,26.6,42227,24.2,61764,29.2,0,0.0,110535,28.1,41020,24.7,69507,31.4,7,0.1,100120,27.7,39085,25.3,60993,30.4,41,0.7,105359,27.9,37352,24.4,67991,31.0,15,0.3,108244,28.4,34773,23.3,73379,32.3,91,1.9,107923,28.4,32887,22.4,74999,32.7,35,0.7,97016,26.8,29102,20.9,67882,31.0,31,0.6,96176,25.9,28312,20.0,67832,30.2,30,0.7,99780,26.3,28104,20.4,71662,30.1,13,0.3,102667,26.4,26535,19.5,76112,30.5,19,0.5
금융·보험 관련직,18343,4.6,5452,3.1,12891,6.0,0,0.0,18645,4.7,4514,2.7,14131,6.4,0,0.0,15811,4.3,4010,2.5,11801,5.8,0,0.0,15321,4.0,4166,2.7,11154,5.0,0,0.0,14333,3.7,3524,2.3,10808,4.7,0,0.0,13780,3.6,2744,1.8,11036,4.8,0,0.0,8756,2.4,1298,0.9,7458,3.4,0,0.0,8225,2.2,1644,1.1,6581,2.9,0,0.0,10013,2.6,1476,1.0,8536,3.5,0,0.0,9384,2.4,1476,1.0,7908,3.1,0,0.0
교육 및 자연과학·사회과학 연구관련직,42700,10.9,8040,4.6,29867,14.1,4792,95.7,48850,12.4,8886,5.3,34044,15.4,5919,98.4,41982,11.6,8550,5.5,28199,14.0,5232,97.4,47791,12.6,7988,5.2,34935,15.9,4867,97.8,47588,12.5,9347,6.2,33696,14.8,4544,94.2,38663,10.1,6843,4.6,27358,11.9,4462,97.5,34657,9.5,7351,5.2,22815,10.4,4491,97.7,32455,8.7,6665,4.7,21671,9.6,4118,96.2,35231,9.2,6658,4.8,24795,10.4,3777,96.6,33598,8.6,5591,4.1,24711,9.9,3295,96.9
법률·경찰·소방·교도 관련직,4081,1.0,1570,0.9,2510,1.1,0,0.0,3880,0.9,1384,0.8,2496,1.1,0,0.0,3702,1.0,730,0.4,2972,1.4,0,0.0,3793,1.0,852,0.5,2940,1.3,0,0.0,3053,0.8,515,0.3,2538,1.1,0,0.0,2779,0.7,336,0.2,2443,1.0,0,0.0,2195,0.6,290,0.2,1905,0.8,0,0.0,2726,0.7,297,0.2,2429,1.0,0,0.0,3663,0.9,606,0.4,3056,1.2,0,0.0,2921,0.7,343,0.2,2577,1.0,0,0.0
보건·의료 관련직,34778,8.9,21854,12.5,12923,6.1,0,0.0,34750,8.8,22104,13.3,12645,5.7,0,0.0,34204,9.4,22050,14.2,12136,6.0,17,0.3,34968,9.2,22333,14.6,12635,5.7,0,0.0,34922,9.1,21175,14.2,13714,6.0,32,0.6,36436,9.5,22328,15.2,14108,6.1,0,0.0,35639,9.8,21654,15.6,13985,6.4,0,0.0,40163,10.8,23989,16.9,16173,7.2,0,0.0,41293,10.8,23022,16.7,18270,7.6,0,0.0,43475,11.2,23830,17.5,19645,7.8,0,0.0
사회복지 및 종교 관련직,21234,5.4,13108,7.5,8126,3.8,0,0.0,22183,5.6,13214,7.9,8968,4.0,0,0.0,23127,6.4,13794,8.9,9293,4.6,39,0.7,21802,5.7,12240,8.0,9562,4.3,0,0.0,20915,5.4,11821,7.9,9079,4.0,14,0.2,21726,5.7,12558,8.5,9153,4.0,14,0.3,19680,5.4,11319,8.1,8361,3.8,0,0.0,18608,5.0,10002,7.0,8606,3.8,0,0.0,19476,5.1,10614,7.7,8861,3.7,0,0.0,18213,4.6,9588,7.0,8625,3.4,0,0.0
문화·예술·디자인·방송 관련직,24039,6.1,9757,5.6,14282,6.7,0,0.0,23378,5.9,8859,5.3,14513,6.5,6,0.1,20009,5.5,8100,5.2,11908,5.9,0,0.0,20792,5.5,7777,5.0,13014,5.9,0,0.0,21563,5.6,7749,5.2,13814,6.0,0,0.0,23456,6.1,8403,5.7,15053,6.5,0,0.0,22506,6.2,7985,5.7,14520,6.6,0,0.0,23713,6.4,8257,5.8,15446,6.8,9,0.2,21622,5.6,7050,5.1,14571,6.1,0,0.0,24160,6.2,7527,5.5,16633,6.6,0,0.0
운전 및 운송 관련직,4152,1.0,2806,1.6,1346,0.6,0,0.0,4247,1.0,3136,1.8,1110,0.5,0,0.0,3030,0.8,2031,1.3,999,0.4,0,0.0,3856,1.0,2438,1.5,1418,0.6,0,0.0,3245,0.8,2106,1.4,1139,0.5,0,0.0,3555,0.9,1915,1.3,1639,0.7,0,0.0,3823,1.0,2060,1.4,1762,0.8,0,0.0,3754,1.0,1933,1.3,1820,0.8,0,0.0,3719,0.9,1751,1.2,1954,0.8,13,0.3,3775,0.9,1624,1.1,2150,0.8,0,0.0
영업 및 판매 관련직,28959,7.4,14087,8.1,14871,7.0,0,0.0,28581,7.2,14026,8.4,14544,6.5,10,0.1,27631,7.6,13201,8.5,14429,7.1,0,0.0,27827,7.3,12481,8.1,15346,7.0,0,0.0,28345,7.4,12634,8.4,15691,6.9,20,0.4,26836,7.0,10955,7.4,15864,6.9,15,0.3,26462,7.3,11196,8.0,15260,6.9,5,0.1,28846,7.7,10866,7.6,17967,8.0,12,0.2,26910,7.0,9877,7.1,17032,7.1,0,0.0,26694,6.8,9824,7.2,16869,6.7,0,0.0
경비 및 청소 관련직,3139,0.8,2056,1.1,1082,0.5,0,0.0,3030,0.7,2246,1.3,783,0.3,0,0.0,2998,0.8,2026,1.3,972,0.4,0,0.0,2934,0.7,1746,1.1,1187,0.5,0,0.0,2833,0.7,1713,1.1,1119,0.4,0,0.0,2749,0.7,1312,0.8,1437,0.6,0,0.0,2505,0.6,1743,1.2,761,0.3,0,0.0,2875,0.7,1632,1.1,1243,0.5,0,0.0,3297,0.8,1725,1.2,1572,0.6,0,0.0,3479,0.8,2012,1.4,1466,0.5,0,0.0
미용·숙박·여행·오락 스포츠 관련직,12934,3.3,8387,4.8,4547,2.1,0,0.0,10949,2.7,6821,4.1,4128,1.8,0,0.0,9337,2.5,5498,3.5,3838,1.9,0,0.0,11051,2.9,6538,4.2,4513,2.0,0,0.0,10746,2.8,6450,4.3,4295,1.8,0,0.0,10808,2.8,6295,4.2,4512,1.9,0,0.0,12500,3.4,7258,5.2,5242,2.3,0,0.0,11965,3.2,5726,4.0,6239,2.7,0,0.0,12617,3.3,5971,4.3,6645,2.7,0,0.0,13987,3.6,7369,5.4,6618,2.6,0,0.0
음식서비스 관련직,6726,1.7,5548,3.1,1177,0.5,0,0.0,7760,1.9,6159,3.7,1590,0.7,10,0.1,6441,1.7,4941,3.2,1500,0.7,0,0.0,8469,2.2,6132,4.0,2302,1.0,35,0.7,9015,2.3,6388,4.2,2626,1.1,0,0.0,10079,2.6,6808,4.6,3271,1.4,0,0.0,11274,3.1,7389,5.3,3877,1.7,7,0.1,14957,4.0,10392,7.3,4564,2.0,0,0.0,14467,3.8,9431,6.8,5035,2.1,0,0.0,15759,4.0,9680,7.1,6079,2.4,0,0.0
건설 관련직,13918,3.5,5269,3.0,8648,4.0,0,0.0,12551,3.1,4072,2.4,8479,3.8,0,0.0,10620,2.9,3372,2.1,7248,3.6,0,0.0,9656,2.5,3681,2.4,5975,2.7,0,0.0,9276,2.4,3104,2.0,6171,2.7,0,0.0,8787,2.3,2838,1.9,5949,2.6,0,0.0,9374,2.5,3015,2.1,6358,2.9,0,0.0,8684,2.3,2609,1.8,6069,2.7,5,0.1,9660,2.5,2983,2.1,6677,2.8,0,0.0,11803,3.0,3466,2.5,8337,3.3,0,0.0
기계 관련직,15647,4.0,8777,5.0,6870,3.2,0,0.0,13308,3.3,6826,4.1,6481,2.9,0,0.0,12997,3.6,6850,4.4,6147,3.0,0,0.0,13927,3.6,7219,4.7,6708,3.0,0,0.0,15472,4.0,7676,5.1,7734,3.4,61,1.2,15711,4.1,7725,5.2,7985,3.4,0,0.0,16034,4.4,7013,5.0,9021,4.1,0,0.0,17258,4.6,8244,5.8,9014,4.0,0,0.0,17363,4.5,7846,5.7,9516,3.9,0,0.0,15997,4.1,6816,5.0,9180,3.6,0,0.0
재료관련직,2733,0.7,1931,1.1,801,0.3,0,0.0,2453,0.6,1467,0.8,985,0.4,0,0.0,1559,0.4,908,0.5,650,0.3,0,0.0,2237,0.5,1139,0.7,1097,0.5,0,0.0,2000,0.5,932,0.6,1067,0.4,0,0.0,2658,0.6,1748,1.1,910,0.3,0,0.0,2634,0.7,1529,1.1,1104,0.5,0,0.0,3381,0.9,1381,0.9,1999,0.8,0,0.0,2650,0.6,1521,1.1,1128,0.4,0,0.0,2678,0.6,1125,0.8,1553,0.6,0,0.0
화학 관련직,3127,0.8,986,0.5,2141,1.0,0,0.0,3052,0.7,1242,0.7,1809,0.8,0,0.0,2161,0.6,772,0.5,1389,0.6,0,0.0,2577,0.6,1019,0.6,1557,0.7,0,0.0,3807,1.0,1252,0.8,2554,1.1,0,0.0,3404,0.8,1511,1.0,1892,0.8,0,0.0,4391,1.2,1522,1.0,2868,1.3,0,0.0,4000,1.0,1570,1.1,2429,1.0,0,0.0,3752,0.9,1274,0.9,2478,1.0,0,0.0,4630,1.1,1662,1.2,2968,1.1,0,0.0
섬유 및 의복 관련직,616,0.1,420,0.2,196,0.0,0,0.0,379,0.0,258,0.1,120,0.0,0,0.0,510,0.1,254,0.1,255,0.1,0,0.0,571,0.1,271,0.1,299,0.1,0,0.0,772,0.2,439,0.2,333,0.1,0,0.0,688,0.1,381,0.2,307,0.1,0,0.0,635,0.1,272,0.1,362,0.1,0,0.0,550,0.1,180,0.1,369,0.1,0,0.0,815,0.2,440,0.3,375,0.1,0,0.0,557,0.1,123,0.0,434,0.1,0,0.0
전기·전자 관련직,15070,3.8,7765,4.4,7305,3.4,0,0.0,12873,3.2,6803,4.1,6070,2.7,0,0.0,13011,3.6,6666,4.3,6344,3.1,0,0.0,13575,3.6,5806,3.8,7768,3.5,0,0.0,13689,3.5,5210,3.4,8466,3.7,12,0.2,14687,3.8,6113,4.1,8573,3.7,0,0.0,14894,4.1,5421,3.9,9473,4.3,0,0.0,14436,3.9,5720,4.0,8715,3.8,0,0.0,14685,3.8,5760,4.1,8925,3.7,0,0.0,14687,3.7,5783,4.2,8904,3.5,0,0.0
정보통신 관련직,20487,5.2,6523,3.7,13964,6.6,0,0.0,18302,4.6,5267,3.1,13034,5.9,0,0.0,17292,4.7,4646,3.0,12645,6.3,0,0.0,16954,4.5,4322,2.8,12632,5.7,0,0.0,17984,4.7,5448,3.6,12524,5.5,11,0.2,18898,4.9,5161,3.5,13721,6.0,15,0.3,17943,4.9,4093,2.9,13850,6.3,0,0.0,16735,4.5,3852,2.7,12882,5.7,0,0.0,18329,4.8,4062,2.9,14267,5.9,0,0.0,19698,5.0,3512,2.5,16185,6.4,0,0.0
