column,count,mean,std,min,25%,50%,75%,max
2017__전체__빈도,11.0,68214.90909090909,105942.59645058219,1490.0,24893.5,29065.0,58218.5,375185.0
2017__전체__비중,11.0,18.13636363636364,28.25686722647338,0.3,6.55,7.7,15.5,100.0
2017__전문대__빈도,11.0,23206.090909090908,35496.10318177065,866.0,9747.5,12436.0,20635.5,127636.0
2017__전문대__비중,11.0,18.136363636363633,27.82377662098633,0.6,7.6,9.7,16.1,100.0
2017__4년제__빈도,11.0,44392.545454545456,70342.54075644926,594.0,10446.0,19348.0,42335.5,244161.0
2017__4년제__비중,11.0,18.145454545454545,28.818305419866856,0.2,4.25,7.9,17.3,100.0
2017__교육대__빈도,11.0,616.0,1370.5134804152785,0.0,0.0,0.0,0.0,3388.0
2017__교육대__비중,11.0,18.181818181818183,40.45199174779453,0.0,0.0,0.0,0.0,100.0
2018__전체__빈도,11.0,66271.72727272728,102816.82304573595,1676.0,25066.0,28625.0,56057.0,364497.0
2018__전체__비중,11.0,18.136363636363637,28.22166801332879,0.4,6.85,7.8,15.350000000000001,100.0
2018__전문대__빈도,11.0,22354.727272727272,34151.08969883951,983.0,9226.5,12897.0,19430.0,122953.0
2018__전문대__비중,11.0,18.145454545454548,27.788715826261694,0.8,7.449999999999999,10.4,15.75,100.0
2018__4년제__빈도,11.0,43321.36363636364,68490.77968496595,590.0,10903.0,20036.0,40979.0,238270.0
2018__4년제__비중,11.0,18.136363636363633,28.762971777174652,0.2,4.5,8.4,17.15,100.0
2018__교육대__빈도,11.0,594.9090909090909,1316.2069331640412,0.0,0.0,0.0,15.0,3273.0
2018__교육대__비중,11.0,18.163636363636364,40.21473045358561,0.0,0.0,0.0,0.4,100.0
2019__전체__빈도,11.0,58584.90909090909,91285.06658863163,1013.0,19586.5,24206.0,49743.0,322219.0
2019__전체__비중,11.0,18.136363636363637,28.343403914395065,0.3,6.0,7.5,15.4,100.0
2019__전문대__빈도,11.0,19880.545454545456,30473.84637148267,677.0,7931.5,11921.0,16786.5,109345.0
2019__전문대__비중,11.0,18.14545454545454,27.87982652874166,0.6,7.2,10.9,15.3,100.0
2019__4년제__빈도,11.0,38105.0,60646.4488671843,335.0,9406.0,14326.0,34907.5,209580.0
2019__4년제__비중,11.0,18.136363636363637,28.952004169911024,0.1,4.45,6.8,16.6,100.0
2019__교육대__빈도,11.0,598.8181818181819,1329.8198989473588,0.0,0.0,0.0,5.0,3294.0
2019__교육대__비중,11.0,18.172727272727272,40.35780199438743,0.0,0.0,0.0,0.15,100.0
