분류,2017__전체__빈도,2017__전체__비중,2017__인문__빈도,2017__인문__비중,2017__사회__빈도,2017__사회__비중,2017__교육__빈도,2017__교육__비중,2017__공학__빈도,2017__공학__비중,2017__자연__빈도,2017__자연__비중,2017__의약__빈도,2017__의약__비중,2017__예체능__빈도,2017__예체능__비중,2018__전체__빈도,2018__전체__비중,2018__인문__빈도,2018__인문__비중,2018__사회__빈도,2018__사회__비중,2018__교육__빈도,2018__교육__비중,2018__공학__빈도,2018__공학__비중,2018__자연__빈도,2018__자연__비중,2018__의약__빈도,2018__의약__비중,2018__예체능__빈도,2018__예체능__비중,2019__전체__빈도,2019__전체__비중,2019__인문__빈도,2019__인문__비중,2019__사회__빈도,2019__사회__비중,2019__교육__빈도,2019__교육__비중,2019__공학__빈도,2019__공학__비중,2019__자연__빈도,2019__자연__비중,2019__의약__빈도,2019__의약__비중,2019__예체능__빈도,2019__예체능__비중
전체,375185,100.0,31193,100.0,101034,100.0,22230,100.0,92952,100.0,35582,100.0,44513,100.0,47677,100.0,364497,100.0,29824,100.0,94556,100.0,21724,100.0,92937,100.0,35622,100.0,45877,100.0,43953,100.0,322219,100.0,24323,100.0,82018,100.0,19237,100.0,82342,100.0,30843,100.0,44457,100.0,38996,100.0
경영·사무·금융·보험직,105174,28.0,15048,48.2,52743,52.2,2300,10.3,15955,17.1,8956,25.1,2336,5.2,7833,16.4,100544,27.5,14155,47.4,49343,52.1,2723,12.5,15382,16.5,9249,25.9,2830,6.1,6859,15.6,93008,28.8,12582,51.7,45235,55.1,2060,10.7,14831,18.0,8081,26.2,2198,4.9,8017,20.5
연구직 및 공학 기술직,62362,16.6,1180,3.7,3786,3.7,228,1.0,44238,47.5,9687,27.2,1718,3.8,1521,3.1,64970,17.8,1408,4.7,3883,4.1,202,0.9,43635,46.9,10982,30.8,2631,5.7,2226,5.0,56621,17.5,1019,4.1,2795,3.4,98,0.5,40607,49.3,9147,29.6,1749,3.9,1203,3.0
교육·법률·사회복지·경찰·소방직 및 군인,54075,14.4,4817,15.4,16435,16.2,17190,77.3,5178,5.5,3016,8.4,1144,2.5,6294,13.2,47144,12.9,4220,14.1,14413,15.2,16320,75.1,4234,4.5,2191,6.1,1193,2.6,4571,10.4,41046,12.7,3034,12.4,12705,15.4,15279,79.4,3716,4.5,1925,6.2,639,1.4,3746,9.6
보건·의료직,43678,11.6,273,0.8,2174,2.1,538,2.4,1199,1.2,3051,8.5,36124,81.1,317,0.6,41838,11.4,391,1.3,944,0.9,766,3.5,941,1.0,2320,6.5,36073,78.6,401,0.9,42865,13.3,129,0.5,1460,1.7,254,1.3,979,1.1,1833,5.9,37453,84.2,753,1.9
예술·디자인·방송·스포츠직,27717,7.3,2931,9.3,3179,3.1,322,1.4,2003,2.1,735,2.0,257,0.5,18287,38.3,27167,7.4,3007,10.0,2980,3.1,443,2.0,1919,2.0,709,1.9,325,0.7,17781,40.4,20908,6.4,1657,6.8,2245,2.7,472,2.4,1390,1.6,659,2.1,339,0.7,14144,36.2
미용·여행·숙박·음식·경비·청소직,27798,7.4,2389,7.6,9347,9.2,713,3.2,2920,3.1,4689,13.1,1015,2.2,6722,14.0,28625,7.8,2539,8.5,10436,11.0,615,2.8,3254,3.5,4685,13.1,1244,2.7,5850,13.3,24206,7.5,2397,9.8,7591,9.2,452,2.3,2866,3.4,4453,14.4,621,1.3,5824,14.9
영업·판매·운전·운송직,29065,7.7,3743,12.0,9802,9.7,512,2.3,6362,6.8,2522,7.0,1141,2.5,4980,10.4,27791,7.6,3495,11.7,10146,10.7,350,1.6,6152,6.6,2207,6.1,799,1.7,4637,10.5,22807,7.0,2969,12.2,7898,9.6,535,2.7,4343,5.2,2185,7.0,806,1.8,4068,10.4
건설·채굴직,1490,0.3,62,0.2,242,0.2,0,0.0,764,0.8,242,0.6,40,0.0,138,0.2,1676,0.4,99,0.3,294,0.3,0,0.0,919,0.9,100,0.2,29,0.0,233,0.5,1476,0.4,107,0.4,229,0.2,50,0.2,734,0.8,114,0.3,0,0.0,239,0.6
설치·정비·생산직,22070,5.8,709,2.2,2954,2.9,312,1.4,14043,15.1,2032,5.7,690,1.5,1327,2.7,22965,6.3,460,1.5,1722,1.8,203,0.9,16288,17.5,2401,6.7,615,1.3,1273,2.8,18265,5.6,385,1.5,1712,2.0,33,0.1,12628,15.3,1880,6.0,649,1.4,976,2.5
농림어업직,1750,0.4,37,0.1,369,0.3,111,0.5,286,0.3,648,1.8,44,0.0,253,0.5,1772,0.4,47,0.1,389,0.4,99,0.4,208,0.2,775,2.1,134,0.2,117,0.2,1013,0.3,40,0.1,144,0.1,0,0.0,242,0.2,562,1.8,0,0.0,23,0.0
