분류,2007__전체__빈도,2007__전체__비중,2007__남자__빈도,2007__남자__비중,2007__여자__빈도,2007__여자__비중,2008__전체__빈도,2008__전체__비중,2008__남자__빈도,2008__남자__비중,2008__여자__빈도,2008__여자__비중,2009__전체__빈도,2009__전체__비중,2009__남자__빈도,2009__남자__비중,2009__여자__빈도,2009__여자__비중,2010__전체__빈도,2010__전체__비중,2010__남자__빈도,2010__남자__비중,2010__여자__빈도,2010__여자__비중,2011__전체__빈도,2011__전체__비중,2011__남자__빈도,2011__남자__비중,2011__여자__빈도,2011__여자__비중,2012__전체__빈도,2012__전체__비중,2012__남자__빈도,2012__남자__비중,2012__여자__빈도,2012__여자__비중,2013__전체__빈도,2013__전체__비중,2013__남자__빈도,2013__남자__비중,2013__여자__빈도,2013__여자__비중,2014__전체__빈도,2014__전체__비중,2014__남자__빈도,2014__남자__비중,2014__여자__빈도,2014__여자__비중,2015__전체__빈도,2015__전체__비중,2015__남자__빈도,2015__남자__비중,2015__여자__빈도,2015__여자__비중,2016__전체__빈도,2016__전체__비중,2016__남자__빈도,2016__남자__비중,2016__여자__빈도,2016__여자__비중,2017__전체__빈도,2017__전체__비중,2017__남자__빈도,2017__남자__비중,2017__여자__빈도,2017__여자__비중,2018__전체__빈도,2018__전체__비중,2018__남자__빈도,2018__남자__비중,2018__여자__빈도,2018__여자__비중,2019__전체__빈도,2019__전체__비중,2019__남자__빈도,2019__남자__비중,2019__여자__빈도,2019__여자__비중
전체,389163,100.0,199560,100.0,189602,100.0,391857,100.0,196945,100.0,194911,100.0,359615,100.0,180417,100.0,179198,100.0,373085,100.0,183785,100.0,189299,100.0,380030,100.0,189407,100.0,190623,100.0,378783,100.0,187442,100.0,191341,100.0,354463,100.0,173330,100.0,181133,100.0,361554,100.0,175917,100.0,185636,100.0,376776,100.0,184326,100.0,192450,100.0,367321,100.0,181040,100.0,186280,100.0,349151,100.0,172381,100.0,176770,100.0,336947,100.0,167025,100.0,169921,100.0,291068,100.0,145805,100.0,145263,100.0
1. 1～4명,53787,13.8,22400,11.2,31386,16.5,56496,14.4,24721,12.5,31775,16.3,45826,12.7,19580,10.8,26246,14.6,52982,14.2,21975,11.9,31007,16.3,48671,12.8,21958,11.5,26713,14.0,45016,11.8,18635,9.9,26381,13.7,43051,12.1,18193,10.4,24858,13.7,44753,12.3,19364,11.0,25388,13.6,48267,12.8,21949,11.9,26318,13.6,49799,13.5,21621,11.9,28178,15.1,47720,13.6,20654,11.9,27066,15.3,43191,12.8,18978,11.3,24212,14.2,34136,11.7,15012,10.2,19123,13.1
2. 5～9명,48777,12.5,21001,10.5,27775,14.6,51804,13.2,22927,11.6,28877,14.8,46338,12.8,20012,11.0,26326,14.6,47357,12.6,19923,10.8,27433,14.4,44301,11.6,19571,10.3,24729,12.9,42956,11.3,17816,9.5,25139,13.1,47994,13.5,18578,10.7,29415,16.2,48235,13.3,18579,10.5,29656,15.9,51805,13.7,21715,11.7,30089,15.6,48947,13.3,20622,11.3,28325,15.2,47946,13.7,19899,11.5,28046,15.8,41388,12.2,16849,10.0,24539,14.4,37438,12.8,16386,11.2,21051,14.4
3. 10～29명,77506,19.9,40046,20.0,37460,19.7,78647,20.0,38158,19.3,40488,20.7,75072,20.8,34497,19.1,40575,22.6,72217,19.3,34365,18.6,37852,19.9,68815,18.1,32769,17.3,36045,18.9,75621,19.9,34109,18.1,41512,21.6,68817,19.4,30805,17.7,38012,20.9,71769,19.8,30522,17.3,41247,22.2,75844,20.1,32992,17.8,42851,22.2,73136,19.9,34914,19.2,38222,20.5,71407,20.4,33179,19.2,38227,21.6,69760,20.7,31295,18.7,38464,22.6,57153,19.6,25579,17.5,31573,21.7
4. 30～49명,36015,9.2,18608,9.3,17406,9.1,36857,9.4,18961,9.6,17895,9.1,34909,9.7,17816,9.8,17092,9.5,34088,9.1,17027,9.2,17060,9.0,32126,8.4,16520,8.7,15606,8.1,35023,9.2,17842,9.5,17180,8.9,32024,9.0,17088,9.8,14935,8.2,32787,9.0,16707,9.4,16080,8.6,32543,8.6,16911,9.1,15632,8.1,30324,8.2,15621,8.6,14703,7.8,28929,8.2,13848,8.0,15080,8.5,26988,8.0,14376,8.6,12611,7.4,23147,7.9,11858,8.1,11289,7.7
5. 50～99명,42443,10.9,22977,11.5,19466,10.2,44834,11.4,23128,11.7,21706,11.1,43137,11.9,22402,12.4,20734,11.5,40663,10.8,20153,10.9,20510,10.8,43241,11.3,20230,10.6,23010,12.0,44214,11.6,20622,11.0,23591,12.3,40902,11.5,20710,11.9,20192,11.1,38892,10.7,19982,11.3,18910,10.1,38297,10.1,19212,10.4,19085,9.9,38421,10.4,19400,10.7,19021,10.2,37890,10.8,19380,11.2,18510,10.4,36994,10.9,18614,11.1,18380,10.8,32285,11.0,16880,11.5,15405,10.6
6. 100～299명,49225,12.6,28106,14.0,21119,11.1,45651,11.6,25464,12.9,20187,10.3,42477,11.8,23834,13.2,18643,10.4,45073,12.0,24852,13.5,20220,10.6,48827,12.8,25804,13.6,23022,12.0,46989,12.4,25908,13.8,21081,11.0,44078,12.4,23493,13.5,20585,11.3,44335,12.2,25124,14.2,19211,10.3,49689,13.1,28019,15.2,21669,11.2,45196,12.3,24369,13.4,20826,11.1,42195,12.0,23957,13.8,18238,10.3,44685,13.2,25213,15.0,19471,11.4,37569,12.9,21031,14.4,16537,11.3
7. 300～499명,18969,4.8,10780,5.4,8188,4.3,19681,5.0,11136,5.6,8545,4.3,16133,4.4,9624,5.3,6508,3.6,18956,5.0,10394,5.6,8561,4.5,21307,5.6,10987,5.8,10320,5.4,20791,5.4,12129,6.4,8661,4.5,17275,4.8,8838,5.0,8436,4.6,19130,5.2,10526,5.9,8604,4.6,19460,5.1,10154,5.5,9306,4.8,18548,5.0,10029,5.5,8518,4.5,18169,5.2,9372,5.4,8796,4.9,18577,5.5,11171,6.6,7405,4.3,14863,5.1,7847,5.3,7016,4.8
8. 500～999명,19846,5.0,11052,5.5,8794,4.6,18994,4.8,10152,5.1,8842,4.5,16781,4.6,9114,5.0,7666,4.2,19507,5.2,10073,5.4,9434,4.9,22552,5.9,12327,6.5,10225,5.3,21801,5.7,11897,6.3,9903,5.1,17886,5.0,9498,5.4,8388,4.6,17205,4.7,9179,5.2,8025,4.3,18512,4.9,9144,4.9,9367,4.8,20833,5.6,10408,5.7,10424,5.5,17992,5.1,9726,5.6,8265,4.6,17124,5.0,9246,5.5,7877,4.6,14607,5.0,7758,5.3,6849,4.7
"9. 1,000명 이상",42590,10.9,24585,12.3,18005,9.4,38887,9.9,22294,11.3,16592,8.5,38938,10.8,23534,13.0,15404,8.5,42237,11.3,25019,13.6,17217,9.0,50187,13.2,29237,15.4,20949,10.9,46369,12.2,28480,15.1,17889,9.3,42432,11.9,26123,15.0,16308,9.0,44443,12.2,25930,14.7,18512,9.9,42356,11.2,24226,13.1,18129,9.4,42112,11.4,24053,13.2,18059,9.6,36900,10.5,22362,12.9,14538,8.2,38236,11.3,21278,12.7,16958,9.9,39866,13.6,23450,16.0,16416,11.3
