column,count,mean,std,min,25%,50%,75%,max
2007__전체__빈도,10.0,77832.1,110673.73655875988,18969.0,37622.0,45683.5,52646.5,389163.0
2007__전체__비중,10.0,19.96,28.456094836314648,4.8,9.625,11.7,13.5,100.0
2007__남자__빈도,10.0,39911.5,56714.02349850422,10780.0,19206.25,22688.5,27225.75,199560.0
2007__남자__비중,10.0,19.97,28.42753164725273,5.4,9.600000000000001,11.35,13.575,100.0
2007__여자__빈도,10.0,37920.1,54084.11734706513,8188.0,17555.75,20292.5,30483.25,189602.0
2007__여자__비중,10.0,19.95,28.541480534672882,4.3,9.175,10.649999999999999,16.025,100.0
2008__전체__빈도,10.0,78370.8,111507.71818608193,18994.0,37364.5,45242.5,55323.0,391857.0
2008__전체__비중,10.0,19.970000000000006,28.465419566749958,4.8,9.525,11.5,14.1,100.0
2008__남자__빈도,10.0,39388.6,55909.11106072069,10152.0,19794.25,23027.5,25278.25,196945.0
2008__남자__비중,10.0,19.96,28.401494483369863,5.1,10.025,11.649999999999999,12.8,100.0
2008__여자__빈도,10.0,38981.8,55680.327056031805,8545.0,16917.75,20946.5,31050.5,194911.0
2008__여자__비중,10.0,19.96,28.581859048471053,4.3,8.65,10.7,15.925,100.0
2009__전체__빈도,10.0,71922.6,102425.66957685299,16133.0,35916.25,42807.0,46210.0,359615.0
2009__전체__비중,10.0,19.950000000000003,28.49921051538095,4.4,9.975,11.850000000000001,12.775,100.0
2009__남자__빈도,10.0,36083.0,51230.65390521143,9114.0,18257.0,21207.0,23759.0,180417.0
2009__남자__비중,10.0,19.96,28.41080389179049,5.0,10.05,11.7,13.149999999999999,100.0
2009__여자__빈도,10.0,35839.2,51320.002121330166,6508.0,15826.0,19688.5,26306.0,179198.0
2009__여자__비중,10.0,19.95,28.656131785167535,3.6,8.75,10.95,14.6,100.0
2010__전체__빈도,10.0,74616.5,106014.74381765124,18956.0,35731.75,43655.0,51575.75,373085.0
2010__전체__비중,10.0,19.95,28.433245408226693,5.0,9.525,11.65,13.799999999999999,100.0
2010__남자__빈도,10.0,36756.6,52149.74649602814,10073.0,17751.0,21064.0,24977.25,183785.0
2010__남자__비중,10.0,19.95,28.39281012275232,5.4,9.6,11.4,13.575,100.0
2010__여자__빈도,10.0,37859.3,53982.395426760304,8561.0,17099.25,20365.0,30113.5,189299.0
2010__여자__비중,10.0,19.94,28.53513234204071,4.5,9.0,10.7,15.825000000000001,100.0
2011__전체__빈도,10.0,76005.7,107748.85482768611,21307.0,34904.75,46486.0,49847.0,380030.0
2011__전체__비중,10.0,19.97,28.363711166050027,5.6,9.125,12.2,13.1,100.0
2011__남자__빈도,10.0,37881.0,53686.10019569518,10987.0,17282.75,21094.0,28378.75,189407.0
2011__남자__비중,10.0,19.97,28.354268736039646,5.8,9.1,11.05,14.95,100.0
2011__여자__빈도,10.0,38124.2,54139.5985225027,10225.0,16941.75,23016.0,26217.0,190623.0
2011__여자__비중,10.0,19.950000000000003,28.419994917506777,5.3,8.8,12.0,13.725,100.0
2012__전체__빈도,10.0,75756.3,107560.6665582524,20791.0,37006.25,44615.0,46834.0,378783.0
2012__전체__비중,10.0,19.949999999999996,28.41432541674866,5.4,9.725,11.7,12.35,100.0
2012__남자__빈도,10.0,37488.0,53149.35857039523,11897.0,17822.5,19628.5,27837.0,187442.0
2012__남자__비중,10.0,19.96,28.367046609284742,6.3,9.5,10.45,14.775,100.0
2012__여자__빈도,10.0,38267.8,54576.654178218814,8661.0,17357.25,22336.0,26070.5,191341.0
2012__여자__비중,10.0,19.950000000000003,28.538638525495376,4.5,9.0,11.65,13.549999999999999,100.0
2013__전체__빈도,10.0,70892.2,100741.56143077747,17275.0,34243.5,42741.5,47015.0,354463.0
2013__전체__비중,10.0,19.96,28.436408587114745,4.8,9.625,12.0,13.225,100.0
2013__남자__빈도,10.0,34665.6,49187.717859915654,8838.0,17364.25,19644.0,25465.5,173330.0
2013__남자__비중,10.0,19.94,28.399851329814307,5.0,9.950000000000001,11.3,14.625,100.0
2013__여자__빈도,10.0,36226.2,51721.316662367455,8388.0,15278.25,20388.5,28275.75,181133.0
2013__여자__비중,10.0,19.96,28.566460520454168,4.6,8.399999999999999,11.2,15.575,100.0
2014__전체__빈도,10.0,72310.3,102796.48290681501,17205.0,34313.25,44389.0,47364.5,361554.0
2014__전체__비중,10.0,19.939999999999998,28.45363480002745,4.7,9.425,12.2,13.05,100.0
2014__남자__빈도,10.0,35183.0,49885.56614448267,9179.0,17175.0,19673.0,25728.5,175917.0
2014__남자__비중,10.0,19.95,28.374763826721487,5.2,9.675,11.15,14.575,100.0
2014__여자__빈도,10.0,37126.9,53091.474472419344,8025.0,16688.0,19060.5,28589.0,185636.0
2014__여자__비중,10.0,19.95,28.616826829293593,4.3,8.925,10.2,15.325,100.0
2015__전체__빈도,10.0,75354.9,107213.41051322721,18512.0,33981.5,45311.5,51276.0,376776.0
2015__전체__비중,10.0,19.96,28.469406581646744,4.9,8.975,12.0,13.549999999999999,100.0
2015__남자__빈도,10.0,36864.8,52325.34347670883,9144.0,17486.25,21832.0,27070.75,184326.0
2015__남자__비중,10.0,19.96,28.40032081195954,4.9,9.425,11.8,14.674999999999999,100.0
2015__여자__빈도,10.0,38489.6,55012.97608584925,9306.0,16256.25,20377.0,29146.25,192450.0
2015__여자__비중,10.0,19.96,28.598065202620496,4.8,8.425,10.55,15.1,100.0
2016__전체__빈도,10.0,73463.7,104440.33274772517,18548.0,32348.25,43654.0,49586.0,367321.0
2016__전체__비중,10.0,19.96,28.44906559684049,5.0,8.75,11.850000000000001,13.45,100.0
2016__남자__빈도,10.0,36207.7,51401.36838223927,10029.0,16565.75,21121.5,24290.0,181040.0
2016__남자__비중,10.0,19.949999999999996,28.40755963549922,5.5,9.125,11.600000000000001,13.35,100.0
2016__여자__빈도,10.0,37255.6,53121.15103588944,8518.0,15542.0,19923.5,28288.25,186280.0
2016__여자__비중,10.0,19.95,28.538521724543166,4.5,8.25,10.649999999999999,15.174999999999999,100.0
2017__전체__빈도,10.0,69829.9,99380.10096867703,17992.0,30921.75,40042.5,47889.5,349151.0
2017__전체__비중,10.0,19.949999999999996,28.47994421030741,5.1,8.774999999999999,11.4,13.674999999999999,100.0
2017__남자__빈도,10.0,34475.8,48963.232372873426,9372.0,15231.0,20276.5,23558.25,172381.0
2017__남자__비중,10.0,19.95,28.420034013585088,5.4,8.8,11.7,13.575000000000001,100.0
2017__여자__빈도,10.0,35353.6,50540.40957535311,8265.0,14673.5,18374.0,27801.0,176770.0
2017__여자__비중,10.0,19.959999999999997,28.606883398542,4.6,8.274999999999999,10.350000000000001,15.675,100.0
2018__전체__빈도,10.0,67389.0,95893.09998928783,17124.0,29489.5,39812.0,44311.5,336947.0
2018__전체__비중,10.0,19.96,28.47444078077351,5.0,8.725,11.75,13.1,100.0
2018__남자__빈도,10.0,33404.5,47392.04517696567,9246.0,14994.25,18796.0,24229.25,167025.0
2018__남자__비중,10.0,19.95,28.39136214492789,5.5,8.95,11.2,14.425,100.0
2018__여자__빈도,10.0,33983.8,48616.93675802019,7405.0,13697.75,18925.5,24457.25,169921.0
2018__여자__비중,10.0,19.96,28.625482043490937,4.3,8.025,11.100000000000001,14.35,100.0
2019__전체__빈도,10.0,58213.2,82784.36218379518,14607.0,25431.5,35787.0,39291.75,291068.0
2019__전체__비중,10.0,19.96,28.453986246804384,5.0,8.675,12.25,13.425,100.0
2019__남자__빈도,10.0,29160.6,41423.76194139998,7758.0,12646.5,16633.0,22845.25,145805.0
2019__남자__비중,10.0,19.95,28.427500378643522,5.3,8.625,11.35,15.6,100.0
2019__여자__빈도,10.0,29052.2,41460.24870965762,6849.0,12318.0,16476.5,20569.0,145263.0
2019__여자__비중,10.0,19.96,28.55405011163526,4.7,8.425,11.3,14.075,100.0
