column_order,column,dtype,non_null_n,missing_n,missing_rate,unique_n,sample_values
1,분류,string,10,0,0.0,10,"전체 | 1. 내국인이 운영하는 국내외의 민간회사 또는개인사업체 | 2. 외국인이 운영하는 국내외에 위치하는 외국인 회사 | 3. 정부투자기관/정부출연기관/공사합동기업 | 4. (재단, 사단) 법인단체"
2,2007__전체__빈도,int64,10,0,0.0,10,389146 | 269951 | 10755 | 14004 | 30772
3,2007__전체__비중,float64,10,0,0.0,10,100.0 | 69.3 | 2.7 | 3.5 | 7.9
4,2007__전문대__빈도,int64,10,0,0.0,10,173003 | 131169 | 3099 | 5061 | 15200
5,2007__전문대__비중,float64,10,0,0.0,10,100.0 | 75.8 | 1.7 | 2.9 | 8.7
6,2007__4년제__빈도,int64,10,0,0.0,10,211139 | 138732 | 7656 | 8943 | 15571
7,2007__4년제__비중,float64,10,0,0.0,10,100.0 | 65.7 | 3.6 | 4.2 | 7.3
8,2007__교육대__빈도,int64,10,0,0.0,5,5003 | 49 | 0 | 347 | 4605
9,2007__교육대__비중,float64,10,0,0.0,5,100.0 | 0.9 | 0.0 | 6.9 | 92.0
10,2008__전체__빈도,int64,10,0,0.0,10,391086 | 274115 | 10948 | 13113 | 21588
11,2008__전체__비중,float64,10,0,0.0,10,100.0 | 70.0 | 2.7 | 3.3 | 5.5
12,2008__전문대__빈도,int64,10,0,0.0,10,165032 | 130680 | 2567 | 4187 | 9215
13,2008__전문대__비중,float64,10,0,0.0,10,100.0 | 79.1 | 1.5 | 2.5 | 5.5
14,2008__4년제__빈도,int64,10,0,0.0,10,220039 | 143407 | 8381 | 8915 | 12373
15,2008__4년제__비중,float64,10,0,0.0,10,100.0 | 65.1 | 3.8 | 4.0 | 5.6
16,2008__교육대__빈도,int64,10,0,0.0,7,6014 | 27 | 0 | 10 | 302
17,2008__교육대__비중,float64,10,0,0.0,6,100.0 | 0.4 | 0.0 | 0.1 | 5.0
18,2009__전체__빈도,int64,10,0,0.0,10,359719 | 267246 | 7300 | 12510 | 17079
19,2009__전체__비중,float64,10,0,0.0,10,100.0 | 74.2 | 2.0 | 3.4 | 4.7
20,2009__전문대__빈도,int64,10,0,0.0,10,153855 | 126058 | 2502 | 4152 | 6947
21,2009__전문대__비중,float64,10,0,0.0,10,100.0 | 81.9 | 1.6 | 2.6 | 4.5
22,2009__4년제__빈도,int64,10,0,0.0,10,200495 | 141024 | 4798 | 8334 | 10132
23,2009__4년제__비중,float64,10,0,0.0,10,100.0 | 70.3 | 2.3 | 4.1 | 5.0
24,2009__교육대__빈도,int64,10,0,0.0,6,5368 | 162 | 0 | 24 | 134
25,2009__교육대__비중,float64,10,0,0.0,6,100.0 | 3.0 | 0.0 | 0.4 | 2.5
26,2010__전체__빈도,int64,10,0,0.0,10,376517 | 264634 | 9969 | 13909 | 24852
27,2010__전체__비중,float64,10,0,0.0,10,100.0 | 70.2 | 2.6 | 3.6 | 6.6
28,2010__전문대__빈도,int64,10,0,0.0,10,152577 | 120243 | 2481 | 3872 | 11257
29,2010__전문대__비중,float64,10,0,0.0,9,100.0 | 78.8 | 1.6 | 2.5 | 7.3
30,2010__4년제__빈도,int64,10,0,0.0,10,218965 | 144259 | 7487 | 10037 | 13595
31,2010__4년제__비중,float64,10,0,0.0,10,100.0 | 65.8 | 3.4 | 4.5 | 6.2
32,2010__교육대__빈도,int64,10,0,0.0,5,4974 | 131 | 0 | 185 | 4657
33,2010__교육대__비중,float64,10,0,0.0,5,100.0 | 2.6 | 0.0 | 3.7 | 93.6
34,2011__전체__빈도,int64,10,0,0.0,10,380683 | 262378 | 9940 | 14077 | 31621
35,2011__전체__비중,float64,10,0,0.0,10,100.0 | 68.9 | 2.6 | 3.6 | 8.3
36,2011__전문대__빈도,int64,10,0,0.0,10,148893 | 113307 | 2696 | 3772 | 14670
37,2011__전문대__비중,float64,10,0,0.0,10,100.0 | 76.0 | 1.8 | 2.5 | 9.8
38,2011__4년제__빈도,int64,10,0,0.0,10,226967 | 148846 | 7243 | 10270 | 16936
39,2011__4년제__비중,float64,10,0,0.0,10,100.0 | 65.5 | 3.1 | 4.5 | 7.4
40,2011__교육대__빈도,int64,10,0,0.0,8,4823 | 224 | 0 | 34 | 14
41,2011__교육대__비중,float64,10,0,0.0,8,100.0 | 4.6 | 0.0 | 0.7 | 0.2
42,2012__전체__빈도,int64,10,0,0.0,10,381658 | 280091 | 7308 | 11452 | 21088
43,2012__전체__비중,float64,10,0,0.0,10,100.0 | 73.3 | 1.9 | 3.0 | 5.5
44,2012__전문대__빈도,int64,10,0,0.0,10,146906 | 119268 | 1783 | 2448 | 8271
45,2012__전문대__비중,float64,10,0,0.0,9,100.0 | 81.1 | 1.2 | 1.6 | 5.6
46,2012__4년제__빈도,int64,10,0,0.0,10,230179 | 160619 | 5525 | 8979 | 12798
47,2012__4년제__비중,float64,10,0,0.0,10,100.0 | 69.7 | 2.4 | 3.9 | 5.5
48,2012__교육대__빈도,int64,10,0,0.0,8,4572 | 203 | 0 | 24 | 18
49,2012__교육대__비중,float64,10,0,0.0,8,100.0 | 4.4 | 0.0 | 0.5 | 0.4
50,2013__전체__빈도,int64,10,0,0.0,10,362334 | 252905 | 8264 | 14175 | 26201
