분류,2007__전체__빈도,2007__전체__비중,2007__전문대__빈도,2007__전문대__비중,2007__4년제__빈도,2007__4년제__비중,2007__교육대__빈도,2007__교육대__비중,2008__전체__빈도,2008__전체__비중,2008__전문대__빈도,2008__전문대__비중,2008__4년제__빈도,2008__4년제__비중,2008__교육대__빈도,2008__교육대__비중,2009__전체__빈도,2009__전체__비중,2009__전문대__빈도,2009__전문대__비중,2009__4년제__빈도,2009__4년제__비중,2009__교육대__빈도,2009__교육대__비중,2010__전체__빈도,2010__전체__비중,2010__전문대__빈도,2010__전문대__비중,2010__4년제__빈도,2010__4년제__비중,2010__교육대__빈도,2010__교육대__비중,2011__전체__빈도,2011__전체__비중,2011__전문대__빈도,2011__전문대__비중,2011__4년제__빈도,2011__4년제__비중,2011__교육대__빈도,2011__교육대__비중,2012__전체__빈도,2012__전체__비중,2012__전문대__빈도,2012__전문대__비중,2012__4년제__빈도,2012__4년제__비중,2012__교육대__빈도,2012__교육대__비중,2013__전체__빈도,2013__전체__비중,2013__전문대__빈도,2013__전문대__비중,2013__4년제__빈도,2013__4년제__비중,2013__교육대__빈도,2013__교육대__비중,2014__전체__빈도,2014__전체__비중,2014__전문대__빈도,2014__전문대__비중,2014__4년제__빈도,2014__4년제__비중,2014__교육대__빈도,2014__교육대__비중,2015__전체__빈도,2015__전체__비중,2015__전문대__빈도,2015__전문대__비중,2015__4년제__빈도,2015__4년제__비중,2015__교육대__빈도,2015__교육대__비중,2016__전체__빈도,2016__전체__비중,2016__전문대__빈도,2016__전문대__비중,2016__4년제__빈도,2016__4년제__비중,2016__교육대__빈도,2016__교육대__비중,2017__전체__빈도,2017__전체__비중,2017__전문대__빈도,2017__전문대__비중,2017__4년제__빈도,2017__4년제__비중,2017__교육대__빈도,2017__교육대__비중,2018__전체__빈도,2018__전체__비중,2018__전문대__빈도,2018__전문대__비중,2018__4년제__빈도,2018__4년제__비중,2018__교육대__빈도,2018__교육대__비중,2019__전체__빈도,2019__전체__비중,2019__전문대__빈도,2019__전문대__비중,2019__4년제__빈도,2019__4년제__비중,2019__교육대__빈도,2019__교육대__비중
전체,389146,100.0,173003,100.0,211139,100.0,5003,100.0,391086,100.0,165032,100.0,220039,100.0,6014,100.0,359719,100.0,153855,100.0,200495,100.0,5368,100.0,376517,100.0,152577,100.0,218965,100.0,4974,100.0,380683,100.0,148893,100.0,226967,100.0,4823,100.0,381658,100.0,146906,100.0,230179,100.0,4572,100.0,362334,100.0,138912,100.0,218827,100.0,4594,100.0,370281,100.0,141363,100.0,224638,100.0,4280,100.0,380947,100.0,138070,100.0,238970,100.0,3906,100.0,388305,100.0,135725,100.0,249179,100.0,3400,100.0,375557,100.0,127827,100.0,244341,100.0,3388,100.0,364901,100.0,122979,100.0,238648,100.0,3273,100.0,322955,100.0,109478,100.0,210182,100.0,3294,100.0
1. 내국인이 운영하는 국내외의 민간회사 또는개인사업체,269951,69.3,131169,75.8,138732,65.7,49,0.9,274115,70.0,130680,79.1,143407,65.1,27,0.4,267246,74.2,126058,81.9,141024,70.3,162,3.0,264634,70.2,120243,78.8,144259,65.8,131,2.6,262378,68.9,113307,76.0,148846,65.5,224,4.6,280091,73.3,119268,81.1,160619,69.7,203,4.4,252905,69.7,110390,79.4,142212,64.9,302,6.5,277362,74.9,119291,84.3,158003,70.3,66,1.5,268710,70.5,112322,81.3,156324,65.4,63,1.6,268061,69.0,107314,79.0,160727,64.5,19,0.5,252658,67.2,96968,75.8,155679,63.7,10,0.3,244138,66.9,94833,77.1,149263,62.5,41,1.2,202911,62.8,77708,70.9,125184,59.5,18,0.5
2. 외국인이 운영하는 국내외에 위치하는 외국인 회사,10755,2.7,3099,1.7,7656,3.6,0,0.0,10948,2.7,2567,1.5,8381,3.8,0,0.0,7300,2.0,2502,1.6,4798,2.3,0,0.0,9969,2.6,2481,1.6,7487,3.4,0,0.0,9940,2.6,2696,1.8,7243,3.1,0,0.0,7308,1.9,1783,1.2,5525,2.4,0,0.0,8264,2.2,1904,1.3,6335,2.8,24,0.5,5621,1.5,1281,0.9,4340,1.9,0,0.0,8345,2.1,2364,1.7,5981,2.5,0,0.0,9801,2.5,2128,1.5,7673,3.0,0,0.0,8792,2.3,1832,1.4,6960,2.8,0,0.0,10055,2.7,2563,2.0,7492,3.1,0,0.0,8208,2.5,2216,2.0,5991,2.8,0,0.0
3. 정부투자기관/정부출연기관/공사합동기업,14004,3.5,5061,2.9,8943,4.2,0,0.0,13113,3.3,4187,2.5,8915,4.0,10,0.1,12510,3.4,4152,2.6,8334,4.1,24,0.4,13909,3.6,3872,2.5,10037,4.5,0,0.0,14077,3.6,3772,2.5,10270,4.5,34,0.7,11452,3.0,2448,1.6,8979,3.9,24,0.5,14175,3.9,4041,2.9,10090,4.6,42,0.9,10121,2.7,2646,1.8,7467,3.3,7,0.1,14889,3.9,2361,1.7,12520,5.2,8,0.2,16377,4.2,2775,2.0,13602,5.4,0,0.0,17475,4.6,3352,2.6,14122,5.7,0,0.0,17035,4.6,2402,1.9,14632,6.1,0,0.0,18942,5.8,2327,2.1,16615,7.9,0,0.0
"4. (재단, 사단) 법인단체",30772,7.9,15200,8.7,15571,7.3,0,0.0,21588,5.5,9215,5.5,12373,5.6,0,0.0,17079,4.7,6947,4.5,10132,5.0,0,0.0,24852,6.6,11257,7.3,13595,6.2,0,0.0,31621,8.3,14670,9.8,16936,7.4,14,0.2,21088,5.5,8271,5.6,12798,5.5,18,0.4,26201,7.2,9371,6.7,16807,7.6,21,0.4,18905,5.1,6685,4.7,12206,5.4,13,0.3,25059,6.5,9168,6.6,15890,6.6,0,0.0,28717,7.3,10372,7.6,18310,7.3,34,1.0,27965,7.4,11237,8.7,16727,6.8,0,0.0,28067,7.6,10917,8.8,17149,7.1,0,0.0,28283,8.7,11572,10.5,16710,7.9,0,0.0
"5. 정부기관(공무원, 군인 등)",20437,5.2,7431,4.2,12658,5.9,347,6.9,25224,6.4,8525,5.1,16397,7.4,302,5.0,20019,5.5,6376,4.1,13509,6.7,134,2.5,19939,5.2,7094,4.6,12660,5.7,185,3.7,16447,4.3,4875,3.2,11508,5.0,63,1.3,19381,5.0,5858,3.9,13451,5.8,72,1.5,19456,5.3,5046,3.6,14229,6.5,180,3.9,20219,5.4,5107,3.6,14922,6.6,189,4.4,22798,5.9,4744,3.4,17827,7.4,227,5.8,23367,6.0,5086,3.7,18109,7.2,171,5.0,26129,6.9,6041,4.7,19886,8.1,201,5.9,24787,6.7,5466,4.4,19130,8.0,190,5.8,26658,8.2,5613,5.1,20992,9.9,52,1.6
"6. 교육기관(대학, 초/중/고 등)",29700,7.6,6065,3.5,19029,9.0,4605,92.0,39327,10.0,7972,4.8,25687,11.6,5668,94.2,27824,7.7,5343,3.4,17434,8.6,5047,94.0,35435,9.4,5416,3.5,25360,11.5,4657,93.6,39189,10.2,7834,5.2,26902,11.8,4453,92.3,33257,8.7,6524,4.4,22497,9.7,4236,92.6,32996,9.1,5916,4.2,23071,10.5,4009,87.2,29951,8.0,4792,3.3,21155,9.4,4003,93.5,32687,8.5,5251,3.8,23828,9.9,3607,92.3,35196,9.0,6625,4.8,25396,10.1,3174,93.3,34749,9.2,6663,5.2,24909,10.1,3176,93.7,34487,9.4,5950,4.8,25495,10.6,3041,92.9,30388,9.4,7187,6.5,19978,9.5,3222,97.8
7. 연구기관(국립/사립),1870,0.4,387,0.2,1483,0.7,0,0.0,505,0.1,134,0.0,371,0.1,0,0.0,2144,0.5,357,0.2,1787,0.8,0,0.0,1961,0.5,206,0.1,1755,0.8,0,0.0,1767,0.4,224,0.1,1543,0.6,0,0.0,1888,0.4,347,0.2,1541,0.6,0,0.0,2552,0.7,325,0.2,2213,1.0,13,0.2,3004,0.8,313,0.2,2690,1.1,0,0.0,2789,0.7,209,0.1,2580,1.0,0,0.0,2708,0.6,341,0.2,2366,0.9,0,0.0,2805,0.7,465,0.3,2339,0.9,0,0.0,2812,0.7,75,0.0,2737,1.1,0,0.0,1524,0.4,227,0.2,1297,0.6,0,0.0
8. 특정한 회사나 사업체에 소속되어 있지 않다,3758,0.9,1308,0.7,2449,1.1,0,0.0,4147,1.0,1142,0.6,3005,1.3,0,0.0,5057,1.4,2008,1.3,3048,1.5,0,0.0,5240,1.3,1806,1.1,3433,1.5,0,0.0,4982,1.3,1447,0.9,3502,1.5,32,0.6,6757,1.7,2363,1.6,4377,1.9,16,0.3,5180,1.4,1789,1.2,3391,1.5,0,0.0,4803,1.2,1173,0.8,3629,1.6,0,0.0,5393,1.4,1545,1.1,3847,1.6,0,0.0,4054,1.0,1061,0.7,2993,1.2,0,0.0,4971,1.3,1266,0.9,3704,1.5,0,0.0,3505,0.9,771,0.6,2734,1.1,0,0.0,3477,1.0,1558,1.4,1918,0.9,0,0.0
9. 기타,7893,2.0,3278,1.8,4614,2.1,0,0.0,2113,0.5,607,0.3,1500,0.6,5,0.0,535,0.1,109,0.0,425,0.2,0,0.0,574,0.1,199,0.1,375,0.1,0,0.0,278,0.0,64,0.0,214,0.0,0,0.0,430,0.1,41,0.0,389,0.1,0,0.0,602,0.1,126,0.0,475,0.2,0,0.0,292,0.0,71,0.0,221,0.0,0,0.0,273,0.0,104,0.0,169,0.0,0,0.0,19,0.0,19,0.0,0,0.0,0,0.0,10,0.0,0,0.0,10,0.0,0,0.0,11,0.0,0,0.0,11,0.0,0,0.0,2559,0.7,1065,0.9,1493,0.7,0,0.0
