column,count,mean,std,min,25%,50%,75%,max
2007__전체__빈도,10.0,77828.6,135963.07498908992,1870.0,8608.5,17220.5,30504.0,389146.0
2007__전체__비중,10.0,19.95,34.95105307585325,0.4,2.175,4.35,7.825,100.0
2007__전문대__빈도,10.0,34600.1,62835.36052865987,387.0,3143.75,5563.0,13257.75,173003.0
2007__전문대__비중,10.0,19.95,36.34138290036733,0.2,1.725,3.2,7.574999999999999,100.0
2007__4년제__빈도,10.0,42227.4,72209.2432944395,1483.0,5374.5,10800.5,18164.5,211139.0
2007__4년제__비중,10.0,19.96,34.21871482748065,0.7,2.475,5.050000000000001,8.575,100.0
2007__교육대__빈도,10.0,1000.4,2009.7219929355622,0.0,0.0,0.0,272.5,5003.0
2007__교육대__비중,10.0,19.98,40.166896264903954,0.0,0.0,0.0,5.4,100.0
2008__전체__빈도,10.0,78216.6,137384.92525682074,505.0,5847.25,17350.5,35801.25,391086.0
2008__전체__비중,10.0,19.95,35.135649828754964,0.1,1.425,4.4,9.1,100.0
2008__전문대__빈도,10.0,33006.1,61160.76512211257,134.0,1498.25,6079.5,9042.5,165032.0
2008__전문대__비중,10.0,19.94,37.07203798012729,0.0,0.825,3.65,5.4,100.0
2008__4년제__빈도,10.0,44007.5,75173.16259181568,371.0,4349.0,10644.0,23364.5,220039.0
2008__4년제__비중,10.0,19.95,34.17465760212123,0.1,1.925,4.8,10.55,100.0
2008__교육대__빈도,10.0,1202.6,2447.7656569024557,0.0,0.0,7.5,233.25,6014.0
2008__교육대__비중,10.0,19.97,40.70326358741602,0.0,0.0,0.05,3.85,100.0
2009__전체__빈도,10.0,71943.3,129428.9479968321,535.0,5617.75,14794.5,25872.75,359719.0
2009__전체__비중,10.0,19.95,35.98614702601235,0.1,1.5499999999999998,4.05,7.15,100.0
2009__전문대__빈도,10.0,30770.7,57964.311759813805,109.0,2131.5,4747.5,6804.25,153855.0
2009__전문대__비중,10.0,19.96,37.68769914264688,0.0,1.375,3.0,4.4,100.0
2009__4년제__빈도,10.0,40098.6,70475.5843461644,425.0,3485.5,9233.0,16452.75,200495.0
2009__4년제__비중,10.0,19.95,35.16776459581511,0.2,1.7,4.55,8.125,100.0
2009__교육대__빈도,10.0,1073.5,2180.937273029394,0.0,0.0,12.0,155.0,5368.0
2009__교육대__비중,10.0,19.990000000000002,40.62758914826229,0.0,0.0,0.2,2.875,100.0
2010__전체__빈도,10.0,75303.0,132365.69119257788,574.0,6422.25,16924.0,32789.25,376517.0
2010__전체__비중,10.0,19.949999999999996,35.16413103022896,0.1,1.625,4.4,8.7,100.0
2010__전문대__빈도,10.0,30515.1,56428.2002557232,199.0,1974.75,4644.0,10216.25,152577.0
2010__전문대__비중,10.0,19.96,37.001747706471015,0.1,1.225,3.0,6.625,100.0
2010__4년제__빈도,10.0,43792.6,75083.9856134449,375.0,4446.5,11348.5,22418.75,218965.0
2010__4년제__비중,10.0,19.950000000000003,34.29853414425234,0.1,1.975,5.1,10.175,100.0
2010__교육대__빈도,10.0,994.7,2016.1963666490647,0.0,0.0,0.0,171.5,4974.0
2010__교육대__비중,10.0,19.99,40.53175572587773,0.0,0.0,0.0,3.4250000000000003,100.0
2011__전체__빈도,10.0,76136.2,132884.95712273495,278.0,6221.5,15262.0,37297.0,380683.0
2011__전체__비중,10.0,19.96,34.9224283233569,0.0,1.625,3.95,9.725,100.0
2011__전문대__빈도,10.0,29778.2,54226.049815768645,64.0,1759.25,4323.5,12961.0,148893.0
2011__전문대__비중,10.0,19.950000000000003,36.42283319262489,0.0,1.125,2.85,8.65,100.0
2011__4년제__빈도,10.0,45393.1,77731.31779183699,214.0,4437.25,10889.0,24410.5,226967.0
2011__4년제__비중,10.0,19.94,34.26317102792573,0.0,1.9,4.75,10.700000000000001,100.0
2011__교육대__빈도,10.0,964.3,1939.3101322091031,0.0,3.5,33.0,183.75,4823.0
2011__교육대__비중,10.0,19.97,40.21473057917404,0.0,0.05,0.6499999999999999,3.7749999999999995,100.0
2012__전체__빈도,10.0,76331.0,136630.0350297189,430.0,6894.75,15416.5,30214.75,381658.0
2012__전체__비중,10.0,19.96,35.801123508130914,0.1,1.75,4.0,7.8999999999999995,100.0
2012__전문대__빈도,10.0,29380.9,55110.01284793899,41.0,1928.0,4153.0,7834.25,146906.0
2012__전문대__비중,10.0,19.96,37.514032929913924,0.0,1.3,2.75,5.3,100.0
2012__4년제__빈도,10.0,46035.5,80672.05767832846,389.0,4664.0,10888.5,20235.5,230179.0
2012__4년제__비중,10.0,19.96,35.05076318712618,0.1,2.025,4.7,8.725,100.0
2012__교육대__빈도,10.0,914.1,1842.059261322019,0.0,4.0,21.0,170.25,4572.0
2012__교육대__비중,10.0,19.970000000000002,40.289040417684035,0.0,0.075,0.45,3.6750000000000003,100.0
2013__전체__빈도,10.0,72466.5,127012.52192883275,602.0,5951.0,16815.5,31297.25,362334.0
2013__전체__비중,10.0,19.959999999999997,35.0544402006048,0.1,1.6,4.6,8.625,100.0
2013__전문대__빈도,10.0,27782.0,51570.50657541037,126.0,1817.75,4543.5,8507.25,138912.0
2013__전문대__비중,10.0,19.949999999999996,37.13549514951969,0.0,1.225,3.25,6.075,100.0
2013__4년제__빈도,10.0,43765.0,74633.57120253891,475.0,4127.0,12159.5,21505.0,218827.0
