분류,2007__전체__빈도,2007__전체__비중,2007__인문__빈도,2007__인문__비중,2007__사회__빈도,2007__사회__비중,2007__교육__빈도,2007__교육__비중,2007__공학__빈도,2007__공학__비중,2007__자연__빈도,2007__자연__비중,2007__의약__빈도,2007__의약__비중,2007__예체능__빈도,2007__예체능__비중,2008__전체__빈도,2008__전체__비중,2008__인문__빈도,2008__인문__비중,2008__사회__빈도,2008__사회__비중,2008__교육__빈도,2008__교육__비중,2008__공학__빈도,2008__공학__비중,2008__자연__빈도,2008__자연__비중,2008__의약__빈도,2008__의약__비중,2008__예체능__빈도,2008__예체능__비중,2009__전체__빈도,2009__전체__비중,2009__인문__빈도,2009__인문__비중,2009__사회__빈도,2009__사회__비중,2009__교육__빈도,2009__교육__비중,2009__공학__빈도,2009__공학__비중,2009__자연__빈도,2009__자연__비중,2009__의약__빈도,2009__의약__비중,2009__예체능__빈도,2009__예체능__비중,2010__전체__빈도,2010__전체__비중,2010__인문__빈도,2010__인문__비중,2010__사회__빈도,2010__사회__비중,2010__교육__빈도,2010__교육__비중,2010__공학__빈도,2010__공학__비중,2010__자연__빈도,2010__자연__비중,2010__의약__빈도,2010__의약__비중,2010__예체능__빈도,2010__예체능__비중,2011__전체__빈도,2011__전체__비중,2011__인문__빈도,2011__인문__비중,2011__사회__빈도,2011__사회__비중,2011__교육__빈도,2011__교육__비중,2011__공학__빈도,2011__공학__비중,2011__자연__빈도,2011__자연__비중,2011__의약__빈도,2011__의약__비중,2011__예체능__빈도,2011__예체능__비중,2012__전체__빈도,2012__전체__비중,2012__인문__빈도,2012__인문__비중,2012__사회__빈도,2012__사회__비중,2012__교육__빈도,2012__교육__비중,2012__공학__빈도,2012__공학__비중,2012__자연__빈도,2012__자연__비중,2012__의약__빈도,2012__의약__비중,2012__예체능__빈도,2012__예체능__비중,2013__전체__빈도,2013__전체__비중,2013__인문__빈도,2013__인문__비중,2013__사회__빈도,2013__사회__비중,2013__교육__빈도,2013__교육__비중,2013__공학__빈도,2013__공학__비중,2013__자연__빈도,2013__자연__비중,2013__의약__빈도,2013__의약__비중,2013__예체능__빈도,2013__예체능__비중,2014__전체__빈도,2014__전체__비중,2014__인문__빈도,2014__인문__비중,2014__사회__빈도,2014__사회__비중,2014__교육__빈도,2014__교육__비중,2014__공학__빈도,2014__공학__비중,2014__자연__빈도,2014__자연__비중,2014__의약__빈도,2014__의약__비중,2014__예체능__빈도,2014__예체능__비중,2015__전체__빈도,2015__전체__비중,2015__인문__빈도,2015__인문__비중,2015__사회__빈도,2015__사회__비중,2015__교육__빈도,2015__교육__비중,2015__공학__빈도,2015__공학__비중,2015__자연__빈도,2015__자연__비중,2015__의약__빈도,2015__의약__비중,2015__예체능__빈도,2015__예체능__비중,2016__전체__빈도,2016__전체__비중,2016__인문__빈도,2016__인문__비중,2016__사회__빈도,2016__사회__비중,2016__교육__빈도,2016__교육__비중,2016__공학__빈도,2016__공학__비중,2016__자연__빈도,2016__자연__비중,2016__의약__빈도,2016__의약__비중,2016__예체능__빈도,2016__예체능__비중,2017__전체__빈도,2017__전체__비중,2017__인문__빈도,2017__인문__비중,2017__사회__빈도,2017__사회__비중,2017__교육__빈도,2017__교육__비중,2017__공학__빈도,2017__공학__비중,2017__자연__빈도,2017__자연__비중,2017__의약__빈도,2017__의약__비중,2017__예체능__빈도,2017__예체능__비중,2018__전체__빈도,2018__전체__비중,2018__인문__빈도,2018__인문__비중,2018__사회__빈도,2018__사회__비중,2018__교육__빈도,2018__교육__비중,2018__공학__빈도,2018__공학__비중,2018__자연__빈도,2018__자연__비중,2018__의약__빈도,2018__의약__비중,2018__예체능__빈도,2018__예체능__비중,2019__전체__빈도,2019__전체__비중,2019__인문__빈도,2019__인문__비중,2019__사회__빈도,2019__사회__비중,2019__교육__빈도,2019__교육__비중,2019__공학__빈도,2019__공학__비중,2019__자연__빈도,2019__자연__비중,2019__의약__빈도,2019__의약__비중,2019__예체능__빈도,2019__예체능__비중
전체,389146,100.0,36844,100.0,104718,100.0,24957,100.0,102954,100.0,35813,100.0,32635,100.0,51222,100.0,391086,100.0,37080,100.0,108657,100.0,26703,100.0,95960,100.0,37834,100.0,33061,100.0,51789,100.0,359719,100.0,31194,100.0,106735,100.0,24809,100.0,85669,100.0,33060,100.0,32223,100.0,46027,100.0,376517,100.0,34182,100.0,109932,100.0,24855,100.0,87012,100.0,36785,100.0,33721,100.0,50027,100.0,380683,100.0,33605,100.0,110681,100.0,24277,100.0,90669,100.0,37576,100.0,34099,100.0,49773,100.0,381658,100.0,31789,100.0,112571,100.0,22547,100.0,93154,100.0,34922,100.0,35982,100.0,50690,100.0,362334,100.0,29199,100.0,104897,100.0,22776,100.0,88373,100.0,33561,100.0,35908,100.0,47616,100.0,370281,100.0,29941,100.0,104755,100.0,23160,100.0,88600,100.0,34585,100.0,39864,100.0,49373,100.0,380947,100.0,33053,100.0,108621,100.0,23281,100.0,91325,100.0,35629,100.0,40777,100.0,48258,100.0,388305,100.0,33728,100.0,106306,100.0,22066,100.0,94931,100.0,37094,100.0,43588,100.0,50588,100.0,375557,100.0,31193,100.0,101154,100.0,22251,100.0,93080,100.0,35651,100.0,44539,100.0,47687,100.0,364901,100.0,29824,100.0,94612,100.0,21724,100.0,93068,100.0,35751,100.0,45877,100.0,44041,100.0,322955,100.0,24483,100.0,82286,100.0,19250,100.0,82593,100.0,30882,100.0,44457,100.0,39001,100.0
1. 내국인이 운영하는 국내외의 민간회사 또는개인사업체,269951,69.3,23834,64.6,70525,67.3,9716,38.9,83160,80.7,25448,71.0,17871,54.7,39394,76.9,274115,70.0,24041,64.8,73680,67.8,12118,45.3,78694,82.0,26800,70.8,19178,58.0,39602,76.4,267246,74.2,21832,69.9,76982,72.1,11556,46.5,72697,84.8,24704,74.7,23548,73.0,35925,78.0,264634,70.2,22676,66.3,74884,68.1,10183,40.9,70889,81.4,24975,67.8,21331,63.2,39693,79.3,262378,68.9,22051,65.6,75533,68.2,7713,31.7,73078,80.5,25497,67.8,20814,61.0,37687,75.7,280091,73.3,22440,70.5,80512,71.5,9060,40.1,76636,82.2,25404,72.7,25830,71.7,40207,79.3,252905,69.7,19176,65.6,72152,68.7,9474,41.5,70092,79.3,22137,65.9,23463,65.3,36408,76.4,277362,74.9,20206,67.4,77703,74.1,11729,50.6,71948,81.2,25185,72.8,30620,76.8,39967,80.9,268710,70.5,22710,68.7,75184,69.2,9539,40.9,71639,78.4,23835,66.8,28225,69.2,37574,77.8,268061,69.0,21890,64.9,73552,69.1,7972,36.1,72969,76.8,25683,69.2,26025,59.7,39967,79.0,252658,67.2,20872,66.9,67786,67.0,8228,36.9,70093,75.3,23878,66.9,25360,56.9,36439,76.4,244138,66.9,19473,65.2,60751,64.2,9521,43.8,69617,74.8,22822,63.8,26903,58.6,35047,79.5,202911,62.8,14949,61.0,50213,61.0,4682,24.3,61148,74.0,19503,63.1,22658,50.9,29754,76.2
2. 외국인이 운영하는 국내외에 위치하는 외국인 회사,10755,2.7,1862,5.0,3422,3.2,63,0.2,3339,3.2,986,2.7,290,0.8,790,1.5,10948,2.7,1990,5.3,3356,3.0,134,0.5,3409,3.5,1137,3.0,224,0.6,695,1.3,7300,2.0,1220,3.9,2757,2.5,158,0.6,1499,1.7,776,2.3,236,0.7,652,1.4,9969,2.6,1999,5.8,3294,2.9,161,0.6,2115,2.4,971,2.6,275,0.8,1149,2.2,9940,2.6,1317,3.9,2880,2.6,270,1.1,2345,2.5,1391,3.7,225,0.6,1509,3.0,7308,1.9,1226,3.8,2531,2.2,47,0.2,1891,2.0,782,2.2,271,0.7,558,1.1,8264,2.2,987,3.3,2230,2.1,116,0.5,2392,2.7,1074,3.2,204,0.5,1258,2.6,5621,1.5,976,3.2,1966,1.8,87,0.3,1629,1.8,636,1.8,47,0.1,278,0.5,8345,2.1,1255,3.7,2633,2.4,42,0.1,2539,2.7,933,2.6,280,0.6,660,1.3,9801,2.5,1905,5.6,2568,2.4,144,0.6,3295,3.4,865,2.3,144,0.3,876,1.7,8792,2.3,1124,3.6,2457,2.4,47,0.2,3031,3.2,818,2.2,284,0.6,1028,2.1,10055,2.7,1650,5.5,3122,3.3,100,0.4,3186,3.4,1057,2.9,271,0.5,666,1.5,8208,2.5,1290,5.2,2424,2.9,54,0.2,2659,3.2,1084,3.5,61,0.1,633,1.6
3. 정부투자기관/정부출연기관/공사합동기업,14004,3.5,1465,3.9,4824,4.6,270,1.0,4026,3.9,1298,3.6,989,3.0,1129,2.2,13113,3.3,818,2.2,4744,4.3,286,1.0,3266,3.4,1737,4.5,1148,3.4,1111,2.1,12510,3.4,1064,3.4,4847,4.5,255,1.0,2400,2.8,1337,4.0,1248,3.8,1356,2.9,13909,3.6,1477,4.3,4845,4.4,440,1.7,2613,3.0,1851,5.0,1633,4.8,1047,2.0,14077,3.6,1311,3.9,5067,4.5,357,1.4,2698,2.9,1663,4.4,1752,5.1,1225,2.4,11452,3.0,1028,3.2,4297,3.8,279,1.2,2607,2.7,1073,3.0,1291,3.5,874,1.7,14175,3.9,989,3.3,5404,5.1,344,1.5,3513,3.9,1619,4.8,1380,3.8,923,1.9,10121,2.7,926,3.0,4011,3.8,253,1.0,2334,2.6,855,2.4,1024,2.5,716,1.4,14889,3.9,1198,3.6,5327,4.9,370,1.5,3870,4.2,1551,4.3,1620,3.9,951,1.9,16377,4.2,1346,3.9,5720,5.3,512,2.3,4510,4.7,1447,3.9,1721,3.9,1118,2.2,17475,4.6,1403,4.4,5802,5.7,326,1.4,4921,5.2,1668,4.6,2406,5.4,946,1.9,17035,4.6,1275,4.2,5853,6.1,378,1.7,5660,6.0,1539,4.3,1131,2.4,1196,2.7,18942,5.8,1370,5.5,6210,7.5,243,1.2,6017,7.2,1715,5.5,2609,5.8,775,1.9
"4. (재단, 사단) 법인단체",30772,7.9,2787,7.5,10830,10.3,1946,7.8,3817,3.7,2285,6.3,6784,20.7,2319,4.5,21588,5.5,2891,7.7,9717,8.9,1298,4.8,1288,1.3,1197,3.1,3545,10.7,1648,3.1,17079,4.7,1625,5.2,6919,6.4,712,2.8,1410,1.6,962,2.9,3879,12.0,1570,3.4,24852,6.6,2088,6.1,11033,10.0,1507,6.0,1022,1.1,1488,4.0,5995,17.7,1715,3.4,31621,8.3,2764,8.2,11815,10.6,3151,12.9,2230,2.4,1620,4.3,7676,22.5,2362,4.7,21088,5.5,1524,4.7,9095,8.0,1166,5.1,1760,1.8,1107,3.1,4948,13.7,1485,2.9,26201,7.2,2322,7.9,9966,9.5,639,2.8,2359,2.6,1405,4.1,7587,21.1,1921,4.0,18905,5.1,1608,5.3,6600,6.3,618,2.6,2116,2.3,982,2.8,5339,13.3,1638,3.3,25059,6.5,2199,6.6,9066,8.3,1266,5.4,2177,2.3,1746,4.9,6852,16.8,1750,3.6,28717,7.3,2174,6.4,8402,7.9,907,4.1,1483,1.5,1412,3.8,12364,28.3,1972,3.8,27965,7.4,2195,7.0,8619,8.5,1225,5.5,1873,2.0,1402,3.9,10480,23.5,2167,4.5,28067,7.6,2050,6.8,9069,9.5,874,4.0,1932,2.0,1486,4.1,11305,24.6,1348,3.0,28283,8.7,1346,5.5,8313,10.1,829,4.3,1312,1.5,1231,3.9,13289,29.8,1960,5.0
"5. 정부기관(공무원, 군인 등)",20437,5.2,1566,4.2,8139,7.7,1098,4.4,3997,3.8,1683,4.6,2109,6.4,1844,3.6,25224,6.4,3022,8.1,10322,9.5,1033,3.8,4356,4.5,2287,6.0,2114,6.3,2087,4.0,20019,5.5,1503,4.8,8947,8.3,651,2.6,3519,4.1,1525,4.6,1885,5.8,1986,4.3,19939,5.2,1362,3.9,8693,7.9,1112,4.4,3119,3.5,1991,5.4,2004,5.9,1656,3.3,16447,4.3,1636,4.8,7771,7.0,591,2.4,2394,2.6,1281,3.4,1572,4.6,1200,2.4,19381,5.0,1266,3.9,8890,7.8,829,3.6,3549,3.8,1705,4.8,1717,4.7,1422,2.8,19456,5.3,1403,4.8,7465,7.1,1335,5.8,4050,4.5,2293,6.8,1313,3.6,1595,3.3,20219,5.4,2100,7.0,7975,7.6,1041,4.4,4124,4.6,1783,5.1,1618,4.0,1574,3.1,22798,5.9,1816,5.4,9491,8.7,1221,5.2,4619,5.0,2208,6.1,1688,4.1,1753,3.6,23367,6.0,2627,7.7,8668,8.1,959,4.3,5113,5.3,2232,6.0,2184,5.0,1582,3.1,26129,6.9,2524,8.0,9891,9.7,929,4.1,5406,5.8,2379,6.6,3302,7.4,1695,3.5,24787,6.7,1951,6.5,10046,10.6,843,3.8,4877,5.2,2134,5.9,3693,8.0,1240,2.8,26658,8.2,2770,11.3,9515,11.5,713,3.7,5710,6.9,2672,8.6,3668,8.2,1608,4.1
"6. 교육기관(대학, 초/중/고 등)",29700,7.6,3028,8.2,4651,4.4,11131,44.6,2969,2.8,2828,7.8,1878,5.7,3212,6.2,39327,10.0,3450,9.3,5303,4.8,11367,42.5,4338,4.5,3853,10.1,6579,19.9,4433,8.5,27824,7.7,2838,9.1,4376,4.1,11221,45.2,2834,3.3,2700,8.1,1197,3.7,2655,5.7,35435,9.4,3700,10.8,5527,5.0,11099,44.6,5870,6.7,4190,11.3,2123,6.2,2924,5.8,39189,10.2,3847,11.4,5993,5.4,11751,48.4,6571,7.2,5105,13.5,1779,5.2,4139,8.3,33257,8.7,3580,11.2,5153,4.5,10586,46.9,5222,5.6,3679,10.5,1387,3.8,3647,7.1,32996,9.1,2997,10.2,6079,5.7,10467,45.9,4837,5.4,3803,11.3,1625,4.5,3184,6.6,29951,8.0,3091,10.3,5309,5.0,9268,40.0,4769,5.3,3686,10.6,965,2.4,2861,5.7,32687,8.5,3044,9.2,5102,4.6,10576,45.4,4823,5.2,3945,11.0,1779,4.3,3415,7.0,35196,9.0,3161,9.3,6354,5.9,11376,51.5,5979,6.2,4180,11.2,771,1.7,3373,6.6,34749,9.2,2429,7.7,5595,5.5,11125,49.9,6359,6.8,4363,12.2,1944,4.3,2932,6.1,34487,9.4,2840,9.5,4725,4.9,9751,44.8,6449,6.9,5364,15.0,2233,4.8,3122,7.0,30388,9.4,2199,8.9,3867,4.7,12294,63.8,4555,5.5,3744,12.1,1171,2.6,2555,6.5
7. 연구기관(국립/사립),1870,0.4,260,0.7,278,0.2,42,0.1,597,0.5,495,1.3,134,0.4,60,0.1,505,0.1,20,0.0,65,0.0,20,0.0,103,0.1,161,0.4,66,0.2,67,0.1,2144,0.5,295,0.9,222,0.2,21,0.0,870,1.0,532,1.6,92,0.2,109,0.2,1961,0.5,131,0.3,124,0.1,81,0.3,714,0.8,608,1.6,197,0.5,103,0.2,1767,0.4,135,0.4,378,0.3,0,0.0,556,0.6,510,1.3,170,0.4,17,0.0,1888,0.4,124,0.3,340,0.3,96,0.4,462,0.4,506,1.4,200,0.5,158,0.3,2552,0.7,263,0.9,320,0.3,134,0.5,705,0.7,733,2.1,218,0.6,176,0.3,3004,0.8,295,0.9,294,0.2,23,0.1,1175,1.3,975,2.8,153,0.3,86,0.1,2789,0.7,250,0.7,451,0.4,12,0.0,1026,1.1,692,1.9,261,0.6,93,0.1,2708,0.6,72,0.2,363,0.3,32,0.1,1139,1.2,697,1.8,339,0.7,63,0.1,2805,0.7,124,0.3,314,0.3,24,0.1,1011,1.0,690,1.9,523,1.1,116,0.2,2812,0.7,113,0.3,289,0.3,37,0.1,1052,1.1,1020,2.8,234,0.5,64,0.1,1524,0.4,67,0.2,331,0.4,24,0.1,722,0.8,229,0.7,100,0.2,47,0.1
8. 특정한 회사나 사업체에 소속되어 있지 않다,3758,0.9,477,1.2,594,0.5,139,0.5,462,0.4,267,0.7,250,0.7,1566,3.0,4147,1.0,602,1.6,656,0.6,334,1.2,315,0.3,327,0.8,36,0.1,1874,3.6,5057,1.4,683,2.1,1457,1.3,231,0.9,399,0.4,446,1.3,113,0.3,1725,3.7,5240,1.3,643,1.8,1366,1.2,212,0.8,517,0.5,687,1.8,138,0.4,1674,3.3,4982,1.3,498,1.4,1195,1.0,439,1.8,743,0.8,423,1.1,107,0.3,1574,3.1,6757,1.7,527,1.6,1661,1.4,442,1.9,998,1.0,637,1.8,208,0.5,2282,4.5,5180,1.4,804,2.7,1167,1.1,227,0.9,388,0.4,473,1.4,116,0.3,2002,4.2,4803,1.2,720,2.4,831,0.7,138,0.5,493,0.5,438,1.2,45,0.1,2134,4.3,5393,1.4,547,1.6,1293,1.1,252,1.0,601,0.6,634,1.7,19,0.0,2045,4.2,4054,1.0,550,1.6,675,0.6,161,0.7,439,0.4,556,1.4,37,0.0,1634,3.2,4971,1.3,510,1.6,686,0.6,343,1.5,382,0.4,448,1.2,237,0.5,2362,4.9,3505,0.9,457,1.5,753,0.7,217,0.9,291,0.3,327,0.9,103,0.2,1355,3.0,3477,1.0,308,1.2,531,0.6,192,0.9,417,0.5,485,1.5,25,0.0,1517,3.8
9. 기타,7893,2.0,1560,4.2,1451,1.3,547,2.1,581,0.5,520,1.4,2324,7.1,906,1.7,2113,0.5,241,0.6,809,0.7,108,0.4,187,0.1,330,0.8,167,0.5,268,0.5,535,0.1,130,0.4,225,0.2,0,0.0,37,0.0,75,0.2,21,0.0,45,0.0,574,0.1,102,0.2,162,0.1,54,0.2,150,0.1,19,0.0,21,0.0,62,0.1,278,0.0,44,0.1,46,0.0,0,0.0,49,0.0,81,0.2,0,0.0,56,0.1,430,0.1,70,0.2,88,0.0,37,0.1,27,0.0,24,0.0,127,0.3,54,0.1,602,0.1,255,0.8,109,0.1,37,0.1,34,0.0,20,0.0,0,0.0,144,0.3,292,0.0,15,0.0,62,0.0,0,0.0,8,0.0,42,0.1,48,0.1,115,0.2,273,0.0,30,0.0,70,0.0,0,0.0,27,0.0,81,0.2,50,0.1,12,0.0,19,0.0,0,0.0,0,0.0,0,0.0,0,0.0,19,0.0,0,0.0,0,0.0,10,0.0,10,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11,0.0,11,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2559,0.7,180,0.7,877,1.0,214,1.1,49,0.0,215,0.6,873,1.9,148,0.3
