column,count,mean,std,min,25%,50%,75%,max
2007__전체__빈도,10.0,77828.6,135963.07498908992,1870.0,8608.5,17220.5,30504.0,389146.0
2007__전체__비중,10.0,19.95,34.95105307585325,0.4,2.175,4.35,7.825,100.0
2007__인문__빈도,10.0,7368.3,12518.21761407483,260.0,1488.75,1714.0,2967.75,36844.0
2007__인문__비중,10.0,19.949999999999996,33.983729767182545,0.7,3.975,4.6,8.024999999999999,100.0
2007__사회__빈도,10.0,20943.2,36203.34467298721,278.0,1943.75,4737.5,10157.25,104718.0
2007__사회__비중,10.0,19.950000000000003,34.58867027092992,0.2,1.7750000000000001,4.5,9.65,100.0
2007__교육__빈도,10.0,4990.9,8147.600334522497,42.0,171.75,822.5,7773.5,24957.0
2007__교육__비중,10.0,19.96,32.66711564317309,0.1,0.625,3.25,31.125,100.0
2007__공학__빈도,10.0,20590.2,38504.21885340763,462.0,1190.0,3578.0,4018.75,102954.0
2007__공학__비중,10.0,19.95,37.40847349049262,0.4,1.075,3.45,3.875,100.0
2007__자연__빈도,10.0,7162.3,12633.646751169408,267.0,636.5,1490.5,2692.25,35813.0
2007__자연__비중,10.0,19.94,35.29407252720428,0.7,1.725,4.1,7.425,100.0
2007__의약__빈도,10.0,6526.4,10640.686957773607,134.0,464.75,1993.5,5669.0,32635.0
2007__의약__비중,10.0,19.949999999999996,32.6168071875699,0.4,1.35,6.050000000000001,17.3,100.0
2007__예체능__빈도,10.0,10244.2,18709.518544788312,60.0,961.75,1705.0,2988.75,51222.0
2007__예체능__비중,10.0,19.97,36.53953870656948,0.1,1.825,3.3,5.775,100.0
2008__전체__빈도,10.0,78216.6,137384.92525682074,505.0,5847.25,17350.5,35801.25,391086.0
2008__전체__비중,10.0,19.95,35.135649828754964,0.1,1.425,4.4,9.1,100.0
2008__인문__빈도,10.0,7415.5,12637.873645426978,20.0,656.0,2440.5,3343.0,37080.0
2008__인문__비중,10.0,19.96,34.095069698972274,0.0,1.75,6.5,9.0,100.0
2008__사회__빈도,10.0,21730.9,37678.03485807967,65.0,1445.75,5023.5,10170.75,108657.0
2008__사회__비중,10.0,19.96,34.69496281082377,0.0,1.275,4.55,9.35,100.0
2008__교육__빈도,10.0,5340.1,8862.614405467497,20.0,172.0,683.5,8849.75,26703.0
2008__교육__비중,10.0,19.95,33.19746476263913,0.0,0.625,2.5,33.075,100.0
2008__공학__빈도,10.0,19191.6,36178.226868902486,103.0,558.25,3337.5,4351.5,95960.0
2008__공학__비중,10.0,19.970000000000002,37.71545660159329,0.1,0.55,3.45,4.5,100.0
2008__자연__빈도,10.0,7566.3,13346.756052397985,161.0,531.75,1467.0,3461.5,37834.0
2008__자연__비중,10.0,19.950000000000003,35.29388521165293,0.4,1.35,3.8,9.075,100.0
2008__의약__빈도,10.0,6611.8,10981.738860490173,36.0,181.25,1631.0,5820.5,33061.0
2008__의약__비중,10.0,19.97,33.23050974297231,0.1,0.525,4.85,17.599999999999998,100.0
2008__예체능__빈도,10.0,10357.4,18884.70890664955,67.0,799.0,1761.0,3846.5,51789.0
2008__예체능__비중,10.0,19.96,36.469353953391845,0.1,1.5,3.35,7.375,100.0
2009__전체__빈도,10.0,71943.3,129428.9479968321,535.0,5617.75,14794.5,25872.75,359719.0
2009__전체__비중,10.0,19.95,35.98614702601235,0.1,1.5499999999999998,4.05,7.15,100.0
2009__인문__빈도,10.0,6238.4,10937.551535878585,130.0,778.25,1361.5,2534.75,31194.0
2009__인문__비중,10.0,19.970000000000002,35.0603305429053,0.4,2.425,4.35,8.125,100.0
2009__사회__빈도,10.0,21346.7,37921.2055922101,222.0,1782.0,4611.5,8440.0,106735.0
2009__사회__비중,10.0,19.96,35.542344073263116,0.2,1.6,4.3,7.825000000000001,100.0
2009__교육__빈도,10.0,4961.4,8365.657936535004,0.0,176.25,453.0,8593.75,24809.0
2009__교육__비중,10.0,19.96,33.72773998423915,0.0,0.675,1.8,34.6,100.0
2009__공학__빈도,10.0,17133.4,32863.05744618281,37.0,1005.0,1949.5,3347.75,85669.0
2009__공학__비중,10.0,19.970000000000002,38.362570010073334,0.0,1.15,2.25,3.8999999999999995,100.0
2009__자연__빈도,10.0,6611.7,11923.477429471284,75.0,593.0,1149.5,2406.25,33060.0
2009__자연__비중,10.0,19.97,36.075293176601875,0.2,1.775,3.45,7.225,100.0
2009__의약__빈도,10.0,6444.2,11543.254141609192,21.0,143.75,1222.5,3380.5,32223.0
2009__의약__비중,10.0,19.95,35.83196121403969,0.0,0.39999999999999997,3.75,10.45,100.0
2009__예체능__빈도,10.0,9205.0,16932.813627195374,45.0,828.0,1647.5,2487.75,46027.0
2009__예체능__비중,10.0,19.96,36.797681086358324,0.0,1.775,3.55,5.35,100.0
2010__전체__빈도,10.0,75303.0,132365.69119257788,574.0,6422.25,16924.0,32789.25,376517.0
2010__전체__비중,10.0,19.949999999999996,35.16413103022896,0.1,1.625,4.4,8.7,100.0
2010__인문__빈도,10.0,6836.0,11746.509987604357,102.0,822.75,1738.0,3297.0,34182.0
2010__인문__비중,10.0,19.95,34.38382210025846,0.2,2.325,5.05,9.625,100.0
2010__사회__빈도,10.0,21986.0,38185.06285039857,124.0,1848.0,5186.0,10448.0,109932.0
2010__사회__비중,10.0,19.97,34.74708780762945,0.1,1.625,4.7,9.475,100.0
