column_order,column,dtype,non_null_n,missing_n,missing_rate,unique_n,sample_values
1,분류,string,7,0,0.0,7,전체 | 1. 상용근로자 | 2. 임시근로자 | 3. 일용근로자 | 4. 고용원이 있는 자영업자
2,2007__전체__빈도,int64,7,0,0.0,7,383204 | 312843 | 46876 | 3439 | 8768
3,2007__전체__비중,float64,7,0,0.0,7,100.0 | 81.6 | 12.2 | 0.8 | 2.2
4,2007__남자__빈도,int64,7,0,0.0,7,196829 | 166519 | 17754 | 1661 | 5301
5,2007__남자__비중,float64,7,0,0.0,7,100.0 | 84.6 | 9.0 | 0.8 | 2.6
6,2007__여자__빈도,int64,7,0,0.0,7,186375 | 146323 | 29121 | 1778 | 3466
7,2007__여자__비중,float64,7,0,0.0,7,100.0 | 78.5 | 15.6 | 0.9 | 1.8
8,2008__전체__빈도,int64,7,0,0.0,7,389213 | 317797 | 47385 | 3110 | 8966
9,2008__전체__비중,float64,7,0,0.0,7,100.0 | 81.6 | 12.1 | 0.7 | 2.3
10,2008__남자__빈도,int64,7,0,0.0,7,194993 | 163507 | 19593 | 1442 | 5370
11,2008__남자__비중,float64,7,0,0.0,7,100.0 | 83.8 | 10.0 | 0.7 | 2.7
12,2008__여자__빈도,int64,7,0,0.0,7,194219 | 154289 | 27792 | 1668 | 3595
13,2008__여자__비중,float64,7,0,0.0,7,100.0 | 79.4 | 14.3 | 0.8 | 1.8
14,2009__전체__빈도,int64,7,0,0.0,7,356100 | 305687 | 31415 | 1813 | 7744
15,2009__전체__비중,float64,7,0,0.0,7,100.0 | 85.8 | 8.8 | 0.5 | 2.1
16,2009__남자__빈도,int64,7,0,0.0,7,178128 | 156240 | 11734 | 916 | 4849
17,2009__남자__비중,float64,7,0,0.0,7,100.0 | 87.7 | 6.5 | 0.5 | 2.7
18,2009__여자__빈도,int64,7,0,0.0,7,177972 | 149446 | 19681 | 896 | 2895
19,2009__여자__비중,float64,7,0,0.0,7,100.0 | 83.9 | 11.0 | 0.5 | 1.6
