column,count,mean,std,min,25%,50%,75%,max
2007__전체__빈도,7.0,109486.57142857143,164933.07233527297,26.0,6103.5,11250.0,179859.5,383204.0
2007__전체__비중,7.0,28.52857142857143,43.05836017491123,0.0,1.5,2.9,46.9,100.0
2007__전문대__빈도,7.0,48619.57142857143,72371.40812470338,0.0,3703.0,5659.0,78551.5,170169.0
2007__전문대__비중,7.0,28.528571428571432,42.543809353250374,0.0,2.1,3.3,46.1,100.0
2007__4년제__빈도,7.0,59437.142857142855,90221.80579259203,26.0,2253.5,5884.0,98806.0,208031.0
2007__4년제__비중,7.0,28.528571428571432,43.372522572312,0.0,1.0,2.8,47.449999999999996,100.0
2007__교육대__빈도,7.0,1429.2857142857142,2368.0487547265375,0.0,0.0,0.0,2501.0,5003.0
2007__교육대__비중,7.0,28.557142857142857,47.3128543894383,0.0,0.0,0.0,49.95,100.0
2008__전체__빈도,7.0,111203.42857142857,167528.20732328147,99.0,6038.0,11854.0,182591.0,389213.0
2008__전체__비중,7.0,28.52857142857143,43.055379620736296,0.0,1.5,3.0,46.849999999999994,100.0
2008__전문대__빈도,7.0,46876.71428571428,70019.49829562784,35.0,3816.0,5884.0,75258.5,164069.0
2008__전문대__비중,7.0,28.528571428571432,42.6832017810955,0.0,2.3,3.5,45.8,100.0
2008__4년제__빈도,7.0,62607.42857142857,94713.12293069907,63.0,2013.0,6377.0,104329.0,219128.0
2008__4년제__비중,7.0,28.557142857142857,43.23188858326907,0.0,0.8999999999999999,2.9,47.599999999999994,100.0
2008__교육대__빈도,7.0,1718.2857142857142,2829.9413842154468,0.0,0.0,9.0,3002.5,6014.0
2008__교육대__비중,7.0,28.557142857142853,47.055883696687616,0.0,0.0,0.1,49.9,100.0
2009__전체__빈도,7.0,101742.57142857143,157543.91196621675,542.0,4778.5,8897.0,168551.0,356100.0
2009__전체__비중,7.0,28.528571428571432,44.257493312271016,0.1,1.3,2.4,47.3,100.0
2009__전문대__빈도,7.0,43650.42857142857,67176.14647044773,409.0,2711.5,4817.0,71063.0,152778.0
2009__전문대__비중,7.0,28.51428571428571,43.99505383454784,0.2,1.7000000000000002,3.1,46.45,100.0
2009__4년제__빈도,7.0,56557.57142857143,87833.5664934106,132.0,1785.5,4619.0,94814.0,197953.0
2009__4년제__비중,7.0,28.528571428571432,44.37633431930861,0.0,0.85,2.3,47.849999999999994,100.0
2009__교육대__빈도,7.0,1533.5714285714287,2552.8698137026663,0.0,0.0,21.0,2673.0,5368.0
2009__교육대__비중,7.0,28.557142857142857,47.53405295655096,0.0,0.0,0.4,49.75,100.0
2010__전체__빈도,7.0,107125.71428571429,161614.185790021,1508.0,6022.5,10231.0,175577.0,374942.0
2010__전체__비중,7.0,28.54285714285714,43.11708312424273,0.4,1.55,2.7,46.800000000000004,100.0
2010__전문대__빈도,7.0,43345.857142857145,65051.975459188456,825.0,3233.5,5030.0,69693.5,151712.0
2010__전문대__비중,7.0,28.528571428571432,42.90138747895046,0.5,2.05,3.3,45.9,100.0
2010__4년제__빈도,7.0,62358.28571428572,94259.62120603265,683.0,2396.5,5969.0,103404.0,218255.0
2010__4년제__비중,7.0,28.52857142857143,43.196130779106994,0.3,1.0499999999999998,2.7,47.3,100.0
2010__교육대__빈도,7.0,1421.0,2327.9122978898213,0.0,0.0,16.0,2478.5,4974.0
2010__교육대__비중,7.0,28.557142857142857,46.79960317292079,0.0,0.0,0.3,49.800000000000004,100.0
2011__전체__빈도,7.0,108766.14285714286,161344.56042625938,1119.0,4858.0,11725.0,179060.0,380683.0
2011__전체__비중,7.0,28.514285714285712,42.396636209783935,0.2,1.25,3.0,46.95,100.0
2011__전문대__빈도,7.0,42540.42857142857,62834.98243509779,698.0,2812.0,5047.0,68760.5,148893.0
2011__전문대__비중,7.0,28.514285714285712,42.21375875909925,0.4,1.85,3.3,46.099999999999994,100.0
2011__4년제__빈도,7.0,64847.42857142857,96320.31941367501,420.0,2046.0,6645.0,107904.0,226967.0
2011__4년제__비중,7.0,28.528571428571432,42.446268555501014,0.1,0.8500000000000001,2.9,47.5,100.0
2011__교육대__빈도,7.0,1377.857142857143,2216.4913285469465,0.0,0.0,32.0,2395.0,4823.0
2011__교육대__비중,7.0,28.557142857142853,45.96164550081793,0.0,0.0,0.6,49.65,100.0
2012__전체__빈도,7.0,106979.57142857143,159683.02842909045,1353.0,5386.0,9542.0,176380.0,374430.0
2012__전체__비중,7.0,28.542857142857144,42.665827744728645,0.3,1.4,2.5,47.099999999999994,100.0
2012__전문대__빈도,7.0,41234.0,60938.41742010262,756.0,2788.5,4225.0,66880.0,144320.0
2012__전문대__비중,7.0,28.542857142857144,42.22940749220687,0.5,1.9,2.9,46.300000000000004,100.0
2012__4년제__빈도,7.0,64444.28571428572,96630.52802938674,597.0,2577.5,5300.0,107251.0,225556.0
2012__4년제__비중,7.0,28.52857142857143,42.845330911925295,0.2,1.1,2.3,47.5,100.0
2012__교육대__빈도,7.0,1300.4285714285713,2137.1386522749567,0.0,15.5,24.0,2248.0,4552.0
2012__교육대__비중,7.0,28.542857142857148,46.95284361792717,0.0,0.3,0.5,49.35,100.0
2013__전체__빈도,7.0,100140.85714285714,152309.8144960118,1215.0,5336.5,6939.0,165832.5,350494.0
2013__전체__비중,7.0,28.528571428571432,43.45970218818479,0.3,1.5,1.9,47.25,100.0
2013__전문대__빈도,7.0,38674.71428571428,58720.63071219599,738.0,2311.5,2662.0,63668.5,135363.0
2013__전문대__비중,7.0,28.514285714285716,43.39168232781595,0.5,1.65,1.9,46.949999999999996,100.0
2013__4년제__빈도,7.0,60178.142857142855,91481.07875116139,476.0,2979.5,4345.0,99921.0,210625.0
2013__4년제__비중,7.0,28.542857142857144,43.434696466567566,0.2,1.4,2.0,47.400000000000006,100.0
2013__교육대__빈도,7.0,1287.0,2119.226588483009,0.0,0.0,21.0,2241.5,4505.0
2013__교육대__비중,7.0,28.542857142857144,47.02746917645959,0.0,0.0,0.4,49.699999999999996,100.0
2014__전체__빈도,7.0,103768.0,153502.39741993175,744.0,5568.0,9148.0,171079.5,363189.0
2014__전체__비중,7.0,28.52857142857143,42.266918280759256,0.2,1.45,2.5,47.05,100.0
2014__전문대__빈도,7.0,39485.0,57896.66067802759,393.0,2718.5,3369.0,64499.0,138198.0
2014__전문대__비중,7.0,28.51428571428571,41.90761380988061,0.2,1.9,2.4,46.6,100.0
2014__4년제__빈도,7.0,63071.42857142857,93639.24195702202,351.0,2845.5,5772.0,104467.0,220752.0
2014__4년제__비중,7.0,28.54285714285714,42.43468931361295,0.1,1.25,2.6,47.3,100.0
2014__교육대__빈도,7.0,1210.5714285714287,1992.2129954017519,0.0,2.5,6.0,2112.5,4238.0
2014__교육대__비중,7.0,28.54285714285714,46.99896655398772,0.0,0.05,0.1,49.8,100.0
2015__전체__빈도,7.0,107398.28571428571,159995.42850731112,1443.0,5439.5,9835.0,176867.5,375896.0
2015__전체__비중,7.0,28.542857142857148,42.584146390523365,0.3,1.4,2.6,47.05,100.0
2015__전문대__빈도,7.0,38949.28571428572,58345.99152102421,838.0,2341.5,3136.0,63832.0,136324.0
2015__전문대__비중,7.0,28.52857142857143,42.799287933551504,0.6,1.65,2.3,46.75,100.0
2015__4년제__빈도,7.0,67346.42857142857,99868.2537861042,604.0,3097.5,6699.0,111106.5,235714.0
2015__4년제__비중,7.0,28.514285714285712,42.378863779460815,0.2,1.25,2.8,47.050000000000004,100.0
2015__교육대__빈도,7.0,1101.7142857142858,1810.235961993695,0.0,0.0,0.0,1928.0,3856.0
2015__교육대__비중,7.0,28.557142857142857,46.931292231049746,0.0,0.0,0.0,49.949999999999996,100.0
2016__전체__빈도,7.0,110944.0,163779.6217899732,902.0,5660.0,9155.0,183463.0,388305.0
2016__전체__비중,7.0,28.52857142857143,42.18505716031505,0.2,1.4,2.3,47.199999999999996,100.0
2016__전문대__빈도,7.0,38778.28571428572,56374.16538543841,433.0,2807.0,3103.0,63286.5,135725.0
2016__전문대__비중,7.0,28.528571428571432,41.56170971321697,0.3,2.0,2.2,46.599999999999994,100.0
2016__4년제__빈도,7.0,71193.57142857143,105865.99101199773,468.0,2847.5,6062.0,118475.5,249179.0
2016__4년제__비중,7.0,28.528571428571432,42.491948817225534,0.1,1.1,2.4,47.5,100.0
2016__교육대__빈도,7.0,971.2857142857143,1569.7947545550567,0.0,0.0,0.0,1699.5,3400.0
2016__교육대__비중,7.0,28.557142857142857,46.159645331640675,0.0,0.0,0.0,49.949999999999996,100.0
2017__전체__빈도,7.0,107301.71428571429,157886.27858020074,1133.0,6117.0,10302.0,175943.0,375557.0
2017__전체__비중,7.0,28.542857142857144,42.055790609730835,0.3,1.6,2.7,46.8,100.0
2017__전문대__빈도,7.0,36521.57142857143,53070.214024620705,629.0,2876.5,3217.0,59112.5,127827.0
2017__전문대__비중,7.0,28.528571428571432,41.537281017005846,0.4,2.2,2.5,46.2,100.0
2017__4년제__빈도,7.0,69811.28571428571,103247.2584215747,503.0,3239.5,7084.0,115136.0,244341.0
2017__4년제__비중,7.0,28.54285714285714,42.263493196171765,0.2,1.3,2.8,47.1,100.0
2017__교육대__빈도,7.0,967.8571428571429,1598.4273968051043,0.0,0.0,0.0,1693.5,3388.0
2017__교육대__비중,7.0,28.557142857142857,47.184879539348806,0.0,0.0,0.0,49.949999999999996,100.0
2018__전체__빈도,7.0,104257.14285714286,155477.9614322971,1105.0,4982.0,9961.0,171934.5,364901.0
2018__전체__비중,7.0,28.528571428571432,42.62091483007352,0.3,1.3,2.7,47.050000000000004,100.0
2018__전문대__빈도,7.0,35136.57142857143,51814.51369020442,495.0,2232.0,3682.0,57168.0,122979.0
2018__전문대__비중,7.0,28.528571428571432,42.153675770356976,0.4,1.75,2.9,46.45,100.0
2018__4년제__빈도,7.0,68184.85714285714,102207.7336382927,610.0,2739.5,6279.0,113139.0,238648.0
2018__4년제__비중,7.0,28.52857142857142,42.83155823633295,0.2,1.1,2.6,47.349999999999994,100.0
2018__교육대__빈도,7.0,934.8571428571429,1464.27563759599,0.0,0.0,19.0,1626.0,3273.0
2018__교육대__비중,7.0,28.542857142857144,44.72649688729852,0.0,0.0,0.5,49.650000000000006,100.0
2019__전체__빈도,7.0,92329.0,137039.68681127863,1126.0,4168.0,6677.0,153505.5,323153.0
2019__전체__비중,7.0,28.528571428571432,42.40973607894435,0.3,1.25,2.0,47.45,100.0
2019__전문대__빈도,7.0,31318.14285714286,46059.78152513163,629.0,1818.5,2551.0,51397.5,109615.0
2019__전문대__비중,7.0,28.542857142857144,42.03620888166364,0.5,1.65,2.3,46.85,100.0
2019__4년제__빈도,7.0,60068.857142857145,89488.78660373893,485.0,2336.5,4151.0,100465.0,210243.0
2019__4년제__비중,7.0,28.528571428571432,42.56241355490837,0.2,1.1,1.9,47.7,100.0
2019__교육대__빈도,7.0,941.0,1501.8842609646501,0.0,0.0,10.0,1641.5,3294.0
2019__교육대__비중,7.0,28.557142857142857,45.584385380042036,0.0,0.0,0.3,49.800000000000004,100.0
