column,count,mean,std,min,25%,50%,75%,max
2007__전체__빈도,7.0,109486.57142857143,164933.07233527297,26.0,6103.5,11250.0,179859.5,383204.0
2007__전체__비중,7.0,28.52857142857143,43.05836017491123,0.0,1.5,2.9,46.9,100.0
2007__인문__빈도,7.0,10366.57142857143,15135.126624920618,26.0,437.5,1024.0,17178.5,36284.0
2007__인문__비중,7.0,28.528571428571432,41.727118052321565,0.0,1.15,2.8,47.3,100.0
2007__사회__빈도,7.0,29374.85714285714,44335.14875140855,0.0,1815.5,2856.0,48162.0,102813.0
2007__사회__비중,7.0,28.52857142857143,43.13164786579627,0.0,1.7000000000000002,2.7,46.800000000000004,100.0
2007__교육__빈도,7.0,7062.142857142857,10484.198656845,0.0,347.0,923.0,11550.0,24718.0
2007__교육__비중,7.0,28.54285714285714,42.43154711386553,0.0,1.35,3.7,46.699999999999996,100.0
2007__공학__빈도,7.0,29024.0,45917.60106611262,0.0,962.5,1652.0,49003.0,101585.0
2007__공학__비중,7.0,28.542857142857144,45.205599105378425,0.0,0.8999999999999999,1.6,48.2,100.0
2007__자연__빈도,7.0,10110.142857142857,14998.604528739459,0.0,567.5,1130.0,16559.5,35387.0
2007__자연__비중,7.0,28.52857142857143,42.391104188092505,0.0,1.55,3.1,46.75,100.0
2007__의약__빈도,7.0,9181.285714285714,14515.527292228435,0.0,178.0,383.0,15697.0,32136.0
2007__의약__비중,7.0,28.52857142857143,45.18748773298918,0.0,0.5,1.1,48.800000000000004,100.0
2007__예체능__빈도,7.0,14364.857142857143,19880.635355613187,0.0,1377.0,4108.0,21707.0,50278.0
2007__예체능__비중,7.0,28.528571428571432,39.56579812100826,0.0,2.65,8.1,43.15,100.0
2008__전체__빈도,7.0,111203.42857142857,167528.20732328147,99.0,6038.0,11854.0,182591.0,389213.0
2008__전체__비중,7.0,28.52857142857143,43.055379620736296,0.0,1.5,3.0,46.849999999999994,100.0
2008__인문__빈도,7.0,10566.142857142857,15433.947684985107,0.0,417.0,1307.0,17420.0,36982.0
2008__인문__비중,7.0,28.542857142857144,41.734592252425216,0.0,1.1,3.5,47.05,100.0
2008__사회__빈도,7.0,30811.571428571428,46171.88703044723,64.0,1932.0,3596.0,50157.5,107842.0
2008__사회__비중,7.0,28.542857142857144,42.83140814647032,0.0,1.75,3.3,46.5,100.0
2008__교육__빈도,7.0,7617.714285714285,11559.329489122421,0.0,310.5,694.0,12673.0,26663.0
2008__교육__비중,7.0,28.557142857142853,43.35811562413882,0.0,1.1500000000000001,2.6,47.5,100.0
2008__공학__빈도,7.0,27315.85714285714,42808.219924949655,34.0,1049.0,1490.0,45991.0,95607.0
2008__공학__비중,7.0,28.528571428571432,44.79143200381498,0.0,1.05,1.5,48.05,100.0
2008__자연__빈도,7.0,10753.285714285714,16325.064876994982,0.0,492.0,931.0,17860.0,37638.0
2008__자연__비중,7.0,28.52857142857143,43.39461234937329,0.0,1.25,2.4,47.4,100.0
2008__의약__빈도,7.0,9415.0,15178.054157236362,0.0,127.0,360.0,16168.5,32954.0
2008__의약__비중,7.0,28.528571428571432,46.07170911690145,0.0,0.35,1.0,49.0,100.0
2008__예체능__빈도,7.0,14720.57142857143,20377.65320849568,0.0,1209.5,4467.0,22317.5,51523.0
2008__예체능__비중,7.0,28.54285714285714,39.56588838645638,0.0,2.3,8.6,43.300000000000004,100.0
2009__전체__빈도,7.0,101742.57142857143,157543.91196621675,542.0,4778.5,8897.0,168551.0,356100.0
2009__전체__비중,7.0,28.528571428571432,44.257493312271016,0.1,1.3,2.4,47.3,100.0
2009__인문__빈도,7.0,8814.42857142857,13130.519320234354,71.0,329.0,800.0,14660.5,30851.0
2009__인문__비중,7.0,28.514285714285712,42.57234738541865,0.2,1.0,2.5,47.45,100.0
2009__사회__빈도,7.0,30223.0,47144.1754161282,309.0,1466.5,2980.0,49779.0,105781.0
2009__사회__비중,7.0,28.528571428571432,44.5686629178587,0.2,1.3499999999999999,2.8,47.0,100.0
2009__교육__빈도,7.0,7062.571428571428,10936.618183228045,0.0,164.5,514.0,11937.5,24720.0
2009__교육__비중,7.0,28.542857142857144,44.24981571121162,0.0,0.65,2.0,48.25,100.0
2009__공학__빈도,7.0,24157.285714285714,38871.95694719732,83.0,613.0,1365.0,40938.0,84551.0
2009__공학__비중,7.0,28.528571428571432,45.98661813635623,0.0,0.7,1.6,48.35,100.0
2009__자연__빈도,7.0,9353.57142857143,14365.414147146876,44.0,367.5,896.0,15530.5,32739.0
2009__자연__비중,7.0,28.52857142857143,43.89292707964516,0.1,1.05,2.7,47.4,100.0
2009__의약__빈도,7.0,9154.42857142857,14940.500904779406,0.0,113.5,252.0,15780.0,32042.0
2009__의약__비중,7.0,28.52857142857143,46.64092317145657,0.0,0.3,0.7,49.2,100.0
2009__예체능__빈도,7.0,12974.42857142857,18414.005148773245,33.0,1032.0,3466.0,19923.0,45412.0
2009__예체능__비중,7.0,28.52857142857143,40.55887548924873,0.0,2.25,7.6,43.8,100.0
2010__전체__빈도,7.0,107125.71428571429,161614.185790021,1508.0,6022.5,10231.0,175577.0,374942.0
2010__전체__비중,7.0,28.54285714285714,43.11708312424273,0.4,1.55,2.7,46.800000000000004,100.0
2010__인문__빈도,7.0,9743.42857142857,14263.050653783042,37.0,533.0,936.0,16031.0,34103.0
2010__인문__비중,7.0,28.52857142857143,41.8437057905453,0.1,1.5,2.7,46.95,100.0
2010__사회__빈도,7.0,31235.0,47299.7213804338,606.0,2126.0,3286.0,50589.0,109323.0
2010__사회__비중,7.0,28.54285714285714,43.27365854430989,0.5,1.9000000000000001,3.0,46.25,100.0
2010__교육__빈도,7.0,7067.0,10503.084372380017,94.0,313.5,935.0,11538.5,24736.0
2010__교육__비중,7.0,28.52857142857143,42.48359347190059,0.3,1.25,3.7,46.6,100.0
2010__공학__빈도,7.0,24748.714285714286,38862.377186315156,471.0,759.0,1087.0,41772.0,86621.0
2010__공학__비중,7.0,28.52857142857143,44.88651298128479,0.5,0.8,1.2,48.199999999999996,100.0
2010__자연__빈도,7.0,10504.142857142857,15585.695401324163,126.0,449.5,1000.0,17369.5,36765.0
2010__자연__비중,7.0,28.542857142857144,42.39838271848181,0.3,1.2,2.7,47.2,100.0
2010__의약__빈도,7.0,9618.42857142857,15496.382576342807,21.0,135.0,254.0,16559.0,33666.0
2010__의약__비중,7.0,28.528571428571432,46.0472117970862,0.0,0.35,0.7,49.15,100.0
2010__예체능__빈도,7.0,14206.57142857143,19879.13832687543,152.0,1297.0,3544.0,21716.0,49724.0
2010__예체능__비중,7.0,28.528571428571436,39.98994516482505,0.3,2.55,7.1,43.599999999999994,100.0
2011__전체__빈도,7.0,108766.14285714286,161344.56042625938,1119.0,4858.0,11725.0,179060.0,380683.0
2011__전체__비중,7.0,28.514285714285712,42.396636209783935,0.2,1.25,3.0,46.95,100.0
2011__인문__빈도,7.0,9601.142857142857,13930.735699985738,50.0,341.5,1117.0,15876.5,33605.0
2011__인문__비중,7.0,28.528571428571432,41.46748582868729,0.1,0.95,3.3,47.2,100.0
2011__사회__빈도,7.0,31622.85714285714,47241.79206814157,498.0,1766.5,3173.0,51737.5,110681.0
2011__사회__비중,7.0,28.528571428571432,42.69573414623192,0.4,1.55,2.8,46.699999999999996,100.0
2011__교육__빈도,7.0,6935.857142857143,10342.976351588733,0.0,303.0,695.0,11486.5,24277.0
2011__교육__비중,7.0,28.542857142857148,42.618104804681984,0.0,1.2,2.8,47.3,100.0
2011__공학__빈도,7.0,25904.85714285714,39953.98949804041,247.0,867.5,1585.0,43549.0,90669.0
2011__공학__비중,7.0,28.514285714285712,44.07801525218018,0.2,0.9,1.7,47.95,100.0
2011__자연__빈도,7.0,10735.57142857143,15564.420043346117,150.0,467.0,1243.0,17623.0,37576.0
2011__자연__비중,7.0,28.54285714285714,41.42772248719679,0.4,1.2,3.3,46.849999999999994,100.0
2011__의약__빈도,7.0,9742.42857142857,15277.422577746798,0.0,158.5,369.0,16706.0,34099.0
2011__의약__비중,7.0,28.528571428571432,44.820371643770585,0.0,0.4,1.0,48.95,100.0
2011__예체능__빈도,7.0,14220.57142857143,19415.981654787574,65.0,912.0,3724.0,22079.0,49773.0
2011__예체능__비중,7.0,28.542857142857144,39.02588274222025,0.1,1.8,7.4,44.35,100.0
2012__전체__빈도,7.0,106979.57142857143,159683.02842909045,1353.0,5386.0,9542.0,176380.0,374430.0
2012__전체__비중,7.0,28.542857142857144,42.665827744728645,0.3,1.4,2.5,47.099999999999994,100.0
2012__인문__빈도,7.0,8896.857142857143,12847.830730368083,67.0,455.0,842.0,14659.0,31141.0
2012__인문__비중,7.0,28.542857142857144,41.27476457202622,0.2,1.4,2.7,47.05,100.0
2012__사회__빈도,7.0,31592.0,47249.24553895014,520.0,1975.5,2521.0,51789.5,110573.0
2012__사회__비중,7.0,28.52857142857143,42.751363108315594,0.4,1.75,2.2,46.8,100.0
2012__교육__빈도,7.0,6341.0,9660.51608352266,0.0,195.5,392.0,10705.0,22194.0
2012__교육__비중,7.0,28.542857142857144,43.531668822550216,0.0,0.8500000000000001,1.7,48.2,100.0
2012__공학__빈도,7.0,26128.0,40656.89950877547,214.0,957.0,1277.0,44021.0,91449.0
2012__공학__비중,7.0,28.528571428571432,44.47391423766349,0.2,1.0,1.3,48.1,100.0
2012__자연__빈도,7.0,9814.42857142857,14265.207813150879,287.0,426.5,920.0,16145.0,34351.0
2012__자연__비중,7.0,28.528571428571432,41.537040268725384,0.8,1.2000000000000002,2.6,46.95,100.0
2012__의약__빈도,7.0,10145.0,15999.341413529079,25.0,209.5,299.0,17381.5,35509.0
2012__의약__비중,7.0,28.528571428571432,45.0762951112043,0.0,0.55,0.8,48.9,100.0
2012__예체능__빈도,7.0,14059.142857142857,19346.941338176875,237.0,1114.5,3386.0,21677.0,49208.0
2012__예체능__비중,7.0,28.514285714285716,39.33939622360891,0.4,2.2,6.8,44.0,100.0
2013__전체__빈도,7.0,100140.85714285714,152309.8144960118,1215.0,5336.5,6939.0,165832.5,350494.0
2013__전체__비중,7.0,28.528571428571432,43.45970218818479,0.3,1.5,1.9,47.25,100.0
2013__인문__빈도,7.0,8043.428571428572,11875.198915627234,74.0,544.0,577.0,13206.0,28153.0
2013__인문__비중,7.0,28.514285714285716,42.204834974657764,0.2,1.85,2.0,46.849999999999994,100.0
2013__사회__빈도,7.0,29020.0,44041.26982728813,423.0,1523.0,2804.0,47648.0,101571.0
2013__사회__비중,7.0,28.528571428571432,43.377018273340475,0.4,1.4500000000000002,2.7,46.85,100.0
2013__교육__빈도,7.0,6348.571428571428,9985.890226667207,0.0,134.5,218.0,10866.0,22221.0
2013__교육__비중,7.0,28.528571428571432,44.956857626162524,0.0,0.55,0.9,48.85,100.0
2013__공학__빈도,7.0,24193.85714285714,38177.53263560725,250.0,742.0,932.0,41005.5,84680.0
2013__공학__비중,7.0,28.542857142857144,45.094303304033765,0.2,0.8500000000000001,1.1,48.4,100.0
2013__자연__빈도,7.0,9379.142857142857,13944.372286918853,306.0,363.0,666.0,15564.0,32828.0
2013__자연__비중,7.0,28.542857142857144,42.49105227938612,0.9,1.05,2.0,47.4,100.0
2013__의약__빈도,7.0,10134.857142857143,16441.47758392953,38.0,159.0,203.0,17456.0,35473.0
2013__의약__비중,7.0,28.528571428571432,46.35611122192032,0.1,0.4,0.5,49.15,100.0
2013__예체능__빈도,7.0,13018.0,18134.8553711722,122.0,1296.0,2679.0,20084.0,45565.0
2013__예체능__비중,7.0,28.514285714285712,39.812620635983784,0.2,2.8,5.8,44.0,100.0
2014__전체__빈도,7.0,103768.0,153502.39741993175,744.0,5568.0,9148.0,171079.5,363189.0
2014__전체__비중,7.0,28.52857142857143,42.266918280759256,0.2,1.45,2.5,47.05,100.0
2014__인문__빈도,7.0,8379.285714285714,11864.61874249493,32.0,593.0,863.0,13623.0,29328.0
2014__인문__비중,7.0,28.542857142857144,40.456060820881426,0.1,2.0,2.9,46.400000000000006,100.0
2014__사회__빈도,7.0,29428.0,43839.874555021255,253.0,1681.5,2249.0,48566.0,102999.0
2014__사회__비중,7.0,28.52857142857143,42.573141544316194,0.2,1.6,2.1,47.1,100.0
2014__교육__빈도,7.0,6486.142857142857,9741.535324382417,16.0,264.5,408.0,10873.5,22703.0
2014__교육__비중,7.0,28.528571428571432,42.93241643504801,0.0,1.1,1.8,47.85,100.0
2014__공학__빈도,7.0,24787.428571428572,38117.47323672414,246.0,907.5,956.0,41868.5,86758.0
2014__공학__비중,7.0,28.52857142857143,43.946851016719215,0.2,1.0,1.1,48.2,100.0
2014__자연__빈도,7.0,9732.57142857143,13932.772646499607,100.0,568.5,960.0,15933.0,34065.0
