column,count,mean,std,min,25%,50%,75%,max
2007,4.0,194.54999999999998,8.32846524476949,182.6,192.5,196.95,199.0,201.7
2008,4.0,190.775,14.27477378688246,172.3,184.75,192.2,198.225,206.4
2009,4.0,190.125,12.107951932511135,173.1,185.775,193.75,198.1,199.9
2010,4.0,197.77499999999998,8.184283719422242,186.1,195.1,200.64999999999998,203.325,203.7
2011,4.0,204.625,11.780598456784775,187.8,201.825,207.8,210.6,215.1
2012,4.0,202.85,12.30460618359374,185.5,198.47500000000002,206.7,211.075,212.5
2013,4.0,203.15,12.62523927166003,185.0,199.7,207.1,210.55,213.4
2014,4.0,205.57500000000002,13.772527001244175,186.4,200.5,209.14999999999998,214.225,217.6
2015,4.0,208.14999999999998,12.037026210821347,191.5,203.8,210.9,215.25,219.3
2016,4.0,217.64999999999998,11.921269507341355,201.6,213.15,219.6,224.1,229.8
2017,4.0,225.525,10.804744328303185,209.8,222.85,229.45,232.125,233.4
2018,4.0,233.5,9.099450532861866,220.1,231.79999999999998,237.0,238.70000000000002,239.9
2019,4.0,239.05,16.433806619283313,214.9,235.675,245.45,248.82500000000002,250.4
