분류,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
전체,195.8,188.9,190.1,198.1,206.5,202.8,204.6,205.3,207.9,217.0,227.2,235.8,242.9
"농업,임업 및 어업",301.2,328.9,296.1,323.4,313.3,242.9,289.0,256.7,240.5,303.7,280.9,336.4,266.1
광업,273.8,263.9,205.0,235.5,412.5,228.0,250.0,256.3,255.0,303.6,283.3,288.0,305.0
제조업,220.0,214.1,214.3,234.8,246.8,240.6,249.6,246.5,247.8,264.1,278.9,282.6,283.8
"전기, 가스, 증기 및 수도사업",282.8,216.3,246.7,230.1,245.6,270.2,266.9,275.7,281.9,295.3,321.0,326.4,326.0
"하수·폐기물처리, 원료재생 및 환경복원업",176.7,174.8,171.6,189.2,217.8,234.2,197.1,217.2,236.4,253.7,278.8,256.2,267.3
건설업,226.8,223.6,219.2,247.7,250.9,244.2,258.4,234.5,241.0,253.9,265.7,269.7,276.0
도매 및 소매업,202.8,194.1,194.9,219.1,214.5,204.9,206.2,207.8,210.7,223.7,237.8,236.3,222.4
운수업,238.4,229.6,212.9,227.7,228.3,226.2,236.2,243.8,248.7,260.0,264.9,279.8,265.1
숙박 및 음식점업,177.5,167.2,169.0,164.9,175.1,172.0,160.4,160.6,165.1,160.3,160.1,163.0,151.8
"출판, 영상, 방송통신 및 정보서비스업",190.5,182.1,187.0,197.3,208.6,207.9,207.1,211.1,212.1,224.2,234.2,246.8,253.4
금융 및 보험업,274.5,272.6,251.2,256.9,284.0,271.6,281.1,276.3,276.9,293.6,324.6,328.4,523.0
부동산업 및 임대업,221.9,218.4,196.8,231.8,197.1,226.1,207.5,218.1,206.6,231.6,245.0,257.2,260.7
"전문, 과학 및 기술 서비스업",193.8,186.1,195.2,205.7,223.4,211.4,209.2,208.9,217.2,225.4,237.9,242.3,244.0
사업시설관리 및 사업지원 서비스업,153.6,149.8,158.4,162.8,172.2,168.9,176.8,174.1,185.5,189.7,203.3,225.9,219.3
"공공행정, 국방 및 사회보장 행정",206.5,178.2,187.1,200.2,207.5,195.7,185.3,192.4,203.0,211.3,220.1,232.2,219.4
교육 서비스업,149.7,152.8,157.5,148.2,150.2,157.1,160.0,161.9,161.9,160.4,164.6,170.8,187.1
보건업 및 사회복지 서비스업,173.1,175.6,168.1,176.8,189.3,189.1,192.9,200.1,201.0,210.0,226.3,242.0,248.7
"예술,스포츠 및 여가관련 서비스업",151.5,137.1,157.3,156.5,153.4,157.6,141.1,163.7,160.7,167.2,162.8,162.8,162.9
"협회 및 단체, 수리 및 기타 개인 서비스",149.8,139.8,159.1,158.5,159.8,160.2,163.0,171.3,185.5,176.5,189.6,197.3,197.0
가구내 고용활동 및 달리 분류되지 않은 자가소비 생산활동,80.0,60.0,0.0,90.0,90.0,21.5,0.0,110.0,35.0,0.0,110.0,65.5,0.0
국제 및 외국기관,215.6,258.8,157.5,232.2,232.7,172.1,168.3,170.5,280.0,223.4,366.7,208.3,222.5
