column,count,mean,std,min,25%,50%,75%,max
2007,25.0,207.85200000000003,52.183834661703436,131.9,169.0,204.0,217.5,384.3
2008,25.0,209.592,70.34767776314061,131.1,174.9,197.0,213.4,454.1
2009,25.0,207.46400000000003,60.47033625395733,131.7,171.2,192.5,227.9,429.8
2010,25.0,221.02,81.42028309948326,139.8,181.3,202.0,235.5,551.8
2011,25.0,223.444,63.859866635208896,143.3,176.2,209.4,247.4,444.4
2012,25.0,221.5,66.95158698641877,147.7,184.0,209.0,235.4,496.1
2013,25.0,226.452,93.59827776193322,141.7,183.3,209.2,233.8,640.2
2014,25.0,217.216,56.8331232645189,146.1,181.1,211.3,239.6,438.3
2015,25.0,226.488,82.16067246560243,145.8,188.5,212.0,230.8,591.4
2016,25.0,236.016,85.60578095744081,142.7,188.0,224.2,247.0,603.2
