분류,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
전체,195.9,189.0,190.1,198.2,206.6,203.6,205.5,206.1,208.2,219.1,230.0,238.7,247.2
1. 1～4명,171.2,164.1,172.8,170.4,181.3,167.4,172.6,171.6,175.5,178.4,185.5,195.8,183.0
2. 5～9명,164.3,160.0,164.2,182.0,173.0,172.5,169.2,173.2,175.9,187.2,196.8,197.9,198.4
3. 10～29명,182.5,187.2,180.6,189.1,197.7,189.8,190.0,192.1,199.3,211.2,217.1,225.2,226.6
4. 30～49명,194.8,190.1,181.8,190.1,199.8,197.3,199.6,202.8,208.4,220.5,223.4,237.8,239.0
5. 50～99명,197.1,188.3,186.6,195.8,202.0,198.8,202.6,208.3,212.4,221.2,237.2,237.4,243.8
6. 100～299명,202.9,195.4,195.1,201.2,215.1,209.8,215.0,217.3,219.8,237.9,248.8,254.3,254.0
7. 300～499명,210.2,201.3,206.2,212.1,222.6,227.9,225.2,226.4,228.4,242.1,262.5,271.1,270.2
8. 500～999명,223.4,211.8,207.9,218.1,225.6,233.2,236.5,240.2,227.9,249.4,268.0,273.7,273.1
"9. 1,000명 이상",252.7,230.2,244.9,248.7,252.0,265.5,275.9,260.3,259.9,262.9,284.8,298.1,360.2
