column,count,mean,std,min,25%,50%,75%,max
2007,10.0,199.50000000000003,25.597829769120832,164.3,185.575,196.5,208.375,252.7
2008,10.0,191.74,20.54913893843514,160.0,187.475,189.55,199.82500000000002,230.2
2009,10.0,193.02,22.755502387090665,164.2,180.9,188.35,203.42499999999998,244.9
2010,10.0,200.57,21.81172212875962,170.4,189.35,197.0,209.375,248.7
2011,10.0,207.57,22.74657727610415,173.0,198.225,204.3,220.725,252.0
2012,10.0,206.58,29.399009809477896,167.4,191.675,201.2,223.375,265.5
2013,10.0,209.20999999999998,31.51970988304161,169.2,192.4,204.05,222.64999999999998,275.9
2014,10.0,209.83,27.855262818122302,171.6,194.775,207.2,224.125,260.3
2015,10.0,211.57000000000002,25.164969037665564,175.5,201.525,210.4,225.875,259.9
2016,10.0,222.99,26.479612702773597,178.4,213.17499999999998,220.85,241.05,262.9
2017,10.0,235.41000000000003,31.461350186467772,185.5,218.675,233.6,259.075,284.8
2018,10.0,243.0,32.57705395588196,195.8,228.25,238.25,266.90000000000003,298.1
2019,10.0,249.55,48.26554441605085,183.0,229.7,245.5,266.15,360.2
