column_order,column,dtype,non_null_n,missing_n,missing_rate,unique_n,sample_values
1,분류,string,10,0,0.0,10,"전체 | 1. 내국인이 운영하는 국내외의 민간회사 또는개인사업체 | 2. 외국인이 운영하는 국내외에 위치하는 외국인 회사 | 3. 정부투자기관/정부출연기관/공사합동기업 | 4. (재단, 사단) 법인단체"
2,2007,float64,10,0,0.0,10,195.8 | 201.1 | 242.3 | 232.7 | 177.3
3,2008,float64,10,0,0.0,10,188.9 | 196.6 | 240.9 | 195.9 | 146.5
4,2009,float64,10,0,0.0,10,190.0 | 194.0 | 235.2 | 193.0 | 174.0
5,2010,float64,10,0,0.0,10,198.1 | 207.9 | 249.9 | 199.3 | 176.0
6,2011,float64,10,0,0.0,10,206.5 | 219.3 | 247.9 | 204.0 | 181.6
7,2012,float64,10,0,0.0,10,202.8 | 210.9 | 247.4 | 214.3 | 193.8
8,2013,float64,10,0,0.0,10,204.6 | 212.2 | 231.0 | 208.7 | 202.2
9,2014,float64,10,0,0.0,10,205.2 | 213.0 | 242.5 | 211.7 | 197.8
10,2015,float64,10,0,0.0,10,207.9 | 214.2 | 246.8 | 224.4 | 205.0
11,2016,float64,10,0,0.0,10,217.0 | 224.5 | 262.9 | 236.5 | 216.3
12,2017,float64,10,0,0.0,8,227.2 | 237.2 | 283.1 | 252.9 | 217.4
13,2018,float64,10,0,0.0,10,235.7 | 245.4 | 275.3 | 266.2 | 229.9
14,2019,float64,10,0,0.0,10,242.7 | 251.3 | 269.5 | 267.5 | 247.2
