column,count,mean,std,min,25%,50%,75%,max
2007,10.0,182.09999999999997,39.14900310920375,120.1,154.925,186.55,200.025,242.3
2008,10.0,180.08999999999997,32.90212590227095,134.6,154.60000000000002,180.05,196.425,240.9
2009,10.0,182.73999999999998,23.918807105149142,145.8,169.35000000000002,183.0,192.25,235.2
2010,10.0,182.06,34.75908194670535,130.3,154.75,183.45,199.0,249.9
2011,10.0,188.75,32.60259873759214,150.3,157.95,190.75,205.875,247.9
2012,10.0,192.43,28.041241452942526,156.1,171.425,192.75,208.875,247.4
2013,10.0,187.79,35.87872938416607,100.3,176.35,196.5,207.67499999999998,231.0
2014,10.0,190.60999999999999,33.42688372486367,118.1,178.825,195.25,210.075,242.5
2015,10.0,202.45000000000002,28.812815435728133,142.4,200.95,206.5,213.325,246.8
2016,10.0,208.2,31.380708865302722,158.7,188.14999999999998,214.65,222.625,262.9
2017,10.0,222.47999999999996,43.78175165268948,166.7,181.70000000000002,222.3,248.975,283.3
2018,10.0,218.73000000000002,43.869833978866765,150.0,183.5,232.0,242.975,275.3
2019,10.0,235.0,26.279057990896266,194.7,212.7,242.45,250.275,269.5
