column_order,column,dtype,non_null_n,missing_n,missing_rate,unique_n,sample_values
1,분류,string,7,0,0.0,7,전체 | 1. 상용근로자 | 2. 임시근로자 | 3. 일용근로자 | 4. 고용원이 있는 자영업자
2,2007,float64,7,0,0.0,7,196.5 | 203.9 | 123.3 | 105.1 | 352.9
3,2008,float64,7,0,0.0,7,188.9 | 196.5 | 113.4 | 95.0 | 382.0
4,2009,float64,7,0,0.0,7,192.5 | 196.1 | 121.3 | 106.7 | 360.2
5,2010,float64,7,0,0.0,7,198.3 | 206.9 | 110.1 | 108.9 | 418.0
6,2011,float64,7,0,0.0,7,206.5 | 219.6 | 123.4 | 132.6 | 378.6
7,2012,float64,7,0,0.0,7,205.1 | 217.8 | 132.3 | 101.4 | 401.9
8,2013,float64,7,0,0.0,7,205.3 | 215.4 | 126.1 | 97.7 | 402.4
9,2014,float64,7,0,0.0,7,205.3 | 219.0 | 137.0 | 109.7 | 334.5
10,2015,float64,7,0,0.0,7,208.1 | 220.2 | 137.7 | 107.3 | 362.5
11,2016,float64,7,0,0.0,7,217.0 | 233.1 | 135.9 | 112.8 | 397.2
12,2017,float64,7,0,0.0,7,227.2 | 245.5 | 135.7 | 109.0 | 444.9
13,2018,float64,7,0,0.0,7,235.7 | 253.4 | 136.4 | 116.5 | 396.5
14,2019,float64,7,0,0.0,7,242.6 | 264.6 | 146.3 | 117.3 | 461.8
