column,count,mean,std,min,25%,50%,75%,max
2007,3.0,46.5,2.264950330581225,44.1,45.45,46.8,47.7,48.6
2008,3.0,46.800000000000004,2.56320112359526,44.1,45.6,47.1,48.150000000000006,49.2
2009,3.0,46.0,1.5524174696260031,44.4,45.25,46.1,46.8,47.5
2010,3.0,45.56666666666666,2.2030282189144437,43.3,44.5,45.7,46.7,47.7
2011,3.0,45.23333333333333,1.7009801096230757,43.5,44.4,45.3,46.099999999999994,46.9
2012,3.0,44.46666666666667,1.9502136635080092,42.5,43.5,44.5,45.45,46.4
2013,3.0,44.96666666666667,2.4027761721253453,42.5,43.8,45.1,46.2,47.3
2014,3.0,44.46666666666667,1.8036999011291583,42.6,43.6,44.6,45.400000000000006,46.2
2015,3.0,43.93333333333334,1.7009801096230757,42.2,43.1,44.0,44.8,45.6
2016,3.0,43.76666666666666,2.1031722072463124,41.6,42.75,43.9,44.849999999999994,45.8
2017,3.0,43.0,1.9519221295943128,41.0,42.05,43.1,44.0,44.9
2018,3.0,41.93333333333334,1.755942292142123,40.1,41.1,42.1,42.85,43.6
2019,3.0,41.9,1.8999999999999986,40.0,40.95,41.9,42.849999999999994,43.8
