column_order,column,dtype,non_null_n,missing_n,missing_rate,unique_n,sample_values
1,분류,string,4,0,0.0,4,전체 | 전문대 | 4년제 | 교육대
2,2007,float64,4,0,0.0,4,46.8 | 48.3 | 46.1 | 44.6
3,2008,float64,4,0,0.0,4,47.1 | 48.3 | 46.6 | 44.6
4,2009,float64,4,0,0.0,4,46.1 | 47.3 | 45.5 | 44.8
5,2010,float64,4,0,0.0,4,45.7 | 46.9 | 45.2 | 44.2
6,2011,float64,4,0,0.0,4,45.3 | 46.0 | 45.2 | 41.3
7,2012,float64,4,0,0.0,4,44.5 | 45.6 | 44.2 | 40.2
8,2013,float64,4,0,0.0,4,45.1 | 45.9 | 44.8 | 41.1
9,2014,float64,4,0,0.0,4,44.6 | 45.1 | 44.5 | 41.9
10,2015,float64,4,0,0.0,4,44.0 | 45.1 | 43.7 | 41.1
11,2016,float64,4,0,0.0,4,43.9 | 44.3 | 43.8 | 40.9
12,2017,float64,4,0,0.0,4,43.1 | 43.8 | 43.0 | 41.0
13,2018,float64,4,0,0.0,4,42.1 | 42.4 | 42.0 | 40.6
14,2019,float64,4,0,0.0,4,41.9 | 42.1 | 41.8 | 40.6
